time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.461,-0.02706702,-0.01403483,-0.06060122,-0.03618725,-0.1414483,0.08463509,0.1064005,0.1593158,-0.1201732,1.829174,355.7914,356.5332,0.02082644,-0.1740639,-0.1194143,0.0412087,-1.500349,0.2188195,0.04086006,-0.4289948,-0.02875788,33.67496,5.62335,19.87578,0.1045555,0.06863458,-0.07674803,0.2918408,-0.7151524,-0.4344965,0.2119818,-0.3648249,-0.02112408,14.48327,351.1756,338.9821,
13.108,-0.01684882,-0.006410333,-0.07220153,-0.09050155,-0.1082776,0.0999435,0.1064665,0.1593228,-0.1214322,1.92748,355.8298,356.4181,-0.009583928,-0.1801752,-0.1682465,-0.06723889,-1.895579,0.5048708,0.03987905,-0.4306661,-0.03221979,34.44735,5.539308,17.70257,0.08683903,0.0719073,-0.0774902,0.3103105,-0.4069448,-0.52691,0.2125376,-0.3632895,-0.02226872,14.41682,351.3222,339.634,
26.416,-0.00423253,0.001496505,-0.08302458,-0.157839,-0.05467665,0.09148464,0.1067505,0.1595498,-0.122817,2.153518,355.7945,356.3403,-0.0429917,-0.1691435,-0.21282,-0.1063756,-2.088975,0.7573761,0.03861714,-0.4320427,-0.03638863,35.04093,5.202113,15.41636,0.06563994,0.1087943,-0.07599647,0.5081602,-0.168558,-0.5673276,0.2128685,-0.3604826,-0.02335514,13.9931,351.2377,340.3839,
40.1,0.01068365,0.009141566,-0.09238452,-0.2241294,0.02651678,0.02579335,0.1073238,0.1598729,-0.1242778,2.443158,355.6653,356.4167,-0.09510669,-0.1371745,-0.2690311,0.003111353,-2.17404,1.175112,0.03652956,-0.4329249,-0.04164497,35.19543,4.202724,12.52696,0.03641197,0.2090132,-0.06670432,0.9545484,0.04806624,-0.7100601,0.2127651,-0.3543726,-0.02389612,13.00503,350.9897,341.6674,
54.253,0.02876506,0.01851243,-0.100716,-0.2831178,0.1262106,-0.08980271,0.1083356,0.1604079,-0.1259024,2.797031,355.4558,356.6394,-0.1588037,-0.08818155,-0.3240429,0.2639861,-2.176243,1.712887,0.03376468,-0.4329963,-0.04844151,34.70843,2.564804,9.075793,0.01799396,0.3801799,-0.05394089,1.631398,0.02246026,-0.6712997,0.2132665,-0.3451405,-0.02511842,11.00283,350.7299,342.8917,
68.178,0.04825512,0.02555579,-0.1071328,-0.2804603,0.2107825,-0.1799897,0.1095726,0.1607391,-0.1274583,3.015559,355.218,356.8578,-0.2204245,-0.0369469,-0.3830399,0.5939898,-2.128409,2.199536,0.03045122,-0.4333495,-0.05616688,33.65407,0.7005551,5.460492,0.006332951,0.5813312,-0.03677882,2.297681,-0.07577981,-0.4038348,0.2134547,-0.3342216,-0.02444094,8.325662,350.2828,343.7511,
81.973,0.06852356,0.02707299,-0.1107319,-0.2348384,0.2753634,-0.2155913,0.1110487,0.1610242,-0.1290318,3.168124,354.9453,357.0345,-0.2752571,-0.005025275,-0.4476754,0.7732973,-2.076612,2.539932,0.02671165,-0.4342026,-0.0642865,32.51338,358.8657,1.948598,0.000596616,0.7749205,-0.01188257,2.762815,-0.213313,-0.1439962,0.2139203,-0.3210054,-0.02454994,5.473037,349.932,344.4733,
95.91,0.08785703,0.01980874,-0.1112052,-0.1027157,0.3067961,-0.221577,0.1126845,0.160722,-0.1304759,3.023098,354.69,357.2429,-0.3199087,0.01009724,-0.5162043,0.9174917,-1.957619,2.68044,0.0221919,-0.4348391,-0.07446006,31.19457,357.2951,358.8787,-0.02011053,0.9381915,0.0170049,3.004642,-0.1883431,0.06515449,0.2133826,-0.3064087,-0.02252049,2.811454,349.392,345.1546,
109.983,0.1050704,-0.0007893364,-0.1099807,0.08479532,0.3216443,-0.2122119,0.1144713,0.1597732,-0.1319751,2.728256,354.4243,357.4564,-0.3637396,0.006991089,-0.5863463,1.054311,-1.713768,2.755841,0.01721814,-0.4369809,-0.08478114,29.68575,355.7377,356.2328,-0.03808591,1.121246,0.03736532,3.329739,-0.09249934,0.4802466,0.2135049,-0.2889271,-0.0220025,359.6633,348.48,345.4925,
123.529,0.1192631,-0.03578524,-0.1088188,0.2593982,0.3349563,-0.1939628,0.1163442,0.1579285,-0.1334566,2.340231,354.1395,357.6746,-0.4104369,-0.03353939,-0.6566913,0.9013715,-1.386439,2.80902,0.01178758,-0.4401748,-0.09557121,28.65297,353.951,353.8177,-0.04201548,1.299647,0.01985287,3.988097,-0.1544084,0.9623271,0.2137218,-0.2710027,-0.02185791,355.3406,347.6139,345.9364,
137.531,0.1301426,-0.08578178,-0.1075374,0.4177191,0.3436359,-0.1681715,0.1183329,0.1550267,-0.1349562,1.851163,353.8442,357.884,-0.4616273,-0.1076426,-0.7362703,0.538467,-0.9750496,2.844707,0.005980797,-0.4442365,-0.1078012,28.13541,351.8533,351.5408,-0.04344428,1.429212,-0.01673769,4.489173,-0.03346481,1.391346,0.2139581,-0.2530883,-0.02182311,350.7986,346.4481,346.4037,
151.533,0.1375905,-0.1474966,-0.1055428,0.5177624,0.3503523,-0.1376569,0.1202867,0.1512135,-0.1363524,1.383536,353.553,358.0601,-0.5008129,-0.1856756,-0.7978499,0.005889956,-0.5270366,2.754395,-0.0001358818,-0.4485085,-0.1196775,28.29923,349.6596,349.5084,-0.04076216,1.49606,-0.06620558,4.859806,0.1673543,1.709799,0.2147069,-0.2361962,-0.02271866,346.1888,345.0209,347.0303,
165.257,0.1407902,-0.21737,-0.1030922,0.5892397,0.3508769,-0.09659079,0.1222138,0.1462235,-0.1376994,0.8203747,353.259,358.2123,-0.5382189,-0.250658,-0.8507444,-0.4149256,0.03531279,2.545601,-0.006727953,-0.4528313,-0.1321839,28.7646,347.3414,347.9998,-0.03554607,1.495121,-0.1219973,5.189689,0.2038159,1.719831,0.2146764,-0.2207804,-0.02305526,341.6118,343.6586,348.422,
179.513,0.1386433,-0.297449,-0.09944889,0.7175981,0.3369065,-0.05190811,0.1238827,0.1398543,-0.1389529,0.06996593,353.0079,358.3698,-0.5784249,-0.2893805,-0.8921894,-0.6824166,0.6461723,2.295604,-0.01408823,-0.4569289,-0.1442667,29.3855,344.8924,346.9906,-0.0324904,1.431222,-0.1895356,5.555316,0.0781306,1.557317,0.2153737,-0.2078271,-0.02600199,336.971,342.2714,350.7224,
193.309,0.1304064,-0.3756728,-0.09751552,0.6724156,0.309661,-0.04655417,0.1253633,0.1331135,-0.1404694,359.8626,352.8062,358.5062,-0.6256452,-0.2775356,-0.9196824,-0.8351277,1.02489,2.339456,-0.02178064,-0.4592991,-0.1566187,29.73412,342.021,345.5628,-0.03527865,1.306328,-0.252916,5.804581,-0.06838059,1.3335,0.2151476,-0.197159,-0.02733065,332.6072,340.657,353.6872,
207.277,0.1183651,-0.4323766,-0.1014518,0.3331478,0.2727602,-0.08258878,0.1266367,0.1266029,-0.1421285,0.2835456,352.6664,358.5526,-0.6542124,-0.1899288,-0.9141474,-0.7940636,0.8327298,2.779732,-0.0281717,-0.4592549,-0.167881,28.95856,338.9648,342.9971,-0.04139401,1.13139,-0.2985134,5.83337,-0.2135241,1.050815,0.2157335,-0.1897277,-0.03037461,328.8561,338.8169,357.1286,
220.784,0.1029356,-0.4530347,-0.1062423,-0.1522811,0.2124552,-0.1657802,0.1276503,0.1209878,-0.1437744,1.164117,352.6173,358.6207,-0.6222191,-0.04395771,-0.8586828,-0.399024,0.2917407,2.99046,-0.03304107,-0.4568403,-0.1775194,27.06883,337.0489,340.7541,-0.04515483,0.9233822,-0.329799,5.691232,-0.2146422,0.8888813,0.2158717,-0.1851116,-0.03244532,325.5253,336.7397,0.5120758,
234.931,0.08511275,-0.4271727,-0.1157238,-0.6624698,0.1221214,-0.2824467,0.1283355,0.1171762,-0.1457884,2.457231,352.7226,358.7142,-0.5515558,0.08448663,-0.7740698,0.3500207,0.1308816,2.5961,-0.03731975,-0.4538576,-0.1853227,25.03895,336.3546,340.6251,-0.04878927,0.7215536,-0.3363113,5.358636,-0.1447324,0.7279699,0.2159867,-0.1828095,-0.03415899,322.8344,334.5154,3.75532,
248.853,0.06647618,-0.3612427,-0.1260055,-0.9914626,0.02166324,-0.3591316,0.1287534,0.1147302,-0.1477284,3.59346,352.8969,358.7791,-0.4300767,0.2301247,-0.6012133,1.49878,0.3942396,1.551906,-0.03994678,-0.448808,-0.1883359,23.22862,336.9168,343.31,-0.05090368,0.4327609,-0.3002901,4.597392,-0.229299,0.4461077,0.2163481,-0.186151,-0.03586207,321.4347,332.8252,6.45552,
262.597,0.04828548,-0.2515724,-0.1341421,-1.317564,-0.06242485,-0.4126684,0.12903,0.1155619,-0.1498146,5.276837,353.1119,358.7869,-0.2972887,0.3328168,-0.3976302,2.120924,0.6945207,0.4994872,-0.04075414,-0.442663,-0.1880268,22.21578,337.7173,346.4066,-0.05569789,0.1091601,-0.209495,3.361388,-0.6146035,-0.1186041,0.2163844,-0.1929124,-0.03601058,321.9041,331.8919,8.546492,
