time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.494,0.007774047,0.0008411563,-0.002376668,0.005784056,-0.03397722,0.03697831,0.03017807,0.05407001,-0.3607945,8.031666,353.4346,358.252,-0.001190778,0.003015029,-0.0009711286,-0.01311203,-0.01159975,-0.01363449,-0.1171949,-0.8257972,-0.37424,62.89869,328.272,302.1375,-0.005203707,-0.002699954,-0.01114626,-0.2058106,0.1237779,0.2209934,0.2354931,-0.8110492,-0.357256,74.72199,22.67284,48.63635,
12.85,0.007505551,0.0002943498,-0.002350436,-0.005055171,-0.02669132,0.03857012,0.03027606,0.0540628,-0.360826,8.046234,353.4395,358.2153,-0.001643729,0.002987689,-0.0004679515,-0.01277862,-0.0203064,-0.01691315,-0.1171966,-0.8257964,-0.3742399,62.89676,328.2719,302.1353,-0.01693144,0.002162247,-0.004257896,-0.1063471,0.008191748,0.2521488,0.2353367,-0.8107275,-0.3571843,74.69683,21.60962,47.65989,
26.073,0.006961645,-0.0007033233,-0.002314581,-0.01281555,-0.02574166,0.03908464,0.03030968,0.05403967,-0.3608727,8.059955,353.4509,358.1774,-0.002073242,0.002966619,-1.977675E-05,-0.008868201,-0.01684676,-0.01324747,-0.1171972,-0.8257983,-0.3742374,62.89735,328.2716,302.1374,-0.02796468,0.01278303,0.009128966,0.04687544,-0.08420267,0.3040167,0.2349833,-0.8102633,-0.3570645,74.49657,19.94021,46.09113,
40.217,0.006798962,-0.001441333,-0.002445252,-0.02131435,-0.02109688,0.03477174,0.03033841,0.05401377,-0.3609296,8.082144,353.4567,358.1525,-0.002615531,0.002508932,4.382082E-05,-0.01475027,-0.009615798,-0.006371667,-0.1173069,-0.825682,-0.3742959,62.87631,328.2713,302.0488,-0.03322018,0.0182489,0.01668002,0.1197302,-0.1483149,0.2635596,0.2346719,-0.8102273,-0.3567405,74.38931,18.77741,44.8788,
54.12,0.006659986,-0.002054861,-0.002438522,-0.02464381,-0.01759567,0.0268978,0.0303899,0.05397668,-0.3609747,8.099924,353.4625,358.1363,-0.002050804,0.002791977,0.0007984566,-0.01834132,-0.004553119,-0.01463724,-0.1173515,-0.8256503,-0.3742978,62.87803,328.2803,302.0377,-0.03090363,0.01775018,0.0214223,0.1581523,-0.154701,0.1806046,0.2345911,-0.809723,-0.3565744,74.29642,18.18537,44.16788,
67.788,0.006208281,-0.001745051,-0.002383002,-0.02878385,-0.01804496,0.0210682,0.03046453,0.0539584,-0.3610061,8.124631,353.4761,358.118,-0.001772069,0.005003192,0.002815691,-0.0008476269,-0.02062209,-0.04043349,-0.1173804,-0.8255531,-0.374274,62.86748,328.318,302.0433,-0.01980029,0.01355207,0.02243003,0.1722443,-0.1276349,0.04127507,0.2346917,-0.8104195,-0.3562265,74.26765,18.35858,44.11633,
81.862,0.005803195,-0.001653709,-0.002013062,-0.02230622,-0.01693915,0.01737815,0.03053522,0.05393535,-0.3610241,8.124539,353.4857,358.1061,-0.0031632,0.003388212,0.002606068,-0.02648914,-0.008354424,-0.01346236,-0.1173931,-0.8254365,-0.3742308,62.87198,328.3205,302.0228,-0.0001272908,0.005217512,0.01467457,0.1443357,-0.0669675,-0.1217905,0.2352938,-0.8100887,-0.3569359,74.29789,19.04387,44.5689,
95.679,0.00564509,-0.001239963,-0.001836987,-0.01606701,-0.01384312,0.01077545,0.03062725,0.05392914,-0.3610669,8.127872,353.4942,358.1091,-0.002762087,0.005385144,0.004260798,-0.01300829,-0.01518612,-0.03625259,-0.1174186,-0.8252661,-0.3742003,62.86081,328.3621,302.0284,0.007775763,0.003002432,0.01680945,0.1826258,-0.09100038,-0.2360187,0.2351433,-0.8104534,-0.3558047,74.26163,19.40329,44.40257,
109.765,0.005269401,-0.0009205472,-0.001702651,-0.01321932,-0.01284096,0.003788254,0.0307107,0.05392477,-0.3611093,8.137175,353.5047,358.1059,-0.003211447,0.006776571,0.005141275,-0.006968222,-0.03005844,-0.0436087,-0.117477,-0.8252314,-0.3741322,62.84363,328.3913,302.0194,0.01465029,0.001138753,0.01681971,0.2188819,-0.1267741,-0.3234102,0.2354563,-0.8101228,-0.3556062,74.26068,19.58869,44.08916,
123.286,0.005123171,-0.001215068,-0.001803178,-0.01139297,-0.0110009,0.001380867,0.03078735,0.053901,-0.3611467,8.143028,353.5108,358.1058,-0.003968602,0.004568842,0.004017432,-0.03464102,-0.01217287,-0.01222906,-0.1175077,-0.8251377,-0.3740861,62.84938,328.3821,301.9857,0.01386659,0.00199326,0.01616922,0.2261565,-0.06998266,-0.2305532,0.2354498,-0.8100839,-0.3557545,74.09814,19.57888,43.95218,
