time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.479,0.002890125,-0.01418643,0.008147709,-0.02013499,0.002012106,0.03047832,-0.06013024,0.1378818,-0.1863287,1.216518,353.1748,347.8863,0.0006900735,0.02338531,0.001672931,0.06301741,0.131025,-0.04435604,-0.2509671,0.06230793,-0.03615409,330.7247,302.0465,114.3508,0.001860633,0.003010196,0.06296706,-0.02418313,0.0339682,0.05059957,-0.4882486,-0.290555,-0.0507405,26.24932,280.5315,96.32865,
12.018,0.005686679,-0.01376348,0.006345746,-0.01466007,-0.002017383,0.04403644,-0.05996823,0.1377722,-0.1862758,1.211129,353.1828,347.8287,-0.003304101,0.02892696,-0.009875529,0.0008457787,0.1139706,-0.08480355,-0.2511013,0.06275897,-0.03637925,330.6271,301.9178,114.4599,0.003517171,-0.009707082,0.06501814,0.08623731,0.1314072,0.07601403,-0.4884358,-0.2907113,-0.05012608,26.54018,280.7821,96.5247,
24.7,0.008575056,-0.01379139,0.005074805,-0.004050414,-0.00721268,0.05895732,-0.05975842,0.1376708,-0.1862252,1.178387,353.1909,347.7617,-0.008038683,0.03159777,-0.01753325,-0.02775576,0.08788753,-0.09996437,-0.2513627,0.06320646,-0.0367152,330.5627,301.7931,114.5387,0.006793464,-0.01395966,0.05322374,0.11335,0.1715492,-0.01217758,-0.4882405,-0.2907059,-0.04983401,26.74604,280.764,96.7047,
38.671,0.01129561,-0.01370484,0.004182483,0.004035339,-0.01969615,0.07530353,-0.05951929,0.1375543,-0.1861806,1.138841,353.2201,347.6853,-0.01524835,0.03399442,-0.0253355,-0.006176509,0.1075313,-0.1144167,-0.2520653,0.06386749,-0.03724532,330.4675,301.662,114.7327,0.009403533,-0.01810997,0.03569092,0.147157,0.2132287,-0.1308347,-0.488386,-0.2908914,-0.04982207,27.02168,280.6184,96.92081,
52.601,0.01391168,-0.01453205,0.003536122,0.01585307,-0.02769425,0.08058154,-0.05918813,0.1373043,-0.1861641,1.088151,353.2419,347.6273,-0.02343287,0.03420205,-0.03673542,0.03748794,0.1444446,-0.1650778,-0.252267,0.06402622,-0.03812145,330.3869,301.487,115.0585,0.00747871,-0.01730175,0.01726226,0.1518736,0.2064501,-0.2199632,-0.4881772,-0.2905158,-0.0499253,27.2409,280.4005,97.06422,
66.385,0.01600155,-0.01503723,0.002721219,0.01370624,-0.03398612,0.08214327,-0.05891526,0.1370821,-0.1861516,1.066401,353.2678,347.5649,-0.03209753,0.03218556,-0.05315134,0.05334587,0.1450149,-0.2637188,-0.2529484,0.06460705,-0.03885681,330.3471,301.1419,115.4656,-0.0008457513,-0.01259326,0.006979222,0.09978268,0.2189459,-0.240177,-0.4891239,-0.2908128,-0.04976634,27.33256,280.3032,97.29086,
80.515,0.01806755,-0.01670084,0.001798636,0.01382476,-0.03492257,0.07996497,-0.0586133,0.1367459,-0.1862174,1.039858,353.289,347.5103,-0.03910651,0.03366184,-0.06769012,0.02583436,0.1311059,-0.303838,-0.2536966,0.06518679,-0.03996541,330.2872,300.8167,115.7551,-0.01101234,-0.003160048,0.005351963,0.006098844,0.2382728,-0.1962468,-0.4888803,-0.2900944,-0.04988577,27.27201,280.355,97.58621,
94.462,0.01982433,-0.01849651,0.0005858717,0.005644643,-0.0295395,0.07454034,-0.05830002,0.1364011,-0.1863114,1.036367,353.2997,347.4607,-0.04443751,0.03526374,-0.08474274,-0.02880179,0.07651214,-0.3792719,-0.2536726,0.06539145,-0.04142629,330.2796,300.3142,116.0391,-0.02107548,0.009031557,0.02243,-0.08238536,0.2788047,-0.0187318,-0.4900054,-0.2902275,-0.04977234,27.12131,280.7756,97.94152,
108.483,0.02117687,-0.02086934,-0.000567425,0.003877726,-0.02339696,0.05979874,-0.05797577,0.1360394,-0.186386,1.025801,353.3029,347.4406,-0.04705844,0.04034025,-0.09856188,-0.0796373,0.05152948,-0.4180116,-0.2547517,0.06648184,-0.04251485,330.2214,299.8395,116.2866,-0.0190917,0.007033716,0.01147711,-0.01587877,0.2900896,-0.07759825,-0.4900817,-0.2900955,-0.04961103,27.3009,280.7978,98.19537,
122.292,0.02189212,-0.02178424,-0.002276361,-0.00278964,-0.01221853,0.04048739,-0.05766463,0.1357588,-0.1864808,1.039798,353.2963,347.4402,-0.04919638,0.0490333,-0.1061761,-0.08946387,0.1070191,-0.3836439,-0.2554421,0.06707391,-0.04404946,330.0474,299.5503,116.5342,-0.01291785,0.008139156,0.001779482,0.01725658,0.3348038,-0.2091907,-0.4895715,-0.289231,-0.04994598,27.53465,280.6392,98.56886,
136.183,0.02208453,-0.02163759,-0.004132518,-0.0006110563,-0.0002266589,0.02132109,-0.05736947,0.1355137,-0.1865933,1.040127,353.2782,347.4507,-0.05112485,0.05290652,-0.1126855,-0.04762813,0.1715579,-0.3879659,-0.2560663,0.06764663,-0.04553077,329.8907,299.2367,116.9444,-0.009487127,0.00944996,-0.007232532,0.01067089,0.3742133,-0.3313099,-0.4901274,-0.2893166,-0.05007678,27.70547,280.436,99.0097,
