time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.492,0.003017586,-0.08798023,-0.003761796,-0.118492,1.300835,0.1015668,-0.1605164,0.1284626,-0.1808637,6.283161,340.2897,352.2004,0.5882706,-0.3594551,-1.639515,1.74879,3.988945,-1.145779,-0.4231025,-0.3250889,-0.3900151,347.9853,274.8491,7.856611,-0.5978926,-0.1940778,-1.054614,2.397582,3.538242,-1.936458,-0.2892286,-0.2326112,-0.09312403,327.8726,275.9106,6.067389,
13.292,0.006142582,-0.08477072,-0.002938017,-0.06624447,1.267901,0.1019331,-0.1602727,0.1274287,-0.1808711,6.381478,339.3302,352.2089,0.6756178,-0.3511254,-1.564436,1.749673,3.903883,-1.005567,-0.4119309,-0.3290354,-0.4066166,348.8146,271.6714,7.595568,-0.5101655,-0.2112414,-1.074318,2.56961,3.448746,-1.776963,-0.2937956,-0.2356147,-0.1059455,328.5966,273.0955,4.869875,
26.751,0.01050924,-0.0806994,-0.001832291,-0.03624607,1.224941,0.1197432,-0.1599272,0.1265295,-0.1808598,6.445899,338.4075,352.143,0.7485645,-0.3410333,-1.481436,1.739757,3.798907,-0.8523234,-0.4003534,-0.3327412,-0.4219954,349.6518,268.6317,7.344697,-0.4196388,-0.2261285,-1.08663,2.701419,3.370386,-1.493848,-0.2971797,-0.2385973,-0.1186535,329.3096,270.2037,3.938784,
40.481,0.01607143,-0.07477842,-2.068095E-05,-0.02637689,1.148689,0.1616579,-0.1595309,0.125716,-0.1807799,6.457942,337.5855,352.039,0.8061876,-0.3275983,-1.391363,1.709,3.696358,-0.7049572,-0.3881897,-0.3362591,-0.4360801,350.4564,265.6982,7.072019,-0.3255447,-0.2338048,-1.086413,2.681207,3.289057,-1.105531,-0.2991597,-0.2418993,-0.1310188,329.785,267.3245,3.378007,
54.464,0.02132633,-0.06802642,0.002220945,-0.01485216,1.066584,0.1925374,-0.159143,0.1249662,-0.1806862,6.456778,336.8241,351.9569,0.8492107,-0.310104,-1.29342,1.620599,3.576981,-0.5741233,-0.3762437,-0.3396102,-0.4487408,351.1311,262.918,6.781803,-0.2344861,-0.2338679,-1.07046,2.54522,3.169272,-0.6988789,-0.300886,-0.2445395,-0.1429067,330.1124,264.5387,3.154393,
68.39,0.02681106,-0.06051439,0.004905165,0.008652462,0.9894944,0.2052565,-0.1586306,0.1243182,-0.1805331,6.413907,336.114,351.9069,0.8709332,-0.2938591,-1.185972,1.568424,3.37822,-0.4375373,-0.3649558,-0.3423954,-0.4599276,351.9061,260.4283,6.496169,-0.1501547,-0.2240255,-1.031257,2.312736,3.003833,-0.3775785,-0.3006736,-0.2473266,-0.1535179,330.2834,261.9995,3.064157,
82.169,0.03203844,-0.05262101,0.008239563,0.03595457,0.916193,0.2098176,-0.1580946,0.1238055,-0.1803048,6.349292,335.4545,351.8714,0.8748493,-0.2733381,-1.072436,1.482169,3.16747,-0.3528794,-0.3530212,-0.3452523,-0.4696516,352.5675,258.1531,6.12804,-0.07753709,-0.2019127,-0.9602385,1.965577,2.761242,-0.2387828,-0.3012528,-0.2491875,-0.1630307,330.1855,260.0114,2.848201,
96.25,0.0378191,-0.0445939,0.01192908,0.06205558,0.8416013,0.2124885,-0.1574538,0.1234468,-0.179998,6.272339,334.8643,351.848,0.8593486,-0.2486168,-0.955626,1.35315,2.952103,-0.3227847,-0.3431691,-0.3476609,-0.477991,353.057,256.0871,5.683571,-0.02555999,-0.1733476,-0.8661751,1.639448,2.396815,-0.2153064,-0.3004066,-0.251043,-0.1711479,330.0873,258.6392,2.485359,
110.445,0.0438555,-0.03584995,0.01590168,0.07279268,0.7516544,0.2145226,-0.1567199,0.1231862,-0.1796492,6.171336,334.3665,351.7979,0.8183334,-0.2267538,-0.837961,1.285466,2.678736,-0.2683334,-0.334062,-0.3496411,-0.4849805,353.6336,254.3314,5.216394,0.01687706,-0.1426729,-0.7623501,1.380921,2.102917,-0.3089083,-0.2996709,-0.2523883,-0.178011,329.8532,257.5936,1.8497,
124.047,0.05025097,-0.02594498,0.02049719,0.06608046,0.6506175,0.2168382,-0.1558793,0.123098,-0.1792238,6.079147,333.9631,351.7256,0.7620029,-0.2024669,-0.7239348,1.16358,2.423456,-0.2255267,-0.3252146,-0.3516964,-0.4906229,354.0427,252.7641,4.803395,0.04253921,-0.1142021,-0.6598139,1.263168,1.760376,-0.3249922,-0.2991481,-0.2530029,-0.183877,329.937,256.7769,1.225896,
