time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.399,0.006302477,0.004094386,-0.0247538,0.03749959,-0.01511867,-0.01160293,-0.1436807,0.5223342,0.08773775,8.036306,359.3582,0.6491608,0.1877896,-0.5608152,0.8606592,-2.192686,0.7116672,0.143228,-0.2651938,0.3598202,0.2422423,304.6435,355.3915,3.04135,0.0249432,-0.545913,1.350101,-4.400124,-0.59891,1.109002,-0.01078648,0.3917555,0.2047507,298.3963,351.9088,359.3388,
12.072,0.005946577,0.002711285,-0.03015284,0.01932983,-0.03462703,0.02432068,-0.1436504,0.5225098,0.08718565,8.04705,359.407,0.54856,0.1978303,-0.6784528,0.9861279,-2.962781,0.283181,0.657658,-0.2635087,0.3490031,0.2574515,308.2982,357.5244,1.948098,0.04881629,-0.6944476,1.419912,-4.416162,-0.571874,1.196823,-0.01106309,0.3788374,0.2224528,301.819,354.7639,357.7502,
23.377,0.00731956,0.00355099,-0.03506785,0.01872482,-0.03618482,0.01496599,-0.1434013,0.5225628,0.08651467,7.996686,359.4423,0.5936333,0.1988021,-0.8040062,1.097363,-3.701214,-0.2699967,1.033954,-0.2620102,0.3366339,0.2734815,312.638,359.3255,1.665402,0.01780662,-0.8431728,1.457161,-4.169302,-0.5399081,0.5695951,-0.01317937,0.3646793,0.2433997,304.7607,354.695,357.7679,
37.231,0.009269643,0.004370349,-0.04151338,0.04072677,-0.04662089,-0.02521839,-0.1432028,0.5225977,0.08573307,7.928676,359.5215,0.693935,0.1907923,-0.9732313,1.211957,-4.475575,-0.7105213,1.086273,-0.2602814,0.3212408,0.2910778,317.7359,0.4005118,1.905749,-0.01623148,-1.039884,1.550925,-4.466586,-0.6919773,0.06702955,-0.01511661,0.3481825,0.2673241,308.9653,354.3969,358.3008,
51.009,0.01113846,0.004390507,-0.05021699,0.04045442,-0.0287714,-0.05452625,-0.1430016,0.5225492,0.08466014,7.914968,359.5251,0.7854825,0.1761301,-1.166203,1.301139,-5.129273,-0.7429184,0.7741718,-0.2581756,0.3024185,0.3087359,323.0528,0.4815582,2.115007,-0.04468551,-1.287757,1.678615,-5.107818,-0.5983605,-0.6364889,-0.01669197,0.3258965,0.2926972,314.3906,353.7528,358.5594,
65.107,0.01258064,0.002946397,-0.06071627,0.01228266,-0.00562537,-0.05310612,-0.1427407,0.5225187,0.08342829,7.975769,359.4902,0.7933984,0.1695357,-1.375621,1.357796,-5.596379,-0.5183491,0.5078145,-0.2554984,0.2813206,0.3270629,328.3725,0.3430458,1.945686,-0.04705536,-1.600122,1.838531,-6.243176,-0.56257,-1.098217,-0.0169801,0.300331,0.3217334,321.5294,353.6635,358.5894,
79.101,0.01441247,0.004289103,-0.07210969,-0.007528912,0.00218484,-0.01136744,-0.1424655,0.5229375,0.08217435,7.992524,359.4742,0.7455379,0.1842448,-1.609848,1.3919,-6.096616,-0.5341749,0.5522426,-0.2528317,0.2564823,0.3451948,334.1501,0.8361119,1.715424,0.009174168,-1.983335,1.974056,-7.705951,-0.3315516,-0.9875129,-0.01552323,0.2675636,0.3490341,330.1804,354.9513,357.5143,
92.867,0.01633632,0.01061041,-0.07929805,0.06608861,-0.01313926,0.01862485,-0.1421596,0.5233871,0.08097778,7.744099,359.5104,0.65408,0.2129156,-1.872984,1.399077,-6.716706,-1.047581,0.6982425,-0.2503762,0.2277542,0.3632929,340.731,2.064584,2.09275,0.09565479,-2.393981,1.991664,-8.824118,-0.1465755,-0.3951078,-0.01373851,0.2316514,0.3741629,338.9983,356.8937,356.0144,
107.21,0.01876664,0.01681185,-0.08360409,0.1763503,-0.03845114,0.01234674,-0.1418143,0.5236484,0.07975186,7.392397,359.5939,0.6773903,0.2511216,-2.195457,1.37069,-7.538349,-1.928825,0.7584911,-0.2479284,0.1947986,0.3813641,348.393,3.98124,3.232513,0.1363717,-2.795763,1.899393,-9.574474,0.2627856,0.0618573,-0.01296471,0.1881228,0.3976508,347.7955,358.0372,354.4258,
120.781,0.02112231,0.01725994,-0.08810156,0.2424074,-0.05632529,-0.06878941,-0.1414797,0.5234371,0.07841043,7.152975,359.7223,0.9284585,0.2287467,-2.457458,1.277886,-7.90394,-1.72936,0.7021439,-0.2470665,0.1598725,0.3960511,355.4439,4.545723,3.615839,0.09756035,-3.182174,1.695228,-10.24338,0.4644415,-0.2724282,-0.01372175,0.1441277,0.4152042,357.2217,357.983,354.4534,
