time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.455,-0.087941,-0.03195522,0.02057997,-0.277202,0.301414,-0.3361318,-0.09382033,0.2324641,0.0584898,0.5243363,1.209661,358.6026,-0.1389776,0.08504461,-0.07965333,0.6466501,0.02666237,1.005886,-0.1897654,-0.2685594,0.1416354,346.1604,3.473982,343.2066,-0.1903633,-0.08281439,0.0424953,-0.3010621,0.3578939,-0.650746,-0.02782563,-0.2578508,0.1308156,350.3804,334.3523,358.0229,
13.244,-0.07893993,-0.03076881,0.01963699,-0.2796529,0.4313337,-0.2730051,-0.09439862,0.2321312,0.05863833,0.762607,0.6926809,358.6752,-0.172827,0.07898916,-0.08693943,0.6007184,0.2374593,0.8497688,-0.1928875,-0.2678789,0.1403095,345.9295,3.084211,342.6266,-0.1765487,-0.05167987,0.02020605,-0.5840986,0.8191258,-0.1559927,-0.02866158,-0.2575288,0.1303984,350.4066,333.4482,356.5636,
26.546,-0.06431155,-0.0290219,0.01670741,-0.2817818,0.4896016,-0.210917,-0.0946151,0.2318166,0.05869722,0.9988071,0.2582167,358.7592,-0.2046254,0.06744151,-0.09180459,0.4828778,0.4174152,0.5995597,-0.1961104,-0.267331,0.1388699,345.9337,2.472462,342.4309,-0.1544052,-0.009059145,-0.01235003,-0.6764509,1.267252,0.3914664,-0.02907693,-0.2573907,0.1301814,349.805,332.3014,354.8533,
40.478,-0.04238982,-0.02764764,0.01213921,-0.2694135,0.5094024,-0.1603643,-0.09442842,0.2314471,0.05873752,1.190374,359.8669,358.8253,-0.247486,0.04141352,-0.1035757,0.2669693,0.642948,0.1643925,-0.1997407,-0.2672874,0.136933,346.3156,1.413036,342.8721,-0.1195429,0.01720856,-0.02914332,-0.5950313,1.336953,0.7280467,-0.02929929,-0.2575776,0.129787,349.035,331.6085,353.6109,
54.414,-0.01723073,-0.0289848,0.008519231,-0.2341178,0.5088978,-0.1191944,-0.09388018,0.2308338,0.05886602,1.306057,359.4765,358.8647,-0.26787,0.01831484,-0.116301,0.1507476,0.7881646,-0.05069139,-0.2030376,-0.2675904,0.1348088,346.6292,0.4790733,343.092,-0.09697644,0.01195733,-0.0325001,-0.4177835,1.251988,0.7397108,-0.02968714,-0.2587389,0.1298087,348.5071,330.9941,353.0341,
68.251,0.01005311,-0.03114149,0.005291395,-0.2297796,0.4945512,-0.06563078,-0.09303224,0.2304213,0.05885124,1.523868,359.1229,358.8293,-0.281978,-0.01342822,-0.1355226,0.1035734,0.9270698,-0.2062587,-0.2062949,-0.2687823,0.1319258,346.9286,359.4203,343.3153,-0.0878109,-0.03812748,-0.01242591,-0.2186595,0.9971485,0.3327023,-0.03074302,-0.2605768,0.1308185,348.7592,330.4981,353.3484,
82.288,0.03337764,-0.03408125,0.003782849,-0.2063679,0.4673602,-0.01861327,-0.09187818,0.2298249,0.05894542,1.628704,358.8044,358.7669,-0.2918481,-0.05375455,-0.1519924,0.07325798,1.110094,-0.3564766,-0.2091863,-0.2703556,0.1302534,347.3125,358.1251,343.5952,-0.1004073,-0.1138622,0.01827915,-0.1404281,0.8959421,-0.2087619,-0.03224391,-0.2638113,0.1328294,349.6223,329.7591,353.8188,
96.252,0.05768055,-0.03935799,0.003212903,-0.1429329,0.4215081,0.01945996,-0.09042048,0.2290206,0.05895829,1.609466,358.5484,358.7156,-0.3025228,-0.102661,-0.1689169,0.06941957,1.346829,-0.5413228,-0.2122393,-0.2731822,0.1265183,347.7646,356.4901,344.0247,-0.1270373,-0.1647738,0.03247365,-0.1127974,1.105378,-0.5832887,-0.03336846,-0.2661354,0.1336419,350.6161,328.4399,354.0552,
110.409,0.08061163,-0.05000366,0.00197423,-0.03310098,0.356532,0.04247809,-0.08889353,0.2278206,0.05887246,1.437172,358.3774,358.6669,-0.3084962,-0.1558484,-0.19208,0.1751541,1.542191,-0.7064123,-0.2148548,-0.276841,0.1238508,348.0376,354.6611,344.5578,-0.1321729,-0.2129398,0.03707271,0.1699751,1.090943,-0.8044782,-0.03420307,-0.2699077,0.1350365,351.276,327.2598,354.8986,
124.033,0.09807248,-0.06979811,-0.001407663,0.09888688,0.3082829,0.04094455,-0.0872854,0.2258807,0.05870366,1.12372,358.1958,358.6652,-0.3076617,-0.2210425,-0.2106792,0.2273788,1.731772,-0.8361279,-0.2171421,-0.281598,0.1207974,348.4365,352.717,345.1118,-0.1175455,-0.2361073,0.05701852,0.2393336,1.041028,-0.890515,-0.03416121,-0.2722164,0.1369492,351.9423,326.34,355.4433,
137.869,0.1104681,-0.1028583,-0.00545837,0.2220558,0.2828,0.008764635,-0.08558476,0.2230224,0.05854917,0.7715027,357.9828,358.761,-0.2994834,-0.2931411,-0.230327,0.2887116,1.902269,-0.9077069,-0.2191737,-0.2877018,0.1167728,348.8121,350.6922,345.6218,-0.07440154,-0.2358497,0.08670748,0.01822373,0.9485246,-0.6105999,-0.03321427,-0.2753222,0.1393998,352.1167,325.8756,355.0014,
151.781,0.1177888,-0.1488931,-0.00930188,0.3244182,0.2761101,-0.0230588,-0.08391821,0.2191554,0.05836916,0.3658886,357.7527,358.8544,-0.2927811,-0.3780106,-0.2419278,0.1661054,2.182595,-1.065159,-0.2208299,-0.2942131,0.114434,349.8108,348.3699,346.2059,-0.02987622,-0.2208331,0.1201051,-0.2130603,0.7686415,-0.3506989,-0.03239267,-0.2775211,0.1420805,352.2006,325.7824,354.3465,
165.571,0.1207182,-0.2002571,-0.01093553,0.3065099,0.2889452,-0.02903201,-0.08229578,0.2149622,0.05825853,0.2802381,357.4778,358.8855,-0.2935672,-0.4657898,-0.2529924,-0.01082397,2.466211,-1.475616,-0.2227553,-0.3014276,0.1106079,351.4178,345.7549,347.3657,0.01159197,-0.1986565,0.1454488,-0.3971662,0.6185688,-0.0200738,-0.0310464,-0.2799955,0.1445882,351.9284,325.8289,353.4938,
179.248,0.1192302,-0.2445699,-0.009487061,0.1916314,0.30138,-0.01490967,-0.08087301,0.2105342,0.05827475,0.3955579,357.2221,358.8534,-0.2997391,-0.5501488,-0.2725214,-0.208214,2.739093,-2.170292,-0.2247673,-0.308752,0.1071446,353.7926,342.9095,349.3427,0.02919006,-0.1925977,0.1683093,-0.5791543,0.5873723,0.08333477,-0.0306977,-0.2826154,0.1477905,351.9905,325.7242,352.5901,
193.256,0.1134968,-0.2761133,-0.004990103,-0.0314117,0.3047273,-0.009252217,-0.0796411,0.2067756,0.05835676,0.8957363,356.9927,358.8261,-0.2857154,-0.6228251,-0.2929567,-0.4993604,2.795622,-2.90773,-0.2262717,-0.3159181,0.1029946,356.9244,340.5992,351.7218,0.01935156,-0.197464,0.1857448,-0.5983034,0.6086031,-0.02433388,-0.03080528,-0.2851579,0.1508756,352.3745,325.3737,352.0764,
206.999,0.1028554,-0.2893608,0.002489708,-0.1867791,0.2953603,-0.02619145,-0.07870519,0.2031211,0.05865788,1.206441,356.7936,358.8655,-0.2455784,-0.6567883,-0.3258314,-0.6890298,2.744753,-3.231557,-0.2270097,-0.3227018,0.09822203,359.8636,338.786,353.6709,-0.009167803,-0.1965776,0.1944472,-0.4362607,0.6569782,-0.2439144,-0.03160636,-0.2867491,0.1541475,352.9604,324.7591,352.0932,
221.123,0.08717173,-0.2819746,0.01078373,-0.299121,0.2809452,-0.0322773,-0.07817578,0.2000629,0.05917072,1.622325,356.6023,358.8428,-0.1849619,-0.6461077,-0.348613,-0.8055753,2.356949,-3.078997,-0.2269579,-0.3283469,0.09353312,2.130975,337.9175,354.8795,-0.03469355,-0.1593276,0.2062254,-0.1068881,0.467809,-0.5190535,-0.03272511,-0.2856846,0.1575149,353.6384,324.4905,352.8408,
235.097,0.06771826,-0.2546114,0.02073115,-0.4598453,0.2767127,-0.01626343,-0.07800126,0.1982642,0.05985546,2.321922,356.3934,358.7571,-0.1088129,-0.5592147,-0.3470081,-0.5649209,1.574236,-2.331486,-0.2263415,-0.3321411,0.08921292,2.51614,338.0718,355.3415,-0.04778258,-0.03776612,0.2249187,0.2985711,-0.01572454,-0.6564991,-0.03414657,-0.2796255,0.1606805,354.024,325.0061,354.1548,
248.96,0.04239197,-0.1980092,0.035715,-0.5904509,0.2742534,0.0248005,-0.07814825,0.1980754,0.06068206,2.927712,356.1784,358.5634,-0.0527315,-0.4291904,-0.3248112,-0.2540339,0.9814544,-1.315674,-0.2258153,-0.3342557,0.08604398,1.743939,338.2342,355.0204,-0.04512222,0.23909,0.2165073,0.4908274,-0.3761851,-0.04159839,-0.03492257,-0.2671323,0.1619826,352.8531,325.7944,354.683,
263.07,0.01941175,-0.1367762,0.04952322,-0.576038,0.2332415,0.07962322,-0.07857323,0.1981526,0.06195617,3.238562,356.0843,358.3579,-0.03666037,-0.2921422,-0.2852367,-0.1022459,0.9610542,-0.44993,-0.2253544,-0.3343802,0.08417851,0.9088467,337.4453,354.2226,-0.06239442,0.5528359,0.1481448,0.5472334,-0.03094455,0.8791624,-0.03617689,-0.2524571,0.1614647,350.6036,325.3837,354.3216,
276.941,-0.004719499,-0.05948958,0.07375848,-0.5965239,0.1591241,0.1445552,-0.07921016,0.1996906,0.06402469,3.761097,356.0878,358.0736,-0.042728,-0.1779042,-0.2392724,-0.03865815,1.201708,-0.04268705,-0.2249702,-0.3331889,0.0833066,0.4995318,336.0135,353.6912,-0.0984696,0.8638241,0.01414084,1.121418,0.5963558,1.730842,-0.0378562,-0.2357928,0.1585909,347.326,323.8126,354.9162,
290.77,-0.02738713,0.02153733,0.09846411,-0.6433662,0.01984351,0.2039281,-0.08032691,0.2026842,0.0660255,4.316673,356.3479,357.7255,-0.05168784,-0.0160502,-0.1463224,-0.08271489,1.407558,-0.1076344,-0.2248878,-0.3278341,0.08480003,0.8698452,334.5331,353.6356,-0.1234496,1.108643,-0.1525739,2.245903,1.006843,2.400967,-0.03935843,-0.2190679,0.154109,343.2149,321.7864,357.475,
304.589,-0.05003155,0.1089903,0.1210521,-0.6278154,-0.1388349,0.2563048,-0.08175302,0.2068429,0.06819272,4.680217,356.6995,357.3799,-0.04561392,0.09884444,-0.08022133,-0.02689106,1.291646,-0.3893886,-0.2247276,-0.3222281,0.08586771,1.512466,333.7455,354.1947,-0.1289841,1.227553,-0.27037,3.116528,1.044064,2.573406,-0.04058261,-0.2034448,0.1505174,339.8046,320.0622,0.947706,
318.636,-0.07453377,0.1941457,0.1364132,-0.6016148,-0.2932957,0.2780724,-0.08365607,0.2116707,0.07030535,5.075393,357.1688,357.0627,-0.01686806,0.2477828,-0.01016357,0.1559998,0.828375,-0.5640794,-0.2240831,-0.3142003,0.08725427,1.797983,333.9119,355.0543,-0.1011331,1.240586,-0.2928373,3.231787,0.5665788,2.392172,-0.04108683,-0.1891667,0.1482628,337.6778,319.7343,3.654224,
332.647,-0.09814441,0.2663153,0.1472184,-0.559876,-0.3956291,0.2355117,-0.08563495,0.216961,0.07244682,5.408194,357.5799,356.9369,0.04057124,0.3990217,0.05338201,0.2636063,-0.004752104,-0.443954,-0.2227258,-0.3048633,0.08899899,1.489778,335.3304,355.5029,-0.04549285,1.191156,-0.2618851,2.902105,-0.1725286,2.180709,-0.04069651,-0.17649,0.1457786,336.2576,320.7663,5.44663,
346.444,-0.1207073,0.3219491,0.1528941,-0.4609986,-0.4337332,0.1207849,-0.08790624,0.2222935,0.07452559,5.559056,357.9647,357.0525,0.1172922,0.533308,0.1118303,0.3470517,-1.080224,-0.1538379,-0.2211642,-0.294907,0.09144065,0.6629889,338.0089,355.6022,0.007631253,1.114929,-0.2321031,2.405804,-0.5757689,2.0315,-0.03992015,-0.1654578,0.1433783,335.0208,321.933,6.431124,
360.597,-0.144198,0.3600552,0.1516336,-0.3442266,-0.420548,0.05209572,-0.0904808,0.2272956,0.07633853,5.620479,358.2474,357.0411,0.1861149,0.6526825,0.1628034,0.6181892,-1.983306,0.3043486,-0.2195982,-0.284871,0.09453609,359.0435,341.054,355.5968,0.07471606,0.9720751,-0.1870539,1.484343,-0.8524491,1.755885,-0.03814916,-0.1573794,0.1416844,334.602,323.6387,5.956451,
374.495,-0.1616607,0.3707466,0.1465993,-0.2604127,-0.3556962,0.05820057,-0.0930872,0.2320599,0.07810783,5.689102,358.3431,356.9023,0.2154492,0.7072507,0.1935275,0.7931606,-2.298729,0.5978715,-0.2180264,-0.2756205,0.09773259,357.5781,343.3661,355.5206,0.1211876,0.841013,-0.1555868,0.7322989,-0.902108,1.534552,-0.03627032,-0.1507075,0.1398803,334.3271,325.1579,5.126639,
388.259,-0.1769672,0.3597047,0.1377466,-0.1959545,-0.25814,0.06329657,-0.09575307,0.2359947,0.07967496,5.769224,358.3838,356.8456,0.2341257,0.7324836,0.2263508,0.9002247,-2.403429,0.8552619,-0.2161813,-0.2667991,0.1016424,356.0865,345.4431,355.239,0.1669819,0.6612171,-0.129205,-0.0716821,-0.7879165,1.260898,-0.03369331,-0.1479667,0.1379242,334.5557,326.6531,3.528288,
402.308,-0.1844527,0.3300512,0.1299927,-0.141099,-0.1767584,0.07242545,-0.09820783,0.2391342,0.08129358,5.782425,358.3763,356.7637,0.2465308,0.7208539,0.258643,0.8735673,-2.432883,0.9947056,-0.2143911,-0.2588181,0.1060245,354.8979,347.4548,354.8286,0.1872397,0.4089308,-0.1147863,-0.6270849,-0.5731663,0.7346969,-0.03131558,-0.1502223,0.1362355,335.4566,327.4053,2.170691,
416.189,-0.185273,0.2876782,0.1215318,-0.1300284,-0.1194893,0.1054522,-0.1006408,0.2415479,0.08277941,5.903298,358.3927,356.6013,0.2605847,0.6832076,0.2876771,0.7866202,-2.501153,1.048602,-0.2123476,-0.2517233,0.1107337,353.9623,349.6121,354.3854,0.1841502,0.1841065,-0.09601884,-0.8034315,-0.6235616,0.170589,-0.02938155,-0.1543052,0.1354031,336.7415,327.9261,1.758173,
429.962,-0.180694,0.2345023,0.115829,-0.139374,-0.09947117,0.1577681,-0.1028141,0.2430457,0.08430219,6.029719,358.4232,356.3563,0.2831355,0.6349106,0.3111508,0.7223395,-2.689945,1.118998,-0.2102761,-0.2454041,0.1156658,353.0346,352.1723,353.8783,0.1866478,-0.1423464,-0.05759904,-0.6496436,-1.373529,-0.5689192,-0.02750975,-0.1645546,0.1345612,338.9552,329.0683,2.943665,
444.022,-0.1713553,0.1712504,0.1113661,-0.1143991,-0.1251428,0.2115583,-0.1048174,0.2433001,0.08571792,6.027077,358.548,356.0877,0.3046378,0.5840069,0.3262914,0.6124978,-2.85712,1.280072,-0.2081286,-0.2394524,0.1206242,352.1987,354.936,353.0285,0.1994158,-0.4361173,-0.02740985,-0.3472263,-2.163595,-1.281715,-0.02507497,-0.1768953,0.1334443,341.4348,330.5075,4.974007,
457.986,-0.1582668,0.09628419,0.1084434,-0.03087451,-0.1750802,0.2357656,-0.1065677,0.242064,0.08717036,5.8308,358.7324,355.8671,0.3172339,0.5322918,0.3336793,0.4919531,-3.039769,1.272356,-0.2062196,-0.2339083,0.1255458,351.6237,357.8403,352.4197,0.2322819,-0.7171886,-0.01436176,-0.1500743,-2.643337,-1.942556,-0.0213718,-0.1922575,0.1320772,344.1744,331.9305,7.087106,
471.864,-0.1432861,0.008517508,0.1032953,0.09666622,-0.2355442,0.2305579,-0.1081491,0.2391221,0.08840942,5.486228,358.9858,355.7073,0.3219797,0.4800996,0.333522,0.3960371,-3.386163,0.9298173,-0.2050755,-0.2292128,0.1305128,351.2783,1.09505,352.7324,0.2910285,-0.9706028,-0.02118208,-0.2191546,-2.793668,-2.430547,-0.01612678,-0.2097735,0.1302798,347.0643,333.3283,8.695137,
485.704,-0.1273559,-0.1002023,0.09475295,0.1940214,-0.2895893,0.2062784,-0.1095341,0.2343105,0.08943963,5.195055,359.2395,355.5705,0.3117278,0.43025,0.3250916,0.3091833,-3.684494,0.5399454,-0.2043926,-0.2252115,0.1353897,350.9914,4.387316,353.4947,0.3686935,-1.178797,-0.04562772,-0.4954197,-2.709763,-2.611141,-0.009469179,-0.2289021,0.1279421,349.7875,334.7012,9.584228,
