time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.399,3.400492E-07,-0.001077577,0.001061305,-0.006433759,-0.00564983,-0.002304003,-0.1837332,0.04142171,-0.004960179,357.7331,2.911988,0.8195187,0.001623511,-0.000294484,-0.001360564,-0.005389122,-0.01024785,0.004352634,-0.2462186,-0.4648087,0.294847,12.08333,2.499687,324.5744,-0.02018509,0.02775031,-0.01757036,0.1037225,0.1147334,0.2780626,-0.09304102,-0.4485041,0.2769771,19.0052,351.5325,7.396013,
12.8,-0.0003291835,-0.001476688,0.001293742,-0.008624857,-0.00359242,-0.002265588,-0.1837522,0.04138517,-0.004946828,357.7424,2.912617,0.8226404,0.001737789,-0.000504651,-0.0015709,-0.002896596,-0.01283925,0.01004211,-0.2462084,-0.4648032,0.2948208,12.08208,2.505846,324.5658,-0.02005929,0.02643089,-0.01444287,0.104464,0.11627,0.2245504,-0.09315272,-0.4484344,0.2769822,18.88646,351.4258,7.375553,
26.349,-0.0006015726,-0.001772804,0.001387244,-0.01072275,-0.001467428,-0.001165452,-0.1837711,0.04135394,-0.004936725,357.7554,2.910615,0.8234248,0.001597558,-0.000717745,-0.001477119,-0.003325587,-0.01101182,0.01106704,-0.2462005,-0.4648,0.2947977,12.08152,2.510113,324.5562,-0.01660681,0.02091837,-0.01145368,0.07794901,0.08922884,0.1566578,-0.0931668,-0.4484583,0.2769944,18.91988,351.4657,7.418811,
40.283,-0.0008797903,-0.00181444,0.001508633,-0.01289848,0.002784845,-0.000218101,-0.183794,0.04133505,-0.004928291,357.7697,2.901657,0.8236872,0.001129606,-6.570428E-05,-0.00180219,0.004349167,-0.01619068,0.01010543,-0.2461952,-0.464801,0.294766,12.07831,2.513551,324.5437,-0.01238541,0.01410432,-0.00769408,0.0521847,0.06429096,0.09078092,-0.09315322,-0.4485203,0.2770456,18.97836,351.5248,7.47451,
53.842,-0.001115697,-0.001812802,0.001566075,-0.011919,0.004948454,-0.0004671484,-0.1838187,0.04131746,-0.004918069,357.778,2.894249,0.8246176,0.0006698191,-0.0001729416,-0.001316656,-0.001378376,-0.009562625,0.009280619,-0.2461957,-0.4647956,0.2947342,12.07759,2.514236,324.5331,-0.004320197,0.009237883,-0.0003801303,0.03875086,-0.003679515,0.02285284,-0.09314685,-0.4484526,0.2770455,19.01059,351.5905,7.499105,
67.793,-0.001342171,-0.001790731,0.001433787,-0.01407183,0.005941774,-0.0003515784,-0.1838486,0.04130262,-0.004904836,357.7928,2.887306,0.8259043,-8.780044E-05,0.0007776887,-0.001791649,0.006329653,-0.01233904,-0.004944622,-0.2462032,-0.4647884,0.2947128,12.0738,2.515461,324.5302,0.003177199,0.01086895,0.004281326,0.04868017,-0.06756593,0.03235496,-0.09308636,-0.4483206,0.2771187,18.96733,351.6488,7.455241,
81.894,-0.001490699,-0.001985206,0.001102173,-0.01728154,0.006899165,-0.0001395609,-0.1838787,0.0412783,-0.004900992,357.8106,2.879549,0.8272223,-0.001220753,-0.001219486,-0.0003383049,-0.01008864,0.02183163,0.007570049,-0.2462159,-0.4647788,0.2946973,12.07993,2.512311,324.5304,0.01128669,0.01183897,0.01050679,-0.001404471,-0.1543035,0.06580523,-0.09276394,-0.4479655,0.2775701,18.9665,351.7923,7.247057,
95.542,-0.001753693,-0.002179745,0.0008106608,-0.01954225,0.005629191,-0.001998917,-0.1839206,0.04125738,-0.004895836,357.829,2.87073,0.837599,-0.001071592,0.0008763435,-0.001566714,0.007874418,-0.007860757,-0.01233992,-0.2462399,-0.464771,0.2946745,12.07732,2.514378,324.5358,0.0204899,0.01283555,0.0167704,-0.006832019,-0.2349932,0.04405101,-0.09234531,-0.4477851,0.278054,18.9942,352.1108,7.045298,
109.998,-0.001838525,-0.00229532,0.0005223426,-0.01650219,0.006737941,-0.00341918,-0.1839664,0.04124635,-0.004890084,357.836,2.867562,0.8392885,-0.001787875,-0.0003086788,-0.001018179,-0.0002699263,0.008718842,-0.005147031,-0.2462627,-0.4647737,0.294673,12.08327,2.510906,324.5398,0.02883209,0.004174192,0.02443969,-0.07487933,-0.2976508,-0.08136473,-0.09214279,-0.4477664,0.2786296,19.27266,352.5263,7.132155,
123.591,-0.001922219,-0.002099209,0.0002881888,-0.01559077,0.005580726,-0.005564004,-0.1840095,0.04124171,-0.00488919,357.8467,2.863802,0.8482724,-0.001378743,-0.00100717,-0.0001219112,-0.01063386,0.01389077,0.008153331,-0.2462878,-0.4647733,0.2946639,12.09087,2.507177,324.541,0.03369632,-0.0005224044,0.02539217,-0.04246823,-0.2800451,-0.1767533,-0.09190439,-0.4478927,0.2788198,19.35811,352.8861,7.36527,
