time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.45,-0.006341419,0.007558369,-0.01408888,0.05857844,-0.008890887,-0.004407218,0.01473694,0.3203216,0.2922177,1.03222,3.028914,0.8735678,-0.002542778,-0.01498966,-0.0115554,-0.05141497,0.001861068,-0.005226509,-0.1956689,-0.4500681,0.3057417,48.85734,327.4997,275.283,-0.01990053,0.02024938,-0.01997887,0.2149899,-0.04504493,0.1774222,0.190525,-0.3970118,0.3897535,55.96028,24.58169,26.12806,
13.039,-0.006361444,0.008338807,-0.01384528,0.06499167,-0.01776912,0.004286361,0.01465145,0.3204859,0.2920306,0.9696272,3.052403,0.8431628,-0.001659118,-0.01337408,-0.0104665,-0.08792099,-0.01915491,-0.03373659,-0.1956741,-0.4501909,0.305507,48.84179,327.581,275.234,-0.01249638,0.01344338,-0.02638493,0.05391007,-1.223665E-05,0.07029514,0.190176,-0.3969503,0.3897674,56.06565,25.11502,26.6781,
26.265,-0.006368908,0.008827506,-0.0133651,0.07237468,-0.02338489,0.01302084,0.01456733,0.3206479,0.2918562,0.9034347,3.081763,0.8113118,-0.001101525,-0.01240177,-0.009316687,-0.12369,-0.0294289,-0.05731079,-0.1957056,-0.4503012,0.3052624,48.82217,327.7107,275.1796,-0.02102146,0.006061748,-0.03340053,-0.01603008,-0.114844,0.1389874,0.1898738,-0.3967789,0.3888581,56.36441,24.66999,26.25358,
40.443,-0.006436555,0.008936953,-0.01281653,0.0764292,-0.02692271,0.02107893,0.01448345,0.3207738,0.2916937,0.8471618,3.108976,0.7739746,-0.001289966,-0.01131578,-0.008448467,-0.1420554,-0.03912348,-0.07864401,-0.1958076,-0.4504472,0.3050984,48.79192,327.8622,275.1421,-0.03114222,0.002071306,-0.03676655,-0.05669549,-0.1288691,0.2347569,0.1894061,-0.3966949,0.388238,56.61922,24.15747,25.93523,
54.373,-0.006518393,0.008678861,-0.0123656,0.07566597,-0.02711512,0.02438906,0.01439984,0.3208804,0.2915353,0.7984618,3.118549,0.7491555,-0.004614341,-0.01260377,-0.008601634,-0.1298556,-0.03360577,-0.04672616,-0.1958727,-0.4505741,0.3050494,48.79201,327.8698,275.0727,-0.03726596,-0.001959602,-0.03563101,-0.08446608,-0.08059508,0.2839115,0.1890133,-0.397086,0.388179,56.77617,23.76267,25.82883,
68.027,-0.006763763,0.007700736,-0.01185348,0.07274666,-0.02946889,0.02672466,0.01430759,0.3209637,0.2913852,0.7508385,3.147089,0.7155139,-0.00572452,-0.01233887,-0.008554858,-0.1263844,-0.03543056,-0.06232616,-0.1959185,-0.4502227,0.3045742,48.76873,327.9912,275.0601,-0.03994775,-0.003492122,-0.0332546,-0.06933661,0.02274697,0.3146744,0.1885793,-0.3966877,0.3872699,56.75623,23.41006,25.84022,
82.139,-0.007139497,0.006340119,-0.01155812,0.06238424,-0.02991592,0.02984618,0.01420814,0.3210332,0.2912325,0.7208389,3.174878,0.6847916,-0.007526543,-0.01260272,-0.0104175,-0.1127808,-0.02198732,-0.06144067,-0.1961772,-0.4506722,0.3046068,48.77365,328.0603,275.0457,-0.03979965,-0.009874617,-0.03478891,-0.1086978,0.05896438,0.3130427,0.1882398,-0.3976046,0.3872127,56.86376,23.19617,25.93082,
96.177,-0.007585956,0.00470426,-0.01119126,0.04962799,-0.03135504,0.02995594,0.01410341,0.3210698,0.2910865,0.7126245,3.202158,0.6596373,-0.01146504,-0.01556825,-0.01297043,-0.093474,-0.006206588,-0.007506816,-0.1962596,-0.4506852,0.304418,48.80243,328.0029,274.9597,-0.03616469,-0.01763096,-0.03689555,-0.1699833,0.03685253,0.2601958,0.1879727,-0.3977498,0.3868064,57.07763,23.19596,26.08387,
110.26,-0.007837701,0.003375575,-0.01090368,0.03910798,-0.02959797,0.03212037,0.01401478,0.3210684,0.2909317,0.6993984,3.220741,0.6283395,-0.01109165,-0.01465037,-0.0148831,-0.08004802,0.005232187,-0.03570005,-0.1964644,-0.4507721,0.3041421,48.8121,328.1061,274.9867,-0.0281464,-0.01577921,-0.03116427,-0.09101811,-0.04398863,0.131911,0.1878789,-0.3974247,0.3865507,57.08956,23.26675,25.92194,
124,-0.008143,0.002462653,-0.01033732,0.03127263,-0.0285636,0.02863688,0.01391879,0.3210662,0.2907933,0.6834382,3.239865,0.6146892,-0.01487927,-0.01787605,-0.01808225,-0.04845079,0.0284362,0.03964712,-0.1965711,-0.4508423,0.3038958,48.86814,327.9899,274.8863,-0.01642865,-0.01235042,-0.01882513,0.02697486,-0.2403517,-0.06257918,0.1879938,-0.3972411,0.3865613,57.13734,23.37898,25.32697,
