time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.452,0.03629811,0.001030614,0.00853661,0.02153024,0.01325841,0.02404716,-0.02605462,0.1748203,0.05117774,4.558454,359.0224,2.715372,-0.005257132,0.03341878,0.06302138,0.1361014,0.1223373,0.1187523,-0.2338858,-0.6411382,0.2353376,40.38512,343.5766,346.5134,-0.006624173,0.03326637,0.0639701,0.2796538,-0.09613993,0.1289756,0.1364544,-0.6706166,0.2447987,55.40957,3.48951,9.858526,
12.948,0.03510686,0.0004314835,0.008362418,0.01094011,0.01247291,0.02235285,-0.02557939,0.1748248,0.05126941,4.574406,359.01,2.70611,-0.00388399,0.03323217,0.06156677,0.1386035,0.1553185,0.1034344,-0.2338379,-0.6407325,0.2361309,40.33169,343.505,346.675,-0.00977658,0.0276652,0.06679708,0.1939108,-0.1702359,0.07924777,0.1363185,-0.6702184,0.2460233,55.45154,3.349883,9.488819,
26.667,0.03385851,-3.341421E-05,0.008080618,0.002862017,0.01337695,0.01240543,-0.02512431,0.1748208,0.05137551,4.575672,358.9969,2.706386,-0.002569869,0.0344104,0.06102325,0.1535306,0.1769628,0.09722838,-0.2337191,-0.6402858,0.2368615,40.24082,343.4335,346.8455,-0.007565086,0.03193822,0.078234,0.235199,-0.2325392,-0.010744,0.1362317,-0.6694333,0.247281,55.24942,3.434072,9.192846,
40.394,0.0325222,3.65657E-05,0.00799647,0.002938138,0.01798833,0.004577553,-0.02468884,0.1749009,0.05145168,4.574265,358.9768,2.716171,-0.0007485682,0.03419038,0.06068053,0.1444302,0.1773343,0.1087497,-0.2335004,-0.6400691,0.2379575,40.16768,343.3055,346.9264,-0.004094251,0.04407602,0.0950024,0.3331172,-0.3987597,-0.1006551,0.1362696,-0.6684567,0.2491505,54.9086,3.443921,8.506076,
54.405,0.03092969,0.0006652394,0.008171801,0.01127769,0.02385317,0.0006047103,-0.02425015,0.1749829,0.05155003,4.552548,358.9432,2.724578,0.005354675,0.03224562,0.06189933,0.1078226,0.1773244,0.09405284,-0.2330522,-0.6394523,0.2385859,40.17575,343.2133,347.0031,-0.0001594406,0.0611635,0.1175959,0.4842181,-0.6245359,-0.1980753,0.1363596,-0.6669848,0.2506669,54.3642,3.456914,7.498283,
68.317,0.02924889,0.002075849,0.008418433,0.02635539,0.0259356,-0.002647339,-0.02385837,0.1750875,0.05164671,4.498748,358.9253,2.738551,0.01662324,0.0363741,0.06552002,0.1298083,0.1373347,0.04483442,-0.2325289,-0.6390612,0.2398646,40.0879,343.3092,347.1646,-0.01133502,0.07021853,0.1270995,0.4611528,-0.8695936,-0.1063263,0.1359699,-0.6665069,0.2523729,54.11617,2.756589,5.87045,
82.078,0.02765587,0.004573541,0.008387311,0.04421426,0.03248051,-0.004976332,-0.02351016,0.1751807,0.0517652,4.423088,358.8948,2.753705,0.02851499,0.0432095,0.07278737,0.135973,0.03928178,-0.0009258126,-0.2318748,-0.6382369,0.2409488,39.96819,343.4843,347.2135,-0.03853137,0.07017408,0.1211884,0.2849395,-1.050588,0.2139521,0.1359,-0.6651094,0.2534666,54.19797,0.9464298,3.557358,
96.03,0.02621777,0.00650323,0.008226594,0.05594277,0.03935971,-0.01295895,-0.02319598,0.175255,0.05189693,4.342409,358.8599,2.787287,0.03934339,0.05671068,0.08427662,0.1969967,-0.1326047,-0.01399198,-0.2310943,-0.6372005,0.2421615,39.61369,343.7188,347.1088,-0.04197981,0.05859972,0.1125767,0.06852646,-0.8074985,0.251908,0.1353782,-0.6650952,0.2554621,54.5348,0.370244,3.000078,
110.248,0.02491495,0.00837988,0.007898762,0.0648363,0.05194479,-0.01788295,-0.02284807,0.1754486,0.05196416,4.289756,358.802,2.812378,0.04549281,0.06346932,0.09822522,0.1909566,-0.1891286,-0.06933232,-0.2306594,-0.6365405,0.2443465,39.4543,344.0193,347.1423,-0.03605761,0.05765478,0.112189,0.01943822,-0.6041285,0.2851479,0.1357109,-0.663681,0.2569909,54.58171,359.7894,2.492833,
123.747,0.02361647,0.009792224,0.007598948,0.07118206,0.06289688,-0.01457973,-0.02252489,0.1756344,0.05202836,4.233874,358.7386,2.820898,0.04274811,0.07053798,0.111035,0.2102497,-0.1925159,-0.05260224,-0.2302691,-0.6354962,0.245964,39.21619,344.1577,347.1638,-0.02620781,0.05224885,0.1173803,-0.04018261,-0.3362277,0.2248937,0.1354706,-0.6627241,0.2589317,54.69532,359.7767,2.702024,
137.766,0.02234099,0.01046496,0.007131222,0.07655276,0.07130081,-0.00970922,-0.02229732,0.1757047,0.05214989,4.141807,358.6816,2.823517,0.03734359,0.07642403,0.1252555,0.212848,-0.1865392,-0.01670054,-0.2299,-0.63433,0.2478087,38.98556,344.201,347.1291,-0.01534509,0.05037148,0.1326315,-0.0556106,-0.01278679,0.170632,0.1354733,-0.6625448,0.2618905,54.7585,0.0348466,3.478807,
151.709,0.02097838,0.01049333,0.00628509,0.07089438,0.07893045,-9.789134E-05,-0.02206063,0.1757832,0.05222875,4.095397,358.6077,2.815228,0.03268762,0.08533198,0.1440785,0.2419666,-0.1945654,0.002422546,-0.229551,-0.6332244,0.2505057,38.69733,344.2873,347.1225,0.002099894,0.06377444,0.162767,0.08402383,0.277631,0.07325804,0.1356388,-0.6604189,0.2646518,54.43559,0.6741863,4.653651,
165.503,0.01975868,0.009851217,0.004855404,0.05805336,0.08353848,0.02374337,-0.02182591,0.1759178,0.05222172,4.079896,358.5253,2.751173,0.03103441,0.09488997,0.1675828,0.251241,-0.2317912,-0.02588113,-0.2293518,-0.6317744,0.2534288,38.44586,344.5168,347.1369,0.004789483,0.08118792,0.1883823,0.205029,0.3309234,0.1302804,0.1358698,-0.659036,0.2678385,54.03249,0.5648979,4.94082,
179.568,0.01863003,0.009352476,0.00320503,0.05205156,0.07961342,0.05183768,-0.02159631,0.1760675,0.05221605,4.026745,358.4667,2.668949,0.02558106,0.1112894,0.194654,0.3164049,-0.3240647,-0.04116691,-0.2294829,-0.630063,0.2567686,37.99667,344.8471,347.115,0.008663308,0.09735861,0.2104135,0.3018045,0.3242241,0.1799421,0.1363319,-0.6573638,0.2710299,53.58326,0.3352945,5.027109,
193.522,0.01812225,0.009613149,0.001342898,0.05760378,0.06901029,0.06129596,-0.02128911,0.1763003,0.05213284,3.970844,358.4098,2.620328,0.009616449,0.1296192,0.2248364,0.3724083,-0.3945086,0.006531408,-0.2300677,-0.6280708,0.2605977,37.46724,345.0148,346.9673,0.01866139,0.1095126,0.2354825,0.3150869,0.3438353,0.23836,0.1372063,-0.6559074,0.2749777,53.25962,0.02893416,5.126181,
207.515,0.01802365,0.01038013,-0.0007346366,0.06711863,0.05934972,0.06032033,-0.02105296,0.1764344,0.05204988,3.893113,358.3837,2.591055,-0.02318355,0.1503731,0.2593584,0.4435757,-0.3038053,0.0721962,-0.2315437,-0.62573,0.2650867,36.95187,345.0034,347.0249,0.03587816,0.1188667,0.2584396,0.3089412,0.4487749,0.2526445,0.1383775,-0.6540167,0.2791679,52.97179,359.938,5.604819,
221.173,0.01777842,0.009881361,-0.003288451,0.08117262,0.04812814,0.05831937,-0.02085537,0.1764216,0.05198109,3.784757,358.3727,2.556937,-0.05954192,0.1658783,0.2836929,0.5085344,-0.05985049,0.1097582,-0.2334743,-0.6231794,0.26948,36.56439,344.8505,347.4315,0.05965461,0.1301978,0.2823248,0.3395978,0.5556744,0.2078762,0.1399868,-0.6519563,0.2836359,52.59348,0.1049779,6.33103,
235.304,0.01693784,0.008567221,-0.005777629,0.07941601,0.03705074,0.0512042,-0.02060831,0.1766072,0.05189431,3.770919,358.3467,2.531852,-0.1069213,0.1899367,0.3128867,0.6190134,0.1913735,0.1403488,-0.236301,-0.6201447,0.2743968,36.09313,344.6477,348.0836,0.1013482,0.1536305,0.3175665,0.4556546,0.6712305,0.1172163,0.1425681,-0.6491464,0.2886794,51.96756,0.5475522,7.31427,
249.318,0.01593717,0.006944135,-0.007831874,0.07771052,0.03129043,0.03825092,-0.02040446,0.1766661,0.05172586,3.679783,358.3468,2.540465,-0.157626,0.2222367,0.3414011,0.7027475,0.2398028,0.2484831,-0.2396387,-0.616505,0.2795806,35.42628,344.3212,348.3495,0.1405802,0.1728812,0.3433363,0.5402861,0.6892646,-0.002887174,0.1454848,-0.6465172,0.29377,51.33359,1.118917,8.204438,
262.888,0.0148129,0.005438437,-0.009990208,0.06606896,0.02986817,0.01033224,-0.02021968,0.1767044,0.05152631,3.674138,358.3182,2.591887,-0.2104738,0.2614975,0.3643696,0.7599186,0.15119,0.3917046,-0.2437514,-0.6121392,0.2848605,34.59896,343.9308,348.2649,0.1900308,0.1889528,0.3664999,0.5190639,0.6283198,-0.1415647,0.1492927,-0.6435232,0.2992704,50.92206,1.830613,9.007917,
276.993,0.01293435,0.0047065,-0.01118258,0.05262164,0.01991504,-0.01259825,-0.02010965,0.1767391,0.05135339,3.647862,358.3277,2.631904,-0.2586989,0.3034924,0.3816806,0.8312193,0.03353764,0.5113208,-0.2484506,-0.607205,0.2902212,33.62518,343.5836,348.088,0.239302,0.2105466,0.3876874,0.5113075,0.5938818,-0.2082054,0.1538774,-0.6399553,0.3050005,50.49316,2.412063,9.731274,
290.621,0.01114945,0.004609661,-0.01092436,0.05523606,0.008141213,-0.01958605,-0.02002299,0.1767899,0.0512265,3.572483,358.3631,2.645145,-0.3196504,0.3586018,0.3958273,0.9733372,-0.0354201,0.5940116,-0.254527,-0.6013697,0.2954632,32.43538,343.3186,348.076,0.2901148,0.2505974,0.4120067,0.6491694,0.6825302,-0.2109747,0.1591975,-0.6353747,0.3108978,49.64625,2.887392,10.62044,
304.476,0.009356856,0.006646263,-0.009437254,0.06458168,-0.001932379,-0.01824188,-0.01996267,0.1769387,0.05114329,3.503963,358.3832,2.656277,-0.3909614,0.4099554,0.400327,1.152977,0.0723941,0.6571573,-0.2617972,-0.5953445,0.3005793,31.18003,342.9362,348.4301,0.3464627,0.2973495,0.4351546,0.8419214,0.7461175,-0.2200925,0.1655463,-0.6304789,0.3168302,48.52242,3.331092,11.44554,
318.538,0.007423335,0.009687682,-0.007214943,0.08694749,-0.00906935,-0.02091931,-0.01993144,0.1771642,0.05110782,3.401594,358.3992,2.685457,-0.4654782,0.4450444,0.3961007,1.232949,0.2365614,0.7068729,-0.2698778,-0.589386,0.3054299,30.07357,342.3927,348.8499,0.4126137,0.3366555,0.4512256,0.9778016,0.6922897,-0.2984757,0.1730006,-0.625425,0.3227929,47.43081,3.943085,12.1199,
332.39,0.005808634,0.01303281,-0.005244953,0.1079306,-0.001860693,-0.03455902,-0.01991612,0.1774481,0.05109215,3.301211,358.3842,2.754163,-0.5337319,0.4673832,0.386031,1.197173,0.2603511,0.7743488,-0.2786888,-0.583308,0.310167,29.06583,341.831,348.9554,0.4868431,0.3671688,0.4573453,1.057259,0.5277364,-0.4333534,0.1815411,-0.6201857,0.328546,46.4328,4.759054,12.60329,
346.328,0.004312395,0.013996,-0.004149226,0.1124552,0.005377943,-0.04511572,-0.0199284,0.17768,0.05106503,3.224722,358.3841,2.806494,-0.5999213,0.4872754,0.3695739,1.125575,0.1595761,0.8960162,-0.2883476,-0.5769082,0.3143921,27.9782,341.2482,348.6881,0.5641371,0.39018,0.4521347,1.097165,0.3187707,-0.5862968,0.1909957,-0.6148344,0.3339383,45.50871,5.733016,12.95671,
360.177,0.00312026,0.01316133,-0.004105071,0.08290386,0.001826956,-0.04872856,-0.01995164,0.1778514,0.05100799,3.247655,358.3902,2.846548,-0.6710723,0.5021294,0.344547,1.056325,0.1129632,1.036031,-0.2991942,-0.5706285,0.3180963,26.86191,340.5362,348.3344,0.6402757,0.4018967,0.4359286,1.0438,0.1516002,-0.712868,0.2014567,-0.6095895,0.3389533,44.78699,6.762368,13.31884,
374.269,0.002975689,0.01019385,-0.004459499,0.03869008,-0.005269325,-0.05384256,-0.01990157,0.1779377,0.05091429,3.302127,358.4154,2.894082,-0.7469065,0.5063277,0.312814,0.9237798,0.1290919,1.187238,-0.310895,-0.5645277,0.3213844,25.8644,339.5973,347.8232,0.7152725,0.4103041,0.411909,0.9607979,0.1596987,-0.8384944,0.2127514,-0.6041631,0.3435058,44.09006,7.92051,14.08755,
388.247,0.002979874,0.007935278,-0.0044676,-0.0002851495,-0.01016548,-0.07329644,-0.01984417,0.1780078,0.05083251,3.33776,358.4542,2.992117,-0.822719,0.5048937,0.2788449,0.7508149,0.1681035,1.355733,-0.3235423,-0.5584928,0.3243593,24.93927,338.4675,347.1126,0.7893669,0.4204342,0.385051,0.8872475,0.3337797,-0.9683887,0.2249881,-0.5985498,0.3476757,43.28725,9.183575,15.34273,
402.073,0.001822049,0.00780317,-0.004495368,-0.030098,-0.01073672,-0.07650088,-0.01984632,0.178121,0.0507468,3.424407,358.4459,3.041717,-0.9023592,0.5018147,0.238843,0.5896807,0.3297624,1.515366,-0.3370729,-0.552332,0.3266447,24.09485,337.0175,346.4017,0.8680724,0.4318203,0.3558773,0.8083822,0.5583739,-1.153433,0.2383437,-0.5928153,0.3513906,42.39172,10.6863,17.02709,
416.277,0.0003849085,0.007629781,-0.003063591,-0.02941964,-0.01339451,-0.05526711,-0.01989365,0.1782093,0.05071884,3.414519,358.4669,3.02521,-0.9782676,0.4996833,0.1922063,0.5328391,0.5985618,1.568911,-0.3514225,-0.5461966,0.328205,23.32373,335.4561,346.0628,0.9556208,0.444873,0.3242847,0.7491612,0.6155396,-1.414607,0.252903,-0.5867971,0.354811,41.45054,12.57101,18.74079,
429.987,-0.0004078522,0.008069001,-0.001889838,-0.0279471,-0.03027238,-0.04019445,-0.01993346,0.1783234,0.05070543,3.42156,358.5367,3.035371,-1.036845,0.4975387,0.1472007,0.5033365,0.841761,1.605237,-0.3659244,-0.5402492,0.3292114,22.55484,333.8081,345.8437,1.05162,0.4612001,0.2903767,0.7386504,0.3914215,-1.708443,0.2687682,-0.5804778,0.3577095,40.51645,14.82206,20.04143,
443.823,-0.001311101,0.007560941,0.000206608,-0.01605373,-0.06543817,-0.02485104,-0.01996607,0.1784405,0.0507673,3.435782,358.6545,3.024651,-1.08465,0.4914326,0.09908895,0.4234183,1.032817,1.631829,-0.380659,-0.5343848,0.3295826,21.88626,332.0617,345.557,1.146324,0.4776123,0.2486892,0.7430908,-0.08561271,-1.943185,0.2856115,-0.5738598,0.359942,39.75805,17.2562,20.66758,
457.913,-0.002350616,0.00890879,0.001832368,-0.03368687,-0.09693091,-0.02170148,-0.02001309,0.17863,0.05083585,3.50666,358.7809,3.036593,-1.12933,0.4827454,0.037936,0.3312158,1.141068,1.640522,-0.3962267,-0.5286057,0.3289174,21.2479,330.3724,345.2186,1.224682,0.4963677,0.2000309,0.7815039,-0.5789016,-2.027264,0.3031059,-0.5669398,0.3612604,39.07804,19.46697,20.6754,
471.452,-0.004217164,0.01090329,0.003299781,-0.033781,-0.1173777,-0.02232501,-0.02013403,0.1788306,0.05090851,3.523728,358.9033,3.052068,-1.157445,0.476474,-0.01288217,0.210124,1.213921,1.704488,-0.4115171,-0.5229614,0.3277606,20.54089,328.5749,344.6947,1.278511,0.5166295,0.1510827,0.7788393,-0.8069544,-2.060231,0.3206472,-0.5597835,0.3618813,38.33376,21.5051,20.81499,
485.277,-0.006423463,0.01241771,0.005624582,-0.02239522,-0.1347278,-0.03692655,-0.02030945,0.1790234,0.05103087,3.517254,359.0464,3.107398,-1.189696,0.4645569,-0.08662084,0.1091043,1.383352,1.753709,-0.42734,-0.517493,0.3252451,19.90981,326.5322,344.2346,1.337496,0.5442058,0.0824458,0.7638209,-0.8929123,-2.115742,0.3392244,-0.552213,0.3612627,37.45667,23.54606,21.10524,
499.392,-0.008874791,0.01284917,0.008350416,-0.008368332,-0.1553838,-0.04018671,-0.02051443,0.1792079,0.05120897,3.51903,359.2079,3.12237,-1.204602,0.4512341,-0.1446982,0.05737092,1.534702,1.718674,-0.4427446,-0.5122914,0.3224037,19.38554,324.5494,343.9714,1.375728,0.5604305,0.02735916,0.6757828,-0.9038198,-2.187235,0.3576123,-0.5448091,0.3603097,36.59271,25.66165,21.62803,
513.297,-0.01104022,0.01383419,0.01072982,-0.01457126,-0.1783889,-0.04276302,-0.02079976,0.1795117,0.05151641,3.569061,359.3942,3.147274,-1.21103,0.4345371,-0.2121938,0.02433658,1.679055,1.665318,-0.4581413,-0.507241,0.3185074,18.94287,322.538,343.8096,1.416044,0.5755655,-0.04007345,0.5377802,-0.9193487,-2.287655,0.3766571,-0.5371333,0.3581641,35.75458,27.95364,22.31248,
527.333,-0.01363907,0.01537849,0.0135885,-0.009213461,-0.2113881,-0.04184302,-0.02100849,0.1798923,0.05180305,3.580457,359.6145,3.160918,-1.208403,0.4177634,-0.2819377,-0.007308602,1.812843,1.637448,-0.4731848,-0.5024431,0.3135453,18.49003,320.4486,343.6754,1.450503,0.5920964,-0.1166227,0.3980949,-0.9508345,-2.340589,0.3961658,-0.5289026,0.3549536,34.97825,30.21519,22.96337,
541.21,-0.01635576,0.0175859,0.0174821,0.01477206,-0.2468786,-0.02322639,-0.02129024,0.1801969,0.05218029,3.520289,359.864,3.118109,-1.191429,0.3952433,-0.362356,-0.1152479,1.90631,1.579412,-0.4876894,-0.4978685,0.3074694,18.17379,318.3425,343.3856,1.475058,0.6162559,-0.1845287,0.330643,-0.9580593,-2.411154,0.4155554,-0.5203816,0.3508671,34.00109,32.43837,23.51891,
555.313,-0.0186144,0.02061554,0.02217389,0.0437764,-0.2821819,-0.03391023,-0.0216105,0.1806525,0.05262119,3.462862,0.1622979,3.174089,-1.163959,0.3802481,-0.4171472,-0.2202049,1.84895,1.513762,-0.5014833,-0.4934005,0.3012565,17.78149,316.5081,343.0042,1.485791,0.6346631,-0.2422239,0.2714233,-0.9380682,-2.399378,0.4346936,-0.5119808,0.3463892,33.04231,34.43513,23.97058,
569.298,-0.02098934,0.02386562,0.0276467,0.08326967,-0.3093766,-0.06366495,-0.02197254,0.1810301,0.05317575,3.337953,0.4709025,3.273865,-1.121236,0.3667679,-0.4712798,-0.3908622,1.670309,1.431686,-0.5146686,-0.4889534,0.2942369,17.35113,314.9594,342.3421,1.494447,0.6477674,-0.3157971,0.1139771,-0.8896598,-2.343822,0.4544116,-0.5034149,0.3405663,32.23174,36.37654,24.61944,
583.024,-0.02338314,0.0274841,0.03231403,0.107638,-0.3292984,-0.09616115,-0.02239919,0.1815355,0.05379587,3.222181,0.7797543,3.38184,-1.084958,0.3601185,-0.5170125,-0.4737539,1.548382,1.397999,-0.5275651,-0.4846017,0.2866631,16.8063,313.4396,341.7757,1.501676,0.6566079,-0.3751141,-0.116,-0.8507587,-2.351884,0.4737747,-0.4947901,0.3344721,31.41346,38.54134,25.5841,
597.191,-0.0265183,0.02936697,0.0373791,0.1218589,-0.3382509,-0.1619765,-0.02287972,0.1818568,0.05444306,3.124766,1.095506,3.630112,-1.050508,0.3477995,-0.5742493,-0.4205616,1.551806,1.345604,-0.5402771,-0.4806105,0.2779448,16.37688,311.8539,341.5719,1.51053,0.6719717,-0.4443785,-0.4065255,-0.8122225,-2.418088,0.4932119,-0.4856249,0.3273007,30.49713,40.95304,26.91598,
611.051,-0.03013987,0.02821178,0.04160682,0.115325,-0.3371128,-0.2092043,-0.02336943,0.1821454,0.05513012,3.066157,1.372844,3.831939,-1.023316,0.3312217,-0.636974,-0.3312271,1.678786,1.331609,-0.5526724,-0.4769991,0.268526,16.02353,310.0058,341.5669,1.515153,0.6924323,-0.5130776,-0.5734566,-0.8790381,-2.468624,0.5126049,-0.4759807,0.3193078,29.56799,43.41447,27.99368,
