time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.454,-0.01907996,0.01317659,0.01174094,-0.01949986,0.01264544,0.02057721,-0.6579684,0.3065298,-0.5131384,12.2912,351.1662,359.3482,-0.06915651,0.06162846,-0.02685395,-0.01622191,0.2606551,0.3967507,-0.8369358,-0.3002011,-0.6250185,18.45004,342.7602,15.30488,-0.1096339,0.039211,-0.1153967,-0.03458574,0.5762202,0.5288664,-0.6036214,-0.3006683,-0.4674092,24.10508,312.2475,346.1665,
13.331,-0.01196738,0.01902276,0.01446007,0.004778779,0.006064657,0.01383003,-0.6578609,0.3070614,-0.5128542,12.26557,351.1714,359.3576,-0.04890703,0.02188087,0.0002141334,-0.2787679,-0.04786155,0.3349878,-0.8370313,-0.3005065,-0.6239963,18.96597,342.764,14.5515,-0.09482472,0.01802358,-0.1146482,0.103092,0.6404635,0.3841505,-0.604012,-0.3005679,-0.4684517,24.34346,311.9065,346.634,
26.223,-0.003701508,0.02604854,0.0171812,0.04342229,-0.008687559,0.009620976,-0.657581,0.3076676,-0.5125536,12.13818,351.2239,359.3966,-0.02666899,-0.01100308,0.02986504,-0.437391,-0.3684176,0.2406599,-0.837217,-0.3011009,-0.622669,19.5567,343.0953,13.84694,-0.05036278,0.01825206,-0.09726852,0.2128475,0.4118546,0.3246204,-0.6029773,-0.3001592,-0.4693674,24.18242,312.1065,347.0349,
39.869,0.008373773,0.03324319,0.01898596,0.1030587,-0.02063604,0.01077665,-0.6570224,0.3082309,-0.5122477,11.93805,351.2726,359.4329,-0.01832282,-0.03487508,0.05519171,-0.6891193,-0.6610874,0.3416406,-0.8375571,-0.3015392,-0.6207733,20.16503,343.185,12.51962,-0.0046166,0.03334086,-0.07526872,0.2794863,0.1191261,0.272049,-0.6018291,-0.299037,-0.4701638,23.88892,312.5833,347.3511,
54.01,0.02406972,0.03991181,0.02021076,0.1419915,-0.04499648,0.007033432,-0.6561236,0.3089122,-0.511937,11.78957,351.362,359.4661,-0.02282901,-0.04932053,0.08036353,-0.9332672,-0.8892944,0.4955933,-0.8381038,-0.3018161,-0.619118,20.759,343.1311,10.87468,0.04380766,0.06098224,-0.05669493,0.1969269,-0.2267975,0.2463386,-0.5997364,-0.2978655,-0.4711201,23.4064,313.1733,347.2783,
67.819,0.04013165,0.04508937,0.02117896,0.158049,-0.08830032,0.007057723,-0.6549741,0.3096974,-0.5116038,11.63893,351.5271,359.4661,-0.03553015,-0.05282849,0.1049924,-1.1353,-1.033107,0.6419824,-0.838966,-0.3019104,-0.6162205,21.33279,342.9585,9.086555,0.09297291,0.07035706,-0.04387521,-0.05300768,-0.4682173,0.05160221,-0.5976255,-0.2972175,-0.4713909,23.32083,313.6915,346.6616,
81.715,0.06058934,0.05111086,0.02370242,0.1862283,-0.163409,0.02533545,-0.6533619,0.3107009,-0.511146,11.41969,351.7759,359.402,-0.04553279,-0.03822775,0.140575,-1.086765,-1.031804,0.576739,-0.8399476,-0.3008983,-0.6129721,21.76921,343.0273,7.979216,0.147246,0.067791,-0.0308837,-0.2390969,-0.6709606,-0.2112782,-0.5940351,-0.2959192,-0.4719739,23.50113,314.4197,345.9822,
95.809,0.08596977,0.05990926,0.02875908,0.2405539,-0.2847491,0.05046823,-0.6513717,0.3118381,-0.5105228,11.08326,352.1977,359.3142,-0.0411765,0.02040984,0.1873585,-0.5454584,-0.8959985,0.3763177,-0.8404524,-0.2985488,-0.6097453,21.46736,343.6348,8.070229,0.2051172,0.07158632,-0.02004397,-0.3410753,-0.9093113,-0.3564334,-0.5900481,-0.2950963,-0.4728933,23.5154,315.3959,345.3772,
109.965,0.1111162,0.06810194,0.03430312,0.3150603,-0.4285294,0.06680174,-0.6489154,0.3130121,-0.5098601,10.6647,352.7715,359.2278,-0.01766816,0.09711561,0.2298266,0.1276786,-0.8680157,0.2544181,-0.8405482,-0.2958604,-0.6057566,20.50682,344.7262,8.534939,0.2561049,0.05703647,-0.02070297,-0.2645643,-0.9980973,-0.5496402,-0.585776,-0.2954267,-0.4741069,23.7825,316.5275,345.2074,
123.89,0.1441758,0.07578316,0.04012058,0.3962827,-0.6398171,0.0758843,-0.6458991,0.3141059,-0.5091479,10.182,353.6207,359.098,0.02613335,0.1683886,0.2836015,0.6837828,-1.003054,0.1636324,-0.8397322,-0.2931476,-0.600064,19.28303,346.2204,8.954247,0.319739,0.05193245,-0.02444417,-0.2323609,-1.138677,-0.6397075,-0.5799451,-0.2937909,-0.4751745,23.88873,317.7775,345.0207,
