time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.685,-0.04958399,0.1828844,-0.1263675,1.550472,-0.01432594,-0.2416825,-0.4845842,-0.7363179,-1.174626,358.5487,6.137404,358.0043,0.09623574,-0.1916698,-0.1440125,-1.150933,-1.155758,0.9505594,-0.5767366,-1.312512,-1.001184,37.3736,14.77035,323.3724,-0.1511192,-0.03865475,-0.05082653,0.3620939,1.82065,-1.501377,-0.4090924,-1.23374,-0.977481,20.17299,353.8634,23.18309,
13.135,-0.04820812,0.1598689,-0.1254093,1.341828,-0.01245921,-0.2362677,-0.4852296,-0.7344527,-1.176311,357.6301,6.112618,358.0084,0.09279642,-0.1823446,-0.1547524,-1.141883,-1.502717,0.9681879,-0.5755963,-1.314378,-1.003021,38.00257,15.20659,321.8224,-0.1555375,-0.0557625,-0.04533038,0.3051316,1.844522,-1.735048,-0.4112109,-1.23519,-0.9781479,19.96803,353.8912,25.41025,
25.388,-0.04645777,0.1417566,-0.1227264,1.17293,-0.009494369,-0.2509106,-0.485871,-0.732751,-1.177929,356.8059,6.080058,358.0555,0.08416866,-0.1736918,-0.1570853,-1.080306,-1.837894,0.9639556,-0.574787,-1.316389,-1.004965,38.39999,15.53865,319.942,-0.1595316,-0.07697508,-0.04609799,0.2029,1.856243,-1.769242,-0.4132408,-1.236783,-0.9789639,19.80984,353.7428,27.43435,
39.528,-0.04508288,0.1263022,-0.1180533,1.058088,-0.005996876,-0.2679474,-0.4865454,-0.731235,-1.179447,356.0235,6.04118,358.1202,0.06861362,-0.1702511,-0.1559972,-1.022217,-2.171171,0.9690452,-0.5744076,-1.318611,-1.006885,38.6278,15.7766,317.7287,-0.1640502,-0.1020119,-0.05141061,0.04313824,1.854045,-1.741488,-0.4153167,-1.238832,-0.9797022,19.77224,353.4346,29.31712,
53.491,-0.0443373,0.1150778,-0.1125437,0.9755347,-0.001699472,-0.2592338,-0.4872237,-0.7298289,-1.180874,355.2949,6.004333,358.1517,0.044232,-0.1747983,-0.1504733,-0.9447757,-2.400464,1.047942,-0.5741198,-1.32115,-1.008598,38.82487,15.75803,315.2552,-0.1694665,-0.1366157,-0.06019069,-0.1785805,1.805626,-1.776538,-0.4176264,-1.241126,-0.9808791,19.99291,353.1128,31.20889,
67.244,-0.04317429,0.1047326,-0.1069464,0.8981881,0.004894187,-0.2353404,-0.4877914,-0.7285406,-1.182286,354.6438,5.954791,358.1758,0.01501613,-0.1869913,-0.149458,-0.9074774,-2.471545,1.132406,-0.5745931,-1.323693,-1.010915,39.07326,15.63069,312.7992,-0.1848527,-0.1763262,-0.07868961,-0.4702194,1.801891,-1.815474,-0.4201592,-1.243872,-0.9823263,20.4639,352.5987,33.09163,
81.403,-0.041844,0.09253134,-0.100513,0.8051825,0.001237064,-0.2033908,-0.4883591,-0.7274607,-1.183571,354.075,5.940681,358.1944,-0.01903231,-0.2191932,-0.1571646,-0.944153,-2.358831,1.398786,-0.5748213,-1.327342,-1.012558,39.78899,15.27699,310.321,-0.1978602,-0.2147078,-0.1014323,-0.8142774,1.779749,-1.950984,-0.4227417,-1.246546,-0.9834742,21.3044,352.0135,35.09069,
95.366,-0.04040477,0.0812028,-0.09488419,0.7149129,-0.003701142,-0.1736567,-0.4889714,-0.7265471,-1.184751,353.5749,5.927065,358.2025,-0.04610357,-0.249596,-0.1671359,-0.9649711,-2.156569,1.681778,-0.5752085,-1.32989,-1.014879,40.81501,14.69482,307.85,-0.1984011,-0.2305134,-0.1193843,-0.9915125,1.685654,-1.928245,-0.4247553,-1.248808,-0.9855,22.11956,351.4388,36.85569,
109.305,-0.03895147,0.07027604,-0.0891805,0.6359389,-0.009269429,-0.1469093,-0.4895641,-0.7257797,-1.185856,353.1256,5.915617,358.2036,-0.04962841,-0.2514202,-0.1633572,-0.9251325,-1.880554,1.738524,-0.5747226,-1.332818,-1.015743,41.76866,14.12599,305.7438,-0.1876616,-0.2385083,-0.1274856,-1.04767,1.572534,-1.931089,-0.427271,-1.251431,-0.9863268,22.93084,351.01,38.59713,
123.255,-0.03772457,0.06041015,-0.08370359,0.5652202,-0.009250069,-0.1305275,-0.4901026,-0.7250694,-1.186928,352.7383,5.896379,358.2194,-0.02091875,-0.2158116,-0.1470269,-0.8982143,-1.595268,1.434559,-0.5743255,-1.333537,-1.017746,42.27557,14.07676,304.3742,-0.1835079,-0.2253181,-0.1331801,-0.976078,1.610478,-1.801115,-0.4288227,-1.253766,-0.9889309,23.35988,350.4681,40.25451,
137.202,-0.03632622,0.05221525,-0.07858855,0.5003054,0.0006931934,-0.1221396,-0.4905905,-0.7244672,-1.18792,352.3745,5.866207,358.2354,0.01574707,-0.1604061,-0.1289312,-0.855787,-1.322051,1.035376,-0.5734994,-1.334896,-1.018629,42.47868,14.33691,303.5329,-0.1730191,-0.2193977,-0.1388951,-0.9313732,1.667383,-1.751789,-0.4307421,-1.256756,-0.9901415,23.75988,349.9454,41.99915,
150.96,-0.03505777,0.04556858,-0.07312621,0.4454411,0.01285731,-0.1130769,-0.491057,-0.7239113,-1.18885,352.0659,5.825486,358.2518,0.05877171,-0.08851708,-0.112864,-0.8726364,-1.019345,0.5399938,-0.5726176,-1.334663,-1.02005,42.4228,15.08414,303.3497,-0.1596684,-0.2212279,-0.1416088,-0.8935452,1.707883,-1.815005,-0.432397,-1.259279,-0.9921862,24.21724,349.5522,43.93494,
165.01,-0.03353976,0.03988274,-0.06753412,0.3837132,0.02919416,-0.1016421,-0.4915022,-0.7234661,-1.189712,351.8189,5.766019,358.2656,0.08529542,-0.032839,-0.09794359,-0.848908,-0.7024419,0.1641113,-0.5717605,-1.334301,-1.021075,42.3102,15.94665,303.5387,-0.1461046,-0.2235733,-0.1464338,-0.8849201,1.736596,-1.896034,-0.4340774,-1.261955,-0.993922,24.71811,349.2063,45.96594,
179.077,-0.03205997,0.03329362,-0.06162862,0.3096809,0.04388219,-0.08552179,-0.4919399,-0.7231684,-1.190481,351.644,5.708018,358.2719,0.09602031,0.005492684,-0.08245544,-0.7768221,-0.3918993,-0.1053537,-0.57111,-1.334063,-1.021785,42.1588,16.82739,304.0406,-0.1396092,-0.21873,-0.1475281,-0.8972949,1.772406,-1.91033,-0.4357119,-1.264276,-0.9956228,25.17872,348.7934,47.95727,
