time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.467,-0.07704168,-0.1370987,-0.1894885,-1.545463,0.7002309,-0.1167545,-0.493558,-0.7472053,-1.253325,10.94716,357.2449,359.4701,0.07818257,0.1332153,-0.0556497,0.2038978,-0.5048915,-0.20016,-0.5069942,-1.220772,-1.06536,19.86108,8.817052,346.7564,0.0006878786,0.1094631,-0.03450457,0.3781309,-0.07385948,-0.02610186,-0.3530192,-1.241659,-1.09826,12.88847,358.7332,0.4614573,
13.27,-0.07848617,-0.1492493,-0.2069278,-1.649393,0.7224994,-0.1179676,-0.4945799,-0.7495295,-1.256396,12.37722,356.696,359.5218,0.06304561,0.166023,-0.07576935,0.2943291,-0.469503,-0.2090529,-0.5067407,-1.218108,-1.06695,19.44102,9.062731,346.6942,-0.002634681,0.1644953,-0.04562653,0.5208831,-0.1595203,0.3232902,-0.3528174,-1.239164,-1.099185,12.28147,358.6588,359.8157,
26.802,-0.07880013,-0.1634059,-0.2237954,-1.767976,0.7155592,-0.09306804,-0.4956073,-0.7519919,-1.259647,13.9062,356.1632,359.5123,0.04119762,0.2120437,-0.1028765,0.4376816,-0.4290551,-0.2336123,-0.5067358,-1.214944,-1.069014,18.86194,9.237111,346.6279,-0.001987486,0.2035031,-0.06025955,0.5171539,-0.2749606,0.6864028,-0.3527846,-1.236231,-1.100566,11.80839,358.5838,358.8321,
40.611,-0.07838402,-0.175544,-0.2376081,-1.856914,0.6901757,-0.07817652,-0.4966718,-0.7545664,-1.263095,15.45569,355.6496,359.4859,0.02012842,0.2550675,-0.1291446,0.5536962,-0.386948,-0.1874027,-0.5068192,-1.211115,-1.071296,18.26746,9.304832,346.4628,-0.007476995,0.2441843,-0.08074208,0.4465765,-0.3258791,0.9136693,-0.3529792,-1.232422,-1.101952,11.46409,358.4713,357.8058,
54.263,-0.0771803,-0.1831166,-0.2458462,-1.903866,0.6651267,-0.07441267,-0.4977151,-0.7571529,-1.266545,17.00155,355.1413,359.4408,-0.001428306,0.3073652,-0.1584138,0.7637496,-0.3770753,-0.08327375,-0.507162,-1.206598,-1.074426,17.4924,9.214615,346.0847,-0.0133026,0.2870279,-0.09909669,0.4803825,-0.3327982,0.864073,-0.3533617,-1.227763,-1.103977,11.00361,358.4669,357.1253,
68.389,-0.07661943,-0.1860758,-0.2474134,-1.912782,0.6314577,-0.06836627,-0.498767,-0.7597116,-1.269872,18.5244,354.6606,359.3599,-0.01971835,0.3602995,-0.1890935,0.958586,-0.4047922,0.1418099,-0.5072945,-1.201442,-1.077456,16.67618,8.962827,345.3784,-0.02257217,0.3376095,-0.1239139,0.5811107,-0.3117253,0.5110026,-0.3542561,-1.222316,-1.106158,10.4184,358.6595,357.0661,
82.206,-0.07613347,-0.1878447,-0.2444057,-1.887869,0.5994176,-0.06778049,-0.4997691,-0.762334,-1.273063,19.99415,354.1984,359.2892,-0.02683965,0.4130521,-0.2187484,1.163595,-0.5088701,0.3354595,-0.5074732,-1.195294,-1.081599,15.68472,8.715549,344.4391,-0.04428118,0.4136105,-0.1521381,0.8732821,-0.1887511,0.06115498,-0.3555979,-1.216007,-1.109006,9.437052,358.8141,357.5467,
95.863,-0.07526079,-0.1891571,-0.2389389,-1.838197,0.585091,-0.09123456,-0.500744,-0.7649239,-1.276173,21.42371,353.7487,359.2617,-0.02377334,0.4837476,-0.2547925,1.474545,-0.7377123,0.3985957,-0.5078608,-1.188645,-1.086301,14.25575,8.652966,343.3795,-0.0758463,0.4884642,-0.1862629,1.309624,-0.0007628854,-0.1639618,-0.3570369,-1.209564,-1.112897,7.945039,358.7116,358.0288,
110.158,-0.07452632,-0.1884639,-0.2316283,-1.786211,0.581854,-0.1300062,-0.5017999,-0.767524,-1.279231,22.81915,353.3411,359.2664,-0.01877429,0.537033,-0.2851611,1.624212,-0.8866223,0.4240611,-0.5079159,-1.181884,-1.090482,12.83312,8.673666,342.3744,-0.1033473,0.5317734,-0.2111315,1.504865,0.1561097,-0.3515206,-0.3587352,-1.203121,-1.115337,6.550013,358.5316,358.6315,
123.837,-0.07475366,-0.1873865,-0.2219397,-1.73952,0.5613302,-0.155934,-0.5028619,-0.7701408,-1.282142,24.18421,352.9644,359.2556,-0.01293883,0.5775915,-0.3129968,1.781076,-1.017532,0.4484345,-0.5082526,-1.174815,-1.095945,11.2558,8.736764,341.3265,-0.1241598,0.5475399,-0.2290921,1.503256,0.2788513,-0.3536045,-0.3603269,-1.196395,-1.119491,5.3758,358.2377,359.0428,
