time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.45,-0.1043146,0.0244983,0.4191107,0.07259298,1.970134,0.1391319,-1.011696,0.0729441,0.8174467,8.522215,132.7477,355.8101,0.1434194,-0.08995709,0.9382912,-0.6216508,1.808496,-0.4180584,-0.6320293,-0.2168781,0.7521899,351.6045,113.8533,7.070932,0.51415,-0.008281447,0.5882146,-0.7051594,2.205886,0.4315673,-0.893782,-0.1952468,0.5980027,353.965,133.3479,3.255983,
14.708,-0.08521783,0.01898967,0.4111249,0.03013864,1.996587,0.1424748,-1.012755,0.07324499,0.8230503,8.170619,131.1462,355.7476,0.1084839,-0.07515706,0.9171368,-0.7339889,1.605577,-0.3255155,-0.6314635,-0.2176178,0.7639073,351.4064,112.8671,6.407376,0.5190874,-0.06524318,0.5598974,0.0004924741,1.694627,0.09940708,-0.8867211,-0.1965947,0.6051342,354.382,132.5795,4.037159,
26.634,-0.06694077,0.01468081,0.4049627,-0.008652252,2.022106,0.1180121,-1.01356,0.07347649,0.8285499,7.870908,129.528,355.6801,0.07938856,-0.06301667,0.9028774,-0.6999735,1.463341,-0.2130274,-0.6312282,-0.2184629,0.7754084,351.2257,111.8832,5.986142,0.5255783,-0.1135134,0.5577279,0.656148,1.422319,-0.05476706,-0.880145,-0.1978539,0.6131037,354.8646,131.7172,5.318819,
40.324,-0.05032736,0.01077794,0.399448,-0.03023735,2.03089,0.08135296,-1.013943,0.07355726,0.8340058,7.601668,127.9258,355.6183,0.0550749,-0.05658905,0.8857203,-0.5175416,1.275949,-0.0911891,-0.6309763,-0.2189776,0.786582,351.1613,111.0695,5.86995,0.5320206,-0.1359829,0.5835123,0.8529775,1.510706,0.03113764,-0.8735071,-0.1993697,0.6207708,355.0769,130.3046,6.210625,
54.35,-0.03241448,0.00634398,0.3931667,-0.04052878,2.02786,0.05777675,-1.014038,0.07354981,0.8393574,7.322765,126.3363,355.5778,0.03225806,-0.04773146,0.866435,-0.3111354,1.043505,0.1090621,-0.6314642,-0.2197798,0.7978556,351.0427,110.4275,6.08246,0.5318683,-0.1317502,0.6205055,0.7325506,1.720961,0.2135898,-0.8674672,-0.2004797,0.6289321,355.0735,128.5994,6.6767,
67.661,-0.01403081,0.004265363,0.3871118,-0.03386663,2.035323,0.0260288,-1.014084,0.07369536,0.8445473,7.113677,124.699,355.5522,0.01592851,-0.04766728,0.8386924,-0.1210472,0.819446,0.1935745,-0.6310841,-0.2204388,0.8081883,351.0394,109.9747,6.349207,0.5229779,-0.1196213,0.6411431,0.3667542,1.913278,0.2658566,-0.8613058,-0.2017527,0.6365759,355.0554,126.8337,6.56458,
81.723,0.004826993,0.00745583,0.3810883,0.01592966,2.067257,-0.03335352,-1.013965,0.07402998,0.8495898,7.006441,123.0054,355.5901,0.01009974,-0.0553591,0.8051978,0.04017521,0.6564173,0.1698865,-0.6315365,-0.2213105,0.8185927,351.1927,109.6243,6.559192,0.5103995,-0.1153358,0.6493782,-0.0153108,2.069546,0.05818824,-0.8556834,-0.203177,0.6443981,355.3276,125.0745,5.984136,
95.784,0.02328603,0.01771077,0.3751293,0.1266454,2.119537,-0.1290985,-1.013531,0.07463706,0.8545868,7.066349,121.239,355.7042,0.01243532,-0.06483607,0.7733651,0.1805588,0.5816963,0.1466778,-0.6308484,-0.2220927,0.8281298,351.4365,109.2404,6.803459,0.4960613,-0.1204266,0.6503253,-0.1391112,2.12477,-0.2265455,-0.8493434,-0.2044098,0.6518829,355.8681,123.4092,5.472664,
110.005,0.04218245,0.02411626,0.3696072,0.2333923,2.177644,-0.1785225,-1.012577,0.07482719,0.8596303,7.075988,119.4375,355.8532,0.02547154,-0.07646986,0.7445832,0.3663954,0.6121042,0.08758143,-0.6307737,-0.2228198,0.8377537,351.9128,108.7411,7.083552,0.479926,-0.1227834,0.641236,-0.0801015,2.009942,-0.4003339,-0.8443245,-0.2055132,0.6597401,356.4535,122.0037,5.188395,
123.839,0.06108767,0.01817257,0.3649116,0.3268237,2.21706,-0.2063623,-1.01149,0.07479328,0.8646493,7.192642,117.6264,356.0334,0.03819194,-0.08127575,0.7325571,0.4104471,0.8163164,0.08109505,-0.6302471,-0.2237225,0.847001,352.3353,107.8695,7.284271,0.4584845,-0.1146429,0.625962,-0.007801466,1.81115,-0.4779218,-0.8383092,-0.2061247,0.6668745,356.9952,120.8372,4.975842,
