time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.424,0.01311038,0.004771612,0.007247384,0.006842713,0.05791711,0.03345736,-0.1313531,0.1493746,-0.1281455,5.431149,2.170492,356.7039,-0.584156,0.1008185,0.2611747,0.0400624,-0.8331993,0.4344255,-0.2723788,0.5865265,-0.3279748,318.0266,150.8967,109.5656,0.4967963,0.0784004,0.1755921,-0.03093451,1.054996,-0.06795457,-0.003359625,0.6119088,-0.2818274,298.0129,219.5299,239.2434,
12.188,0.01103579,0.00246106,0.006992415,-0.03139245,0.06200099,0.0351656,-0.1312466,0.1493589,-0.1280544,5.523784,2.108493,356.7068,-0.7056583,0.09758283,0.2898046,0.03406692,-0.879369,0.2975543,-0.285508,0.5871638,-0.3236204,317.3282,150.9031,109.2421,0.6405176,0.07545051,0.1870291,0.01221406,1.019843,0.06013983,0.009334151,0.6121305,-0.2797206,297.2428,219.482,239.5284,
25.094,0.00852419,-0.0007292783,0.005780332,-0.07191596,0.06018433,0.05749268,-0.1311865,0.1492812,-0.1279927,5.649457,2.056304,356.6233,-0.831486,0.09254092,0.312647,-0.08250871,-0.9104555,0.1517093,-0.3004067,0.5877828,-0.3190208,316.5514,151.1767,108.9535,0.7930235,0.07362153,0.1884343,-0.2190969,1.046128,0.2621228,0.02444443,0.6128238,-0.2777496,296.1971,218.8077,239.8041,
39.088,0.004589047,-0.003147966,0.00359698,-0.113286,0.03237551,0.1235267,-0.1312177,0.149192,-0.1279742,5.811417,2.055054,356.409,-1.007727,0.1019093,0.3413121,-0.412443,-1.185538,0.1010665,-0.3184409,0.5887278,-0.3138301,315.1981,152.3707,107.9908,1.014765,0.09018983,0.1887682,-0.6032547,1.505681,0.2807806,0.04315577,0.6143032,-0.2757461,294.3739,215.824,242.2433,
52.697,0.000816076,-0.002562606,0.001369123,-0.1452585,0.000838389,0.1794815,-0.131299,0.1491824,-0.1279926,5.9766,2.069214,356.2061,-1.203067,0.126255,0.3788698,-0.7641854,-1.81703,0.2961905,-0.3380911,0.5902991,-0.3082622,313.1313,154.761,105.5183,1.252766,0.1019206,0.1894766,-0.8987583,2.25562,0.03771573,0.06365778,0.6150643,-0.2732069,292.2218,209.6646,248.0849,
67.042,-0.001704198,-0.0007949055,-0.0004848352,-0.1568261,-0.006013564,0.1654029,-0.1313841,0.1492129,-0.1280463,6.108696,2.060117,356.1564,-1.420143,0.1369133,0.4334067,-0.8532575,-2.686134,0.7067498,-0.3605394,0.5903861,-0.3012791,310.6575,158.1512,101.3009,1.49132,0.07392168,0.2145103,-0.9861213,3.044983,-0.02750289,0.08641072,0.6142657,-0.2700368,289.8727,201.4888,255.9743,
80.854,-0.003916708,0.001960494,-0.001881116,-0.1596968,0.007568638,0.1018507,-0.13149,0.1493057,-0.1281078,6.233108,2.03791,356.2083,-1.586156,0.106221,0.4823636,-0.6428928,-3.291041,1.032207,-0.3834413,0.5896244,-0.2943104,308.4711,161.6935,96.54644,1.653666,0.009158715,0.2509729,-0.8129584,3.530813,0.07199025,0.1098036,0.6109751,-0.2664545,287.8338,192.5889,264.7644,
94.861,-0.006074931,0.004162682,-0.002735275,-0.1404638,0.02367556,0.05647502,-0.1316192,0.1494039,-0.1281587,6.304005,2.002948,356.2239,-1.71933,0.03681746,0.5318214,-0.2462109,-3.618777,1.179313,-0.4081365,0.5862182,-0.2861189,306.5296,165.0261,91.75178,1.747167,-0.06119495,0.2764917,-0.5792527,3.742987,0.1837115,0.1331548,0.6081707,-0.2630975,286.34,182.6429,274.6445,
108.859,-0.008293454,0.006158013,-0.003697859,-0.1332516,0.02407131,0.03555261,-0.1317792,0.1495179,-0.1282185,6.412519,2.000187,356.2158,-1.825265,-0.05861559,0.5809108,0.2617112,-3.774154,1.219242,-0.4336182,0.582085,-0.2780406,304.7187,168.1541,86.87505,1.865214,-0.1748495,0.293889,-0.3261331,3.900238,0.2249144,0.1589367,0.6016441,-0.2594459,285.527,170.8331,286.4654,
122.659,-0.01035828,0.006734649,-0.004257328,-0.1216323,0.01394067,0.01965423,-0.1319669,0.1496094,-0.1282807,6.48862,2.01507,356.2258,-1.906853,-0.1687344,0.6261776,0.8510857,-3.818061,1.267285,-0.4597486,0.5762355,-0.2692991,303.0473,171.1296,81.7271,1.947279,-0.323316,0.3232484,0.2895181,3.743141,0.3120391,0.1861481,0.5926122,-0.2552075,285.109,161.0688,297.152,
136.523,-0.01193589,0.005953156,-0.005059421,-0.1112477,0.0120247,0.002345336,-0.1321726,0.1496741,-0.1283708,6.559747,2.013168,356.2571,-1.961984,-0.274756,0.6610162,1.377113,-3.716252,1.292617,-0.4865414,0.5686985,-0.260133,301.5644,173.8674,76.61819,2.020027,-0.4694081,0.3297576,0.7718559,3.604517,0.2440276,0.213576,0.5829932,-0.2511547,285.4695,151.3753,307.8498,
150.398,-0.01393991,0.003650694,-0.005792036,-0.1074663,0.01773024,-0.01509289,-0.1324151,0.1496684,-0.1284672,6.644075,2.002597,356.3013,-2.030371,-0.4246742,0.7041579,1.861372,-3.582784,1.242782,-0.5149814,0.5579934,-0.2502812,300.0477,176.5378,71.44484,2.08386,-0.6060709,0.3336605,1.187334,3.547895,0.1716106,0.2414912,0.5713514,-0.2471574,286.4169,142.0253,318.2945,
164.465,-0.01537308,0.002445264,-0.006705961,-0.1080483,0.03158952,-0.01726225,-0.1326605,0.1497232,-0.128575,6.736929,1.961861,356.3211,-2.091577,-0.56639,0.7379835,2.122214,-3.504863,1.097664,-0.5437872,0.5455595,-0.2402884,298.5522,180.0075,65.84599,2.147152,-0.754307,0.326517,1.372464,3.496957,0.0603438,0.2705399,0.5572174,-0.2432692,287.9951,134.0975,326.9824,
178.361,-0.01665645,0.002674163,-0.007574734,-0.09721101,0.044752,-0.009020742,-0.1329205,0.1498206,-0.1286916,6.795123,1.913367,356.3212,-2.152797,-0.7185962,0.7740476,2.31105,-3.452713,0.8502347,-0.5733804,0.5309271,-0.2298798,297.0186,184.0874,59.87133,2.21778,-0.9132353,0.3197684,1.375785,3.57731,0.05027753,0.3031881,0.5447791,-0.2424167,290.0375,126.7237,334.5895,
