time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.389,0.07472792,0.01928165,0.04845802,0.01292239,-0.1123068,0.1708236,-0.01894283,0.1540832,-0.3268177,1.591676,356.8445,348.5908,-0.2272711,1.002709,0.06079892,-2.824144,1.397499,1.309732,-0.387367,-0.1499646,-0.0005204268,335.1671,310.2735,34.58914,0.3751849,-0.419288,-0.1076822,0.1288568,-0.1288898,2.146909,0.2788946,-0.1854974,0.01570486,341.3094,18.90238,325.4807,
12.735,0.08557787,0.01282243,0.04534081,-0.02233715,-0.1103614,0.1529719,-0.0175066,0.1541205,-0.3262622,1.624536,356.9391,348.4941,-0.1837789,1.194306,0.07207593,-2.866446,1.922105,1.742746,-0.390174,-0.1309415,0.001200646,332.194,311.2307,31.87053,0.4200571,-0.4286644,-0.1213412,0.1574007,-0.179423,2.180411,0.2848061,-0.1912383,0.01383517,341.8241,20.28515,323.9124,
26.583,0.09579345,0.007876137,0.04219737,-0.05276547,-0.1087317,0.1315889,-0.01591921,0.1541845,-0.3257151,1.681558,357.0356,348.4126,-0.1251453,1.33836,0.09317901,-3.026106,2.386368,1.993039,-0.3918885,-0.1111841,0.003242739,329.3021,312.4855,28.45497,0.4699309,-0.4442455,-0.1536871,0.243313,-0.4042349,2.281027,0.2909731,-0.1976535,0.01114934,342.0949,22.10804,322.1893,
40.367,0.1052226,0.002533797,0.03961149,-0.06868039,-0.1138899,0.1098869,-0.01419926,0.1540538,-0.3251563,1.720901,357.1452,348.3472,-0.04183511,1.457696,0.1273636,-3.278378,2.829299,2.256693,-0.3923907,-0.09008797,0.005838435,326.378,314.4685,24.08807,0.5153763,-0.4640025,-0.1932386,0.3882295,-0.660367,2.390223,0.2974915,-0.2046679,0.007937562,342.1723,24.16674,320.2999,
54.156,0.1133433,-0.003434573,0.03711391,-0.08856779,-0.1276923,0.1099143,-0.01244402,0.1538441,-0.3246781,1.787818,357.2844,348.2307,0.06520607,1.546042,0.1664006,-3.546559,3.324968,2.548429,-0.3910681,-0.06896869,0.008372501,323.4719,317.3147,18.65835,0.5527241,-0.5005618,-0.232892,0.6110258,-0.8515612,2.560182,0.3043288,-0.2127551,0.004861347,342.2141,26.35587,318.0389,
68.225,0.1199571,-0.01005818,0.03487388,-0.1196889,-0.148263,0.1319396,-0.0106566,0.1535282,-0.3242416,1.885026,357.4502,348.0599,0.1818988,1.599184,0.2022433,-3.70091,3.872723,2.812017,-0.389095,-0.0471358,0.01163158,320.7632,320.9307,12.30892,0.5888976,-0.5594617,-0.2595141,0.7309753,-0.8837963,2.855584,0.3116658,-0.221439,0.001821809,342.7857,28.6873,315.5255,
82.137,0.1248365,-0.01452778,0.03271482,-0.1646577,-0.1727577,0.1704428,-0.008864998,0.1533639,-0.3238231,2.035069,357.6505,347.8378,0.2809609,1.621034,0.230816,-3.647333,4.238441,2.887707,-0.386076,-0.02513106,0.01462185,318.7274,324.8539,5.721765,0.6191782,-0.6366951,-0.2807403,0.7852032,-0.8972365,3.236884,0.3184779,-0.2315518,-0.001802981,343.8401,31.3012,312.8397,
95.997,0.1283408,-0.01618583,0.03163122,-0.1883637,-0.1999881,0.184787,-0.007060171,0.1532219,-0.3232799,2.1444,357.868,347.6754,0.3638313,1.628603,0.2378454,-3.292242,4.507505,2.851172,-0.3816392,-0.003748097,0.01685338,316.9998,328.5645,359.4601,0.6256077,-0.7132826,-0.2966446,0.6179644,-0.9278095,3.425101,0.3248917,-0.2417807,-0.004484911,345.135,33.95029,310.7795,
109.765,0.1306931,-0.01719579,0.03125095,-0.1847832,-0.2257605,0.1625761,-0.005244731,0.1529469,-0.3227355,2.220425,358.0988,347.5895,0.4433415,1.632724,0.2258102,-2.717094,4.767026,2.78974,-0.3763538,0.01868784,0.01968945,315.2899,332.0338,353.3954,0.6004682,-0.7796034,-0.3153153,0.329031,-0.9967388,3.412611,0.3296312,-0.2530827,-0.009015817,346.3685,36.57062,309.4281,
123.621,0.1313346,-0.01851743,0.03074584,-0.1842218,-0.2459914,0.1552403,-0.0034554,0.1526224,-0.3222933,2.310352,358.3353,347.4397,0.5262625,1.635271,0.2003189,-1.993996,4.987685,2.733662,-0.3692099,0.04038752,0.02142441,313.4596,335.3324,347.417,0.5515457,-0.8259781,-0.3268336,0.1778683,-1.001189,3.265751,0.3335395,-0.2647169,-0.01225514,347.4511,38.85452,308.3142,
