time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.516,-0.01822336,0.04968722,-0.07681058,-0.8392684,0.2656161,-0.2513829,-0.1181391,0.1284466,0.3519266,1.667517,0.2455587,356.1405,0.09130867,1.160815,-0.1903024,3.471509,-1.28699,-1.91324,-0.2006375,-0.2450601,0.4579,349.2914,11.08782,14.47335,0.3102227,-0.4942593,-0.8254474,-2.722835,-0.4550286,-0.7257721,0.05608841,-0.4636339,0.3695084,35.8273,6.144301,352.5185,
13.093,0.01337694,0.2066492,-0.08628571,-0.6412881,0.3619727,-0.3504234,-0.1173159,0.1350661,0.3506866,1.835811,359.8614,356.437,0.04352839,0.9712828,-0.2073565,2.881792,-0.7281601,-0.6675221,-0.2015881,-0.2379458,0.4558561,348.3398,11.49197,12.63063,0.2508131,-0.271126,-0.7386963,-2.577038,-0.127729,-0.6107092,0.05721408,-0.458889,0.3640434,37.5409,6.974411,353.6041,
26.522,0.0420328,0.3492387,-0.09152537,-0.3664351,0.4405123,-0.2274163,-0.1161106,0.142759,0.3492873,1.779995,359.4127,356.2903,-0.006822012,0.8060519,-0.1818012,2.031729,0.01834956,0.4148033,-0.2026771,-0.2310392,0.4543611,348.5229,11.00875,10.49833,0.1703336,0.00520955,-0.58817,-2.070392,-0.1389568,-0.1397502,0.05771158,-0.4496466,0.361785,38.56926,6.630097,353.1281,
40.372,0.0705506,0.4618199,-0.1003516,-0.155763,0.48388,-0.04704944,-0.1143816,0.1508216,0.34755,1.693787,358.9723,356.1587,-0.09356517,0.6000592,-0.1369133,0.7799227,1.214486,1.607896,-0.2043887,-0.2266549,0.4529692,350.36,8.753816,7.559871,0.07741797,0.3417566,-0.372543,-1.024056,-0.3128325,0.3487796,0.05725523,-0.4359871,0.3626241,38.06985,5.29515,351.4461,
54.027,0.09929488,0.5356488,-0.1101153,-0.01068818,0.5030943,-0.01222032,-0.1122965,0.1589103,0.3457533,1.547317,358.5387,356.2359,-0.1959392,0.3977321,-0.1250787,-0.3021088,2.346778,2.367613,-0.2071795,-0.2251026,0.4496839,352.564,5.548645,4.58914,-0.00938734,0.6919187,-0.1247887,0.277257,-0.3455331,0.5985292,0.05595651,-0.4195284,0.3666162,36.06421,3.732962,349.923,
68.069,0.1246959,0.5726366,-0.1173897,0.09371363,0.5046571,-0.03052144,-0.1100798,0.1668507,0.3439962,1.39513,358.1389,356.2953,-0.2941906,0.2013355,-0.1605963,-0.9786273,3.083666,2.489246,-0.2107947,-0.2268046,0.4458563,354.367,2.185705,2.298162,-0.07951763,0.989951,0.1217761,1.362099,-0.3416641,0.7781693,0.05442493,-0.4012711,0.3734816,33.46711,2.153814,348.5635,
82.132,0.1456411,0.5793036,-0.1211873,0.1416941,0.4955794,-0.01215737,-0.1076984,0.1742726,0.3423325,1.276731,357.7587,356.2585,-0.3713683,-0.01310195,-0.2242915,-1.486338,3.311426,2.28699,-0.2152148,-0.2319114,0.4409458,356.1959,359.2514,0.6705599,-0.1309373,1.229643,0.3456328,2.31987,-0.2525477,0.7955679,0.05253011,-0.3821166,0.3821962,30.26378,0.7860004,347.6971,
95.898,0.1623276,0.5617137,-0.1208265,0.1548699,0.4687697,0.04536798,-0.1051447,0.1809613,0.3407913,1.150178,357.4228,356.1442,-0.430283,-0.2464008,-0.3115446,-1.870335,3.312314,2.118431,-0.2202487,-0.2407304,0.4335194,358.1249,356.6532,359.0793,-0.180095,1.433126,0.5491284,3.202633,-0.07827535,0.7452201,0.04941372,-0.3609314,0.3934709,26.50684,359.5008,347.3195,
110.265,0.1744712,0.5250554,-0.1165957,0.1636133,0.411169,0.1084787,-0.1025547,0.186823,0.3393565,0.9980403,357.1807,355.9881,-0.476093,-0.4969737,-0.4141887,-2.283824,3.213735,2.050831,-0.2254938,-0.2525351,0.4260029,0.420039,354.266,357.2858,-0.235797,1.596174,0.7037324,4.037462,0.2769986,0.5632123,0.04624941,-0.3386758,0.4049789,22.15992,358.2329,347.794,
123.868,0.182102,0.4678369,-0.1106578,0.2543671,0.3355107,0.1572101,-0.09996152,0.1912704,0.3379841,0.5641192,356.9968,355.8468,-0.5134606,-0.7624466,-0.5204185,-2.843459,3.013702,1.841324,-0.231407,-0.2676829,0.4165488,3.362677,352.1068,355.6915,-0.2845871,1.724425,0.8266317,4.601447,0.4435214,0.5731036,0.04214522,-0.3162934,0.4189991,17.81177,356.8808,348.0765,
