time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.484,-0.001381904,0.0007843503,0.002027033,-0.001109719,0.003946248,-0.01423937,-0.9425263,-0.4524152,0.3372061,342.5563,3.351314,0.6350141,0.001338079,0.0007807437,-0.001299749,0.001583376,-0.006223139,0.008538906,-0.9781158,-0.9413244,0.7314378,6.563316,4.551705,4.932792,-0.0392968,-0.003900414,-0.01652519,0.1050916,0.1533616,-0.2519388,-0.8700907,-0.9123716,0.7463145,357.6684,1.389453,9.997244,
13.545,-0.001335962,0.0003460436,0.002252029,-0.004786739,0.006186375,-0.01802137,-0.9425557,-0.4524205,0.3372108,342.5626,3.332574,0.652244,0.001195917,0.0005894588,-0.0009281723,0.00154646,-0.009198542,-0.0007387272,-0.9781053,-0.9413207,0.7314216,6.563475,4.555564,4.929202,-0.04157493,-0.004624052,-0.01307647,0.04610486,0.118121,-0.3072904,-0.870643,-0.9121794,0.7463573,357.6989,1.314542,10.33367,
27.072,-0.001217866,0.0002397548,0.002309977,-0.006895967,0.009101291,-0.01722638,-0.942585,-0.4524191,0.3372033,342.571,3.313659,0.6609982,0.000354665,0.0007978523,-0.0008414624,0.002344455,-0.001312539,0.004521365,-0.9780911,-0.9413168,0.7314097,6.563944,4.559291,4.925622,-0.03714804,-0.003047707,-0.01038196,0.02868581,0.08044536,-0.2898719,-0.870976,-0.9121019,0.7461781,357.691,1.2989,10.54583,
40.891,-0.001166488,0.0001230355,0.00263016,-0.005426247,0.004729328,-0.01435896,-0.942609,-0.4524199,0.3372242,342.5717,3.313084,0.6691798,0.0002086057,7.130444E-05,0.0001298368,-0.01565108,-0.006315896,0.002207629,-0.9780831,-0.9413067,0.7314049,6.566481,4.562556,4.922907,-0.02981685,0.003150672,-0.009920148,0.0593867,0.08513003,-0.2206672,-0.8709631,-0.9120473,0.7459047,357.5825,1.233735,10.61098,
54.986,-0.0007695484,0.0001715403,0.002534572,-0.004031229,0.004200063,-0.01153162,-0.9426111,-0.4524153,0.3372576,342.5731,3.307869,0.6731542,-0.0007682966,0.001706747,-0.0004578269,0.009844768,0.003932096,0.0008929131,-0.9780846,-0.9412969,0.7313997,6.565083,4.562872,4.923497,-0.01795909,0.005924729,-0.005849238,0.0397819,0.05056496,-0.1262354,-0.8708515,-0.912016,0.7463574,357.6227,1.285945,10.47714,
68.775,-0.0003636328,0.0001997103,0.002196376,-0.004590099,0.003341819,-0.006993144,-0.9426081,-0.4524112,0.3372811,342.5776,3.307721,0.6717725,-0.001383739,0.001190926,-0.000342074,0.01076995,0.004644614,-0.003721072,-0.9780953,-0.9412913,0.7314015,6.565063,4.56249,4.926832,-0.001863759,0.00879441,-0.001080215,0.0530244,-0.03773785,-0.06582196,-0.8708059,-0.9119861,0.746114,357.6099,1.371261,10.44695,
82.491,-8.326779E-05,0.0001007649,0.001678356,-0.006043239,0.0006979572,-0.00114096,-0.9425858,-0.4524218,0.3372713,342.584,3.315795,0.6662416,-0.002165262,0.001085633,-0.0004806071,0.01314338,0.01088736,-0.001336156,-0.9781162,-0.9412941,0.7313994,6.569769,4.559285,4.931319,0.01279036,0.00698198,0.006128495,0.00361844,-0.1390726,-0.01454448,-0.8706353,-0.9118654,0.7466417,357.6497,1.552252,10.46081,
96.65,0.0004685175,-0.000447402,0.001004786,-0.005877975,-0.001061188,5.302702E-05,-0.9425476,-0.4524516,0.3372471,342.5873,3.320106,0.6660801,-0.002121456,0.0002304442,-0.0005623216,0.005644176,0.005639586,0.002290795,-0.978126,-0.9413248,0.7314051,6.572134,4.556753,4.932566,0.02562632,-0.001476165,0.01511511,-0.1185433,-0.2196601,0.06171751,-0.8699334,-0.9116697,0.7467022,358.0081,1.929056,10.34683,
111.477,0.0005334105,-0.0003718316,0.0002932163,-0.006354972,-0.004282352,0.004908854,-0.9425308,-0.4524599,0.3372248,342.5936,3.333642,0.6586419,-0.001733753,-0.00200052,0.0004255717,-0.03586881,-0.007324438,0.001025527,-0.9781473,-0.941352,0.7314005,6.585495,4.555955,4.932546,0.03392838,-0.008830203,0.01997121,-0.1594158,-0.2618356,0.0727271,-0.869637,-0.9114501,0.7475109,358.2559,2.163831,10.28579,
124.351,0.0007229348,-0.0004398901,-0.0001766913,-0.003006986,-0.004483162,0.006024753,-0.9425151,-0.4524693,0.3372113,342.5911,3.340201,0.6537179,-0.003145378,0.002311894,-0.002009566,0.03149952,0.01686547,-0.005654364,-0.9781729,-0.9413609,0.7313663,6.568416,4.548542,4.933436,0.03834324,-0.009729231,0.02229274,-0.1831644,-0.2657964,0.1180458,-0.8690821,-0.9117545,0.7477707,358.4887,2.347538,10.14313,
