time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.493,-0.002077447,-0.002038798,0.01087869,-0.01520996,0.01523535,-0.008415497,0.01956403,0.05881365,-0.3394304,6.111237,353.9258,359.1517,0.002972882,-0.00461634,-0.002584745,-0.02390461,-0.002248199,0.003905489,-0.1170143,-0.8250961,-0.3510919,63.48806,331.8723,303.0581,0.0004204654,0.003601807,-0.007320339,-0.03859506,0.2824629,0.278401,0.2481099,-0.8053023,-0.3370355,72.32863,27.58565,41.18652,
12.918,-0.001780486,-0.002143566,0.01159372,-0.005342524,0.01224412,-0.008955105,0.01954556,0.0587814,-0.3392531,6.108077,353.9231,359.1602,0.003849736,-0.004750797,-0.003550829,-0.02821007,0.005701778,0.004534093,-0.1169573,-0.825155,-0.351103,63.50538,331.8551,303.0289,0.01238989,-0.002664149,-0.01110894,-0.140071,0.3914238,0.2488263,0.2479855,-0.8054948,-0.3368884,72.19704,28.69811,42.69861,
25.582,-0.001428735,-0.001586674,0.01207868,-0.007320116,0.008236844,-0.005851365,0.01953411,0.05877331,-0.3390743,6.117034,353.9213,359.1583,0.005098749,-0.004309113,-0.00358908,-0.02554199,0.005222096,-0.001629658,-0.1168939,-0.8251942,-0.3511169,63.52349,331.8502,303.0107,0.01365032,-0.007378461,-0.01132492,-0.1119382,0.2318989,0.1198304,0.2482281,-0.805595,-0.3367949,72.27699,28.88017,42.79599,
39.69,-0.0006489372,-0.000986943,0.01282097,-0.004412495,0.004774381,-0.004812277,0.01956177,0.05876362,-0.3388594,6.117167,353.9219,359.1603,0.006229404,-0.004529747,-0.003635675,-0.03426821,0.006590292,0.002703403,-0.1168035,-0.8252414,-0.3511241,63.54426,331.8371,302.9825,0.009057284,-0.003047108,-0.005016355,-0.001171418,0.06051437,0.04321753,0.2481959,-0.8054116,-0.3367399,72.34346,28.31887,41.96704,
53.621,-0.0002818331,-0.0004977656,0.01354385,-0.002102674,-0.006584414,0.002147554,0.01958609,0.05875842,-0.3386319,6.113028,353.9398,359.148,0.01027541,-0.001637929,-0.002507431,-0.0258371,-0.001336571,-0.04370643,-0.1166602,-0.8252941,-0.351147,63.5528,331.8943,302.9943,0.004987661,0.001981489,0.001212994,0.08959553,-0.05530357,-0.02269886,0.2483104,-0.8053571,-0.3367104,72.3224,28.07041,41.61946,
67.141,0.0001765229,-0.0009436825,0.01383424,-0.006744591,-0.01521722,0.01591129,0.01961112,0.05872999,-0.3384208,6.117485,353.9598,359.1022,0.01218372,-0.0024544,-0.002976226,-0.05342845,0.01126077,-0.04124489,-0.1164899,-0.8253197,-0.3511483,63.58523,331.9515,302.9968,0.0007436131,0.005974735,0.007636097,0.15203,-0.1627421,-0.08859522,0.2484765,-0.8054475,-0.3363218,72.31143,27.34962,40.55629,
81.213,0.0007351646,-0.00197605,0.01343168,-0.01678668,-0.01869729,0.01605751,0.01963472,0.05867769,-0.3382434,6.146993,353.9752,359.088,0.01400026,0.0002372189,-0.0004622452,-0.0214933,0.006489184,-0.08244411,-0.1163223,-0.8252304,-0.3512097,63.57953,332.1145,303.0945,0.001060493,0.008894408,0.01391003,0.1988492,-0.1607115,-0.08449797,0.248779,-0.8047678,-0.3363759,72.20842,26.74068,39.71628,
95.394,0.00102378,-0.002721235,0.01292141,-0.03103038,-0.02313133,0.01047886,0.0196557,0.05862071,-0.3380753,6.192529,353.9967,359.0789,0.01221941,0.0002229065,0.0005336502,-0.008355574,0.004864319,-0.07252108,-0.1162373,-0.8252584,-0.3512061,63.58097,332.1815,303.1353,0.01061977,0.006697766,0.01471716,0.1500196,-0.003258662,-0.04585995,0.2488541,-0.8056353,-0.3361687,72.10582,27.17209,40.2759,
109.491,0.001400923,-0.003882777,0.01224762,-0.03677824,-0.02243014,0.007009366,0.01970303,0.058506,-0.3379437,6.225811,354.0127,359.0696,0.007486116,-0.0011365,0.0008003097,0.003955154,0.005748557,-0.03026088,-0.1161935,-0.8253571,-0.3511616,63.58553,332.1831,303.1407,0.02172104,0.003556639,0.01463422,0.1084562,0.1506114,-0.01872201,0.2491966,-0.8050319,-0.3361599,71.86565,27.64368,40.82857,
122.89,0.001211068,-0.004591764,0.01167283,-0.04115069,-0.02561709,0.006352264,0.01973271,0.05839439,-0.3378178,6.257822,354.0358,359.0537,0.001900513,-0.004577057,2.255157E-05,0.001742135,0.0212657,0.0358343,-0.1161281,-0.8253596,-0.3511476,63.59875,332.1645,303.1456,0.03025244,0.001354705,0.01069682,0.04980741,0.2246433,-0.05983514,0.2494118,-0.805577,-0.3356356,71.67031,28.59089,41.80945,
136.999,0.001316152,-0.005059564,0.01093599,-0.04459058,-0.02371626,0.002593589,0.01976061,0.058301,-0.3376917,6.298047,354.0508,359.0506,-0.001046053,-0.00398079,0.0009054267,0.03804791,0.02295818,0.02888249,-0.1161198,-0.825397,-0.3511353,63.59632,332.1633,303.1872,0.0296161,0.00141973,0.01378589,0.1244049,0.09187001,-0.1229639,0.250049,-0.8051097,-0.33567,71.6104,28.36574,41.33257,
151.003,0.0008465094,-0.0053285,0.01042328,-0.04671043,-0.02680423,-0.003119635,0.01976168,0.05821897,-0.3375584,6.338147,354.0812,359.0509,-0.005008315,-0.007224989,-0.000578536,0.02325653,0.02775583,0.07004014,-0.1161714,-0.8255489,-0.3510822,63.61907,332.0551,303.1591,0.03060736,0.004896244,0.01430862,0.192311,-0.02084926,-0.212388,0.2504991,-0.8051047,-0.3355743,71.49777,28.23352,40.73226,
164.703,0.000854244,-0.005563122,0.009721603,-0.04561591,-0.02151258,-0.01174285,0.01978099,0.05814505,-0.3374355,6.375153,354.0902,359.0656,-0.006946827,-0.008199254,-0.0007843289,0.02053381,0.01082675,0.07068766,-0.11621,-0.825565,-0.3510949,63.62361,331.9624,303.1198,0.02656462,0.000738,0.01097695,0.1423081,-0.06760179,-0.2130716,0.2506782,-0.8053241,-0.3354359,71.55412,28.2512,40.53405,
178.823,0.0006652283,-0.00557079,0.009074051,-0.03933002,-0.016414,-0.01916608,0.01982331,0.05814014,-0.3372923,6.398193,354.0998,359.0872,-0.006701862,-0.008021281,-0.000991385,0.01744641,-0.006006617,0.04920473,-0.116246,-0.8256686,-0.3510883,63.6147,331.9035,303.0848,0.02376568,-0.001485459,0.007420333,0.08961198,-0.03299204,-0.1666606,0.2507611,-0.8052958,-0.3354537,71.5634,28.39394,40.69915,
192.768,0.0004981211,-0.004674989,0.008465664,-0.0353146,-0.009341477,-0.02104091,0.01986194,0.05816972,-0.3371577,6.423993,354.1004,359.0987,-0.005499589,-0.008043546,-0.002343382,-0.002511146,-0.009456536,0.04398673,-0.1162786,-0.8257402,-0.3511147,63.61763,331.8294,303.0268,0.02036371,-0.003816487,0.004285635,0.03330009,0.002260774,-0.1114275,0.2507903,-0.8053471,-0.3353942,71.58138,28.51213,40.88428,
206.511,-0.000107914,-0.003693578,0.008007887,-0.02861326,-0.008056673,-0.02139437,0.0198555,0.05815969,-0.3370502,6.439345,354.1103,359.1089,-0.002350071,-0.006181944,-0.002925164,-0.002408737,-0.004450492,0.02031265,-0.1162871,-0.8257848,-0.3511485,63.61705,331.8073,303.0096,0.0152183,-0.003726583,0.001541291,0.004373551,0.02015344,-0.04334307,0.250875,-0.805299,-0.3353864,71.58376,28.5094,40.92604,
220.605,-0.00058378,-0.003065242,0.007460385,-0.02152729,-0.005429367,-0.01346932,0.01983666,0.05813195,-0.3369594,6.443195,354.1096,359.1031,0.0009662409,-0.004680008,-0.003280859,-0.008249545,0.008157866,0.006858364,-0.1162855,-0.8258361,-0.3511777,63.62508,331.794,303.0004,0.01117637,-0.004518951,-0.002318672,-0.03728496,0.0340276,0.009588614,0.2509885,-0.8053142,-0.3353897,71.59413,28.58586,41.04325,
234.645,-0.0007556698,-0.00255811,0.006474718,-0.01981415,-0.0005925302,-0.01528435,0.01983142,0.05809097,-0.3368968,6.467058,354.1053,359.1214,0.004471152,-0.003102896,-0.002142415,0.001466656,0.02448784,-0.01566047,-0.1162482,-0.8258775,-0.3512143,63.64055,331.8326,303.0417,0.008338832,-0.005834071,-0.006176956,-0.06544104,0.03558127,0.03818419,0.2511018,-0.8053403,-0.3354589,71.62293,28.67911,41.20922,
248.58,-0.0007593238,-0.002032359,0.005528486,-0.01591001,0.008531462,-0.02117468,0.01984227,0.05803178,-0.3368505,6.475617,354.0891,359.1505,0.004176191,-0.002589208,-0.0008465988,0.00703219,0.01866713,-0.01224099,-0.116209,-0.8259158,-0.3512324,63.64809,331.8687,303.0793,0.006319678,-0.007423145,-0.008920373,-0.07677741,0.01962849,0.03910582,0.2511874,-0.8054054,-0.3355261,71.667,28.74645,41.33305,
262.048,-0.001225189,-0.001396721,0.004794299,-0.01247582,0.008687371,-0.01694946,0.01983166,0.05799292,-0.3368084,6.480148,354.0849,359.1492,0.001735152,-0.002622568,0.0001397271,0.01656293,0.005737336,0.001320642,-0.1161828,-0.8259615,-0.3512413,63.64373,331.8861,303.1024,0.005671587,-0.007930359,-0.009475874,-0.07522013,0.01593859,0.02351226,0.2512549,-0.8054359,-0.3355812,71.70486,28.83345,41.45412,
276.174,-0.001415736,-0.001091873,0.003916564,-0.008441214,0.01144528,-0.005203215,0.01980829,0.0579834,-0.3367757,6.479057,354.0701,359.1411,-0.0008837616,-0.003743745,-0.000193543,0.01949468,0.008026729,0.02585003,-0.1161827,-0.8260353,-0.3512469,63.6409,331.8668,303.1073,0.004648075,-0.007226681,-0.007862737,-0.05206253,0.01027013,0.0222223,0.2513059,-0.8054569,-0.3356183,71.71995,28.85612,41.50003,
290.083,-0.001336289,-0.0007683423,0.003128814,-0.004545921,0.01312255,-0.002751601,0.01979041,0.05797774,-0.3367505,6.475166,354.058,359.1414,-0.002050679,-0.004945697,-0.0006774981,0.01829953,0.01260728,0.03387549,-0.1162099,-0.8261333,-0.3512634,63.64258,331.8317,303.1083,0.004438851,-0.006340746,-0.007219234,-0.03879857,0.008352381,0.01236653,0.2513636,-0.8054677,-0.3356533,71.73544,28.89191,41.55099,
303.845,-0.001515203,-0.0004117253,0.002695265,0.003696193,0.01279746,-0.005376911,0.01976895,0.05801235,-0.3366941,6.462359,354.0516,359.1537,-0.003207489,-0.006322389,-0.001321179,0.01531301,0.01107624,0.04225768,-0.1162501,-0.8262555,-0.3512823,63.64941,331.7818,303.0976,0.004164362,-0.005620039,-0.00606121,-0.0214811,0.003298162,0.008616336,0.2514189,-0.8054775,-0.3356847,71.74551,28.90957,41.5778,
317.92,-0.001586172,0.0002588424,0.002423677,0.01093315,0.01564506,-0.002971896,0.01975179,0.05807389,-0.3366308,6.443302,354.0348,359.1586,-0.003919722,-0.007022637,-0.001064464,0.008917887,-0.006440732,0.03991384,-0.1162949,-0.8263758,-0.3512948,63.64682,331.7225,303.0638,0.004775816,-0.00563504,-0.006024753,-0.01030879,0.004353026,-0.006500288,0.2514899,-0.8055303,-0.3357015,71.75037,28.9354,41.60434,
331.856,-0.001620714,0.0006834776,0.002165855,0.01891232,0.01715333,-0.0040878,0.01973557,0.05812727,-0.3365788,6.41475,354.0178,359.1724,-0.003387786,-0.00717779,-0.000784896,0.01179041,-0.003036609,0.03726684,-0.1163322,-0.8264909,-0.3513005,63.64344,331.671,303.0374,0.005276207,-0.007524788,-0.007524307,-0.01897663,0.005944968,-0.01851631,0.2515738,-0.8056418,-0.3357579,71.76023,29.00006,41.66232,
345.722,-0.001269549,0.0008023508,0.001556119,0.02142908,0.02067921,-0.004889233,0.01972711,0.05814171,-0.3365725,6.398242,353.9964,359.1826,-0.002278225,-0.006994038,-0.000923879,0.01397739,0.009876062,0.04107149,-0.116358,-0.8266037,-0.3513019,63.64616,331.6238,303.0235,0.005396336,-0.009881945,-0.01057553,-0.04874915,0.01312716,-0.02320375,0.2516502,-0.8057916,-0.3358788,71.7904,29.15452,41.81567,
359.896,-0.001185195,0.001002182,0.001107029,0.01944379,0.0187051,-0.001335375,0.01971245,0.05816038,-0.336568,6.387499,353.9874,359.1782,-0.0008710175,-0.006346844,-0.0007208183,0.01814341,0.01445732,0.03964159,-0.1163631,-0.8267019,-0.3512999,63.65072,331.5864,303.0213,0.003581563,-0.01131748,-0.01281487,-0.0638541,0.01530777,-0.008962227,0.251684,-0.8059396,-0.3360296,71.82708,29.28715,41.96724,
373.914,-0.0009843307,0.001370837,0.0006908259,0.02209262,0.01707655,0.001158662,0.01970196,0.05818821,-0.3366143,6.361887,353.9746,359.1827,0.0009713519,-0.00545682,-0.000574602,0.01595161,0.0112504,0.02645469,-0.1163504,-0.8267769,-0.3513026,63.65168,331.5664,303.026,0.0009021992,-0.0122215,-0.01413945,-0.0735618,0.01224619,0.01309473,0.2516827,-0.8060937,-0.3361979,71.8707,29.3754,42.09902,
387.553,-0.0005911305,0.00171109,0.0006348696,0.02538695,0.01718151,-0.003652389,0.01970065,0.05821973,-0.3366546,6.342029,353.963,359.2041,0.002931996,-0.004794213,-0.0008212817,0.00515173,0.006597092,0.008945948,-0.1163153,-0.8268192,-0.3513151,63.65404,331.5583,303.0292,-0.001628146,-0.01252723,-0.01467393,-0.08264142,0.02276563,0.04773317,0.2516429,-0.806273,-0.3363879,71.91212,29.43628,42.24668,
