time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.505,-0.03941151,-0.002162162,0.02213829,-0.03940212,-0.06409895,0.05358908,-0.001931667,0.1121844,-0.2551714,9.529301,352.0856,346.7605,-0.04643767,0.02932756,-0.00930129,0.005764645,0.1559043,-0.05937605,-0.2373165,0.09421124,-0.1779646,323.2346,294.7043,114.2017,-0.07334834,0.06106696,0.08819733,-0.184644,-0.09677552,0.3114989,-0.4985818,-0.2411584,-0.2185407,15.99304,274.7785,100.5725,
13.108,-0.03956005,-0.001778108,0.02066248,-0.02655627,-0.06032301,0.04757377,-0.002482533,0.1121224,-0.25493,9.508159,352.1168,346.7404,-0.04822052,0.02070855,-0.003836788,0.05481533,0.1364172,-0.03438174,-0.2380693,0.09419836,-0.1779572,323.2264,294.7432,114.3165,-0.07168435,0.05223751,0.0821428,-0.1175289,-0.1306943,0.3270789,-0.4996724,-0.2407361,-0.2177992,15.94174,274.982,100.376,
26.05,-0.03979819,-0.001784772,0.01951393,-0.01227331,-0.05861851,0.04730445,-0.003040552,0.1120713,-0.2546977,9.476387,352.1394,346.695,-0.05081986,0.01317519,-0.003251541,0.08475933,0.1171795,-0.06447152,-0.2387404,0.09418517,-0.1779337,323.2377,294.6423,114.5207,-0.06452337,0.04218499,0.0733014,-0.03697836,-0.1760198,0.3037491,-0.5002692,-0.2404457,-0.2172184,15.96775,275.0882,100.1178,
40.142,-0.04020637,-0.001617999,0.01836312,-0.008020888,-0.05764338,0.04676037,-0.00361085,0.1120695,-0.2544693,9.464619,352.1711,346.6526,-0.05359391,0.009607767,-0.004999261,0.05982921,0.08650412,-0.1271602,-0.2395857,0.09449884,-0.1778282,323.2397,294.3934,114.716,-0.05124408,0.02350194,0.05264399,0.09511726,-0.1960198,0.1538434,-0.5005055,-0.2403431,-0.2169717,16.20604,274.909,99.88001,
53.971,-0.04030676,-0.001480212,0.01710153,-0.002315161,-0.05425375,0.04513871,-0.004216432,0.1120713,-0.2542239,9.440982,352.1939,346.6182,-0.05394724,0.0111178,-0.00117474,0.007437672,0.0503994,-0.1215731,-0.2399993,0.09444296,-0.1776458,323.2183,294.2645,114.7348,-0.03354606,0.005664504,0.02304345,0.2036379,-0.2113574,-0.08331642,-0.5006937,-0.2405332,-0.2170837,16.51072,274.4167,99.68924,
67.567,-0.04075896,-0.001229421,0.01640773,0.0008371788,-0.05964865,0.04575088,-0.004869223,0.1120978,-0.2539495,9.411694,352.2352,346.5707,-0.05429161,0.01038979,0.006916925,0.005383747,0.017138,-0.09697862,-0.2410431,0.09487548,-0.1771435,323.2495,294.2167,114.7461,-0.0200004,-0.01018842,-0.005786438,0.3235028,-0.2929198,-0.217876,-0.5008227,-0.240648,-0.2173903,16.87671,273.8728,99.28712,
81.777,-0.04132186,-0.000616333,0.01618531,0.007967467,-0.06786471,0.04333974,-0.005501032,0.1121441,-0.2536979,9.372283,352.2873,346.5399,-0.05481925,0.009793775,0.01658861,0.04819119,0.04470179,-0.04679276,-0.2418704,0.09495515,-0.1767558,323.2387,294.2796,114.8292,-0.0117862,-0.02110647,-0.02114629,0.3920691,-0.3346098,-0.2664355,-0.5008196,-0.2406389,-0.2172755,17.21665,273.4197,98.87794,
95.714,-0.04161607,0.0008346993,0.01622685,0.01922319,-0.06699876,0.03107905,-0.006078243,0.1122061,-0.2534612,9.328025,352.3233,346.5438,-0.05349254,0.007543467,0.02121156,0.07003774,0.04791045,-0.04919762,-0.2420727,0.09468713,-0.1763996,323.255,294.2375,114.9614,-0.01429741,-0.0274685,-0.0137284,0.3378471,-0.2023467,-0.181399,-0.5020876,-0.241395,-0.2171263,17.41273,273.4041,98.86309,
109.707,-0.04196022,0.002559181,0.01648219,0.03333,-0.06622394,0.01624632,-0.006662607,0.1122772,-0.2532248,9.27136,352.3669,346.5569,-0.05064994,0.007191416,0.02335487,0.04188046,0.03995042,-0.02903688,-0.2432398,0.09525515,-0.1759643,323.2291,294.255,114.9515,-0.01807163,-0.02826779,-0.005980283,0.2568949,-0.08389187,-0.177882,-0.5019238,-0.2414,-0.2170193,17.52638,273.3186,98.97121,
123.489,-0.04257765,0.004031294,0.01712749,0.04435025,-0.07305424,0.009737422,-0.007242204,0.11229,-0.2529998,9.206495,352.4281,346.5573,-0.04948862,0.006981267,0.02334072,0.02602795,0.0610239,-0.004938229,-0.2437991,0.0949718,-0.1758815,323.1609,294.2911,114.9634,-0.02098629,-0.02995058,0.003821413,0.2122969,0.01244532,-0.1785747,-0.5034237,-0.2424469,-0.2165677,17.66603,273.2466,99.12682,
