time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.51,-0.009665193,0.0533576,0.004498467,0.2125563,0.558882,0.08741035,-0.1422029,0.1470998,-0.08972955,3.635299,13.40066,357.6693,-0.1472165,0.1275151,0.8063478,-1.049196,2.66539,0.07993793,0.02778469,-0.2738746,-0.03875199,344.2335,91.52926,358.1107,0.1892611,0.1735912,0.8276729,-1.782014,1.922612,-0.530425,0.1264648,-0.2943285,-0.2129004,337.1181,58.9124,0.3869303,
12.769,-0.01220683,0.05690276,0.006144863,0.2415485,0.6125675,0.06994805,-0.1424326,0.1479149,-0.08966672,3.449714,12.81374,357.5798,-0.2025449,0.1239323,0.8415334,-1.089097,2.789234,0.1231526,0.02374494,-0.2724227,-0.02868843,344.0234,88.88877,358.4202,0.1567285,0.167206,0.8761155,-1.878582,2.023237,-0.5393658,0.1292232,-0.2922513,-0.2012061,336.7852,56.28045,1.323341,
26.496,-0.01487593,0.05810115,0.006131404,0.252747,0.661117,0.05772509,-0.1427183,0.1486654,-0.08962595,3.304507,12.2171,357.5075,-0.2646393,0.1192094,0.8730104,-1.171501,2.897589,0.1323776,0.01885315,-0.2711206,-0.01840704,343.7534,86.14353,358.744,0.1141817,0.1678097,0.9215346,-1.952611,2.152601,-0.6503711,0.1312485,-0.2898649,-0.1889973,336.4141,53.48047,2.189804,
40.408,-0.01693164,0.05644839,0.003675694,0.2368541,0.7068761,0.06979926,-0.1429892,0.1493275,-0.08969712,3.219028,11.57361,357.4025,-0.3318078,0.1102214,0.9005427,-1.222892,3.03725,0.08535631,0.01280913,-0.2700346,-0.007887948,343.5483,83.26219,359.0127,0.0726476,0.175038,0.9558692,-1.977505,2.257079,-0.8170155,0.1328909,-0.2874776,-0.176556,335.9759,50.6161,2.963647,
54.051,-0.01913034,0.05261897,0.0003023846,0.2146725,0.7401603,0.1066669,-0.143353,0.1499033,-0.089782,3.16966,10.91425,357.2568,-0.4053397,0.1002629,0.9240547,-1.273862,3.179235,-0.003384084,0.0060215,-0.2690778,0.002808709,343.3528,80.26746,359.2226,0.02481523,0.1886382,0.9931586,-1.966346,2.301999,-0.9778428,0.1339881,-0.2845879,-0.163,335.5199,47.78297,3.711888,
68.142,-0.02166706,0.04869972,-0.003485211,0.1865181,0.7724725,0.1506529,-0.1437953,0.1504727,-0.08990049,3.15851,10.23492,357.0931,-0.4728115,0.09185684,0.9415396,-1.311365,3.317402,-0.0979711,-0.001467824,-0.2681251,0.01351283,343.1889,77.15877,359.4196,-0.02046302,0.2028353,1.030439,-1.916049,2.301776,-1.032803,0.1341584,-0.2814585,-0.1490419,335.2292,45.07178,4.46353,
82.119,-0.02405959,0.04611431,-0.00741662,0.1627596,0.803979,0.1985201,-0.1441932,0.1510845,-0.09008229,3.16477,9.531978,356.8932,-0.552967,0.08209802,0.9569792,-1.319358,3.499742,-0.2159114,-0.009857506,-0.2670654,0.02421199,343.0798,73.85403,359.5471,-0.07280532,0.219565,1.059561,-1.833169,2.302628,-1.170143,0.1333115,-0.2783434,-0.1351346,334.8126,42.3734,5.110771,
95.868,-0.02600051,0.04473028,-0.01129013,0.1532114,0.81999,0.2441308,-0.1445932,0.1517353,-0.09033453,3.174631,8.839827,356.66,-0.6397231,0.07400812,0.9630569,-1.33714,3.665539,-0.3794082,-0.02063351,-0.2667019,0.03465691,342.8929,70.43837,359.5898,-0.1329409,0.2320163,1.087305,-1.737202,2.421509,-1.269475,0.1320778,-0.2747396,-0.1201306,334.5239,39.5126,5.627929,
109.872,-0.02704939,0.04353306,-0.01495657,0.1583737,0.8243636,0.2801005,-0.1449482,0.1522905,-0.09063494,3.151947,8.143214,356.4137,-0.7313992,0.06612232,0.9603199,-1.34439,3.827067,-0.5755942,-0.03112637,-0.2660836,0.04502036,342.667,66.90369,359.556,-0.1999298,0.2342338,1.110385,-1.636673,2.591568,-1.371044,0.1290895,-0.2715496,-0.1060785,334.2599,36.4963,6.028923,
123.555,-0.0276321,0.04135624,-0.01854611,0.1663282,0.8203681,0.3085012,-0.1453309,0.1527501,-0.09099579,3.122862,7.453373,356.1451,-0.8202692,0.05422083,0.9491159,-1.247809,3.996471,-0.695516,-0.04308202,-0.2655781,0.05489531,342.6396,63.30417,359.4718,-0.2870939,0.2546714,1.121984,-1.531598,2.87015,-1.618894,0.1259514,-0.2677963,-0.09072623,333.8149,33.07977,6.327732,
