time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.476,-0.02568564,0.1640474,0.1613619,-0.2681392,0.2260151,0.09641086,-0.7759138,0.02913794,0.5186653,354.8921,10.92259,357.8715,0.1961462,1.583759,0.4660395,3.831167,-0.2414358,-0.5806608,-0.8922527,-0.4442152,0.638492,351.4188,356.1982,5.944578,-0.3661647,-1.745759,-0.4531182,-3.337206,1.641479,-5.266821,-0.7210667,-0.4750419,0.623987,11.69001,1.224924,3.573831,
12.999,-0.005491892,0.2998975,0.1827896,-0.1484688,0.2485641,0.08570911,-0.7753499,0.03673849,0.5218179,354.8593,10.70166,357.8721,0.1664516,1.860972,0.5062406,4.098525,0.1134395,-0.8022845,-0.8901836,-0.4151259,0.6467651,347.8189,355.5224,7.491352,-0.2626332,-1.585955,-0.4109988,-3.550406,1.765804,-4.297869,-0.7217321,-0.4904622,0.6215066,14.68686,0.764819,6.031039,
26.057,0.01571691,0.4234416,0.2026121,-0.121396,0.2470364,0.02952894,-0.7745694,0.04507953,0.5250427,354.9666,10.51077,358.0061,0.1469855,2.06331,0.5094652,4.24452,0.2434944,-1.088106,-0.8879249,-0.3853586,0.6542351,344.3906,354.9194,9.384799,-0.1768668,-1.492605,-0.3754929,-4.674052,1.627541,-1.869644,-0.7199892,-0.5039604,0.6206833,20.49086,359.1944,3.81835,
40.05,0.03566363,0.5215164,0.2176217,-0.1769454,0.2344905,-0.02129796,-0.7735151,0.05425674,0.5282941,355.214,10.33015,358.1851,0.1456424,2.182651,0.4776378,4.421822,0.194794,-1.20998,-0.8854415,-0.3563054,0.660747,340.7769,354.6157,11.18635,-0.1236051,-1.39691,-0.3697875,-5.745476,0.997972,0.3409439,-0.7191359,-0.5153027,0.6186566,26.94862,357.1682,359.1726,
54.005,0.05384941,0.5942143,0.2314287,-0.2096881,0.1847844,-0.05572812,-0.7722873,0.06369692,0.5318485,355.3636,10.27157,358.3358,0.1559896,2.258189,0.4142849,4.63976,0.2025191,-1.059703,-0.8827351,-0.3276561,0.6662071,336.8,354.4572,12.41298,-0.1357761,-1.230954,-0.3797575,-6.503377,0.4577411,2.341052,-0.7185917,-0.5237396,0.6170231,32.89561,352.8829,351.6664,
67.912,0.07113217,0.6385557,0.2451206,-0.16105,0.1048609,-0.1070624,-0.7708595,0.0726929,0.5356317,355.2732,10.30683,358.5138,0.1701593,2.256483,0.327132,4.780291,0.4725798,-0.6541772,-0.8797143,-0.3011452,0.6706887,332.6122,354.1807,12.65514,-0.1365837,-1.023977,-0.3715718,-6.35876,0.159624,3.031043,-0.7171236,-0.5300267,0.6156052,36.67645,348.7436,345.55,
81.721,0.08840004,0.6513458,0.2561533,-0.03391797,0.02049975,-0.1738034,-0.7692861,0.08075842,0.539373,354.9568,10.38829,358.6637,0.1797624,2.190673,0.2616828,4.710303,0.7596369,-0.3804733,-0.8768185,-0.2769761,0.6744671,328.7935,353.7537,12.67698,-0.02720389,-0.7944824,-0.3015805,-4.802433,-0.1677353,2.059538,-0.7139094,-0.5328165,0.6135738,37.65961,349.1251,344.8394,
95.832,0.1018673,0.6282713,0.2628962,0.1477332,-0.05500247,-0.2361553,-0.7675905,0.08756492,0.5431167,354.4166,10.49418,358.7881,0.1876867,2.054837,0.1903779,4.549984,1.088826,-0.1835354,-0.8738931,-0.2565449,0.6772946,325.1819,353.1699,12.3701,0.101676,-0.5715274,-0.210243,-2.66635,-0.09368904,0.5625825,-0.712118,-0.5352372,0.6119915,36.53622,352.0196,348.0522,
110.22,0.1128788,0.5745229,0.2651436,0.3561084,-0.09641609,-0.3134002,-0.7657929,0.09263542,0.5467186,353.658,10.55588,358.938,0.1980253,1.855604,0.1385377,4.127715,1.346531,0.002467357,-0.8708489,-0.2398551,0.6799812,322.3088,352.7455,11.6359,0.1314389,-0.3808738,-0.1351718,-0.83167,0.9438938,-0.4873736,-0.7115676,-0.5368413,0.6106402,34.77652,353.4803,352.7651,
123.413,0.1228939,0.4712648,0.2619695,0.6323786,-0.1077912,-0.4285196,-0.7638918,0.09478202,0.5500993,352.5388,10.53815,359.1118,0.2034492,1.602163,0.09670816,3.616139,1.696288,0.0992439,-0.8678264,-0.2277203,0.6820664,319.921,352.1382,10.47516,0.09487619,-0.2861334,-0.08536573,-0.03047245,2.152193,-0.8214081,-0.7116066,-0.5395746,0.6122849,34.04502,353.1682,356.8228,
