time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
4.529,0.0070052,0.0004929479,0.004157481,0.01270225,-0.02082538,-0.002261874,-0.7643054,0.01842886,0.4872778,359.2443,4.562651,0.01555225,-0.002549098,-0.002206539,0.00499439,-0.003788384,0.01513232,-0.005079975,-0.8939867,-0.5428464,0.6430672,1.388621,347.9294,356.1023,-0.001477373,-0.013786,0.01084273,-0.109284,0.0151062,0.02435947,-0.7130845,-0.5434093,0.6359906,2.024937,2.340761,351.8344,
33.422,0.007201382,0.0009266488,0.0073983,0.01696162,-0.003527439,0.02691911,-0.7638072,0.01850215,0.4877674,359.1942,4.585988,359.9294,-0.001815875,-0.003263303,0.003808304,-0.009128443,0.007597745,-0.00205597,-0.8940265,-0.5429546,0.6433651,1.404232,347.887,356.0655,-0.001847715,0.0006279702,0.002733947,0.03410542,0.03686975,0.0438008,-0.7130687,-0.5434139,0.6362384,2.074553,2.253744,351.6559,
40.064,0.007208803,0.0008418544,0.007387243,0.009590589,-0.003567295,0.0280027,-0.7635069,0.01853403,0.4880726,359.2051,4.585296,359.843,-0.001276684,-0.003494472,0.003856868,-0.01918124,0.00380947,-0.002811673,-0.8940331,-0.5429747,0.6434275,1.417249,347.8858,356.0626,-0.001851527,0.001676024,0.002122127,0.04489847,0.0346493,0.03129962,-0.7130648,-0.5434034,0.6362575,2.044504,2.222719,351.6351,
53.274,0.007282698,0.0006989008,0.007094937,-0.005417398,-0.003625158,0.02806653,-0.7634045,0.0185222,0.4881439,359.2692,4.60161,359.8586,-0.000348822,-0.001351171,0.002869627,-0.003979368,-0.003777943,0.01543963,-0.8940263,-0.5429728,0.6434231,1.41359,347.8879,356.0511,-0.001580216,0.008207775,-0.0001669949,0.1017282,0.04010548,0.03893052,-0.7129587,-0.5431296,0.6359014,1.887148,2.128722,351.5643,
73.131,0.007410987,-0.000530365,0.007424908,-0.008594999,-0.003688233,0.02102592,-0.7632942,0.01842463,0.4882588,359.2713,4.598858,359.8744,0.0001537949,0.0006154679,0.001866484,0.01569333,-0.01216365,0.02616554,-0.8940209,-0.5429687,0.6434699,1.395356,347.8963,356.0267,-8.666601E-05,0.02060574,-0.004846574,0.2048774,0.03415712,0.08691871,-0.7127752,-0.5425124,0.6355225,1.308406,1.941814,351.2577,
90.225,0.007251169,-0.00160229,0.007426426,-0.01671938,-0.0079967,0.01692908,-0.7631881,0.01833922,0.4883562,359.309,4.633503,359.8715,-0.001288868,-0.0007435943,0.002649002,-1.643864E-05,0.006408364,0.01192122,-0.8939896,-0.5429376,0.6435301,1.393429,347.8895,356.0106,0.0004854121,0.02866787,-0.006746419,0.2497049,0.03785549,0.1162007,-0.7126198,-0.5419337,0.6355178,0.8268263,1.778564,350.9625,
108.118,0.006939617,-0.001920904,0.007326079,-0.01598698,-0.009074157,0.01467991,-0.7631012,0.01829275,0.4884442,359.2992,4.622213,359.8707,-0.002061677,-0.002844641,0.004130907,-0.01706856,0.01250429,-0.009088527,-0.8939793,-0.5429288,0.6436217,1.410615,347.8765,356.0126,0.004697588,0.02525817,-0.002630356,0.1894581,0.0007246226,0.1053864,-0.7124599,-0.5421389,0.6359913,0.9501128,1.913131,350.9731,
124.517,0.006579162,-0.002141783,0.007426333,-0.01374615,-0.00593855,0.007869254,-0.7630333,0.01824826,0.4885413,359.3121,4.628872,359.8781,-0.001590429,-0.002819136,0.004665293,-0.01551081,0.007318677,-0.004010483,-0.8939714,-0.5429243,0.643703,1.424024,347.8705,356.0139,0.002378303,0.01802424,0.003187732,0.1089929,0.01115718,0.05743641,-0.7126467,-0.5420687,0.6362604,1.172883,1.929165,351.1091,
140.899,0.006155024,-0.002524926,0.007447582,-0.01345953,-0.003855038,0.00243531,-0.762967,0.01819348,0.4886328,359.3194,4.62577,359.8929,-0.001213028,-0.0006360877,0.004288297,0.001290711,0.005860009,0.01457785,-0.893961,-0.5429093,0.6437628,1.419628,347.8641,356.0035,0.006693299,0.01227354,0.005552392,0.06049059,-0.05464325,-0.002235536,-0.7126056,-0.542116,0.6361808,1.181887,2.052923,351.1951,
156.664,0.005775357,-0.002480148,0.007150715,-0.01660675,-0.001728293,0.002876657,-0.7628956,0.01816204,0.4887031,359.3416,4.622299,359.8935,-0.0009728973,1.633773E-05,0.004105575,0.01167657,0.002874826,0.01562799,-0.8939543,-0.5429029,0.6438267,1.404145,347.8582,355.9921,0.004342203,0.005792625,0.007915114,0.03796025,-0.010939,0.003087482,-0.7125255,-0.5421294,0.6362998,1.184414,2.018537,351.1823,
172.533,0.005443939,-0.002402926,0.006969912,-0.01586006,-0.0006803402,0.0006060263,-0.7628285,0.01813349,0.488781,359.3519,4.621216,359.9007,-0.0006546248,-0.001888259,0.004283543,-0.001253234,0.004834991,0.007129777,-0.893948,-0.5429163,0.6438863,1.401923,347.8568,355.9863,0.007140552,0.0005291423,0.008614423,0.00342149,-0.03810641,-0.01543408,-0.7124453,-0.542125,0.6364315,1.180524,2.063119,351.2044,
187.604,0.00512485,-0.002140631,0.006772873,-0.01632357,-0.0007017649,-0.002545475,-0.762765,0.01812112,0.4888557,359.3641,4.620964,359.9121,-0.0005493998,-0.003663656,0.004548718,-0.007841248,0.007524605,-0.006123732,-0.8939437,-0.5429335,0.643955,1.411541,347.8516,355.9882,0.008808082,-0.003134168,0.008606436,-0.02169312,-0.0438711,-0.009315361,-0.7123351,-0.5421579,0.6365583,1.202808,2.107973,351.2142,
202.555,0.00494316,-0.001676845,0.006089488,-0.0161605,0.001431558,-0.001518288,-0.7626994,0.01812196,0.4889018,359.3767,4.614265,359.9125,0.0004247225,-0.004046562,0.004252394,-0.01037364,0.00772445,0.00201037,-0.8939276,-0.542955,0.6440106,1.418751,347.8461,355.9842,0.009634894,-0.004611512,0.007106233,-0.02847986,-0.04147068,0.009622579,-0.7122268,-0.5421941,0.6366535,1.227454,2.147967,351.2002,
217.401,0.004747554,-0.001487749,0.005531487,-0.01028392,0.002520948,0.00189076,-0.7626467,0.01811451,0.4889358,359.3741,4.610081,359.9023,0.001967026,-0.003887993,0.00382908,-0.01195125,0.001119267,0.008389946,-0.8938933,-0.5429702,0.6440575,1.424522,347.8447,355.9741,0.009250819,-0.004010487,0.004991958,-0.0166284,-0.0315997,0.03069409,-0.7121369,-0.542218,0.6367046,1.234148,2.168154,351.1714,
232.077,0.004845847,-0.001069669,0.00506581,-0.01000139,0.003556604,-0.003528994,-0.762581,0.01812106,0.4889662,359.3793,4.603863,359.9168,0.003857496,-0.002137996,0.003089816,-0.007591431,-0.009359973,0.01447339,-0.8938328,-0.542967,0.6440998,1.426504,347.8517,355.9582,0.007349763,-0.002457531,0.002796042,-8.980023E-05,-0.01327902,0.02569429,-0.7120684,-0.5422291,0.6367373,1.230947,2.171005,351.1548,
246.79,0.005041624,-0.0003860368,0.004946636,-0.002632561,0.006750743,-0.004653322,-0.7625022,0.01813826,0.4890286,359.3672,4.590529,359.9202,0.004165547,7.917971E-05,0.002169621,0.007183771,-0.01104266,0.01015335,-0.8937793,-0.5429436,0.6441224,1.419237,347.859,355.9521,0.006291062,-0.001609549,0.001485401,0.003376253,-0.007927487,0.01689806,-0.7120025,-0.5422418,0.6367579,1.228699,2.173798,351.144,
261.266,0.005313226,0.0001432131,0.004918647,0.009271134,0.008930437,0.003221983,-0.7624156,0.01815286,0.4891002,359.3374,4.57877,359.8976,0.004411615,0.0006570543,0.002106313,0.004637133,-0.01206342,0.002706317,-0.893729,-0.5429148,0.6441486,1.414079,347.8694,355.9518,0.005094682,-0.001229065,0.0008243725,0.01191006,0.0005514407,0.003746362,-0.7119332,-0.542271,0.6367725,1.220227,2.173579,351.1414,
275.79,0.00561155,0.0005858429,0.004875541,0.01379557,0.003662425,0.01226594,-0.7623278,0.01817638,0.489161,359.322,4.587428,359.8658,0.00420694,0.0008512699,0.002224061,0.001827096,-0.006772318,0.00170025,-0.8936706,-0.5428759,0.6441796,1.411696,347.8751,355.9532,0.00361876,-0.002463199,0.0008979235,0.00550687,0.01260038,0.00288285,-0.7118684,-0.5423123,0.6367872,1.215585,2.164054,351.1399,
289.966,0.005859583,0.0008725622,0.004658232,0.01529921,-0.0005748933,0.01530266,-0.7622417,0.01820239,0.4892025,359.3071,4.606521,359.8427,0.004073922,0.0006654941,0.002256721,0.006991068,-0.008052467,-0.001137613,-0.8936247,-0.542843,0.6441987,1.40872,347.8813,355.9575,0.002982903,-0.003627303,0.00152907,0.001244776,0.01048413,-0.009915256,-0.7118111,-0.5423679,0.6368126,1.213867,2.151757,351.1469,
304.5,0.006069518,0.0008355246,0.004458215,0.01088571,-0.008070269,0.007450541,-0.7621521,0.01821738,0.4892397,359.3082,4.617457,359.8542,0.004272439,0.0001177176,0.002598769,0.009948469,-0.01588656,0.004441146,-0.8935719,-0.5428181,0.6442245,1.400029,347.8922,355.9599,0.003563095,-0.004022043,0.002324476,-0.005125886,-0.001695966,-0.01573992,-0.7117689,-0.5424167,0.6368465,1.217163,2.151853,351.1582,
