time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.55,-0.009502045,0.005672783,-0.02601562,0.04408348,-0.121225,-0.02127154,-0.9396765,0.02564144,0.3689316,359.1276,22.2464,356.7304,0.01763142,-0.003798891,0.0008442317,-0.04149186,-0.08145669,-0.0865533,-1.087417,-0.5638827,0.4390225,26.61648,24.91188,352.2322,-0.0108171,-0.002629213,0.002853891,-0.05353868,0.01068352,0.06379493,-0.8098747,-0.5272873,0.2530275,11.32773,70.04646,20.1575,
12.975,-0.01470924,0.00588146,-0.02620882,0.02626974,-0.08982442,-0.03928132,-0.9400212,0.0257208,0.3685625,359.1021,22.26756,356.7856,0.007326422,-0.005289461,0.001115197,-0.04406919,-0.03247584,-0.04520728,-1.087402,-0.5639016,0.439042,26.63535,24.89827,352.2492,-0.009807324,-0.001559897,0.00230158,-0.159212,-0.05933866,0.1190137,-0.8101926,-0.5273309,0.2531695,11.28292,70.16413,20.54018,
26.481,-0.01867775,0.005778487,-0.0262838,0.004744729,-0.06296579,-0.04943407,-0.9403747,0.02580899,0.3682034,359.0877,22.27373,356.848,-0.002975875,-0.004693639,0.001160455,-0.02480652,0.01678605,-0.01271645,-1.087434,-0.5639277,0.4390563,26.64148,24.89071,352.2646,-0.009587257,0.0037954,0.0002931378,-0.1554919,-0.04848979,0.07207868,-0.810324,-0.5272208,0.2530246,11.21445,70.20012,20.59473,
40.148,-0.02231871,0.005820909,-0.02631295,-0.005888843,-0.03056584,-0.0582456,-0.9407578,0.02592611,0.3678451,359.0689,22.25161,356.9003,-0.009874513,-0.001392318,-0.0001295782,-0.004964282,0.04560409,-0.008183091,-1.087573,-0.5639492,0.4390596,26.63461,24.87078,352.2974,-0.00941741,0.01626199,-0.003163055,-0.1040797,0.006980505,-0.05594786,-0.8103497,-0.5271021,0.2529439,11.0914,70.18961,20.47473,
54.196,-0.02475482,0.006581631,-0.02571956,-0.004009764,-0.009790231,-0.06436151,-0.9411007,0.02602944,0.3675382,359.0151,22.22395,356.9374,-0.01397424,0.00400941,-0.001621045,0.04686561,0.06096492,-0.02687613,-1.087863,-0.5638496,0.4388913,26.57079,24.80672,352.3073,-0.01098502,0.02272355,-0.001469812,-0.07301517,0.08251361,-0.1146902,-0.8108948,-0.5267054,0.2526939,10.89285,70.09704,20.34778,
68.196,-0.02610569,0.007003007,-0.02480296,0.008475691,0.009597549,-0.07771709,-0.9414741,0.02613008,0.3672611,358.9356,22.18673,356.9729,-0.01442441,0.005088532,-0.002834913,0.0550449,0.04971932,-0.02099913,-1.087939,-0.5638712,0.4389417,26.52404,24.7596,352.2934,-0.01192577,0.02529083,0.0005750496,-0.06385376,0.122114,-0.1269684,-0.8112112,-0.5263415,0.2525989,10.7241,69.97997,20.24124,
81.707,-0.02670215,0.007369474,-0.02425737,0.01454003,0.02687389,-0.08350533,-0.9418108,0.02620196,0.3669303,358.8727,22.12861,357.0163,-0.0146233,0.006376504,-0.003318053,0.05897991,0.07131205,-0.04944383,-1.088273,-0.5636936,0.4386544,26.43393,24.70415,352.322,-0.01342223,0.02856362,0.001536722,0.001553064,0.200035,-0.1863631,-0.811534,-0.5258958,0.2522655,10.50446,69.70184,19.88832,
95.934,-0.02693855,0.006252245,-0.0239443,0.02132153,0.04540036,-0.08563351,-0.9421715,0.02620164,0.3666115,358.8041,22.05776,357.0373,-0.0143175,0.0038833,-0.003610066,0.03778351,0.08916225,-0.04716545,-1.088349,-0.5637779,0.4386687,26.40311,24.66262,352.3636,-0.01284503,0.03146984,-0.00167585,0.04130984,0.2233878,-0.2412501,-0.8116541,-0.5256211,0.2519038,10.34536,69.5418,19.568,
109.881,-0.02696966,0.004846315,-0.02396493,0.01359491,0.05757571,-0.07396706,-0.9425248,0.02624211,0.3662536,358.8015,21.98953,357.0665,-0.01283204,-0.0003464251,-0.003904645,0.01648985,0.09126853,-0.01695487,-1.088343,-0.5638568,0.4387258,26.42177,24.61954,352.3806,-0.009399546,0.0324137,-0.009580771,0.02909987,0.1783229,-0.2566839,-0.8108438,-0.5257895,0.2518893,10.19407,69.53207,19.38162,
123.33,-0.02651836,0.004215719,-0.02392818,0.003322214,0.06911362,-0.05856903,-0.9428543,0.0263229,0.3659705,358.8026,21.93099,357.0988,-0.008987421,-0.004517876,-0.00624924,-0.008206746,0.09530644,0.002326038,-1.088452,-0.5638347,0.4385051,26.45099,24.56601,352.4167,-0.002304413,0.03153976,-0.01876006,-0.02252386,0.05841112,-0.2282529,-0.8110847,-0.5251332,0.2515787,10.07436,69.73872,19.39977,
