time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.39,0.005356297,-0.001305113,0.02473763,-0.00118879,-0.02929156,0.0307506,0.1505655,0.4987325,-0.154999,5.735443,356.5655,359.3002,0.1010849,-0.007601892,-0.8892891,3.12445,1.206995,0.06755619,0.02089225,0.3707088,-0.1726882,289.0237,222.6119,130.6452,-0.04581988,0.1914042,-0.9762098,3.004178,-0.3368721,0.5712379,0.2688372,0.346484,-0.1200851,274.2607,92.0361,258.9171,
13.817,0.004578628,-0.0001223251,0.02232438,0.01718569,-0.03310252,0.03799672,0.1505769,0.4986596,-0.1547587,5.690453,356.6139,359.2746,0.08106756,-0.0394984,-0.7705208,2.62581,1.06064,0.2328542,0.02144201,0.3702189,-0.1786995,289.9137,220.2202,133.7599,-0.03674349,0.1164668,-0.9091477,2.931576,-0.3081704,0.4318333,0.2688898,0.3466024,-0.1280247,274.7495,119.2989,231.2296,
25.491,0.003926838,-0.0005608957,0.01878332,0.01193695,-0.03839554,0.02730129,0.1506348,0.4986086,-0.1544603,5.707135,356.6546,359.2731,0.06186688,-0.05140516,-0.6737123,2.223938,0.8964417,0.3358863,0.02189142,0.3698854,-0.1841538,290.7856,218.6658,135.9438,-0.01659897,0.05679116,-0.8224866,2.707551,-0.09252682,0.4979692,0.2687461,0.3462504,-0.1350584,276.1593,132.306,218.3811,
39.477,0.003222679,-0.002559257,0.01455559,-0.001898833,-0.03632454,0.01815333,0.1506581,0.4985209,-0.1543851,5.718767,356.6825,359.2715,0.04156479,-0.06042419,-0.5635751,1.843073,0.6701205,0.3784357,0.02230024,0.3690005,-0.187815,291.5318,218.1552,136.8813,0.006069064,0.009709476,-0.7332656,2.506773,0.1521522,0.555941,0.2688572,0.3456043,-0.1410519,277.8273,138.2438,212.7664,
53.414,0.002025037,-0.004379887,0.01001928,-0.01856913,-0.03323264,0.01428786,0.1506508,0.4984107,-0.1543832,5.785192,356.6844,359.257,0.03159484,-0.0653291,-0.4508187,1.486434,0.5500815,0.3432648,0.02261923,0.3685755,-0.1902033,291.9966,217.483,137.8492,0.03297234,-0.03412587,-0.6291422,2.345623,0.2635835,0.3524633,0.269597,0.3439821,-0.1447072,279.3788,141.5229,209.1827,
67.158,0.001105306,-0.005453342,0.004972779,-0.01905509,-0.03021601,0.01048154,0.1506436,0.4982956,-0.1544605,5.800766,356.6932,359.2438,0.0299608,-0.06300859,-0.332235,1.100888,0.5057987,0.2361038,0.02275882,0.367472,-0.1905686,292.0506,216.6382,138.8406,0.04995948,-0.04249466,-0.4749236,1.735947,0.2589274,0.02206696,0.2703523,0.3446475,-0.1458755,279.7472,140.3166,209.7715,
81.36,0.0007610189,-0.004095198,-0.001632588,-0.0144887,-0.03120104,-7.035783E-05,0.1506519,0.4982597,-0.1546622,5.795933,356.7342,359.2647,0.02890936,-0.0523386,-0.2060333,0.6868925,0.4322103,0.1079085,0.02285841,0.3677527,-0.1898251,291.7683,216.1838,139.2693,0.0629209,-0.03825865,-0.2961586,0.9888264,0.2122221,-0.3457868,0.2712577,0.343374,-0.1453979,279.3175,136.1076,213.1885,
95.266,0.0009104451,-0.002059085,-0.007816088,0.0003632562,-0.03405529,-0.007405777,0.1506732,0.4982754,-0.1549391,5.733942,356.7821,359.2825,0.02438634,-0.03261376,-0.06971905,0.1752177,0.2681744,-0.007801237,0.02284761,0.3673407,-0.1871103,291.0585,216.8294,138.417,0.06621063,-0.04586995,-0.1268227,0.5071267,0.031597,-0.7354002,0.2721288,0.343015,-0.1428598,278.6658,132.8008,215.2975,
109.227,0.001482329,0.0008301608,-0.01496314,0.02343816,-0.03893296,-0.02074143,0.1507102,0.4983683,-0.1553478,5.69031,356.834,359.3292,0.01712529,-0.0172669,0.06408842,-0.2456899,0.04836976,-0.1426004,0.02285986,0.3674024,-0.1831582,290.2787,218.1791,136.6292,0.06461833,-0.05793403,0.02672914,0.09882303,0.01760621,-0.7741138,0.2728403,0.3416723,-0.1381112,278.1062,128.5958,218.9513,
123.105,0.002375955,0.0048697,-0.02122498,0.04324003,-0.03872656,-0.03230629,0.1508258,0.4987719,-0.1560793,5.631508,356.8564,359.3759,0.002672084,-0.005497539,0.1908922,-0.6280742,-0.266539,-0.2911007,0.02254484,0.3675323,-0.1781883,289.4477,220.7574,133.3641,0.06215798,-0.06552039,0.1575079,-0.3630205,0.29129,-0.3215271,0.2729796,0.3406588,-0.1346213,277.9138,121.0664,227.3514,
137.027,0.002739571,0.01002306,-0.02607143,0.0913121,-0.04385381,-0.03034726,0.1508218,0.499137,-0.1564964,5.464717,356.9176,359.3982,-0.01064976,-0.00338319,0.2877052,-0.8424922,-0.5616667,-0.4657719,0.02249799,0.3669633,-0.1723574,288.8341,223.7344,129.4767,0.07921175,-0.08459759,0.2511444,-0.4433604,0.7671174,0.299273,0.2737414,0.3387976,-0.1284046,278.7766,116.0589,233.8971,
150.978,0.00313022,0.01756448,-0.02952646,0.1559158,-0.04511629,-0.02103835,0.1508783,0.4995705,-0.1569392,5.210043,356.9549,359.4243,-0.01851116,-0.008511022,0.3937812,-1.101303,-0.7510511,-0.6501507,0.02231649,0.3662688,-0.1651768,287.9982,227.4209,124.8004,0.1136497,-0.1100602,0.3293838,-0.4210432,1.500334,1.002576,0.273672,0.3365257,-0.1220914,280.6479,110.5254,241.7976,
164.715,0.003533234,0.02414013,-0.03132425,0.2155348,-0.04044314,-0.01347768,0.1509387,0.5000483,-0.1573744,4.93922,356.9809,359.4504,-0.02464291,-0.0211221,0.4985172,-1.456886,-0.7799011,-0.6535524,0.02184718,0.3651588,-0.1569607,286.8733,232.3585,119.335,0.05789866,-0.09375353,0.4502817,-1.036351,0.9398908,1.141068,0.2732417,0.3363835,-0.1132358,279.7124,103.2701,250.4092,
