time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.481,0.07441319,-0.007026467,0.08257872,-0.01564131,0.03373016,-0.1190863,0.9462246,0.5385388,0.09797716,7.435407,352.5647,357.994,0.1606504,-0.01453321,-0.07671466,-0.05913139,-0.6452111,-0.1983309,0.7806146,-0.2099624,0.2162093,23.42691,6.539225,21.47033,0.1254297,-0.02843333,-0.02821821,-0.1204802,-0.03345716,-0.06678342,1.048679,-0.08575054,0.2693785,23.76063,354.5248,343.8974,
13.193,0.06236535,-0.002578534,0.08612692,0.00914457,0.04749494,-0.06970625,0.9468144,0.5386134,0.09931812,7.336495,352.5196,357.9612,0.1470825,-0.01869014,-0.08713451,0.05244004,-0.6865289,-0.1088313,0.7817498,-0.2099932,0.2146523,23.44494,6.985531,21.10465,0.1177898,-0.04285977,-0.02663701,-0.2245208,0.01631014,-0.1373829,1.049863,-0.08644833,0.2693704,24.1411,354.7052,344.096,
26.46,0.05291177,-0.0004251883,0.08975788,0.04435651,0.03258527,-0.01687568,0.9472814,0.5385484,0.1007136,7.211877,352.5206,357.9045,0.120636,-0.01165995,-0.1000168,0.1945172,-0.5108907,-0.05720443,0.7823819,-0.2101314,0.2124831,23.11118,7.119534,20.92147,0.1070862,-0.05173404,-0.02404332,-0.2811227,0.1160176,-0.237321,1.050935,-0.08683769,0.2692269,24.55603,354.8707,344.5212,
40.134,0.04364807,-0.0002841637,0.09369191,0.05696039,0.01540531,0.007721471,0.9476576,0.5384719,0.102109,7.173399,352.5316,357.8954,0.09023238,-0.0169635,-0.1161023,0.1998889,-0.3807193,-0.00429523,0.7827563,-0.210989,0.2105601,22.9692,7.140121,20.77442,0.0974052,-0.04294027,-0.02281238,-0.2108862,0.09570225,-0.2192547,1.051958,-0.08686328,0.2689776,24.62829,354.9763,344.6841,
54.268,0.03591789,-0.001588494,0.0967901,0.04976821,-0.0009305086,0.01146691,0.9479321,0.5383366,0.1035246,7.154503,352.5605,357.9006,0.06768685,-0.04835577,-0.1349034,-0.006613699,-0.3531538,-0.03142983,0.7829992,-0.2123177,0.2077737,23.36328,7.269492,20.82809,0.08701082,-0.02497214,-0.02270092,-0.03678863,0.05463691,-0.1760435,1.052953,-0.08717306,0.2682175,24.35503,355.0023,344.7804,
68.229,0.02685944,-0.003862274,0.1001861,0.03640013,-0.01770218,0.01323612,0.9480662,0.5382433,0.1050228,7.144999,352.5905,357.8777,0.05737137,-0.08674395,-0.1534851,-0.262322,-0.4265851,-0.1772698,0.7830487,-0.213981,0.2054047,24.11572,7.774737,21.19707,0.08279066,-0.02264539,-0.02262489,0.03052182,0.06612744,-0.2630894,1.053712,-0.08808844,0.268601,24.24754,355.2173,345.1948,
81.799,0.01857497,-0.005705922,0.1035002,0.02564911,-0.03514159,0.01332952,0.9480072,0.5381115,0.1066072,7.129947,352.6583,357.8633,0.04672454,-0.1240668,-0.1743703,-0.5396489,-0.5458816,-0.413045,0.7827908,-0.2160871,0.2037496,25.16345,8.67135,21.93898,0.08177053,-0.02620687,-0.01891309,0.04400574,0.07432813,-0.39437,1.054594,-0.08814114,0.2679417,24.23203,355.6163,345.79,
95.919,0.008265212,-0.007588531,0.1075204,0.02151911,-0.06069937,0.006417562,0.9477866,0.5379981,0.1082079,7.11629,352.7574,357.8688,0.02943851,-0.1472575,-0.1841978,-0.6921368,-0.5871208,-0.5612483,0.7818812,-0.2176081,0.2011117,26.06172,9.520264,22.67338,0.07641812,-0.02698917,-0.02100737,0.1317061,0.07419957,-0.4511499,1.055164,-0.08902609,0.2672918,24.01027,355.9177,346.3252,
110.21,-0.002436697,-0.008252489,0.1111323,0.0146716,-0.07043076,-0.02128691,0.9474079,0.5379241,0.1098608,7.144407,352.8282,357.9416,-0.005421637,-0.1528033,-0.1866382,-0.6489329,-0.3830798,-0.4617678,0.780696,-0.2195296,0.1983988,26.41979,9.582158,23.02963,0.06442092,-0.03318133,-0.02463919,0.1715028,0.06624574,-0.3298794,1.055941,-0.08994217,0.2668459,23.83015,355.8855,346.4235,
123.769,-0.01507917,-0.007593959,0.1153363,0.01556437,-0.06728866,-0.05235616,0.9467835,0.5378897,0.1116118,7.143497,352.8875,358.0349,-0.04337106,-0.1661395,-0.1893917,-0.7716057,-0.2578636,-0.2624614,0.7794419,-0.2217145,0.196539,27.18726,9.289524,23.15583,0.06173772,-0.05796002,-0.02759455,0.07616558,0.0206095,-0.3339529,1.05629,-0.09236664,0.2667389,23.91169,356.1626,346.6429,
137.547,-0.02927595,-0.006388146,0.1201892,0.04439865,-0.0538657,-0.05961237,0.9459065,0.5378332,0.1134612,7.041502,352.9183,358.0966,-0.07902071,-0.1799807,-0.1863451,-0.9233217,-0.2651746,-0.01092126,0.7776337,-0.223209,0.1939507,28.23328,8.829896,22.91388,0.05108784,-0.0992083,-0.04117541,-0.1295895,0.1007459,-0.2770638,1.056577,-0.0936767,0.2656919,24.43479,356.2055,346.8243,
