time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.411,-0.001816371,-0.0008132423,0.0004826222,0.003719588,-0.004528889,-0.00589736,0.6811844,-0.007297575,-0.2676089,9.562017,345.7051,2.274553,-2.114892E-06,0.001101499,0.0003357931,0.0002497794,-0.002848968,-0.008031057,0.5653781,-0.4958127,0.01752401,353.4669,344.5917,2.02482,-0.01431554,-0.005009831,-0.008148371,0.07654218,0.0838521,-0.06595802,0.6855201,-0.4993116,0.05816862,347.929,347.5168,0.7500125,
13.098,-0.00116188,-0.0007542916,0.0002699932,0.0007844897,-0.00194999,-0.005223594,0.6812066,-0.007304728,-0.2675967,9.567251,345.7027,2.276558,0.000108879,0.00148383,0.0003196177,-0.0009027046,0.001566304,-0.0002311193,0.565369,-0.4958166,0.01754905,353.4694,344.5916,2.027432,-0.01266012,-0.005839548,-0.007599426,0.05818579,0.02956742,-0.08832884,0.6854317,-0.4993898,0.05808498,347.9411,347.5131,0.8325474,
26.564,-0.001097535,-0.0008283471,0.0003824951,0.002104884,-0.003925129,-0.00527531,0.6812118,-0.007316887,-0.2675776,9.565778,345.711,2.281341,0.0004863291,0.001643685,0.0001839759,0.002608476,-0.0006403614,0.002118488,0.5653697,-0.4958124,0.01756809,353.4706,344.5911,2.026612,-0.01054403,-0.0009404916,-0.008143323,0.08888596,0.031198,-0.0626649,0.6853749,-0.499406,0.05801593,347.8723,347.4513,0.909521,
40.339,-0.0009252243,-0.0006258246,0.0003984274,0.002319884,-0.003264888,-0.00357088,0.6812152,-0.007312477,-0.267565,9.563912,345.7126,2.282427,0.0006109196,0.001617034,-2.777144E-05,0.00454139,-0.0007251503,0.003032958,0.5653728,-0.4958103,0.01758351,353.4696,344.5928,2.026463,-0.006421599,0.002286753,-0.007132038,0.08477112,0.005650655,-0.02664155,0.6853277,-0.4993936,0.05799858,347.829,347.4625,0.9214703,
54.298,-0.0008929321,-0.0004527479,0.0004966371,0.0007048713,-0.002662033,-0.002948285,0.6812142,-0.007303596,-0.2675564,9.566237,345.7127,2.282516,0.0006265045,0.0006938722,0.0009051361,-0.01614573,-0.002191181,0.001400048,0.5653822,-0.4958036,0.01759398,353.4706,344.5953,2.02294,-0.002609378,0.005596725,-0.004604172,0.05864609,-0.0008499497,-0.005753329,0.6853334,-0.4993265,0.05788759,347.8057,347.467,0.9289504,
68.255,-0.0007872757,-0.0005095353,0.0004808865,0.0004370619,-0.00070922,0.001624485,0.6812185,-0.007299721,-0.2675507,9.562521,345.7068,2.274506,0.000345828,0.0002918979,0.000302626,-0.01020517,-0.001552954,-0.0009954738,0.5653903,-0.4958071,0.0176034,353.4694,344.5953,2.019622,0.00220818,0.01054343,-0.003747012,0.04451453,0.03113068,0.072028,0.6853614,-0.4991821,0.05796074,347.7297,347.4606,0.8668689,
82.079,-0.0007443005,-0.0003756281,0.0005499918,-0.002806709,-0.001164963,0.0008687396,0.6812249,-0.007288575,-0.2675316,9.569301,345.7061,2.270445,6.683904E-05,0.0001578288,0.0003451269,-0.0132116,-0.001998296,-0.004675648,0.5653932,-0.4958141,0.01760911,353.4711,344.5956,2.018264,0.005572214,0.01257412,-0.0006086296,-0.007127208,0.048185,0.1014682,0.6855622,-0.4988959,0.0577265,347.6986,347.4576,0.7347643,
95.714,-0.0006496614,-0.00064408,0.0007173955,-0.00147243,-0.00147842,0.002817853,0.681235,-0.007293105,-0.2675121,9.566087,345.7048,2.264968,-0.0003283457,0.002708029,-0.001810102,0.02859066,0.003219072,0.007827265,0.5653923,-0.4958168,0.01760121,353.4632,344.5934,2.020514,0.01000767,0.01396137,0.001724708,-0.01577597,0.05245871,0.1451408,0.685718,-0.4987969,0.05827492,347.6362,347.4776,0.5392041,
109.999,-0.0002732719,-0.0007718115,0.0006526969,-0.005822547,0.0007020416,0.003817653,0.6812435,-0.007293105,-0.2674959,9.573772,345.6969,2.254958,-0.0008270646,0.001279685,3.087189E-08,-0.01901051,-0.001744076,-0.007420253,0.5653845,-0.4958037,0.01760736,353.4723,344.5926,2.019592,0.01314698,0.008749028,0.009984428,-0.1109228,0.001909824,0.1032485,0.6859267,-0.4984461,0.05811013,347.7886,347.5656,0.4212189,
123.797,2.342889E-05,-0.001332402,0.0006999512,-0.009360977,-0.001123596,0.003632326,0.6812485,-0.007315636,-0.2674749,9.583219,345.6985,2.245494,-0.001174127,0.002706919,-0.001370716,0.01406412,-0.001660689,-0.01190491,0.5653743,-0.4957851,0.01758839,353.4654,344.5904,2.030454,0.01749728,0.006346912,0.01179192,-0.09798076,-0.02823858,0.1368453,0.686198,-0.4986693,0.05846649,347.7948,347.6962,0.2538277,
