time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.204,0.009315988,-0.003336842,0.01172638,-0.03297185,-0.04550691,-0.01460406,-0.01624167,0.5806921,0.2732956,354.4949,1.243976,1.409689,-0.02077604,-0.01721764,-0.03638496,-0.1511147,0.01373035,0.05263575,-0.2215724,-0.333894,0.3539192,72.15846,318.6953,312.2345,0.09637962,0.01721452,0.04670024,0.5014092,0.9789805,0.3276067,0.2398868,-0.3587919,0.3057112,83.64479,29.93908,11.35431,
28.11,0.006465237,-0.0004602293,0.01293844,-0.01339206,-0.01751024,0.0033705,-0.01601005,0.5807408,0.2738321,354.5059,1.266331,1.373987,-0.02487238,-0.01100653,-0.03628617,-0.1006767,0.03126113,0.07249048,-0.2226876,-0.3343676,0.3526671,72.35761,318.1295,311.8506,0.05355885,-0.00989025,-0.02786617,-0.05657163,0.231733,0.2058019,0.2412612,-0.3591267,0.3046882,84.36935,36.53075,18.46437,
39.602,0.005668392,0.0001583235,0.01359937,-4.009028E-05,-0.009293394,-0.002840631,-0.01585162,0.5807775,0.2742166,354.5004,1.276441,1.386077,-0.02840197,-0.009539591,-0.034942,-0.0972402,0.0045589,0.08009208,-0.2234049,-0.3345084,0.3518889,72.39807,317.5191,311.3193,0.04028469,-0.003298127,-0.009684888,0.02600574,-0.06002637,-0.164061,0.2426697,-0.3588806,0.3049097,84.2935,30.14769,11.17383,
55.002,0.004815381,0.0005166478,0.01386951,0.006834649,0.0007283205,-0.009253196,-0.01580453,0.5808114,0.2744097,354.4763,1.246881,1.406392,-0.03091889,-0.009111549,-0.03462228,-0.1079066,0.01431361,0.1125488,-0.223932,-0.3352661,0.3515908,72.48442,316.9236,310.8808,0.06112175,0.01846316,0.03846345,0.2360072,-0.2403958,-0.8867231,0.2453888,-0.357238,0.3064554,83.02346,22.50433,1.261229,
69.761,0.004416041,0.0005108587,0.01382131,0.006375295,0.01134975,-0.01020949,-0.01577544,0.5808102,0.2746006,354.4708,1.209942,1.413876,-0.03059634,-0.007525126,-0.03174445,-0.09019182,0.01840924,0.1125218,-0.2242744,-0.3346974,0.3511433,72.49963,316.8194,310.8482,0.1041444,0.03814285,0.07450486,0.2768474,-0.2920129,-1.537553,0.2479972,-0.3565244,0.3069505,81.53963,21.21141,357.4373,
84.875,0.004036732,-0.0004736951,0.01391964,0.005205219,0.01622223,-0.006798483,-0.0157491,0.5807575,0.2747999,354.4685,1.186989,1.40854,-0.02940577,-0.004884656,-0.02841702,-0.06038012,0.0041345,0.08629397,-0.2244164,-0.335227,0.3510465,72.45511,316.9154,310.9231,0.1229026,0.02953856,0.05608404,0.04424585,-0.2142207,-1.431898,0.2495831,-0.3576855,0.3064701,81.49405,23.08555,358.2983,
99.745,0.003935893,-0.001248369,0.01370433,-0.005842046,0.02230418,-0.01205991,-0.01568419,0.5807276,0.2749604,354.5058,1.135638,1.429136,-0.02788481,-0.004375832,-0.02480273,-0.06876641,-0.04664531,0.01550399,-0.2246007,-0.3353984,0.3508543,72.41325,316.7609,310.6095,0.1287988,0.001524517,0.009501332,-0.2621609,0.1988072,-0.7719494,0.2503078,-0.3578297,0.3064353,82.15633,32.46106,8.320461,
114.641,0.003549528,-0.001919218,0.01394256,-0.01060172,0.03093802,-0.0168779,-0.01563412,0.5806914,0.2751402,354.516,1.1005,1.454475,-0.02722801,-0.005530664,-0.02265806,-0.100387,-0.07258866,-0.01393667,-0.2250223,-0.3353693,0.3505537,72.41118,316.3124,310.0364,0.1091419,-0.01957036,-0.02259316,-0.4927298,0.3649152,-0.1110189,0.2503527,-0.3592052,0.305846,82.96416,41.2183,18.11897,
129.433,0.003292165,-0.001589318,0.01429927,-0.005827005,0.04388939,-0.01839643,-0.01559675,0.5806831,0.2753428,354.5035,1.020879,1.456113,-0.02618816,-0.003781222,-0.02019755,-0.07662965,-0.04342142,0.01870531,-0.225228,-0.3357596,0.3505246,72.42419,316.2477,310.0344,0.08190008,-0.02022192,-0.02681793,-0.386719,0.3527368,0.1266101,0.2503812,-0.3578168,0.3064245,83.04926,43.72445,21.27638,
143.984,0.002861932,-0.0002928074,0.01508537,0.004600306,0.04996089,-0.0176157,-0.01557708,0.580725,0.2755773,354.4625,0.9742193,1.460541,-0.02518492,-0.00384956,-0.0179591,-0.07365613,0.005247235,0.07743436,-0.2256281,-0.3359956,0.3504115,72.5006,315.9676,309.8929,0.04538414,-0.01219982,-0.0118797,-0.1883884,0.0066595,-0.029331,0.2505065,-0.3580199,0.3062456,83.26454,37.35689,14.55103,
