time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.499,0.009998962,-0.003044406,-0.0007992701,-0.03476644,0.01752356,0.02903233,-0.1374657,0.02879575,0.1617373,0.6630315,6.497594,356.5906,0.06580726,-0.07305582,-0.0005263265,-0.0640442,-0.2479814,0.2245772,-0.165169,-0.4529043,0.5009672,358.2436,346.003,9.361072,-0.06061789,0.03237244,0.008939327,0.1157323,0.4623193,-0.435687,-0.03790761,-0.4760918,0.4969719,18.35574,20.4444,346.9366,
12.585,0.01152162,-0.004537077,-0.002963268,-0.04945057,0.03317026,0.02848063,-0.1372569,0.02869642,0.1616484,0.7354756,6.45673,356.6065,0.08083879,-0.07540981,0.01203853,-0.01624283,-0.3519854,0.340678,-0.1641804,-0.4541934,0.501569,358.0489,346.5086,8.977245,-0.07398942,0.03334057,0.0172996,-0.1628097,0.7547055,-0.7655551,-0.0390013,-0.4759552,0.4974698,18.0459,20.38034,348.6402,
26,0.01361891,-0.006355797,-0.005482092,-0.07300664,0.04280944,0.005652621,-0.1369988,0.02855864,0.1615147,0.8298331,6.409981,356.679,0.08997933,-0.07866906,0.03454139,-0.00946635,-0.4786156,0.4252481,-0.1635588,-0.4553395,0.502957,357.9234,347.1457,8.540724,-0.07126473,0.03546797,0.01690627,-0.2939169,0.813879,-0.9369191,-0.03954484,-0.4758972,0.4974457,17.68641,20.42989,349.9955,
40.152,0.01671029,-0.007335877,-0.008608002,-0.09612073,0.06769262,-0.02861175,-0.1365548,0.02841079,0.1611847,0.9289826,6.314484,356.7957,0.07468951,-0.07253005,0.07229388,-0.05162425,-0.585641,0.3508151,-0.1643424,-0.4553026,0.5053191,358.0579,347.7866,8.335467,-0.05316015,0.03071916,0.009903281,-0.3466989,0.7449009,-0.9625139,-0.03948461,-0.476343,0.4973378,17.39944,20.54035,350.9936,
54.011,0.02087607,-0.008642743,-0.01250203,-0.1114555,0.1049192,-0.07921728,-0.1360942,0.02819252,0.1608789,1.001319,6.171348,356.9815,0.03333554,-0.04694222,0.1146234,0.005289105,-0.7072597,0.09272308,-0.166582,-0.4544919,0.5081164,358.2372,348.5193,8.696938,-0.0260029,0.01831673,-0.002464591,-0.2606301,0.5779653,-0.8887323,-0.03906064,-0.4772145,0.496592,17.0475,20.66401,351.5499,
67.738,0.02604415,-0.01076227,-0.0168151,-0.1309517,0.1417287,-0.1288517,-0.1355668,0.02789572,0.1605129,1.104844,6.010624,357.1859,-0.04815031,0.003477749,0.1809561,0.0245338,-0.8176121,-0.302136,-0.171417,-0.4519018,0.5137704,358.7008,349.3051,9.569466,-0.007789655,-0.02292387,-0.012646,0.05934365,0.5136424,-0.4634767,-0.03769404,-0.480151,0.4965759,16.88644,20.01789,351.0416,
81.714,0.02964544,-0.01257544,-0.0213001,-0.1509212,0.163057,-0.1159898,-0.1350873,0.02769902,0.1600606,1.25776,5.866314,357.2398,-0.1593436,0.08715843,0.2452509,-0.01670412,-0.4751021,-0.2837014,-0.1773288,-0.4470817,0.5195453,358.8359,349.0651,9.733585,0.01723905,-0.09914714,-0.01568227,0.2662822,0.5468385,-0.0346727,-0.03556062,-0.4847352,0.4959889,16.95089,19.06146,350.3363,
95.727,0.03269341,-0.0123523,-0.02496986,-0.1685104,0.1653359,-0.06432859,-0.1345879,0.02767363,0.159642,1.445857,5.763828,357.2223,-0.3123807,0.2495569,0.3124907,0.1802436,0.24007,0.2215121,-0.1853238,-0.4383906,0.5249823,357.7299,347.7476,8.945427,0.0584562,-0.2209499,-0.01016006,0.2286538,0.6708507,0.1744065,-0.03235412,-0.4929292,0.4962922,17.20538,18.16047,350.1277,
109.652,0.03584503,-0.01122465,-0.02712896,-0.1727992,0.147643,-0.01679263,-0.1340169,0.02756542,0.159263,1.586274,5.690106,357.1883,-0.4598292,0.4682873,0.3643585,0.6563002,0.9096786,1.001262,-0.1949676,-0.4265131,0.5328049,355.2643,346.29,7.475627,0.125436,-0.3924253,-0.001144014,-0.2506809,0.9184657,0.007130506,-0.02764209,-0.5042338,0.4974907,17.84715,17.73262,351.3154,
123.501,0.0385282,-0.01044392,-0.02800163,-0.1735871,0.1210368,-0.001007696,-0.1334141,0.02740103,0.1588809,1.717051,5.641856,357.2195,-0.5848112,0.715179,0.4098318,1.21195,1.369298,1.767957,-0.2060262,-0.4115514,0.5395639,351.9817,345.1754,5.695278,0.2111237,-0.5662009,-0.004648853,-0.907519,1.088354,-0.4607935,-0.02182613,-0.5176027,0.4974335,18.52519,18.0569,353.7638,
