time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.49,0.0707598,0.008496833,0.05218149,-0.0916027,0.2088481,-0.04632124,0.1056072,-0.02556694,-0.2416968,8.158108,111.1381,351.6856,-0.0123526,0.06408704,0.03561998,-0.03480998,0.3173191,0.02230159,0.09373707,-0.620896,0.053298,40.59932,75.64581,350.6164,0.1544963,-0.03084768,0.2244688,0.5543494,0.6216229,0.3669035,0.1692578,-0.5802482,-0.2848189,2.183655,123.0107,19.21389,
12.923,0.08011887,0.0104678,0.07534056,-0.08286618,0.3455027,-0.06501414,0.1067396,-0.02529055,-0.2398097,8.080952,110.6279,351.6486,-0.03112873,0.06337623,0.05173638,-0.04571601,0.3399458,-0.0519541,0.09257824,-0.6201158,0.05432303,40.30898,75.41178,350.5559,0.1614666,-0.04615,0.2694877,0.6059508,0.9410916,0.3364953,0.1710188,-0.5810986,-0.2810726,2.472497,121.6178,19.38894,
26.466,0.08767257,0.01263091,0.09484645,-0.07415632,0.459047,-0.07873932,0.1079997,-0.02502015,-0.2376542,7.991079,110.0733,351.6082,-0.04857016,0.05775468,0.06715191,-0.03253045,0.3696196,-0.08019023,0.09116544,-0.6195642,0.05554594,40.0551,75.15527,350.5561,0.1586812,-0.04581636,0.3021008,0.6487087,1.053981,0.4496066,0.1723125,-0.5816016,-0.2768685,2.474961,120.4034,19.7963,
40.312,0.09542672,0.01498199,0.1168743,-0.0673172,0.5820669,-0.0983471,0.1094727,-0.02470043,-0.2353111,7.915434,109.411,351.5589,-0.07168462,0.04528252,0.08803819,0.03260069,0.4005899,-0.1041978,0.08955245,-0.6194963,0.05716788,39.87346,74.74532,350.4938,0.153141,-0.04775611,0.3270569,0.6365603,1.206329,0.4647814,0.1735088,-0.5821213,-0.2728229,2.590645,119.0621,19.99497,
53.955,0.1013269,0.01751214,0.1357698,-0.05443284,0.6802541,-0.1144718,0.1110724,-0.0243164,-0.2327189,7.844807,108.7068,351.5254,-0.09302552,0.02988565,0.1082824,0.1458328,0.4079702,-0.1265032,0.08770107,-0.6194693,0.05893977,39.81735,74.17336,350.3197,0.1479086,-0.04871128,0.3410612,0.6350399,1.298705,0.445646,0.1747524,-0.5824742,-0.2688583,2.786261,117.7498,20.16347,
68.079,0.1067272,0.02058736,0.1577971,-0.03787392,0.7943355,-0.1249832,0.1127301,-0.02387682,-0.229793,7.76893,107.8795,351.5128,-0.1218759,0.01097034,0.1390405,0.3086945,0.483187,-0.1273436,0.08530019,-0.6196573,0.06135442,39.80915,73.33363,350.1466,0.141241,-0.04323734,0.3499035,0.581727,1.367007,0.4122368,0.1762536,-0.5828407,-0.26498,2.958203,116.467,20.19904,
82.016,0.1107785,0.02487846,0.1768586,-0.0174835,0.8903531,-0.1343551,0.1144826,-0.02330315,-0.2266349,7.701596,107.0037,351.5182,-0.1423694,-0.002021119,0.1640502,0.467775,0.544634,-0.1082019,0.08299329,-0.6197796,0.06380518,39.87784,72.39586,349.9719,0.138549,-0.03444669,0.3516535,0.4973031,1.426873,0.3488119,0.17711,-0.5825536,-0.2608494,3.137109,115.1967,20.07996,
95.71,0.1143624,0.03056082,0.1979549,-0.007985435,0.9996822,-0.1316564,0.1162471,-0.02269381,-0.2232101,7.583383,106.034,351.5403,-0.1651628,-0.01015913,0.1930214,0.5950236,0.6952735,-0.03947538,0.07957251,-0.6194465,0.06666262,39.88586,71.33896,350.0098,0.1386245,-0.02257041,0.3531069,0.3893619,1.487458,0.3375988,0.1784778,-0.5825036,-0.2570027,3.16712,113.8762,19.89396,
110.095,0.1166131,0.03654861,0.2175519,-0.002636278,1.080592,-0.1309196,0.1178388,-0.02197418,-0.2195027,7.481026,105.06,351.5604,-0.1894122,-0.0202646,0.2210474,0.7676826,0.8375049,0.1039687,0.07723962,-0.6203572,0.06996451,40.08656,70.1556,350.2065,0.1403829,-0.01203486,0.3529549,0.2985858,1.509824,0.3198988,0.1806689,-0.5826768,-0.2532885,3.174218,112.6109,19.68262,
123.745,0.117407,0.0420026,0.2365923,0.001583101,1.159529,-0.1284095,0.1194171,-0.02122858,-0.2155655,7.362472,104.0174,351.5928,-0.2128402,-0.026047,0.2463945,0.8579695,0.9921953,0.188693,0.07322645,-0.6204646,0.07331325,40.13974,68.92081,350.4265,0.1436615,-0.008974148,0.3546219,0.2692426,1.525607,0.2941726,0.1823915,-0.5826629,-0.2492887,3.264084,111.3448,19.51002,
137.439,0.1172611,0.0470866,0.2557422,0.01316585,1.231637,-0.1155974,0.1209343,-0.02042606,-0.2113227,7.240601,102.9311,351.6669,-0.2379972,-0.03592655,0.2686844,1.009411,1.064893,0.2371718,0.07030354,-0.6215808,0.07680741,40.33672,67.44166,350.4007,0.1487154,-0.007028562,0.3607083,0.233184,1.545805,0.2902651,0.1836336,-0.582663,-0.2449279,3.313447,110.0516,19.32588,
