time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.406,0.0009252625,0.0002510176,-0.0001761707,0.01630004,-0.0042649,0.003542642,0.1348631,-0.8304915,-1.075164,356.7177,357.1149,357.9283,0.001631458,-0.0025542,-0.0004286003,-0.004079408,-0.004548405,0.005534967,-0.00423521,-1.117135,-0.7864593,11.3115,338.4757,5.457889,-0.03082757,-0.01349312,-0.01800847,0.1189213,0.3052642,-0.2651529,0.1892594,-1.129991,-0.7958255,7.796079,14.40694,358.4642,
13.082,0.0005466519,-0.0002579477,0.0001415133,0.01507027,-0.001534287,-0.002273984,0.1348635,-0.830494,-1.075193,356.7082,357.1118,357.936,0.001192886,-0.004685885,-0.0007195118,-0.002132675,-0.005321677,-0.007412526,-0.004221527,-1.117187,-0.7864655,11.31395,338.4795,5.457195,-0.02577783,-0.01399343,-0.01763652,-0.01820783,0.1976783,-0.2951357,0.1888967,-1.129978,-0.7959527,7.803193,14.45299,358.7961,
26.775,0.0004820557,-0.0003107766,0.0006159348,0.01265835,0.001380994,-0.007168461,0.1348667,-0.8304907,-1.07521,356.702,357.1062,357.9463,0.0009088911,-0.006156377,-0.0007899789,-0.002405234,-0.008648728,-0.003405976,-0.004216166,-1.117282,-0.7864668,11.31944,338.4861,5.457829,-0.01953143,-0.007743352,-0.01668375,0.05606277,0.08904795,-0.1289104,0.18897,-1.130117,-0.7962992,7.759069,14.47887,358.6522,
40.67,0.0004029797,-0.0003950931,0.001222217,0.01051399,0.002694696,-0.006474757,0.1348686,-0.8304948,-1.075196,356.6955,357.103,357.9511,0.0003198943,-0.007995038,-0.0009825153,-0.007941445,-0.005442973,-0.003408426,-0.004218191,-1.117388,-0.7864671,11.32694,338.491,5.45765,-0.01161165,0.004947279,-0.01537281,0.1979665,0.02687148,0.005401261,0.1889696,-1.13006,-0.7964872,7.573811,14.44674,358.4167,
54.389,0.0001170648,-0.0007804027,0.001942817,0.01018274,0.00187215,-0.004271218,0.1348659,-0.8305116,-1.075158,356.6884,357.1019,357.9533,-0.0005760521,-0.01214947,-0.0001548106,-0.02920354,-0.006349059,-0.02834394,-0.004224356,-1.117552,-0.7864622,11.35518,338.4945,5.455811,-0.002026388,0.008654831,-0.01202883,0.2275705,-0.04261007,0.1052232,0.1891072,-1.130061,-0.7965124,7.459202,14.46081,358.1485,
68.692,0.0001986296,-0.0006858426,0.002067589,-0.00102441,0.005685196,-0.00705584,0.134871,-0.8305228,-1.075133,356.7004,357.0936,357.9601,-0.001367534,-0.01130418,-0.001399234,-0.0006200117,0.004247481,0.0006490787,-0.004227836,-1.117689,-0.786489,11.35778,338.4919,5.455595,0.009549414,0.007100829,-0.006061882,0.144951,-0.1475449,0.1293209,0.1892213,-1.130021,-0.7962929,7.50184,14.60932,358.0233,
82.508,-3.97801E-05,-0.001578427,0.002554405,-0.0001792926,0.004675982,-0.005774222,0.1348701,-0.8305742,-1.075114,356.6989,357.0912,357.9633,-0.002370745,-0.01655944,-0.0002076934,-0.03149533,0.009629847,-0.04013799,-0.004263928,-1.117938,-0.7864575,11.40022,338.4866,5.465981,0.02076678,0.0004421892,0.002738229,-0.01740681,-0.2325708,0.1370912,0.1894622,-1.129858,-0.7961657,7.698229,14.89017,357.9233,
96.078,-2.467365E-05,-0.00186465,0.002493185,-0.009613956,0.007529143,-0.006097032,0.1348729,-0.8306186,-1.075105,356.7154,357.0831,357.9661,-0.002695491,-0.01633159,-0.0008050042,-0.01967336,0.01382987,0.007282434,-0.004261868,-1.118143,-0.7865144,11.40351,338.4687,5.451777,0.02782272,-0.002584764,0.007077537,-0.05336002,-0.2680469,0.1213355,0.1898328,-1.130024,-0.795996,7.818705,15.1521,357.8479,
110.559,-0.0001050072,-0.002508051,0.002732289,-0.01391261,0.006747118,-0.006524053,0.1348703,-0.8306676,-1.075066,356.73,357.0786,357.97,-0.002649191,-0.02200721,-0.0001870725,-0.05390642,0.01638396,-0.04297665,-0.004311122,-1.11849,-0.786402,11.47867,338.4498,5.449309,0.02489844,-0.01425243,0.01007441,-0.1283166,-0.1800807,0.1227155,0.1899425,-1.129827,-0.7955121,8.047263,15.21717,357.8599,
124.176,-1.121941E-05,-0.00313512,0.002937051,-0.01399724,0.005689765,-0.006426476,0.1348721,-0.8307218,-1.075022,356.7415,357.075,357.9738,-0.001316106,-0.02018237,-0.0008538882,-0.02672038,0.003337237,-0.01106321,-0.004285134,-1.118675,-0.786527,11.48266,338.4498,5.44141,0.02744455,-0.005738589,0.008615188,-0.02771515,-0.1611918,0.1561012,0.190383,-1.12991,-0.7960337,8.030765,15.2573,357.6863,
