time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.567,-0.0003679991,0.01321541,-0.1209306,0.0351947,0.01034491,-0.08968371,0.1392556,-0.8659557,-0.9961975,357.7629,357.3162,354.6669,0.4588386,-0.2080674,-0.007497609,-1.868796,-2.251925,1.31598,0.03131549,-1.174674,-0.7313553,357.6305,340.7953,351.9556,-0.1719599,-0.08085266,-0.1303489,0.5451016,1.30271,-1.010518,0.2053189,-1.190263,-0.7196953,8.19243,341.7562,345.8605,
13.262,0.0001139008,0.01805839,-0.1445405,0.01229641,0.02194966,-0.09834091,0.1392748,-0.8655919,-0.9986759,357.794,357.2819,354.7515,0.4544626,-0.2396045,-0.03947398,-1.902519,-2.19627,1.600247,0.03533425,-1.178426,-0.7330682,357.67,342.8513,349.9807,-0.1847878,-0.05616575,-0.1611783,0.7665324,1.491382,-0.7296744,0.2036322,-1.190988,-0.7218432,8.091924,340.452,346.6718,
27.086,0.0005895495,0.02265901,-0.1705409,-0.006674992,0.03165589,-0.106462,0.1392981,-0.8652058,-1.001547,357.8269,357.2423,354.8394,0.4328508,-0.2726125,-0.07155973,-1.949013,-2.108799,1.6548,0.0388879,-1.182252,-0.7351838,357.9752,344.8153,348.1531,-0.1928622,-0.06286094,-0.1735651,0.8392593,1.600695,-0.8655745,0.2014191,-1.192237,-0.7236505,8.350407,339.3451,347.8954,
40.873,0.001368821,0.0271465,-0.1992838,-0.01615456,0.04130407,-0.1210724,0.1393267,-0.8647464,-1.00481,357.8564,357.1956,354.9466,0.4026261,-0.3147891,-0.1012625,-2.110794,-2.090729,1.353068,0.04197173,-1.186205,-0.7373339,358.8746,346.8427,346.7427,-0.1866826,-0.1082014,-0.1709396,0.7524071,1.610955,-1.499822,0.1995187,-1.193443,-0.7253688,9.432409,338.7773,349.849,
54.639,0.001960665,0.03263757,-0.2301367,0.001037432,0.04579616,-0.1388011,0.13936,-0.8641703,-1.008522,357.8474,357.146,355.0759,0.37117,-0.3563392,-0.1294807,-2.334388,-2.104241,0.8613417,0.04449064,-1.190346,-0.7399507,0.3201651,348.9572,345.8343,-0.1497604,-0.1232098,-0.1631281,0.785248,1.330189,-1.72052,0.1989755,-1.194315,-0.7277332,10.10779,338.6656,351.6532,
68.712,0.002670102,0.04008633,-0.2622703,0.05285411,0.04581193,-0.1436701,0.1394256,-0.8634688,-1.012697,357.7545,357.0949,355.1972,0.3375832,-0.3997753,-0.1532025,-2.707503,-2.034084,0.2206055,0.04671714,-1.194481,-0.7422484,2.459034,351.0436,345.4536,-0.09637965,-0.1017566,-0.163209,0.7451834,0.9729376,-1.200722,0.1987914,-1.195138,-0.7301118,10.03711,338.495,352.4159,
82.629,0.003359497,0.04912964,-0.2949417,0.1322101,0.03448789,-0.1326197,0.1395094,-0.8626046,-1.01736,357.5799,357.0573,355.304,0.3208466,-0.4349586,-0.1821845,-3.121031,-2.073286,-0.3160491,0.04878196,-1.198634,-0.7456445,5.008099,353.4297,345.4475,-0.07483277,-0.08673336,-0.170715,0.5238441,0.9803302,-0.6410241,0.1987319,-1.196497,-0.7323096,10.00434,337.7351,352.5825,
96.373,0.004410282,0.05966262,-0.3286416,0.2010081,0.02298264,-0.1075126,0.1396116,-0.8616053,-1.022497,357.3695,357.0253,355.3828,0.3024133,-0.4524764,-0.2164352,-3.453397,-1.933132,-0.6248195,0.05070104,-1.202467,-0.748196,7.765677,355.6364,345.5926,-0.05784393,-0.1020198,-0.1705815,0.2051169,1.023642,-0.5462925,0.1983192,-1.197914,-0.7337744,10.51383,337.023,352.8032,
110.542,0.005491018,0.0683087,-0.3624923,0.249593,0.01123372,-0.07815367,0.1396939,-0.8605685,-1.028082,357.1397,357.0042,355.4386,0.2814964,-0.4370219,-0.2498672,-3.451814,-1.73952,-0.6618597,0.05249713,-1.20556,-0.752487,10.16595,357.5727,345.7214,-0.034137,-0.1241093,-0.1728136,-0.02038863,0.9982636,-0.7467017,0.198978,-1.19885,-0.7366861,11.37659,336.5626,353.3008,
124.263,0.006027877,0.07452503,-0.3974989,0.2703833,-2.366448E-05,-0.05200331,0.1397779,-0.8594651,-1.034193,356.9218,356.9919,355.483,0.240302,-0.3911405,-0.2746195,-3.145903,-1.343508,-0.6729589,0.05386146,-1.208151,-0.7554448,12.14549,358.8934,346.0173,-0.01509328,-0.1443729,-0.1860988,-0.373272,0.9505535,-0.9045913,0.1986335,-1.200035,-0.7387045,12.58697,336.1791,353.5489,
