time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.508,0.005234387,0.00727873,-0.0110458,0.236956,-0.05768386,0.04029664,0.1126159,-0.8433512,-1.049604,356.4595,356.1225,356.0806,0.002171517,0.005115472,0.006059455,0.08981916,0.04828617,-0.03774301,0.01862136,-1.340946,-0.8209678,23.02419,322.7004,354.6981,-0.0007297806,-0.003280625,-0.01854029,0.5483901,0.2781909,0.03249346,0.1620632,-1.345138,-0.8089906,22.76112,2.842396,7.725613,
13.27,0.005441458,-0.00524551,-0.01072887,0.191873,-0.06007729,0.04777961,0.1127236,-0.8436248,-1.049729,356.3473,356.1674,356.0522,0.01034405,0.007402798,0.01446166,0.05534022,0.014222,0.01350443,0.01878628,-1.340871,-0.8207469,22.99574,322.7091,354.7346,0.02490847,-0.07001088,-0.002639799,0.1562503,0.1791972,0.1232667,0.1632984,-1.346887,-0.8086454,23.03213,2.62852,7.580568,
26.465,0.005679413,-0.01693128,-0.01051698,0.12855,-0.06148354,0.04811736,0.1128435,-0.844241,-1.049847,356.3035,356.2166,356.0251,0.01707696,0.007215644,0.02186231,-0.002770171,-0.02487287,0.06333186,0.01917457,-1.340818,-0.8203272,22.92422,322.6933,354.6904,0.07104708,-0.1144497,0.02056514,0.01189812,-0.001872421,0.00349887,0.1649405,-1.348839,-0.807745,23.19152,2.82141,7.620839,
40.531,0.006176711,-0.02652219,-0.01023158,0.05840788,-0.05990691,0.04611687,0.1129416,-0.8447023,-1.049981,356.3157,356.2678,355.9908,0.02150387,0.004752397,0.0268064,-0.04902714,-0.04507027,0.08758339,0.0196315,-1.340884,-0.819666,22.82871,322.6486,354.5678,0.1255592,-0.1432327,0.04920866,-0.1042377,-0.2954757,-0.1589907,0.1669975,-1.350617,-0.8065242,23.44356,3.425326,7.715973,
54.352,0.006706966,-0.03136256,-0.009276578,-0.01162721,-0.05875485,0.04975276,0.1130449,-0.8451091,-1.05008,356.3766,356.3234,355.9392,0.02411899,0.003030768,0.02989906,-0.07025721,-0.06236519,0.09195033,0.02022793,-1.340757,-0.8193921,22.74706,322.6163,354.4395,0.1705692,-0.1366725,0.0731404,-0.08651662,-0.6422984,-0.07385616,0.1695861,-1.351472,-0.8053225,23.62545,4.04337,7.357822,
68.164,0.007401781,-0.02857506,-0.006574272,-0.06211917,-0.05158873,0.06544826,0.1131434,-0.8453323,-1.050085,356.4507,356.3725,355.86,0.02445571,0.004845654,0.03055762,-0.06020782,-0.07497431,0.09561309,0.02053673,-1.340678,-0.8190956,22.67298,322.6142,354.3627,0.2061488,-0.1041343,0.09103627,-0.09902905,-1.048149,0.1502779,0.1724052,-1.352013,-0.803369,23.89305,4.674899,6.493422,
82.215,0.007922211,-0.01689821,-0.001492467,-0.0840013,-0.04854988,0.08260512,0.1132075,-0.8455287,-1.050058,356.5092,356.4261,355.7717,0.02083087,0.006914942,0.02792495,-0.05477297,-0.04835568,0.05627793,0.02044283,-1.340693,-0.8185455,22.68906,322.6054,354.3407,0.2311471,-0.06073945,0.09572528,-0.2591683,-1.439656,0.3002762,0.1751219,-1.350926,-0.8024632,24.47342,5.471573,5.490477,
96.107,0.008390764,0.001643427,0.005322557,-0.06118761,-0.04838816,0.09673119,0.1132934,-0.8452359,-1.04985,356.5006,356.4785,355.6854,0.01563514,0.01375891,0.02390335,-0.01815281,-0.07600284,0.07963785,0.02074855,-1.340382,-0.8187209,22.59249,322.6424,354.3166,0.2232274,-0.0005760156,0.08701723,-0.4202323,-1.77538,0.6434372,0.1770557,-1.349148,-0.8006135,25.2601,6.03329,3.950424,
110,0.008993928,0.02076754,0.0116551,0.00534373,-0.04447525,0.09914825,0.1134229,-0.8443446,-1.049495,356.4035,356.5107,355.6235,0.005724557,0.006457478,0.01316832,-0.02240551,-0.03723721,0.005754765,0.02065058,-1.340476,-0.8185521,22.63298,322.6469,354.3269,0.1906267,0.06551702,0.07386805,-0.4246196,-2.010994,1.041892,0.1785816,-1.346308,-0.7996207,25.92895,6.281545,1.904504,
123.966,0.009084105,0.03339302,0.0149131,0.07314755,-0.04191489,0.071423,0.1135517,-0.8438396,-1.049296,356.2831,356.5323,355.624,-0.003938662,-0.003378646,-0.001476816,-0.03897235,-0.0286032,0.006882604,0.02059836,-1.340526,-0.8185521,22.63099,322.6448,354.2965,0.1385477,0.1343423,0.05293674,-0.3230718,-2.105679,1.300521,0.1792935,-1.343104,-0.8002802,26.36945,6.372855,359.7212,
