time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.388,0.005953529,0.008916453,-0.002278748,0.1556538,0.06602974,0.08991844,0.3564182,-0.3708312,-0.4530038,328.1744,351.967,357.584,0.0003001756,-0.003686337,0.004103522,-0.02084765,0.01303481,0.007503973,0.2516596,-0.8706568,0.01873056,16.08322,333.5806,344.5029,-0.3129642,-0.4940813,0.1184657,0.09679695,2.188224,-5.074298,0.4769114,-0.8681186,-0.03025954,5.088714,338.215,329.6183,
14.104,0.00566154,0.007824209,-0.002115597,0.1337712,0.05878621,0.07556539,0.3564953,-0.3707471,-0.4529929,328.092,351.9688,357.5499,0.002420555,-0.003549424,0.003977425,-0.02281426,0.006533527,0.01159544,0.2517066,-0.8706777,0.01876991,16.09054,333.5692,344.4828,-0.3563922,-0.417544,0.03373672,1.679965,1.514976,-5.229338,0.4722639,-0.8684198,-0.03412084,5.615609,337.7857,335.4011,
25.922,0.006270074,0.007375882,-0.001626549,0.1148783,0.05452551,0.06876741,0.3565978,-0.3706571,-0.453005,328.0154,351.9828,357.4948,0.005698252,-0.003230297,0.003941815,-0.02153658,-0.01172359,0.008143383,0.2517931,-0.8706922,0.01878565,16.09369,333.5716,344.4635,-0.4083952,-0.2769226,-0.09169687,2.946816,1.042533,-3.776009,0.4666506,-0.8706595,-0.03757785,3.786924,336.3578,338.8583,
39.858,0.006967628,0.007700134,-0.001019709,0.1080436,0.04528728,0.08038983,0.3567116,-0.370542,-0.4530028,327.902,352.0449,357.4208,0.008984267,-0.00367141,0.003902411,-0.02953251,-0.0237289,-0.00206488,0.2519285,-0.8707128,0.01880221,16.10089,333.5883,344.4401,-0.4710582,-0.2127222,-0.1826224,3.018518,1.477557,-2.231546,0.4606959,-0.8739277,-0.04006696,2.862116,333.8798,340.1866,
53.969,0.007952074,0.007724997,-0.001402883,0.07876004,0.04751758,0.09380989,0.3568417,-0.3704089,-0.4530386,327.8711,352.1127,357.3007,0.01179415,-0.003519332,0.004378133,-0.02672526,-0.03269573,-0.01539208,0.2521133,-0.87071,0.01876546,16.10956,333.6222,344.4245,-0.4914914,-0.1945461,-0.2120027,1.871192,2.045133,-1.074698,0.4560786,-0.875005,-0.04089143,3.457121,331.5226,339.338,
67.467,0.008031754,0.006238946,-0.001331862,0.03973747,0.04333621,0.1069727,0.3569466,-0.3703209,-0.4530643,327.8717,352.2144,357.1793,0.01299121,-0.002208462,0.004428759,-0.02028702,-0.04202036,-0.01398046,0.2522768,-0.8707002,0.01875743,16.10527,333.6556,344.4139,-0.483434,-0.1833309,-0.2068069,0.7317183,2.532838,-0.3514723,0.451741,-0.876525,-0.04161698,4.680737,329.0992,337.6407,
81.676,0.007408397,0.004581582,-0.000247211,0.0142371,0.02487393,0.1081145,0.3570304,-0.3702738,-0.4530481,327.8671,352.3076,357.1085,0.01299067,-0.0008165083,0.004325917,-0.01795885,-0.04250807,-0.007968199,0.2524319,-0.8706995,0.01885483,16.09287,333.69,344.4007,-0.4314597,-0.1299937,-0.1809188,-0.1457852,2.311608,0.1893421,0.4484462,-0.8761529,-0.04347691,5.332531,327.7179,335.6052,
95.507,0.006347663,0.004320548,8.198363E-05,0.00940714,0.004084482,0.09455104,0.3570977,-0.3702232,-0.4530404,327.8413,352.3694,357.0801,0.01278774,0.000165656,0.004054525,-0.01345789,-0.05411917,-0.006781133,0.2526189,-0.8706502,0.01876326,16.08015,333.7322,344.3885,-0.3729149,-0.04901784,-0.1672255,0.1638965,1.531233,0.1800159,0.4447348,-0.8748592,-0.04554635,5.008898,327.4411,335.9698,
109.406,0.005047536,0.005536744,0.0009110136,0.03316902,-0.02489709,0.07696132,0.3571356,-0.3701192,-0.4530061,327.7501,352.4138,357.1209,0.01167208,0.001642242,0.002678485,-0.0003498583,-0.06639043,0.01106002,0.2527013,-0.8706568,0.0188386,16.05636,333.7759,344.376,-0.3055032,0.02571612,-0.1585069,0.5922282,0.7015331,0.1474176,0.4426411,-0.8735144,-0.04865611,4.219456,327.7845,336.9977,
123.26,0.003393218,0.007397585,0.001361372,0.05363112,-0.04360491,0.06126655,0.3571149,-0.369946,-0.4529412,327.6832,352.4474,357.1456,0.008026113,-0.001999315,0.002939521,-0.02811612,-0.03843058,-0.02756231,0.2527531,-0.8706268,0.01881631,16.08039,333.8061,344.3704,-0.2605871,0.06178003,-0.1555176,0.712139,0.4474165,0.3200457,0.4398414,-0.8734584,-0.04926651,3.466484,327.4899,337.4323,
