time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.474,-0.0009883957,0.0002082823,0.0004965827,0.006297797,0.01383516,0.009607092,0.3830253,-0.3760914,-0.4035397,343.3423,353.8535,357.8833,0.0007240437,-0.001165635,0.0002609351,0.00262416,0.003079514,0.01552517,0.3503167,-0.8601546,0.03056428,2.419688,358.2043,355.2061,-0.0126285,-0.0007960023,-0.0246411,0.2611851,0.3177612,-0.1061108,0.5009154,-0.8944995,0.006411672,359.4146,12.00911,359.9006,
12.909,-0.0009424386,0.0001014537,0.0007894967,-0.006070832,0.01151275,0.01463591,0.3830177,-0.3761009,-0.4035049,343.3605,353.8617,357.8578,0.001058739,-0.0006932999,-0.000139027,0.002339514,-0.00340482,0.006822385,0.3503197,-0.8601549,0.03055267,2.416822,358.202,355.1983,-0.002664844,-0.01376106,-0.01248504,0.008517339,0.09557594,-0.2905769,0.5007668,-0.8947828,0.006650485,359.5267,12.25229,0.5154703,
25.776,-0.0004542246,-0.0001645937,0.0009193968,-0.01373518,0.01137112,0.01021395,0.383029,-0.3761203,-0.4034726,343.3871,353.8569,357.8529,0.001155781,8.746814E-05,-0.0001889071,0.004991738,-0.008498344,0.002253382,0.350325,-0.860148,0.03054046,2.414426,358.2087,355.1961,0.006459197,-0.03173953,-0.0008477394,-0.1833228,-0.05711071,-0.317216,0.5008145,-0.8954554,0.006960765,359.8045,12.53097,0.9770365,
39.918,-0.0003713455,-0.0003843229,0.001236366,-0.01261303,0.007004902,0.005562906,0.3830273,-0.3761331,-0.403446,343.3872,353.857,357.8506,0.0003951295,7.530965E-06,0.000423699,-0.003671461,-0.006140933,-0.003566056,0.3503246,-0.8601339,0.03053115,2.413021,358.2151,355.195,0.01088695,-0.05329947,0.01333558,-0.3696677,-0.1230576,-0.2786686,0.5008448,-0.8964044,0.007660855,0.2668117,12.73681,1.376478,
53.734,-0.0004129098,-0.001029749,0.001460817,-0.01338082,0.004967627,0.004118434,0.3830221,-0.3761638,-0.40342,343.3972,353.8574,357.8481,-0.0006987933,0.000404378,0.0006388301,-0.0005362681,-0.002574426,-0.005777641,0.3503171,-0.860123,0.03052629,2.410346,358.2185,355.1982,0.008767975,-0.06687997,0.02147551,-0.4765578,-0.1149974,-0.2199546,0.5007962,-0.8968134,0.007575616,0.7372497,12.81688,1.699618,
67.859,-0.0001156914,-0.002544561,0.001538953,-0.02152058,0.007472182,0.001737211,0.3830285,-0.3762258,-0.403384,343.4328,353.8525,357.8398,-0.002366984,0.001046444,4.252361E-05,0.0175319,0.005773305,-0.006597224,0.3502913,-0.8601134,0.03052734,2.405453,358.2165,355.2061,0.007989226,-0.05394243,0.01973974,-0.3023193,-0.02633432,0.07780831,0.5011789,-0.8965821,0.008186046,0.9436414,12.69363,1.229409,
81.775,1.319713E-05,-0.004160191,0.001501741,-0.03580702,0.004687069,0.00136642,0.3830311,-0.376311,-0.4033473,343.4846,353.8622,357.8291,-0.003352948,-0.001245967,0.00180973,-0.01958081,0.01139051,-0.01704851,0.350245,-0.8601094,0.03053327,2.414154,358.2095,355.2181,0.01241839,-0.02582882,0.01211204,-0.003148368,0.03647535,0.3958149,0.5018178,-0.8964193,0.007294163,0.8627446,12.54201,0.2752452,
95.642,0.0003306174,-0.005257593,0.001664303,-0.04329925,0.002946388,0.004596841,0.3830418,-0.3764045,-0.4033115,343.5208,353.8738,357.8072,-0.004217721,0.0003210473,0.000502793,0.01273868,0.01369827,-0.01247345,0.3501937,-0.8601134,0.03051194,2.409457,358.1989,355.2282,0.02477953,-0.001894633,0.007264563,0.1328444,-0.06027577,0.5164,0.5021314,-0.8959566,0.00833033,0.8273642,12.71985,359.5814,
109.593,0.0006706071,-0.005438862,0.001458726,-0.04309264,-0.001558645,0.007644371,0.3830582,-0.3764849,-0.4032943,343.5457,353.89,357.7956,-0.004272846,0.0001740295,0.0001088327,0.00887734,0.01471504,-0.007952755,0.3501424,-0.8601113,0.03052072,2.408925,358.1878,355.2362,0.02272261,0.003259946,0.01257443,0.07252306,-0.07267138,0.581711,0.5019724,-0.8958291,0.007944245,1.09846,12.78709,359.0772,
123.541,0.0005613941,-0.005257372,0.001352061,-0.04055941,-0.008153129,0.01003459,0.3830632,-0.3765539,-0.4032778,343.5704,353.914,357.7843,-0.003170494,-0.001121317,0.001522444,-0.01664342,0.006187602,-0.01738975,0.3500938,-0.8601077,0.03052141,2.414629,358.1805,355.2493,0.007733609,-0.001767884,0.0204826,-0.0498042,-0.01130725,0.5269279,0.5016657,-0.8958257,0.009201854,1.448791,12.68421,358.864,
