time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.476,0.02150108,-0.005133986,0.02516091,0.05344156,0.06040886,-0.05931258,0.3892441,-0.3391746,-0.1877224,335.7896,355.7154,358.1222,0.007164568,-0.02042093,0.02367379,-0.07687549,0.0591675,0.008883515,0.2832012,-0.8798389,0.09387968,9.662904,344.3722,349.4981,0.02890024,-0.1543523,0.1249758,-1.125165,-2.394133,-1.84839,0.4823602,-0.6460831,0.07266611,344.9592,2.809296,347.3058,
12.515,0.02318657,-0.005119467,0.02462332,0.03479259,0.05634903,-0.06945331,0.3896294,-0.339219,-0.1873475,335.8098,355.6313,358.171,-0.0007226961,-0.02222604,0.02236691,-0.08179136,0.08834929,-0.04559535,0.2830957,-0.8800667,0.09424211,9.799449,344.3054,349.5526,-0.004715636,-0.1563665,0.125724,-0.2830248,-1.827669,-1.530555,0.4819689,-0.6493343,0.07381883,343.9151,2.675919,348.3018,
26.277,0.0255603,-0.004700285,0.02447597,0.003303385,0.04883184,-0.07497348,0.3900516,-0.3392537,-0.1870233,335.8694,355.5679,358.2149,-0.008097576,-0.02292236,0.02059307,-0.08577316,0.1217012,-0.07166822,0.2829144,-0.8802854,0.09453122,9.954483,344.2003,349.6117,-0.08628649,-0.2071124,0.1518334,0.1756339,-0.02551205,-0.8369761,0.4801703,-0.6553937,0.07778306,343.6959,0.4797706,347.1521,
40.357,0.0286261,-0.003243478,0.02442385,-0.02825363,0.03955624,-0.06895958,0.3905399,-0.3392071,-0.1866884,335.9393,355.5344,358.2324,-0.01569583,-0.02105578,0.01772919,-0.08128595,0.156757,-0.04938794,0.2826399,-0.8804367,0.09487163,10.05906,344.04,349.614,-0.2071044,-0.3587394,0.2394485,-0.450079,2.005242,-0.5748919,0.4773715,-0.6628836,0.08466113,346.0655,356.8156,345.9504,
53.848,0.03203547,-0.001513292,0.02474754,-0.0392587,0.020805,-0.05163927,0.3910733,-0.3392084,-0.1863123,335.9719,355.5399,358.2462,-0.02257197,-0.0171093,0.01449916,-0.06649648,0.1809207,-0.02277201,0.2824433,-0.8804415,0.09463482,10.12819,343.8609,349.6031,-0.3153164,-0.5380778,0.3177781,-1.501448,3.529963,-0.3581516,0.4734873,-0.6704409,0.08988176,350.0708,353.1434,344.5549,
67.878,0.0359123,-0.0004647356,0.02510756,-0.04175421,0.001788002,-0.03884465,0.3916929,-0.3391922,-0.1858894,336.0083,355.5498,358.2676,-0.02279651,-0.01449323,0.01133091,-0.05725108,0.1508104,-0.0395475,0.2821974,-0.8805135,0.09523191,10.1856,343.8239,349.635,-0.4355516,-0.6407059,0.3012597,-1.71328,4.912582,0.04195832,0.4684243,-0.6784799,0.09316862,353.2524,348.5326,342.4408,
81.792,0.03931568,0.0003462555,0.0266861,-0.03583808,-0.01921305,-0.0189594,0.3923113,-0.3391908,-0.1854362,336.019,355.5971,358.2723,-0.0212855,-0.01343053,0.01100148,-0.07656346,0.109423,-0.08854752,0.2819556,-0.8804308,0.09520747,10.31494,343.833,349.6995,-0.5372142,-0.6992509,0.23278,-1.453116,5.38315,0.006174877,0.462512,-0.6881731,0.09529459,355.4081,344.1587,341.2813,
95.541,0.04336564,0.001434565,0.02899577,-0.01836949,-0.0366253,-0.002446797,0.3930247,-0.3391212,-0.184956,335.9997,355.6466,358.2786,-0.02296216,-0.00724789,0.008655166,-0.02750265,0.0824455,-0.08993421,0.2816846,-0.8803539,0.09502694,10.31944,343.8319,349.7673,-0.6042756,-0.7470586,0.1503551,-1.074037,4.912458,-0.9810776,0.4549942,-0.697033,0.09663443,357.5838,340.926,342.6829,
109.973,0.04705969,0.003176528,0.03236996,0.01149954,-0.04382624,0.02283984,0.3937636,-0.3390093,-0.1843795,335.9342,355.7146,358.2465,-0.02844032,-0.005163307,0.009280058,-0.0194012,0.08997097,-0.1572844,0.2807915,-0.880255,0.09596124,10.48817,343.817,349.986,-0.5705922,-0.7585657,0.07785074,-0.5621412,3.57993,-1.872203,0.4509053,-0.7051131,0.09500263,359.0053,339.8321,345.2695,
123.63,0.05051357,0.005762113,0.03695336,0.04681755,-0.04294427,0.05945922,0.394547,-0.3388048,-0.1836416,335.8277,355.8109,358.1682,-0.0387307,-0.004946213,0.01100286,-0.01246979,0.1451221,-0.2445144,0.2800183,-0.8800256,0.09551722,10.70098,343.7538,350.3096,-0.5105324,-0.7479841,0.01255807,-0.2481557,2.807602,-1.433772,0.4461002,-0.715116,0.09495243,359.3917,338.7707,345.7803,
