time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.594,0.004393792,0.007547318,-0.003575991,0.07920961,-0.04964923,-0.005874914,-0.1267939,-0.8049405,-1.130657,357.1021,4.023026,359.5241,0.002882888,0.004930588,-0.001094748,0.05278723,0.009958358,0.02572223,-0.166899,-1.082225,-0.7932088,9.037168,12.40522,18.40043,-0.01338054,0.01085947,-0.006024641,0.07316276,-0.04665958,-0.2100575,0.005623367,-1.06826,-0.8137879,351.0593,5.085062,348.4272,
11.989,0.003811745,0.006177966,-0.003805961,0.06611881,-0.05184244,-0.007321048,-0.1267391,-0.8048609,-1.130714,357.0655,4.063918,359.5271,0.004640072,0.002730827,-0.00230464,0.03379946,-0.01505964,0.01387808,-0.1668624,-1.082197,-0.7932428,9.023526,12.41577,18.38018,-0.0118605,0.005505068,-0.00494492,0.05143072,-0.00864331,-0.1347118,0.005617654,-1.068268,-0.8138182,351.0627,5.062349,348.4193,
25.208,0.003486794,0.004190989,-0.004005108,0.04502033,-0.05016008,-0.01345991,-0.126669,-0.804799,-1.130773,357.0478,4.099442,359.5424,0.006142288,0.00222182,-0.003390364,0.03360448,-0.03210741,0.01194157,-0.1667995,-1.082175,-0.7932863,9.010489,12.44216,18.35918,-0.008447955,-0.001071701,-0.002529686,0.01184881,0.0363447,-0.04371376,0.005599504,-1.068267,-0.8138201,351.0841,5.043027,348.3947,
39.385,0.002686004,0.002506948,-0.003931424,0.03012406,-0.04788686,-0.01284815,-0.1266211,-0.8047596,-1.130826,357.031,4.136705,359.5522,0.0058457,0.002498257,-0.004402209,0.04993499,-0.02977323,0.02008084,-0.1667254,-1.082162,-0.7933461,8.986519,12.47362,18.32317,-0.005124385,-0.006145425,0.0002105879,-0.02169286,0.07308713,0.01728991,0.005587948,-1.068304,-0.8138025,351.1183,4.990376,348.3761,
53.262,0.002056861,0.000698828,-0.003539843,0.02079361,-0.04338444,-0.01096254,-0.1266044,-0.8047821,-1.130868,357.0203,4.16329,359.5573,0.003379247,0.001634495,-0.003953134,0.03869151,-0.01594018,0.02821253,-0.1666942,-1.082153,-0.793383,8.974222,12.48372,18.29498,0.003270955,-0.008500636,0.003122529,-0.05128901,0.05662901,0.07482994,0.005689832,-1.068352,-0.8137409,351.1901,4.967872,348.3052,
66.998,0.00160144,-0.0006624009,-0.003282728,0.003287625,-0.03724494,-0.01464362,-0.1265897,-0.8048145,-1.13091,357.0316,4.184641,359.5794,-0.002338572,0.002399809,-0.002812842,0.03211563,0.02909177,0.02744645,-0.1667025,-1.082135,-0.7934437,8.956852,12.46529,18.25856,0.0131564,-0.00901165,0.003697535,-0.04167629,0.01318001,0.1271058,0.005942463,-1.068478,-0.8137388,351.2518,5.012861,348.1706,
81.127,0.001265572,-0.002502861,-0.002555227,-0.0138482,-0.03058124,-0.02380809,-0.1265839,-0.8048895,-1.130929,357.0602,4.199796,359.6151,-0.003966136,0.0007496013,-0.000468392,-0.01310639,0.01519233,0.01238232,-0.1667355,-1.082115,-0.7934664,8.95933,12.44908,18.25041,0.01979287,-0.01133615,0.007875358,-0.09557004,-0.0175661,0.1448504,0.006227665,-1.068503,-0.8133492,351.3865,5.116479,348.0375,
94.977,0.0006585537,-0.003371697,-0.00158001,-0.02343172,-0.02311399,-0.02428434,-0.1265963,-0.8049615,-1.13093,357.0803,4.20778,359.6348,-0.006057527,0.004500039,-0.0006901575,0.02309387,0.05048953,-0.01175147,-0.166805,-1.082091,-0.7934904,8.932892,12.41728,18.25333,0.02208803,-0.01484452,0.01058596,-0.1367335,-0.0323597,0.1519689,0.006554655,-1.068767,-0.8135702,351.5571,5.230227,347.9185,
109.114,-0.0003002452,-0.003336772,-0.0004126953,-0.0266034,-0.01515176,-0.008357662,-0.1266247,-0.8050138,-1.130912,357.1061,4.213779,359.6212,-0.003277213,0.0009423784,0.001145975,-0.0252562,0.00364098,-0.01164763,-0.1668434,-1.082073,-0.7934813,8.938117,12.40981,18.26489,0.0200911,-0.01970281,0.01330787,-0.1926741,-0.01086329,0.15082,0.006664368,-1.068803,-0.812665,351.809,5.307012,347.8186,
122.994,-0.0009773273,-0.00299873,0.0006552071,-0.02148592,-0.01167542,0.005796469,-0.1266504,-0.8050491,-1.130886,357.1151,4.223999,359.6057,-0.002487356,0.003313278,-1.30625E-05,0.02348552,0.02718638,-0.009758279,-0.1668818,-1.082054,-0.7934931,8.922093,12.39881,18.27114,0.01590395,-0.02255059,0.0142158,-0.2166556,0.02311107,0.1427943,0.006910105,-1.069111,-0.8132651,352.0369,5.323606,347.7386,
136.916,-0.001292621,-0.003015556,0.001397136,-0.01352734,-0.009266326,0.008862853,-0.1266743,-0.8050908,-1.130853,357.1223,4.231235,359.6022,0.0003314906,-0.001214331,0.0008026117,-0.02170305,-0.01825828,0.01581925,-0.1668957,-1.082045,-0.7934837,8.934178,12.4001,18.26922,0.01315986,-0.02271309,0.01176057,-0.1935456,0.0345565,0.139733,0.006935023,-1.069176,-0.8126276,352.1613,5.333828,347.6624,
150.762,-0.001663851,-0.003219263,0.001775847,-0.01921921,-0.00948735,0.006392432,-0.1266789,-0.805138,-1.130829,357.1445,4.238163,359.6041,2.955852E-05,-0.001047442,0.0002488508,-0.01379181,-0.01841554,0.02605935,-0.1669078,-1.082039,-0.7934926,8.940559,12.39946,18.25497,0.009339213,-0.01984648,0.009311262,-0.1545077,0.04211708,0.1105301,0.007018636,-1.069283,-0.8128326,352.2321,5.323432,347.638,
164.783,-0.001976901,-0.004176934,0.002151588,-0.02122756,-0.006979709,-0.001112001,-0.1266848,-0.8052131,-1.130798,357.1575,4.239357,359.617,-0.002776343,0.002250388,-0.001249915,0.02018057,0.01150806,0.01252843,-0.1669292,-1.082031,-0.7935125,8.93668,12.39374,18.23677,0.005143359,-0.01708216,0.007301959,-0.1206251,0.05607802,0.07041546,0.007043288,-1.069337,-0.8126987,352.2854,5.292765,347.6351,
178.826,-0.002149713,-0.00537808,0.002035881,-0.03061003,-0.002235831,-0.007828185,-0.1267044,-0.805307,-1.130775,357.1974,4.233829,359.6343,-0.005086972,0.002783213,-0.001397592,-0.0020401,0.01024199,-0.01187608,-0.166985,-1.082007,-0.7935375,8.930078,12.38925,18.2413,0.001138604,-0.01496982,0.00603235,-0.102281,0.06940144,0.03515657,0.007077288,-1.069401,-0.8126178,352.3536,5.252186,347.634,
192.81,-0.00219451,-0.006287208,0.00186715,-0.04248908,-0.001203225,-0.008502022,-0.126735,-0.8054093,-1.130754,357.2423,4.232218,359.6454,-0.007907022,0.003720169,-0.001809701,-0.007028089,0.01998289,-0.04242277,-0.1671131,-1.081964,-0.7935967,8.906243,12.38346,18.28119,0.0002039487,-0.01518572,0.007937861,-0.1707127,0.01671701,-0.04571833,0.007074447,-1.069397,-0.8124464,352.5217,5.25917,347.7277,
206.54,-0.002313901,-0.00668865,0.002073077,-0.04587413,-0.0005689571,-0.001625167,-0.1267685,-0.8055111,-1.130722,357.2766,4.234183,359.6416,-0.009424841,0.003941916,-0.001281678,-0.01099165,0.02529234,-0.05434281,-0.1672486,-1.081924,-0.7936532,8.889772,12.37902,18.33251,0.002099174,-0.003963128,0.001479895,-0.02742254,-0.003441442,-0.03712713,0.007120361,-1.069521,-0.8125314,352.464,5.255196,347.7331,
220.69,-0.002379594,-0.006200571,0.002289232,-0.03947496,0.001175782,0.006025657,-0.1268064,-0.8055986,-1.130683,357.2999,4.233284,359.6329,-0.0108148,0.002916504,-0.0007981518,-0.02034498,0.03712725,-0.04516998,-0.1673782,-1.081899,-0.7936841,8.8815,12.36043,18.376,0.01104772,0.00549895,-0.004814529,0.07064815,-0.0129121,0.07003004,0.007342377,-1.069483,-0.8125941,352.401,5.276234,347.6582,
234.665,-0.002391493,-0.005269431,0.002722912,-0.02667987,3.110097E-05,0.005502149,-0.1268441,-0.805665,-1.130633,357.3062,4.234878,359.6352,-0.01030686,0.001607219,-0.00038863,-0.02423419,0.03061481,-0.03384108,-0.1674848,-1.081885,-0.793704,8.881091,12.34606,18.40331,0.01670555,0.01085009,-0.006445403,0.1106912,-0.01194523,0.1398951,0.007723564,-1.069367,-0.8127191,352.2826,5.318467,347.4438,
248.366,-0.002531262,-0.004775429,0.002928338,-0.02092706,-0.003611475,0.0007090943,-0.1268818,-0.8057252,-1.130588,357.321,4.242006,359.6433,-0.009009409,0.0005082653,-0.0001477336,-0.02309506,0.02278915,-0.02553637,-0.1675906,-1.08188,-0.793721,8.882989,12.3338,18.42723,0.01977875,0.0101139,-0.005453159,0.08074959,-0.03105417,0.1421132,0.007952908,-1.069277,-0.8127025,352.2492,5.373912,347.3306,
262.542,-0.002450136,-0.004610494,0.002701914,-0.02598567,-0.004107132,-0.005060501,-0.1269134,-0.8057873,-1.130555,357.3507,4.243441,359.6577,-0.006689325,-0.0004119914,-5.980465E-05,-0.02204673,0.007101431,-0.02300412,-0.1676919,-1.081884,-0.7937253,8.889856,12.32918,18.45232,0.01923219,0.007702882,-0.003707254,0.03994342,-0.04728713,0.1264738,0.008072546,-1.069208,-0.8127587,352.2526,5.436739,347.2635,
276.399,-0.002528482,-0.004403221,0.002776184,-0.02789944,-0.007827431,-0.01099619,-0.1269479,-0.8058354,-1.130507,357.3707,4.253257,359.6779,-0.005418658,-0.0005010114,8.605968E-05,-0.02095,0.0006020893,-0.02437191,-0.1677727,-1.081889,-0.7937222,8.89607,12.33409,18.47841,0.01455749,0.006184644,-0.003635328,0.0290507,-0.02845999,0.09554733,0.008146126,-1.06916,-0.8128101,352.248,5.450114,347.2308,
290.073,-0.002541795,-0.003156301,0.002840683,-0.02079256,-0.008103561,-0.01407746,-0.1269796,-0.805831,-1.130445,357.3713,4.256542,359.692,-0.005896629,0.0005818932,0.0006117913,-0.01052366,0.009021359,-0.01950318,-0.1678524,-1.081883,-0.7937264,8.896245,12.33405,18.49912,0.007861769,0.005587853,-0.004843293,0.04303288,-0.007832957,0.05799339,0.008195983,-1.069121,-0.8128635,352.2209,5.44836,347.205,
304.218,-0.002855008,-0.001740852,0.003002573,-0.008288252,-0.01153487,-0.0165561,-0.1270221,-0.8058055,-1.130379,357.359,4.267949,359.7062,-0.007267196,0.001975724,0.00130406,-0.002029073,0.02863317,-0.01964608,-0.1679485,-1.081865,-0.7937313,8.886024,12.31958,18.5176,0.001257352,0.00440655,-0.005498675,0.04794823,-0.001912115,0.01353881,0.008209556,-1.069093,-0.8129251,352.1913,5.443601,347.1942,
318.21,-0.002800539,-0.0008151988,0.002848474,0.001998378,-0.008649402,-0.02030507,-0.1270604,-0.8057999,-1.130341,357.3484,4.268655,359.7256,-0.007735248,0.0018429,0.001550962,-0.0007616109,0.03290464,-0.02235145,-0.1680477,-1.08185,-0.7937332,8.871026,12.30116,18.53751,-0.005734975,0.002265587,-0.005196583,0.03858629,0.008758843,-0.03527498,0.008151323,-1.069083,-0.8129988,352.1559,5.423665,347.2139,
331.908,-0.002800151,-0.0006646446,0.002615386,0.009038041,-0.008581484,-0.03204263,-0.1271008,-0.805806,-1.130307,357.3288,4.27307,359.7636,-0.006529675,0.0003154506,0.001534116,-0.007260743,0.02047551,-0.0249894,-0.1681368,-1.081854,-0.7937328,8.862981,12.28871,18.55667,-0.01128382,0.0003440519,-0.004026295,0.0198345,0.01028193,-0.08382673,0.007978866,-1.069096,-0.8130529,352.123,5.38105,347.2977,
346.103,-0.002554371,-0.001034783,0.00207465,0.007010609,-0.004956518,-0.03960398,-0.1271288,-0.8058228,-1.130277,357.3227,4.269712,359.799,-0.00438704,-0.001678288,0.001274766,-0.01501968,0.003765297,-0.02493221,-0.1682094,-1.081875,-0.7937305,8.862597,12.2875,18.57918,-0.01255279,0.0001392592,-0.003692232,0.01259914,0.009104895,-0.0915411,0.007827811,-1.0691,-0.8130897,352.1042,5.350336,347.3741,
360.06,-0.002621319,-0.001796518,0.001945044,0.006667427,-0.002365935,-0.03435851,-0.1271612,-0.8058559,-1.130234,357.3203,4.264631,359.8135,-0.001602574,-0.003623267,0.0009140276,-0.01711851,-0.01420869,-0.02084708,-0.1682527,-1.081908,-0.7937286,8.86938,12.29786,18.60104,-0.01188863,0.0009598376,-0.004205363,0.02143916,0.02123342,-0.06291995,0.007719958,-1.069102,-0.8131386,352.0848,5.321655,347.4057,
373.881,-0.002829858,-0.001385604,0.001624539,0.001250086,3.107924E-05,-0.0187078,-0.1272012,-0.805865,-1.130202,357.3239,4.265716,359.8171,0.001229457,-0.005003071,0.0005848639,-0.01491149,-0.03144152,-0.006828697,-0.1682626,-1.081956,-0.7937236,8.886145,12.31862,18.61392,-0.01078435,0.001695486,-0.004377146,0.02548162,0.03944526,-0.02905327,0.007623186,-1.06909,-0.8131924,352.0695,5.285561,347.4152,
387.645,-0.003020204,-0.001161808,0.002002118,0.009268443,0.001074018,-0.006905153,-0.1272476,-0.8058789,-1.130167,357.3088,4.26554,359.8081,0.001749584,-0.004811472,0.0002406948,-0.01039585,-0.02621266,-0.001429764,-0.1682578,-1.082005,-0.7937227,8.903396,12.33659,18.61659,-0.008774699,0.003583229,-0.004842743,0.04093502,0.03712804,-0.007249506,0.007537295,-1.069057,-0.8132606,352.0461,5.250352,347.4098,
401.857,-0.003353812,-0.0004178506,0.002134378,0.01116852,0.002675581,-0.0008055618,-0.1273006,-0.8058698,-1.130136,357.3009,4.262733,359.8003,0.0005581076,-0.002836694,0.000295355,-0.00231508,-0.01262985,0.0004338531,-0.1682596,-1.082041,-0.7937214,8.911379,12.34705,18.61463,-0.007300149,0.005307203,-0.005110514,0.05376386,0.03425327,0.005934066,0.007462807,-1.069007,-0.8133392,352.0124,5.217083,347.392,
