time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.524,-0.03553557,-0.005158523,0.04147236,0.01488094,0.07374261,-0.4995702,-0.1699588,-0.8428412,-1.12051,1.952061,3.129519,5.035366,-0.04919206,0.0810409,0.01487984,0.1583913,1.125279,1.304291,-0.3999697,-0.9162515,-1.294703,339.5452,169.1692,255.8495,0.0137311,0.005633894,0.003799641,0.08258208,-0.03716974,-0.01710675,-0.08577188,-1.315945,-0.8957649,44.43039,298.2042,79.77847,
13.415,-0.03536168,-0.004714624,0.04703407,0.02711553,0.04967716,-0.5502346,-0.1704463,-0.8428972,-1.11977,1.861475,3.147028,5.515281,-0.05556769,0.08034439,0.01751391,0.2124918,1.10818,1.40688,-0.402469,-0.9130204,-1.293187,338.3333,170.0964,255.289,0.01771624,0.0002662104,-0.001858942,0.06623499,-0.01497951,-0.05025199,-0.08554665,-1.315863,-0.895815,44.49202,298.1774,79.75561,
26.868,-0.03547225,-0.005231864,0.05266526,0.04684269,0.02617332,-0.5918574,-0.1709812,-0.8430075,-1.118925,1.750071,3.189364,6.010592,-0.06015792,0.08408474,0.019624,0.1977889,1.059198,1.604729,-0.4051835,-0.9097565,-1.291305,337.0273,171.1165,254.4596,0.02188773,-0.001809468,-0.01045725,0.1143406,-0.07391813,-0.08648417,-0.08508089,-1.315702,-0.8959857,44.63868,298.0352,79.54402,
40.589,-0.03492768,-0.007695542,0.05719889,0.05758443,0.004949658,-0.6129422,-0.1714755,-0.8431829,-1.118075,1.649407,3.239748,6.495929,-0.05717394,0.08613042,0.02138716,0.1090999,0.991788,1.680186,-0.4078528,-0.9065506,-1.289286,335.7452,172.0117,253.6005,0.02733816,0.00133993,-0.02312161,0.1858036,-0.2013445,-0.1500177,-0.08448334,-1.31549,-0.8964518,44.86805,297.659,78.97417,
54.676,-0.0338755,-0.01205187,0.06014251,0.04761039,-0.02208911,-0.6021467,-0.1719327,-0.8434379,-1.117211,1.577646,3.310481,6.951589,-0.04786854,0.08291866,0.01818085,0.1145698,0.9146944,1.513562,-0.4102469,-0.903474,-1.287187,334.7217,172.7573,253.0485,0.02824391,0.0005551307,-0.04292661,0.2183263,-0.3249046,-0.2904277,-0.08406942,-1.315268,-0.896826,45.11015,297.0266,78.25417,
68.622,-0.03274884,-0.01589761,0.06261549,0.02999778,-0.05057476,-0.5862128,-0.1723784,-0.8437202,-1.116273,1.524509,3.410792,7.399355,-0.03970033,0.06633099,0.01935162,0.1054299,0.8414714,1.172517,-0.4125324,-0.9010144,-1.284947,333.9575,173.2195,252.8598,0.0231672,-0.001927996,-0.04309678,0.1532369,-0.3094718,-0.2493279,-0.08390689,-1.315465,-0.8971587,45.16975,296.68,77.85714,
82.393,-0.03172528,-0.01825594,0.06656651,0.02072175,-0.07799001,-0.5902938,-0.1728329,-0.8439714,-1.115265,1.463372,3.526306,7.88055,-0.0249976,0.05515229,0.01500347,0.09528786,0.7551787,0.8099794,-0.4141099,-0.899254,-1.283187,333.4323,173.4667,252.9253,0.01890819,-0.004909836,-0.04175615,0.1344126,-0.3195434,-0.2121148,-0.08341429,-1.31509,-0.8976466,45.21794,296.3622,77.43665,
96.427,-0.0314826,-0.01816108,0.07145932,0.02814233,-0.08985989,-0.61337,-0.1733382,-0.8442534,-1.114182,1.377547,3.634045,8.386129,-0.02226161,0.03999588,0.008483946,0.1676803,0.5071856,0.670529,-0.4154095,-0.8976748,-1.281223,333.2104,173.8869,252.6913,0.01561257,-0.009421281,-0.04188797,0.1723248,-0.3178717,-0.1751837,-0.08360711,-1.315674,-0.8979815,45.32536,296.1166,77.01205,
111.163,-0.03194511,-0.01709661,0.07784854,0.04676833,-0.0950596,-0.6502831,-0.1738619,-0.8445108,-1.112978,1.266589,3.75006,8.929781,-0.02655929,0.03277146,0.008276439,0.1536328,0.3519678,0.7425519,-0.4167563,-0.8967527,-1.279262,332.8409,174.4194,252.1393,0.009234594,-0.01064604,-0.04571545,0.1797187,-0.349535,-0.1296808,-0.08359293,-1.315752,-0.898665,45.36739,295.8593,76.52814,
124.474,-0.03265922,-0.01600104,0.08465409,0.06844322,-0.08961876,-0.6924174,-0.1743416,-0.8447234,-1.111702,1.135661,3.852925,9.504936,-0.03440081,0.03475827,0.007762797,0.2153516,0.2848472,0.9605804,-0.4181106,-0.8959709,-1.277068,332.315,175.3011,251.2929,-0.0004504807,-0.00977592,-0.05105856,0.2227577,-0.4762782,-0.05100434,-0.08337073,-1.315212,-0.8993599,45.34585,295.5974,75.80921,
