time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.398,-0.002949857,-0.0009513416,0.002694728,-0.01430107,-0.004840434,-0.009119863,-0.1243442,-0.8228111,-1.115346,356.2903,3.33877,359.0174,0.001144923,-0.0006478796,0.001544915,-0.005269352,-0.001139993,-0.0002220135,-0.219322,-1.084673,-0.8643601,3.806674,20.89544,34.17339,0.02056454,0.02310745,-0.01853468,0.07107174,-0.1336978,0.1552254,0.01230147,-1.076712,-0.8789427,353.6599,343.2468,328.6805,
14.784,-0.002319721,-0.001761228,0.002223914,-0.0193221,-0.002274215,-0.006746355,-0.124339,-0.8228661,-1.11532,356.3134,3.337863,359.0225,0.001782005,0.001441587,0.0004737115,0.005402407,0.007643942,-0.005732052,-0.2192928,-1.084662,-0.8643631,3.801783,20.89387,34.17543,0.01486655,0.02108169,-0.01552404,0.102641,-0.1347069,0.09093757,0.01244251,-1.076614,-0.8791268,353.5705,343.2587,328.7614,
26.862,-0.00172196,-0.002191584,0.001710779,-0.02551019,0.0001890032,-0.005320692,-0.1242891,-0.8229468,-1.115298,356.3372,3.334248,359.0292,0.002773502,0.002963311,-0.0004926356,0.01710975,0.01360197,-0.01127911,-0.2192406,-1.084642,-0.8643858,3.785177,20.895,34.17447,0.01360002,0.01687756,-0.01264828,0.08817157,-0.1430296,0.07213566,0.01257479,-1.076639,-0.8792701,353.4664,343.3191,328.7811,
40.615,-0.001046222,-0.002536041,0.00148429,-0.0188319,0.004455815,-0.004317733,-0.1242329,-0.8230279,-1.115276,356.3413,3.326811,359.0323,0.005281442,0.002858908,-0.0006226399,0.02799711,-0.003337545,-0.004025162,-0.2191653,-1.084618,-0.864409,3.766726,20.90405,34.16551,0.01006553,0.009331899,-0.007731008,0.05052928,-0.08133892,0.03942455,0.01261818,-1.076604,-0.8792343,353.4804,343.3138,328.7817,
54.349,-0.0003224833,-0.002054234,0.001213733,-0.01440621,0.007611421,-0.004038918,-0.124226,-0.8230489,-1.115263,356.3491,3.317318,359.0356,0.005276614,0.003200799,-0.0009378943,0.03675006,0.02217564,0.006836501,-0.2190751,-1.084596,-0.8644519,3.743515,20.90588,34.14119,0.01023049,0.002873708,-0.003274331,-0.001327665,-0.04909079,0.03639565,0.0127347,-1.076638,-0.8793088,353.4689,343.3381,328.7632,
68.524,0.0004258319,-0.001235896,0.001035235,-0.008737367,0.009928425,-0.0016315,-0.1242098,-0.8230533,-1.115251,356.351,3.308103,359.0342,0.007416747,-0.0003050932,-6.272574E-05,0.01660852,-0.01733338,0.01480316,-0.2189814,-1.084588,-0.8644567,3.743231,20.91645,34.12391,0.009987025,-0.002667126,-7.543038E-05,-0.03529679,-0.00621184,0.03900724,0.01284131,-1.076678,-0.8792595,353.4714,343.3597,328.7246,
82.523,0.00127845,-0.0009462645,0.001059173,0.001743876,0.009444498,-0.00370863,-0.1241737,-0.8230579,-1.115234,356.3401,3.299855,359.0369,0.008277393,-0.001987588,0.0005115529,0.006437605,-0.04025622,0.01276685,-0.2188933,-1.08459,-0.8644645,3.749291,20.93331,34.11351,0.01049992,-0.0059483,0.003020345,-0.05994596,0.003163345,0.01506332,0.0130052,-1.076762,-0.8792461,353.5002,343.3871,328.6834,
96.099,0.00202259,-0.0006354451,0.0008844593,0.003778007,0.006198954,-0.003550445,-0.1241266,-0.8230549,-1.115222,356.336,3.296719,359.0378,0.004405362,-9.583368E-06,3.284414E-05,0.007329745,0.01634905,-0.007017171,-0.2188379,-1.084596,-0.8644907,3.741978,20.93431,34.11315,0.01317009,-0.008446386,0.005290645,-0.08837686,-0.01869315,-0.008125862,0.01314613,-1.07685,-0.8791153,353.5556,343.4499,328.6539,
110.515,0.002981294,-0.0005233758,0.0004272333,0.004017547,0.007511282,-0.001562843,-0.1240641,-0.8230555,-1.115223,356.3334,3.288834,359.0353,0.003528404,-0.001265508,0.001048031,-0.005751927,0.003501571,-0.00115549,-0.2187784,-1.084605,-0.8644897,3.749439,20.93768,34.11946,0.01320254,-0.01269738,0.01020635,-0.1302797,0.008870103,-0.05699784,0.01335465,-1.076966,-0.8789637,353.7004,343.5225,328.6422,
124.211,0.003800682,-0.0005196741,0.0001903321,0.0008133783,0.006561679,-0.001137479,-0.1239989,-0.823062,-1.115224,356.3359,3.284594,359.0348,0.002454492,-0.001887835,0.0007873712,-0.01499565,0.01286403,0.006446196,-0.2187268,-1.084616,-0.8644889,3.752921,20.92631,34.12222,0.01279723,-0.01939614,0.01475579,-0.1915406,0.08376625,-0.03208099,0.01347886,-1.077164,-0.8783659,353.9412,343.5688,328.5014,
137.918,0.004709234,-0.0002248456,2.374162E-05,0.001262272,0.008129387,0.00295777,-0.1239194,-0.8230607,-1.115226,356.3347,3.277445,359.0272,0.004094619,-0.002566418,0.0009018466,-0.009419232,-0.007605215,0.01341216,-0.2186818,-1.084626,-0.8645015,3.764016,20.92044,34.12036,0.012182,-0.02480587,0.01915433,-0.2374833,0.1266517,-0.02850728,0.01390605,-1.077544,-0.8784584,354.2188,343.5984,328.3456,
152.068,0.005204159,-0.0004995114,0.0002236776,0.009192831,0.004412855,0.00905467,-0.1238435,-0.823103,-1.115218,356.3202,3.280083,359.0127,0.00411931,-0.0007938611,-3.778224E-05,0.004411029,0.008644524,0.01441058,-0.2186247,-1.08463,-0.8645157,3.768663,20.91292,34.11125,0.008954857,-0.02851357,0.02156099,-0.2474879,0.1698124,-0.03083058,0.01374513,-1.077668,-0.8777086,354.4623,343.5733,328.2213,
166.011,0.006197731,-0.0004769566,-0.0004211783,-0.001681975,0.005452012,0.006781596,-0.1237476,-0.8231674,-1.115235,356.3325,3.275134,359.0104,0.005031757,-1.61356E-05,-0.0003395081,0.01197761,0.003349392,0.0182218,-0.2185683,-1.084635,-0.8645477,3.77086,20.91017,34.0947,0.003393314,-0.03051153,0.02259121,-0.2294823,0.192596,-0.05258955,0.01386344,-1.077975,-0.8776755,354.6941,343.5247,328.1485,
179.669,0.007008981,-0.0009877321,-0.0005508149,-0.003455296,0.001549323,0.0009212039,-0.123643,-0.823242,-1.115244,356.3351,3.27687,359.0156,0.004895886,0.001405694,-0.001043943,0.02163497,0.01492754,0.01271366,-0.2185145,-1.08463,-0.864584,3.760856,20.90495,34.07673,-0.003373137,-0.03093291,0.02100927,-0.1914141,0.2056432,-0.06915195,0.01367127,-1.078179,-0.8772501,354.8989,343.4444,328.1094,
193.812,0.007911555,-0.0009766862,-0.0007303178,0.0001875019,-3.829472E-05,0.006131186,-0.123518,-0.8232545,-1.115258,356.3342,3.279111,359.0069,0.005272315,0.001138048,-0.00153883,0.02342314,0.005983557,0.01101558,-0.2184569,-1.08462,-0.8646256,3.750837,20.90653,34.05868,-0.009790251,-0.03059989,0.01931544,-0.1518852,0.2174914,-0.1026803,0.01347215,-1.078416,-0.8769425,355.1076,343.3348,328.1241,
207.76,0.008397046,-0.0006207263,-0.0006997157,0.007195627,-0.00427014,0.02532537,-0.1233958,-0.8232574,-1.115268,356.3225,3.295017,358.9577,0.004579137,0.0005089188,-0.001249406,0.01317566,0.003910425,0.005865294,-0.2184048,-1.084608,-0.8646734,3.744026,20.90982,34.04569,-0.01675429,-0.02879451,0.01822063,-0.1176805,0.2058187,-0.2294675,0.01329828,-1.078395,-0.8768354,355.3986,343.2399,328.3234,
221.651,0.009042993,0.0001016088,-0.0009169686,0.009931413,-0.007684819,0.03298527,-0.1232933,-0.823248,-1.115284,356.3187,3.307059,358.9303,0.003509985,-0.000297865,-0.0005944213,0.002091428,0.001504445,0.004294984,-0.2183696,-1.084602,-0.8647051,3.742306,20.90911,34.04027,-0.01919188,-0.02243734,0.01288226,-0.05050597,0.1676113,-0.1706158,0.01315101,-1.078631,-0.876783,355.4517,343.1499,328.3805,
