time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.536,-0.01270603,-0.04653595,0.04395357,-0.3966706,-0.4235491,-0.657876,-0.1539772,-0.8365448,-1.135233,0.4788645,6.543959,6.70352,0.05148544,0.111726,0.08882964,-0.3619353,0.7032409,0.04114136,-0.3412392,-0.8503363,-1.188864,312.533,182.7491,253.1729,0.005932355,0.06845018,-0.02896298,0.7733359,0.2114622,0.06407251,-0.05996885,-1.084843,-0.7935036,5.104296,344.093,3.392024,
12.563,-0.007949373,-0.04557117,0.04820035,-0.3966973,-0.5237292,-0.7409604,-0.1540405,-0.8371668,-1.134454,0.6913438,7.039011,7.447804,0.06732951,0.09370271,0.0866814,-0.4249265,0.6735291,-0.1081335,-0.3406055,-0.8495108,-1.187844,312.2572,181.8214,253.9682,0.0116302,0.03216974,-0.01122809,0.6160572,0.06308661,-0.3042479,-0.05993811,-1.084842,-0.7934409,5.140366,344.34,4.087003,
25.887,-0.001713756,-0.04318526,0.05247352,-0.4109423,-0.6257781,-0.8483669,-0.1539356,-0.8376963,-1.133655,0.9221634,7.618397,8.305793,0.08211615,0.0785245,0.08866125,-0.5170325,0.6234533,-0.1957241,-0.3399138,-0.8487927,-1.18676,312.0111,180.8101,254.7097,0.01590282,0.006776175,-0.0005731839,0.3989253,-0.0006020413,-0.3614711,-0.05964727,-1.085049,-0.7934869,5.237947,344.4811,4.441097,
39.553,0.005289076,-0.04178159,0.05883948,-0.4092803,-0.7525288,-0.9699683,-0.1537575,-0.838302,-1.132679,1.078881,8.336049,9.246591,0.08876363,0.0659529,0.09144142,-0.5894076,0.5399677,-0.2212421,-0.339278,-0.8483868,-1.185527,311.7952,179.865,255.2822,0.01653685,-0.01174839,0.00434012,0.1235944,0.009553272,-0.2608216,-0.05938449,-1.085256,-0.793174,5.44574,344.4587,4.451191,
53.694,0.01138999,-0.04023586,0.06624307,-0.3613973,-0.8384724,-1.043032,-0.1535509,-0.8388084,-1.131639,1.146432,9.059176,10.14488,0.09038761,0.05258112,0.09709731,-0.6528318,0.4192108,-0.203599,-0.3385764,-0.8477812,-1.18439,311.6209,179.0432,255.627,0.02246706,-0.01483548,0.01276884,-0.1187984,-0.03403986,-0.01846962,-0.05906347,-1.085134,-0.7930391,5.581612,344.4332,4.099168,
67.602,0.01368313,-0.03523655,0.07348669,-0.2910851,-0.8666456,-1.05942,-0.1534064,-0.83917,-1.130499,1.154338,9.767856,11.00234,0.08756661,0.04089309,0.1044755,-0.6692267,0.3128505,-0.158943,-0.3378902,-0.8478544,-1.182601,311.4433,178.3507,255.8456,0.04021324,-0.002216422,0.02145093,-0.2248904,-0.1575698,0.3434216,-0.05785785,-1.085064,-0.7925525,5.551645,344.5459,3.353791,
81.576,0.0132067,-0.03006355,0.08198837,-0.1999274,-0.8458441,-1.040304,-0.1532614,-0.839514,-1.129224,1.07904,10.43501,11.79677,0.09054134,0.03110544,0.1107496,-0.6898978,0.3192092,-0.208287,-0.3371381,-0.8473002,-1.18162,311.2851,177.4292,256.3231,0.05598005,0.001689858,0.03262615,-0.3323674,-0.2760068,0.5310373,-0.05727873,-1.085145,-0.7916686,5.555784,344.7383,2.590683,
95.297,0.01128537,-0.02606357,0.09009711,-0.1393441,-0.8269939,-1.002244,-0.1531575,-0.8398545,-1.127846,1.000403,11.11175,12.54078,0.09180067,0.014249,0.1135636,-0.6218356,0.2837191,-0.3129284,-0.3364868,-0.8479925,-1.179466,311.3174,176.5623,256.855,0.06187227,-0.004557292,0.04343434,-0.4278299,-0.3254785,0.5964187,-0.05639476,-1.085338,-0.7914006,5.653497,344.907,1.859027,
109.63,0.008911507,-0.02539853,0.09765683,-0.1010921,-0.8195884,-0.9632149,-0.1530913,-0.8402565,-1.126373,0.9129883,11.79428,13.25326,0.09180254,-0.00419775,0.1178224,-0.5335206,0.2863176,-0.4143773,-0.335757,-0.8476758,-1.178367,311.4178,175.6643,257.5261,0.05657737,-0.02589496,0.05382195,-0.5348401,-0.2993712,0.4380156,-0.05631524,-1.08604,-0.7898411,6.01959,345.0231,1.390679,
123.347,0.004954997,-0.02790523,0.104552,-0.08009274,-0.8155193,-0.9034029,-0.1531177,-0.8407211,-1.124843,0.846972,12.46141,13.89424,0.08010256,-0.02179964,0.1219299,-0.445685,0.1688311,-0.3821828,-0.3353514,-0.8484067,-1.176518,311.5512,175.182,257.7536,0.04409852,-0.05730807,0.06030744,-0.5827104,-0.2137998,0.1301477,-0.05573677,-1.087052,-0.7896023,6.564569,345.0852,1.294261,
136.933,0.0002819449,-0.03253741,0.1108659,-0.07797366,-0.8034474,-0.8536736,-0.153231,-0.8412834,-1.123211,0.7896005,13.09891,14.52485,0.05828628,-0.04510048,0.1279996,-0.2749844,-0.0167492,-0.2498886,-0.3348353,-0.8493476,-1.174585,311.7153,175.2974,257.5088,0.02519962,-0.09002497,0.06435407,-0.5895279,-0.08627356,-0.2854305,-0.05616841,-1.088119,-0.7880387,7.33035,345.1125,1.63764,
150.824,-0.006626759,-0.03872334,0.1194918,-0.09299713,-0.7643306,-0.7979308,-0.1534743,-0.8419002,-1.121419,0.7549465,13.66988,15.11215,0.05260194,-0.06153424,0.1293045,-0.171821,-0.06845417,-0.2721725,-0.3343918,-0.8507264,-1.172272,311.9515,175.1384,257.5903,0.0185107,-0.1007269,0.06599392,-0.5121405,0.007266225,-0.3783795,-0.0556419,-1.088946,-0.7869555,7.828075,345.0494,1.846303,
164.957,-0.0141151,-0.04272234,0.1297438,-0.09378678,-0.6914302,-0.7467714,-0.153801,-0.8424987,-1.119422,0.6825952,14.15355,15.65325,0.04939488,-0.07284752,0.1295251,-0.08666678,-0.08658338,-0.2823089,-0.3338647,-0.8513018,-1.170743,312.1913,175.0117,257.6985,0.0325156,-0.103963,0.06949166,-0.3906952,-0.08989575,-0.3636628,-0.05471824,-1.090192,-0.7864732,8.111958,345.2657,1.976659,
178.633,-0.02322258,-0.04285495,0.1418751,-0.06036335,-0.5995963,-0.6938829,-0.1542783,-0.8430519,-1.117238,0.5488367,14.56329,16.1274,0.04507919,-0.07557867,0.1306137,-0.03137887,-0.06329599,-0.2584514,-0.3334989,-0.8523853,-1.168691,312.3558,174.8941,257.8322,0.04696101,-0.1097952,0.0719896,-0.3136337,-0.1525831,-0.2997919,-0.05415662,-1.091672,-0.7854035,8.329013,345.4828,2.022527,
192.58,-0.03229427,-0.04243032,0.1547058,-0.01350563,-0.4943142,-0.6662549,-0.1548832,-0.8436454,-1.114884,0.3538372,14.89599,16.58211,0.04223259,-0.07528548,0.1327955,0.07512844,-0.00287053,-0.2612083,-0.3329764,-0.8531379,-1.166854,312.5232,174.826,258.0925,0.05141179,-0.1180494,0.07243144,-0.3162145,-0.1310874,-0.2066807,-0.05351669,-1.093187,-0.7843561,8.579933,345.5519,1.943904,
206.628,-0.04191009,-0.04286385,0.1653209,0.01268878,-0.3927226,-0.6281002,-0.1556478,-0.8442519,-1.112471,0.1750996,15.15002,16.98304,0.04534409,-0.07290924,0.1330247,0.1755832,0.07997607,-0.3300603,-0.3323904,-0.8539389,-1.164875,312.7506,174.6427,258.59,0.05164128,-0.1283278,0.07592118,-0.3386545,-0.09473556,-0.1781367,-0.05292853,-1.0949,-0.7830298,8.891322,345.5745,1.888552,
220.243,-0.05148365,-0.04476416,0.1737426,0.02616659,-0.2909606,-0.5825841,-0.1565302,-0.8449109,-1.109944,359.9786,15.32538,17.34803,0.05267313,-0.06969137,0.1312189,0.2143328,0.1374097,-0.3990282,-0.3316747,-0.8545547,-1.163134,313.003,174.3669,259.1592,0.05279604,-0.1361489,0.07709537,-0.324691,-0.07135878,-0.1585953,-0.05219572,-1.096632,-0.7820736,9.155783,345.6018,1.856624,
234.398,-0.06073834,-0.04660359,0.1798467,0.02471114,-0.1982345,-0.5329703,-0.1575133,-0.8455672,-1.107392,359.8128,15.42591,17.6693,0.06366789,-0.06295954,0.1298712,0.1300591,0.1909489,-0.4040591,-0.3308913,-0.8552284,-1.161417,313.1344,173.9367,259.7024,0.0515442,-0.1442366,0.07998584,-0.3320772,-0.02459088,-0.1717844,-0.05155479,-1.098516,-0.7806866,9.466002,345.5759,1.857448,
248.466,-0.06915266,-0.04861115,0.1844974,0.003426726,-0.1227502,-0.4777605,-0.1585874,-0.8462823,-1.104776,359.6789,15.4716,17.96763,0.07454822,-0.05671633,0.129067,-0.01408035,0.2183279,-0.3651968,-0.3300786,-0.8559316,-1.159782,313.1631,173.4117,260.1504,0.05461008,-0.1503282,0.08317438,-0.3106882,-0.02042836,-0.1930699,-0.05068833,-1.100436,-0.7794988,9.749199,345.6033,1.897299,
262.456,-0.07655399,-0.05077204,0.1878563,-0.03262273,-0.05373044,-0.4190077,-0.1597431,-0.8470328,-1.102142,359.5792,15.45538,18.23937,0.0826851,-0.05721152,0.1276062,-0.1401008,0.2026885,-0.3505073,-0.3292944,-0.856824,-1.158131,313.2125,172.844,260.5297,0.0608842,-0.1540376,0.08607444,-0.280599,-0.04274654,-0.2139,-0.0498472,-1.10239,-0.7781707,10.01166,345.688,1.966318,
276.098,-0.08316739,-0.05221101,0.1904949,-0.04534273,0.02265448,-0.35128,-0.1609672,-0.8477433,-1.099509,359.4729,15.36483,18.42618,0.08483341,-0.0648152,0.1251661,-0.2001806,0.1445087,-0.374598,-0.3285885,-0.8577906,-1.156455,313.3712,172.3174,260.8467,0.06696706,-0.1563998,0.08882827,-0.2694664,-0.06446121,-0.2105024,-0.04886714,-1.104347,-0.7769104,10.26735,345.7786,2.001466,
