time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.466,-0.001099192,0.0008959906,0.002003884,-0.008037032,0.006701097,-0.002325901,-0.1497782,-0.836595,-1.167073,1.559291,3.875408,359.6832,-0.0003747646,0.002256614,-0.0004072512,-0.03329252,0.002757343,0.0274609,0.03798177,-1.162317,-1.252734,0.5017862,117.02,258.5837,0.0003494923,0.001747188,-0.007257467,0.08258201,-0.1416253,-0.1670411,-0.4816533,-1.113105,-1.299887,22.31672,261.5784,52.88713,
13.053,-0.001841131,0.001571127,0.003034899,0.0050255,0.01282882,-0.001290395,-0.1498116,-0.8365817,-1.167022,1.544917,3.860121,359.6808,0.0001985983,0.001834506,0.0004574484,-0.02047159,0.04083387,-0.009548293,0.03797597,-1.162122,-1.252791,0.4735561,117.0187,258.5982,-1.482479E-05,0.003160801,-0.008617609,-0.01081892,-0.03229037,-0.1712044,-0.4814492,-1.112581,-1.300838,22.26866,261.4604,52.88845,
26.698,-0.002463661,0.001970934,0.003825455,0.01758354,0.01921856,-0.004483287,-0.1498464,-0.8365818,-1.166968,1.511661,3.834784,359.6847,0.0003387116,0.001248043,0.001433502,0.001413006,0.07184155,-0.04825615,0.03797617,-1.161858,-1.252732,0.4535737,116.9948,258.666,-0.00136419,0.004727575,-0.003906203,-0.09051852,0.001866722,-0.07800695,-0.4813766,-1.112013,-1.301477,22.2065,261.4478,52.93312,
40.592,-0.002435504,0.001775829,0.00403215,0.02575212,0.03002796,-0.008987131,-0.1498728,-0.8365846,-1.166917,1.485681,3.800503,359.6948,-5.470996E-06,0.0001475985,0.001556529,0.03033504,0.08213519,-0.06496683,0.03794765,-1.161694,-1.252663,0.4603785,116.9703,258.7609,-0.002211114,0.006193224,-0.002205905,-0.1102702,-0.03294736,-0.05535853,-0.4815018,-1.111371,-1.301712,22.10448,261.423,52.94653,
54.251,-0.002549242,0.001050434,0.004222638,0.01906067,0.03134073,-0.01133543,-0.1499106,-0.8365805,-1.166855,1.481105,3.778184,359.7046,-0.001646764,-0.0008716068,6.070372E-05,0.05317737,0.03802489,-0.02393722,0.03780747,-1.161723,-1.252679,0.4846248,116.9776,258.8022,-0.002744196,0.007482975,-0.002041834,-0.121647,-0.06281812,-0.06028511,-0.4817564,-1.110513,-1.301823,21.96991,261.3971,52.93349,
68.403,-0.002458242,7.415827E-05,0.004523005,0.009946054,0.03229143,-0.006972079,-0.1499432,-0.8365951,-1.166787,1.484015,3.751585,359.7025,-0.002839603,-0.001104678,-0.002110188,0.04373449,-0.03149264,0.04983371,0.03749507,-1.161942,-1.252865,0.5121481,117.0196,258.786,-0.001991753,0.005344472,-0.001194127,-0.07707209,-0.06257055,-0.04201818,-0.4820415,-1.10954,-1.301961,21.89792,261.3795,52.90567,
82.473,-0.002282176,-0.0003716854,0.005128338,0.0002159466,0.03087385,0.001593231,-0.1499799,-0.8365884,-1.166699,1.495555,3.728633,359.6936,-0.003798957,-0.001408982,-0.003187706,0.02539659,-0.119208,0.1092844,0.03703538,-1.16228,-1.253121,0.559999,117.1126,258.6349,-0.002091826,0.005397778,-0.0006152662,-0.07812756,-0.06723259,-0.03237459,-0.4823255,-1.108791,-1.301907,21.81348,261.3767,52.88648,
96.253,-0.00229418,-0.0002730391,0.006155917,-0.005378928,0.02516979,0.009371358,-0.1500202,-0.8365682,-1.166587,1.50354,3.715493,359.6806,-0.004869346,-0.0006582272,-0.005234097,0.01988813,-0.143395,0.1682437,0.03649732,-1.162728,-1.253506,0.5841518,117.2544,258.4305,-0.001478042,0.003000627,0.001760839,-0.0274584,-0.07967455,0.01203814,-0.4826266,-1.108195,-1.301717,21.76834,261.4037,52.86118,
110.323,-0.002353539,-0.000357248,0.00714066,-0.001325565,0.02038152,0.01718209,-0.1500583,-0.8365607,-1.166467,1.50057,3.700729,359.6594,-0.001511195,0.0006559577,-0.0008991745,-0.03351228,-0.1157976,0.07805895,0.03609497,-1.163057,-1.253771,0.569444,117.2229,258.3792,-0.0006700585,0.0007145589,0.002535518,-0.0004183808,-0.04543295,0.0366202,-0.4829119,-1.107878,-1.301337,21.75032,261.4376,52.84735,
124,-0.001824156,-0.0002718718,0.007456291,0.0003025617,0.02061649,0.01271038,-0.1500744,-0.8365614,-1.166359,1.502058,3.682791,359.6599,0.001049242,0.004348788,0.00468582,-0.08114938,0.002124362,-0.04989325,0.03602762,-1.163018,-1.253697,0.5300713,117.181,258.3875,0.002084618,-0.007112118,0.005420445,0.1403857,-0.007195597,0.1075034,-0.4830358,-1.108256,-1.300761,21.89746,261.5479,52.82085,
137.844,-0.00147991,-0.0001723105,0.008043706,0.007956467,0.01667082,0.005114226,-0.1500887,-0.8365614,-1.166239,1.490487,3.671043,359.6595,0.001872645,0.004766093,0.005350828,-0.06889559,0.08040343,-0.09482814,0.03645751,-1.162548,-1.253248,0.468534,117.089,258.468,0.004242057,-0.01419734,0.011615,0.2856378,-0.02326637,0.2256956,-0.4830196,-1.109486,-1.29965,22.34897,261.8967,52.74809,
151.443,-0.0008929453,-1.883236E-05,0.007920191,0.01428048,0.0155493,0.004324065,-0.1500409,-0.8365496,-1.166132,1.468099,3.660101,359.6547,0.003996508,0.007202581,0.0095002,-0.1162454,0.1329404,-0.1767975,0.03702963,-1.161826,-1.25255,0.3420391,116.8567,258.6508,0.005680463,-0.01931515,0.01846629,0.4004764,-0.06169984,0.3474837,-0.4830604,-1.111519,-1.297672,22.75733,262.3034,52.67633,
