time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.471,0.002862151,0.002281136,-0.004232284,0.01229219,0.007585805,0.02233966,-0.4949473,-0.7439377,-1.186255,4.000129,359.419,359.5031,-0.001378364,0.003107207,0.0004956819,0.02358875,0.0118825,-0.01749896,-0.5640028,-1.353982,-1.031059,49.51376,12.97817,288.821,-0.003521372,-0.003526936,-0.03484255,-0.2710226,-0.1842786,-0.1042445,-0.4491655,-1.297171,-1.029215,30.82292,335.9411,73.68227,
12.855,0.002531832,0.002388188,-0.003800159,0.01985664,0.007918158,0.01943212,-0.4949282,-0.7438928,-1.186296,3.978168,359.4124,359.4921,-0.0002710168,0.003212033,0.000261095,0.01509138,0.01665833,-0.01845317,-0.5640061,-1.353948,-1.031042,49.50365,12.98048,288.8475,-0.008315397,0.01090322,-0.01562579,-0.1490566,0.0484404,0.01480044,-0.4494048,-1.297125,-1.029387,30.59535,336.0888,73.87533,
26.449,0.002141478,0.002542977,-0.003677888,0.01952272,0.005611549,0.02770321,-0.4949151,-0.7438437,-1.186337,3.965671,359.4066,359.4572,0.0001982969,0.002701386,-0.00027142,0.008002765,0.0212576,-0.0135443,-0.5640067,-1.353923,-1.031023,49.50089,12.98939,288.8743,-0.01702499,0.02075813,-0.01068423,-0.1848531,0.06953077,0.0951023,-0.449594,-1.296721,-1.029668,30.39551,335.8674,73.8048,
40.459,0.001840822,0.002544264,-0.003602635,0.01403061,0.002093494,0.03018489,-0.4949027,-0.743802,-1.186382,3.960005,359.404,359.4324,-0.0009209813,0.0009400655,-0.0001248885,0.01859738,0.01453228,0.002419747,-0.5640078,-1.353911,-1.031001,49.50319,12.99323,288.8952,-0.02162329,0.02052238,-0.01117098,-0.1868689,-0.05156974,0.1141934,-0.4498423,-1.296578,-1.029641,30.35818,335.6366,73.53728,
54.051,0.001672794,0.00244881,-0.003156154,0.01755725,0.004327085,0.02202611,-0.4948815,-0.7437701,-1.186419,3.938685,359.3944,359.4283,-0.0003202189,0.0008308469,-0.0005756584,-0.005596914,0.008337118,-0.009052508,-0.5640161,-1.353897,-1.03099,49.50435,12.99624,288.9087,-0.02309651,0.01785965,-0.008852093,-0.154845,-0.08481229,0.1078917,-0.4499288,-1.296177,-1.02984,30.34256,335.519,73.37016,
68.308,0.001645192,0.002652959,-0.002737423,0.01916407,0.01126541,0.01128519,-0.4948593,-0.7437302,-1.18645,3.923062,359.3787,359.432,-0.002203589,-0.001136714,0.0001091285,0.01199209,-0.01610561,0.00950147,-0.5640276,-1.353902,-1.030978,49.50292,12.98536,288.8991,-0.02344631,0.01895395,-0.001131268,-0.1204801,-0.003010316,0.1263888,-0.4502891,-1.296219,-1.029521,30.22649,335.4698,73.34562,
82.021,0.001154339,0.003284337,-0.002231249,0.01951296,0.01354698,0.003005768,-0.4948748,-0.743681,-1.186472,3.907139,359.3666,359.4374,-0.00079679,-0.0007057989,-0.0007647821,-0.01213033,-0.01088826,-0.003277925,-0.5640403,-1.353919,-1.030973,49.49888,12.9758,288.8826,-0.0218175,0.02310468,0.01930879,-0.00397365,0.2134362,0.171049,-0.4506826,-1.295755,-1.02919,29.84203,335.6265,73.6011,
95.731,0.0009327248,0.003405252,-0.001533402,0.02290941,0.01229377,-0.003540141,-0.4948865,-0.7436389,-1.186479,3.882891,359.3625,359.4472,-0.001933404,-0.001340427,-0.0003501224,0.01128449,-0.01602538,0.006563194,-0.5640489,-1.353952,-1.030966,49.49617,12.96416,288.8648,-0.01669516,0.03324437,0.04062407,0.1159459,0.3570148,0.2903328,-0.4508466,-1.29533,-1.028742,29.31552,335.9551,73.88071,
110.202,0.0009680208,0.003332641,-0.001308564,0.01753614,0.009247374,-0.00422118,-0.4948817,-0.7435962,-1.186493,3.878227,359.3596,359.4491,-5.394944E-05,-0.0006688273,-0.0007426284,-0.0035367,-0.00161153,-0.005109467,-0.5640541,-1.353973,-1.03096,49.49513,12.95973,288.8569,-0.00728428,0.04155733,0.05334362,0.2011742,0.2951444,0.4067638,-0.450948,-1.295371,-1.02786,28.85247,336.2719,73.8728,
123.789,0.001024623,0.002565723,-0.001054762,0.008934698,0.004162694,-0.005344347,-0.4948689,-0.7435725,-1.186503,3.875959,359.3605,359.455,0.001132899,0.0004954012,-0.0009647467,-0.01912276,0.005011506,-0.01522262,-0.5640622,-1.353972,-1.030964,49.49471,12.9629,288.8583,0.008745525,0.03141271,0.05111556,0.3221995,0.09737319,0.3379373,-0.4511277,-1.295006,-1.028044,28.79145,336.6537,73.74986,
