time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.398,0.08473663,0.08863474,-0.4895413,0.2336764,-0.2481756,0.1984708,-0.4931763,-0.7231274,-1.226761,349.9089,4.327591,356.6687,-0.07705896,0.308423,-0.10409,1.074385,-0.2285131,1.282435,-0.5686953,-1.270706,-1.019395,18.20009,353.0916,347.7886,0.09586456,0.0535666,-0.1447195,0.2526997,0.1543201,-1.020637,-0.4205639,-1.256921,-1.042154,15.61293,355.3596,353.0674,
14.29,0.08622127,0.07855038,-0.480999,0.2158044,-0.2500893,0.2140574,-0.4919146,-0.7221602,-1.233237,349.7643,4.583165,356.4958,-0.07472316,0.4091752,-0.1092274,1.485735,-0.3547765,1.497695,-0.5690221,-1.264639,-1.021478,16.29049,352.4483,346.7179,0.09840268,0.04167435,-0.1442731,0.2019798,0.1673934,-1.107484,-0.4194705,-1.256431,-1.044328,15.64382,355.7637,354.1001,
26.791,0.08692633,0.07050925,-0.4707479,0.1957542,-0.2588233,0.2256865,-0.490712,-0.7212672,-1.239603,349.6408,4.856512,356.3237,-0.06524192,0.5260599,-0.1195795,1.916044,-0.5438316,1.787339,-0.5690523,-1.25721,-1.023771,13.87693,351.852,345.4651,0.09411097,0.03899037,-0.1494796,0.1954755,0.1881505,-0.9763749,-0.418404,-1.255904,-1.0466,15.58604,355.9654,354.8195,
40.363,0.08655269,0.06328408,-0.4584608,0.1798068,-0.2639795,0.2414509,-0.4894732,-0.7205075,-1.245729,349.5279,5.133162,356.1325,-0.04431221,0.6402698,-0.1349596,2.234927,-0.7822375,2.003989,-0.5688729,-1.248699,-1.02644,11.20628,351.4969,344.175,0.08586462,0.03723787,-0.1562742,0.1518186,0.2142889,-0.7410561,-0.417334,-1.255422,-1.048784,15.57142,355.9792,355.2367,
54.15,0.08530443,0.05695259,-0.445084,0.1542389,-0.2652726,0.2529835,-0.4881495,-0.7198246,-1.251611,349.4547,5.405521,355.9438,-0.02349181,0.734445,-0.1510637,2.393961,-0.9133364,1.933622,-0.5688198,-1.239343,-1.028495,8.640496,351.396,343.2752,0.08058365,0.0308491,-0.1627258,0.007936578,0.1975459,-0.4947066,-0.4161859,-1.254901,-1.051095,15.73062,355.9394,355.4029,
68.255,0.08334894,0.05051207,-0.4307474,0.1282589,-0.2658391,0.2600408,-0.4868578,-0.7192591,-1.257277,349.4016,5.681397,355.7555,-0.01064225,0.8147701,-0.1706393,2.533417,-0.9636379,1.66555,-0.5689538,-1.229061,-1.03191,6.113977,351.4489,342.8715,0.07697557,0.01999279,-0.170132,-0.1697313,0.158507,-0.2688286,-0.4150406,-1.254613,-1.053597,16.04716,355.8608,355.3619,
82.071,0.08060037,0.04494134,-0.4161483,0.08159787,-0.2629634,0.2619198,-0.4857787,-0.7186919,-1.262837,349.4075,5.953417,355.5859,0.0007686429,0.8722138,-0.188762,2.560927,-1.055378,1.310401,-0.5690658,-1.218793,-1.034013,3.748812,351.7481,342.808,0.0711523,0.0008630529,-0.1779333,-0.4160874,0.1649006,-0.2075516,-0.4143328,-1.254485,-1.055666,16.64938,355.8127,355.4048,
96.001,0.07821667,0.04179037,-0.4012652,0.03380557,-0.2587008,0.2549372,-0.4847165,-0.7181181,-1.268191,349.4375,6.215681,355.4357,0.02140512,0.9086235,-0.2070859,2.548523,-1.309625,0.8459905,-0.5690957,-1.208355,-1.037324,1.467969,352.4924,343.143,0.06233661,-0.008943113,-0.1905766,-0.5074286,0.2036216,-0.2980261,-0.4135601,-1.254155,-1.05913,17.20578,355.835,355.7098,
109.978,0.07653759,0.0391827,-0.3857774,0.001619218,-0.2541135,0.2438239,-0.4835955,-0.7176351,-1.273241,349.4829,6.46919,355.2972,0.04112104,0.9079858,-0.2184575,2.429592,-1.553236,0.4238288,-0.569034,-1.197998,-1.040674,359.3869,353.466,343.6815,0.05438124,0.001493467,-0.2037319,-0.4520776,0.2526731,-0.4632835,-0.4132869,-1.253003,-1.061443,17.6272,355.9448,356.2966,
123.835,0.07549427,0.0360636,-0.3705787,-0.04355758,-0.2401858,0.2382226,-0.4824315,-0.7172081,-1.278073,349.5792,6.704397,355.1621,0.05529846,0.8856582,-0.2316223,2.371154,-1.800937,0.0788698,-0.569312,-1.188828,-1.043734,357.2826,354.6188,344.4226,0.05039928,0.03902956,-0.2156523,-0.1742334,0.2159971,-0.4705245,-0.4126835,-1.251821,-1.06476,17.52153,356.0558,356.7477,
137.642,0.07511059,0.03186823,-0.3551416,-0.08745147,-0.2322082,0.2466459,-0.4813055,-0.716864,-1.282692,349.7129,6.958427,355.0113,0.04961054,0.818405,-0.2376895,2.091433,-1.790794,-0.1879572,-0.5697325,-1.180647,-1.046865,355.6892,355.6077,345.1901,0.04164403,0.08231156,-0.2296726,0.127473,0.132063,-0.2280676,-0.4119722,-1.25009,-1.069134,17.05834,355.9927,356.7296,
151.436,0.07558449,0.02785122,-0.3409895,-0.1505913,-0.2220593,0.2871288,-0.4802374,-0.7165214,-1.287234,349.9433,7.221673,354.8074,0.03883708,0.7317815,-0.2400471,1.830896,-1.749235,-0.3266574,-0.5703413,-1.174401,-1.050117,354.2788,356.5506,345.9025,0.02909951,0.109884,-0.2398061,0.1787122,0.05457659,-0.0005566758,-0.4119714,-1.248603,-1.071936,16.807,355.8767,356.4836,
165.475,0.07639827,0.0236253,-0.3270881,-0.2134196,-0.212146,0.3389397,-0.479154,-0.7162726,-1.291577,350.2231,7.487157,354.5851,0.02855301,0.5883529,-0.2263658,1.359789,-1.701567,-0.2964141,-0.5712763,-1.170645,-1.052075,353.4426,357.6235,346.3191,0.00937324,0.1235777,-0.2432997,0.02902474,0.01055046,0.205644,-0.4121022,-1.246397,-1.075459,16.89966,355.6815,356.0571,
179.528,0.07833827,0.01697114,-0.3140922,-0.306017,-0.1950644,0.3511093,-0.4779245,-0.7162014,-1.295707,350.6131,7.714323,354.4429,-9.979308E-05,0.395277,-0.1757724,0.8854605,-1.293281,0.03853407,-0.5723458,-1.168731,-1.052871,353.064,358.2653,346.0431,-0.02523617,0.1481783,-0.2436742,-0.1788294,-0.01659938,0.5390151,-0.4126544,-1.24368,-1.078731,17.15392,355.2684,355.2166,
193.156,0.08073787,0.008568421,-0.3008187,-0.417565,-0.1806464,0.3218506,-0.4766525,-0.716243,-1.29962,351.0742,7.918935,354.3759,-0.05739445,0.211376,-0.09961124,0.532742,-0.3577959,0.3770168,-0.5736931,-1.169172,-1.052658,353.0422,357.7865,345.3557,-0.05649447,0.1889566,-0.2431635,-0.1591484,0.02675009,0.7349254,-0.4135304,-1.240268,-1.081903,17.16607,354.7588,354.4445,
207.385,0.08288866,-0.0001958795,-0.2870551,-0.5331551,-0.1651117,0.2702031,-0.4754239,-0.7163992,-1.303362,351.6225,8.092889,354.377,-0.1225575,-0.002457626,-0.01698278,-0.1102624,0.7108659,0.6503098,-0.5752423,-1.172162,-1.051806,354.0141,356.5791,344.3025,-0.08015284,0.2547296,-0.2431397,0.06684695,0.06838919,0.7513302,-0.4144919,-1.235702,-1.085541,16.82796,354.3105,353.9035,
