time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
3.136,-0.01233336,0.04365516,-0.03328679,-0.1366994,-0.1685729,-0.253808,-1.856263,0.8075864,-0.05149817,57.13511,248.2518,5.23116,0.02031568,-0.02820044,-0.008889118,-0.003245094,0.02502415,0.02757853,-1.909438,0.3887457,-0.1507792,52.37372,249.8661,32.45972,0.006018319,-0.1979413,0.03202313,2.582456,1.272865,0.2352496,-1.971583,0.4085258,-0.06103397,34.51467,229.6493,343.4103,
27.262,-0.007954489,0.05527798,-0.03286454,-0.1249853,-0.191267,-0.2908305,-1.856531,0.8098992,-0.05285287,56.30328,247.6673,4.810281,0.02368649,-0.02954225,-0.0117503,-0.07115471,0.1324837,0.0590643,-1.908521,0.3873768,-0.1514862,52.7387,250.0289,32.8581,-0.08234779,-0.2779886,0.07408088,1.496729,0.1192926,0.8756878,-1.975773,0.4014077,-0.05951837,37.92259,231.7428,342.7478,
34.195,-0.006578933,0.05571199,-0.03216988,-0.1212765,-0.1857842,-0.2862966,-1.856572,0.8106882,-0.05328608,56.05379,247.4885,4.683378,0.0224656,-0.02801961,-0.01183883,-0.0939891,0.1261716,0.06068388,-1.908269,0.3870901,-0.1516807,52.8076,250.1317,33.0564,-0.08262563,-0.2764122,0.07059989,1.448921,0.1574766,0.8470556,-1.976839,0.398497,-0.05905308,38.8053,231.9542,341.9846,
41.731,-0.005175135,0.05572279,-0.03132724,-0.1168918,-0.1814391,-0.2824494,-1.856603,0.8114396,-0.05368519,55.79873,247.3126,4.554694,0.02075062,-0.02659478,-0.01131481,-0.1274993,0.125637,0.07125876,-1.908293,0.3866068,-0.152022,52.8865,250.3182,33.38125,-0.08516333,-0.264344,0.06873218,1.263851,0.08986455,0.8251665,-1.978454,0.3964569,-0.05885576,39.51112,232.412,341.8023,
57.86,-0.003292866,0.05467036,-0.02999577,-0.1137102,-0.1747718,-0.2756374,-1.856659,0.8121151,-0.05411315,55.54882,247.1458,4.446655,0.01649057,-0.02121105,-0.01204402,-0.1495411,0.06714959,0.05869631,-1.908168,0.3864211,-0.1521147,52.78354,250.459,33.57642,-0.08699625,-0.2078604,0.05498517,0.8975305,-0.07780713,0.5379447,-1.97895,0.3963132,-0.05868842,39.24943,232.8406,342.077,
72.48,-0.002732352,0.05262187,-0.02930236,-0.1222176,-0.1657981,-0.2730978,-1.856709,0.8127526,-0.05452204,55.30658,246.9642,4.353908,0.01530993,-0.01990749,-0.01297817,-0.1224024,0.06793627,0.05728437,-1.90828,0.3861969,-0.1523367,52.82798,250.5037,33.64215,-0.07902762,-0.1665781,0.03783919,0.4720991,-0.1425341,0.4361753,-1.979465,0.3952818,-0.05914126,39.16459,233.147,342.7565,
88.228,-0.002733864,0.05016705,-0.02918608,-0.1280532,-0.1469816,-0.2663127,-1.856767,0.8133671,-0.05493951,55.1065,246.774,4.256974,0.01221699,-0.02004545,-0.01536504,-0.09012672,0.07955963,0.05726967,-1.90832,0.3861035,-0.1525761,52.89398,250.5258,33.68943,-0.05412512,-0.1244896,0.000495322,-0.2473927,-0.05818969,0.5104555,-1.979365,0.3955916,-0.0607533,39.30921,233.2017,344.4987,
102.836,-0.002287882,0.04685496,-0.02931021,-0.1358899,-0.1238501,-0.2618999,-1.856751,0.8138518,-0.05538368,54.90998,246.5644,4.164826,0.009638998,-0.01671498,-0.01878665,-0.03930103,0.04691257,0.0155444,-1.907902,0.3864666,-0.1524707,52.86202,250.4193,33.56277,-0.01895413,-0.09530741,-0.04455948,-0.5176769,0.2659305,0.3729941,-1.978284,0.3959352,-0.06176102,39.48553,232.239,344.8278,
117.519,-0.001440659,0.04348848,-0.02997208,-0.1462134,-0.09895843,-0.2549647,-1.856721,0.8143168,-0.05585146,54.7319,246.3599,4.097765,0.01073079,-0.01837686,-0.02060144,-0.002411547,0.08430985,0.03620271,-1.907883,0.3861617,-0.1529259,52.98787,250.414,33.56924,0.04219454,-0.06522709,-0.1044429,-0.6718563,0.8073996,0.161195,-1.977328,0.3960305,-0.06387051,39.7734,230.1481,344.2996,
131.981,3.270805E-06,0.04075225,-0.03048827,-0.1534814,-0.07087046,-0.2530951,-1.856652,0.8148197,-0.05629349,54.56551,246.1129,3.997061,0.0129188,-0.018391,-0.02582765,-0.004685604,0.1054617,0.008696094,-1.907994,0.3856288,-0.1534755,53.08244,250.3283,33.56247,0.06534724,-0.03946697,-0.1182061,-0.5484072,0.95322,0.040419,-1.977329,0.3965972,-0.06465485,39.96818,228.8058,343.6891,
