time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.46,-0.08588578,0.01468322,-0.02570125,0.08712916,0.1611779,-0.1287832,-0.5165266,-0.7444851,-1.232787,3.818839,2.414524,358.3516,0.00372137,0.01590976,0.005531756,-0.0254382,-0.01983624,-0.151073,-0.7622628,-1.329504,-0.9658572,21.63764,10.5129,275.1821,0.03378612,0.1029267,0.03821635,0.6188311,0.211325,0.2218406,-0.2450034,-1.297951,-0.9166546,19.276,10.74975,72.1368,
13.351,-0.08582508,0.0164713,-0.02644829,0.1084832,0.1498271,-0.1201326,-0.5176958,-0.7442272,-1.23316,3.708458,2.31348,358.4369,0.005108127,0.01538133,0.004678663,-0.03611501,-0.009010816,-0.1441575,-0.7622299,-1.329339,-0.9658222,21.57638,10.56597,275.2833,0.02313917,0.08815762,0.03467266,0.4554482,0.250709,0.08584747,-0.2451699,-1.297285,-0.9165077,19.00317,10.91745,72.19384,
27.02,-0.08503004,0.01743135,-0.027325,0.1234146,0.1403051,-0.1128167,-0.5188411,-0.7439547,-1.233541,3.597178,2.218009,358.5178,0.006143965,0.0152838,0.004269692,-0.03952923,-0.003755407,-0.1441647,-0.7621995,-1.329181,-0.9658017,21.51708,10.6177,275.3856,0.001992301,0.0724688,0.02642986,0.2001981,0.3633286,-0.03077428,-0.2455365,-1.297017,-0.9164498,18.65851,10.82417,72.43279,
40.59,-0.08378,0.01823095,-0.02809302,0.1309228,0.1276357,-0.1021993,-0.5199693,-0.7436676,-1.233931,3.484049,2.135148,358.5852,0.007188593,0.01499126,0.004012129,-0.04656795,0.007606603,-0.1521393,-0.7621487,-1.329066,-0.9656672,21.45753,10.6883,275.5204,-0.01412165,0.05004901,0.02011836,0.007842174,0.3670796,-0.1659326,-0.2459486,-1.296935,-0.9162114,18.45087,10.75102,72.80766,
54.625,-0.08231448,0.01947024,-0.02851812,0.141743,0.1133854,-0.08868966,-0.5210913,-0.7433574,-1.234337,3.359146,2.05985,358.6391,0.007832957,0.01497241,0.004288655,-0.0512761,-0.00901071,-0.1552453,-0.7621037,-1.328882,-0.9657711,21.37656,10.75666,275.6344,-0.02317187,0.0345335,0.01770511,-0.08857761,0.370126,-0.2110186,-0.2461997,-1.296695,-0.9161034,18.23622,10.66232,73.11542,
68.571,-0.08079094,0.02113661,-0.02854048,0.1542405,0.100082,-0.08263708,-0.5221957,-0.7430367,-1.234719,3.220042,1.996059,358.6961,0.007636745,0.01400017,0.00355,-0.0606146,-0.0159779,-0.1499144,-0.7620606,-1.328885,-0.9655598,21.30142,10.82633,275.733,-0.02270026,0.02500664,0.02120294,-0.08815639,0.379459,-0.2879368,-0.2464492,-1.296889,-0.915291,17.97775,10.71269,73.48942,
82.284,-0.07918139,0.02232099,-0.02844756,0.1678342,0.09153719,-0.08021081,-0.5232993,-0.742709,-1.235111,3.072568,1.933278,358.7536,0.005988535,0.01263386,0.003557473,-0.04547866,-0.02168202,-0.1426639,-0.762018,-1.328842,-0.9655002,21.23895,10.86241,275.8062,-0.01892023,0.01975326,0.02349247,-0.07635282,0.3795477,-0.3545106,-0.2467309,-1.29686,-0.9150593,17.71752,10.80395,73.9003,
96.378,-0.07768013,0.02248418,-0.02851859,0.1738554,0.084934,-0.08136792,-0.5243648,-0.7424097,-1.235519,2.927391,1.872777,358.8149,0.004002943,0.01012072,0.003603736,-0.03140241,-0.04397412,-0.1065575,-0.7619994,-1.32875,-0.9655606,21.16995,10.91078,275.8486,-0.01212945,0.01503634,0.02003723,-0.07777785,0.3615525,-0.3795399,-0.246654,-1.296981,-0.9149762,17.48717,10.87469,74.28656,
110.524,-0.07591518,0.0219117,-0.02906814,0.1659926,0.08508695,-0.08848204,-0.5253938,-0.742118,-1.235934,2.804237,1.808912,358.8909,0.005501478,0.009956674,0.001163847,-0.08288096,-0.04614147,-0.107764,-0.7620293,-1.328653,-0.9656107,21.0841,11.00781,275.9223,-0.001818735,0.0008203527,0.01486247,-0.04405468,0.2519663,-0.4576829,-0.247018,-1.297026,-0.9154022,17.42373,11.12777,74.76204,
124.286,-0.07417324,0.02064925,-0.02952841,0.1580984,0.08292362,-0.09482705,-0.5264009,-0.7418572,-1.23635,2.682493,1.749913,358.9681,0.001651076,0.007252762,0.003448271,-0.02295799,-0.02507007,-0.0998043,-0.7620061,-1.328641,-0.9655031,21.04222,11.01457,275.9699,-0.007554098,-0.008090196,0.0007073686,-0.1147437,0.138211,-0.233927,-0.2468974,-1.297381,-0.9155387,17.47576,10.96012,74.75596,
