time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.507,0.000113952,-0.02139293,0.02311367,-0.2079981,0.0004362838,-0.02472364,0.3865305,-0.4151059,-0.2693095,344.6475,354.4211,358.676,0.0004885619,-0.0002774835,-9.888478E-06,0.00393348,0.006044808,-0.006527015,0.3651283,-0.9326098,0.08136396,22.70482,4.107858,354.4372,-0.01712605,0.03044381,-0.002113111,0.219918,0.02256333,0.04019503,0.4738448,-0.937216,0.06502657,29.70422,349.9153,353.0792,
12.882,-0.001024229,-0.02112109,0.01860323,-0.1995136,0.006927134,-0.01394899,0.3864941,-0.4153694,-0.2691846,344.7901,354.4272,358.6397,0.0008750828,0.001524613,-0.0004317227,0.01187249,0.0005697056,-0.008041302,0.3651355,-0.9325604,0.08134183,22.69705,4.10888,354.4435,-0.01026273,0.01441681,-0.005289706,0.1224808,0.04589361,-0.03899913,0.4736731,-0.937682,0.06500033,29.8753,349.9999,353.1892,
26.025,-0.002149112,-0.02076879,0.01416467,-0.1859759,0.009729126,-0.006148055,0.3864046,-0.4156424,-0.2691417,344.9146,354.4343,358.6074,0.001455226,0.003365979,-0.001248183,0.02677634,-0.009053122,0.002425864,0.3651493,-0.932496,0.08130351,22.67718,4.10886,354.4391,-0.01354289,0.006696139,-0.005571834,0.05543582,0.1181811,-0.04655869,0.4734751,-0.9375362,0.06507982,29.92765,349.9546,353.3101,
40.193,-0.003354221,-0.01998988,0.009024801,-0.1724206,0.01216889,-0.003223518,0.3863084,-0.4158873,-0.2691911,345.0284,354.4345,358.5831,0.002481396,0.004682303,-0.002493218,0.03935178,-0.02332018,0.009213276,0.3651783,-0.9324397,0.08125965,22.64525,4.112425,354.4195,-0.01178253,-0.0005459188,-0.00499137,0.02345261,0.1285811,-0.06093515,0.4733967,-0.9375198,0.06489593,29.96727,349.9452,353.417,
54.068,-0.004351627,-0.01902606,0.004052076,-0.15365,0.01431237,-0.00399498,0.38626,-0.4161714,-0.2690863,345.1194,354.4282,358.5686,0.003662982,0.003755148,-0.003177131,0.020726,-0.03171108,0.01278114,0.3652064,-0.93237,0.08118555,22.62283,4.11944,354.3969,-0.006623973,-0.00252126,-0.003631236,0.04229326,0.08580091,-0.06461763,0.4732918,-0.9375604,0.06492975,29.95268,349.976,353.4769,
67.714,-0.0050646,-0.01819293,-0.000718971,-0.1317415,0.01618371,-0.008944194,0.3861729,-0.4164035,-0.2692149,345.1927,354.4104,358.5686,0.004436512,0.006143841,-0.005014107,0.06602766,-0.04095954,0.01171505,0.3652597,-0.932269,0.0810196,22.5547,4.130724,354.3571,-0.002320796,-0.004868671,-0.0006688316,0.04021437,0.07970919,-0.09747037,0.4732528,-0.9376094,0.06489836,29.95732,350.0385,353.614,
81.823,-0.005571081,-0.01706656,-0.005621422,-0.1205499,0.0177004,-0.01480329,0.3861033,-0.4166155,-0.2693934,345.2814,354.3945,358.5676,0.006085827,0.003593308,-0.00535596,0.03360847,-0.05131922,0.01155165,0.3653354,-0.9322277,0.08103304,22.54363,4.150892,354.3302,0.003020828,-0.00225818,0.0008943588,0.08492246,0.02452514,-0.09094594,0.4732659,-0.9376695,0.06488867,29.89742,350.1194,353.7002,
95.747,-0.005925089,-0.01612194,-0.0102784,-0.1045439,0.02291739,-0.01289906,0.3860473,-0.4167853,-0.269769,345.3391,354.3767,358.5478,0.00691921,0.002734964,-0.005329659,0.02528774,-0.0585378,0.02216257,0.3653936,-0.9321317,0.08083095,22.51699,4.167135,354.2829,0.006697933,-0.0002188154,0.003229608,0.1007014,-0.00752017,-0.08934991,0.4732861,-0.9377458,0.06500639,29.84295,350.2102,353.7897,
109.624,-0.00678574,-0.01469012,-0.01517724,-0.09652583,0.02150848,-0.0002050493,0.3859619,-0.4169435,-0.2700498,345.4016,354.3837,358.5082,0.006452648,0.002525588,-0.005199761,0.02745878,-0.05923272,0.03280629,0.3655045,-0.9321014,0.08082166,22.4755,4.175592,354.22,0.01092638,0.0008292352,0.006721623,0.08701556,-0.01309761,-0.1219211,0.4734377,-0.9376765,0.06503638,29.80098,350.3559,353.9299,
123.486,-0.006599136,-0.01322911,-0.01968865,-0.07495973,0.01417408,-0.008639522,0.3858984,-0.4170769,-0.2704171,345.4266,354.3736,358.5419,0.00515731,0.003787945,-0.00514387,0.04362429,-0.05897631,0.037233,0.3655379,-0.9320006,0.08059146,22.43023,4.18067,354.1595,0.0158381,0.008812825,0.007469287,0.1398863,-0.08820727,-0.06746304,0.4736864,-0.937543,0.06507355,29.61943,350.5078,353.9614,
