time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.49,0.0003851342,0.00994999,-0.008623715,0.03399289,0.005840078,0.03124839,0.3809648,-0.4297815,-0.235025,353.0171,352.6502,359.4991,-0.007476464,-0.003679605,0.004611849,-0.05172228,0.07687565,-0.06959806,0.368863,-0.9297122,0.07804066,22.60477,7.658161,355.5459,0.002304756,-0.03304552,0.000817764,-0.1497387,0.1448001,-0.2356161,0.4755772,-0.9325452,0.066056,27.75854,349.6892,350.6455,
12.739,0.0001809932,0.01279601,-0.01306646,0.05216165,0.00567018,0.02968259,0.3809542,-0.4295143,-0.2352884,352.9508,352.6498,359.4984,-0.007590722,-0.002213355,0.004918207,-0.03415743,0.06672412,-0.04067294,0.3688162,-0.9297,0.07809168,22.61542,7.644234,355.5818,0.001116741,-0.03680709,0.0004077646,-0.1595857,0.1444646,-0.2130372,0.4755619,-0.9329538,0.06606589,27.95547,349.7262,350.7784,
26.371,-0.0002778773,0.01544337,-0.01709553,0.07715491,0.004823351,0.03139808,0.3809094,-0.4291174,-0.2357302,352.8441,352.6479,359.498,-0.006996377,-0.001465871,0.004748376,-0.01258552,0.04816182,-0.00302347,0.368782,-0.9296888,0.07814139,22.61942,7.618676,355.5848,0.002197057,-0.03133154,0.0003619962,-0.1057247,0.1071987,-0.1795442,0.4756005,-0.9330503,0.06599993,27.97563,349.7881,350.8691,
40.316,-0.000172873,0.01839538,-0.02115111,0.1156572,0.01200047,0.02817327,0.3809264,-0.428804,-0.2360865,352.695,352.6187,359.5197,-0.005522584,-0.0009464473,0.004156937,-0.004958618,0.03644446,0.003939854,0.368757,-0.9296786,0.07818484,22.6203,7.599098,355.5876,0.00222329,-0.02341001,0.001570456,-0.06870382,0.06446297,-0.1284317,0.4755734,-0.9330485,0.06614922,27.91108,349.7801,350.8153,
53.946,-0.0005950211,0.02142284,-0.02421701,0.1425876,0.0145261,0.03075711,0.3809189,-0.4284444,-0.2364914,352.5493,352.6019,359.5239,-0.00341723,-0.001267399,0.003198632,-0.01408232,0.02462868,0.002864978,0.3687289,-0.9296708,0.07821353,22.62501,7.587104,355.5945,0.003030221,-0.01483944,0.002402123,-0.0355923,0.0274919,-0.1036635,0.4756326,-0.9330038,0.06597311,27.89045,349.8141,350.8241,
67.669,-0.000445717,0.02367045,-0.02698426,0.1530693,0.01886009,0.03267702,0.3809377,-0.4280873,-0.2369256,352.4186,352.5808,359.5246,-0.002166058,0.0007067369,0.001695444,0.01305073,0.02177351,-0.01859448,0.368712,-0.9296677,0.07824844,22.62083,7.582749,355.6143,0.002051606,-0.007233275,0.003566191,-0.04003496,0.002038443,-0.0590413,0.4755889,-0.9330526,0.06615128,27.90839,349.8204,350.8104,
81.641,-0.000334383,0.02558635,-0.03032245,0.1521319,0.01320897,0.03615882,0.3809426,-0.4277076,-0.237433,352.3018,352.5873,359.5212,-0.0005703559,-0.001721011,0.002157698,-0.03691779,0.02965936,-0.03489352,0.3687225,-0.9296305,0.07829703,22.63906,7.58847,355.658,0.0009035082,0.006029552,0.005153979,0.02237711,-0.01430419,-0.01987337,0.475611,-0.9329581,0.06611688,27.88693,349.8339,350.8141,
95.226,-0.0002171705,0.02744822,-0.03379208,0.1543581,0.004288369,0.04035281,0.38095,-0.427278,-0.237982,352.1671,352.6004,359.5198,0.003257789,0.002593368,0.0005370773,-0.001104077,-0.0103904,-0.06530191,0.3687255,-0.9295473,0.07823724,22.61902,7.631078,355.7078,0.001772442,0.01771606,0.005208596,0.1021994,-0.03386161,-0.002114276,0.4756887,-0.9325181,0.06601585,27.75644,349.8759,350.8453,
109.764,-2.077594E-05,0.02910531,-0.03641916,0.1741921,-0.002047016,0.04102557,0.3809561,-0.4268391,-0.2385058,351.9863,352.6051,359.5385,0.005028385,0.004894288,-0.001578022,0.04220532,-0.04862503,-0.0380724,0.3687907,-0.929509,0.07825875,22.57877,7.683455,355.7142,8.975505E-05,0.02458718,0.005857874,0.1211549,-0.03863249,0.06789152,0.4757989,-0.9321291,0.06602596,27.5643,349.8117,350.7648,
123.375,0.0001283735,0.03051841,-0.03816592,0.1984338,-0.006360581,0.03785333,0.3809534,-0.4264004,-0.23906,351.7928,352.6081,359.5659,0.005048326,2.952263E-05,-0.0006213546,-0.001881353,-0.04704715,0.01510529,0.3688418,-0.929469,0.07822457,22.58243,7.695568,355.6856,0.003298229,0.02422452,0.004272258,0.1028193,-0.09267752,0.1001457,0.4757715,-0.9321458,0.06636415,27.42584,349.7915,350.6118,
137.216,0.0001876317,0.03118751,-0.03958106,0.213363,-0.007525294,0.03224121,0.3809643,-0.4260098,-0.2396389,351.6122,352.605,359.5984,0.004023614,-5.940231E-05,-0.001171569,0.04324421,-0.05527977,0.05809724,0.3689579,-0.9294874,0.0782245,22.54354,7.68403,355.5849,0.003439969,0.01746991,0.003477529,0.04507226,-0.07403416,0.08653107,0.4758483,-0.9319921,0.06614685,27.45098,349.7747,350.5675,
150.615,0.0004269369,0.0310286,-0.04069882,0.216425,-0.004000297,0.02525144,0.3809963,-0.4256343,-0.2402463,351.4451,352.5915,359.6335,0.00231989,-0.002587903,-0.000559948,0.003900641,-0.01592226,0.01141271,0.3689621,-0.9294441,0.07816616,22.55261,7.686856,355.5895,0.003197598,-0.004106263,-0.001949867,-0.06479031,-0.02111291,0.05257669,0.4759004,-0.9320781,0.06613545,27.53273,349.7547,350.5523,
164.862,0.0002634786,0.02989249,-0.0411693,0.2137896,-0.003286058,0.01506508,0.3810034,-0.4252782,-0.2408205,351.2909,352.583,359.6806,0.004736731,-0.004476508,-0.0004117464,0.002449739,-0.05599201,0.05126068,0.3690562,-0.9294717,0.07812198,22.56306,7.692332,355.5126,0.005342501,0.003620965,0.0002967126,0.004556003,-0.06205431,0.07038191,0.475991,-0.9321039,0.06614622,27.48853,349.7216,350.4333,
178.701,0.0004105624,0.02861214,-0.04145765,0.2069537,0.004917461,0.01521164,0.3810128,-0.4249124,-0.2413997,351.1358,352.5613,359.6956,0.004534697,-0.004326136,-1.382001E-05,0.009516661,-0.05628474,0.05082744,0.3691476,-0.929507,0.0781301,22.55761,7.694156,355.4381,0.006044519,-0.0006351077,-0.0002124785,0.03011334,-0.04390536,0.02581344,0.4760602,-0.9321499,0.06610563,27.43759,349.7415,350.4156,
