time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.375,0.004567068,0.001273378,-0.002667598,0.007105111,-0.008745019,0.02694743,-0.4916056,-0.7416413,-1.188911,3.136151,0.1129548,358.892,0.001141222,0.001674128,0.0005503033,0.0001348762,0.005735791,-0.0105059,-0.5635141,-1.353193,-1.030359,49.5885,13.09313,289.1072,-0.001854583,-0.003588159,-0.01697842,-0.0819653,0.03283858,-0.1161056,-0.4497108,-1.293419,-1.030346,29.29167,334.7277,73.10135,
14.547,0.004175263,0.001694511,-0.002887659,0.01262687,-0.005842321,0.01879316,-0.4915518,-0.7416108,-1.188957,3.122176,0.113471,358.8863,0.0008007092,0.001386621,0.0004223716,0.003648674,0.003491524,-0.00517481,-0.5635207,-1.353194,-1.030359,49.58437,13.09588,289.1156,-0.002190299,-0.005261023,-0.008910771,-0.05680416,0.09457624,-0.1024583,-0.4497136,-1.293479,-1.030421,29.29197,334.7137,73.21417,
26.533,0.003733366,0.001937008,-0.003018097,0.01388196,-0.003591899,0.008341424,-0.4915069,-0.7415776,-1.189017,3.112787,0.1163958,358.8843,0.0002997492,0.0005410518,9.346041E-05,0.007874576,0.003790567,0.001603698,-0.5635281,-1.353204,-1.030351,49.5832,13.09511,289.1217,-0.001287149,-0.01130585,-0.002019496,0.01299774,0.1192394,-0.1063595,-0.4497831,-1.293675,-1.030432,29.30899,334.7733,73.38738,
40.074,0.00348241,0.001791334,-0.003327877,0.01203324,0.001579913,0.001439696,-0.49146,-0.7415531,-1.189079,3.104406,0.1109901,358.8901,0.0002652173,0.0003043124,-0.00035795,0.002212897,0.005474711,-0.001688765,-0.5635358,-1.353219,-1.030346,49.58589,13.09292,289.1256,-0.002822224,-0.01380801,0.004148855,0.0461079,0.1278419,-0.08500884,-0.4499156,-1.293904,-1.030303,29.30972,334.8653,73.5565,
54.174,0.002947713,0.001302754,-0.003523024,0.009937945,0.001222623,-0.004011294,-0.4914273,-0.7415423,-1.189131,3.098087,0.1114838,358.8979,-0.001171021,-0.001302321,-0.0004267187,0.01556686,-0.003409178,0.01670581,-0.563544,-1.353243,-1.03035,49.58977,13.08188,289.1202,-0.004232279,-0.01191644,0.01590045,0.1140665,0.1975123,-0.04082101,-0.4502214,-1.294195,-1.029904,29.20139,335.1076,73.88244,
68.173,0.00244022,0.001254822,-0.003589618,0.006719571,0.001101104,-0.001922273,-0.4914011,-0.7415261,-1.189181,3.095373,0.1108141,358.898,0.000550781,-0.0004868152,-0.001240927,-0.01275187,-0.001143255,-0.001461437,-0.5635487,-1.353264,-1.030365,49.59324,13.08042,289.1165,-0.003178039,-0.005351219,0.03136455,0.194473,0.2770533,0.04249918,-0.4503314,-1.294275,-1.029412,28.9514,335.4512,74.20837,
81.923,0.002207807,0.001253912,-0.003585618,0.00466668,0.002485948,-0.003926027,-0.4913648,-0.7415085,-1.189229,3.093042,0.1072804,358.9035,-0.0009733338,-0.0009932593,-0.0007681666,0.007749898,-0.01550894,0.00737635,-0.5635534,-1.353295,-1.03038,49.59307,13.07199,289.104,0.003847674,-0.001306826,0.0471778,0.3270984,0.2612,0.1150525,-0.4505705,-1.294627,-1.028602,28.73815,335.9391,74.4503,
95.916,0.002000495,0.001502952,-0.003409496,0.004709898,0.003541772,-0.003793567,-0.49133,-0.7414818,-1.189272,3.08829,0.1037049,358.9057,0.0001001395,-0.0005658808,-0.001086622,-0.007802578,-0.008899509,-0.002798316,-0.5635577,-1.353318,-1.030391,49.58902,13.06769,289.0926,0.01135694,0.0007494819,0.04369795,0.3226562,0.1080671,0.1467685,-0.450054,-1.294236,-1.028894,28.66717,336.2137,74.40199,
110.077,0.001949319,0.001836347,-0.003253379,0.003690183,0.004638715,-0.003671541,-0.4912947,-0.7414496,-1.189314,3.085118,0.0987056,358.908,-0.001944314,-0.001460725,-0.0004975424,0.02336561,-0.01423927,0.01306964,-0.5635666,-1.353348,-1.030404,49.58524,13.04879,289.0751,0.01680102,-0.007990927,0.03050446,0.31251,0.0388873,0.04112299,-0.4504061,-1.295059,-1.028257,28.77702,336.4723,74.4805,
123.629,0.001784792,0.001871247,-0.003044847,0.005785692,0.004312358,-0.001531518,-0.4912721,-0.7414232,-1.189353,3.077913,0.09525355,358.9076,-0.000227405,0.0004689377,-0.001435327,-0.002725621,0.002633365,-0.009914422,-0.5635782,-1.353359,-1.030411,49.58389,13.04204,289.0725,0.01097777,-0.01338701,0.005934258,0.1050932,-0.0487698,-0.06758116,-0.4501288,-1.294677,-1.028711,28.91908,336.2384,74.39391,
