time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
2.492,-0.004771473,-0.001984014,0.0006439715,-0.01189484,0.02315377,-0.01479348,0.1405787,-0.8346952,-1.073411,0.01464385,359.0686,356.9604,0.001553603,0.002683299,0.0001254685,0.001694808,-0.003358291,0.004835431,8.356012E-05,-1.112395,-0.7839339,10.0709,339.0943,3.782391,-0.01712342,0.001457206,-0.007900512,0.06221715,0.1597709,-0.01472888,0.1886858,-1.120282,-0.7920446,10.01295,17.85782,357.4232,
27.552,-0.004168108,-0.001712614,0.0007832919,-0.008366227,0.02053298,-0.005046158,0.1403859,-0.8346914,-1.073392,0.03578235,359.0203,356.9727,0.002165308,0.001069124,-0.0006957449,0.001811496,-0.00149705,-0.002611157,0.0001748428,-1.11231,-0.7839255,10.085,339.0959,3.80773,-0.00715354,0.003008678,-0.006906427,0.05060904,0.04213411,-0.01043789,0.1885433,-1.120233,-0.7921516,9.964907,17.79629,357.4605,
37.636,-0.003600959,-0.00138801,0.0007864917,-0.006032742,0.02138212,-0.007048122,0.1402906,-0.8347056,-1.073372,0.04563916,358.9839,356.9885,0.003304312,0.002561203,-0.001628797,0.01559089,-0.008975268,0.01833617,0.000227239,-1.112277,-0.7839571,10.07495,339.1023,3.805437,-0.007005646,0.003823709,-0.005489585,0.07048198,0.04309285,0.00405558,0.1885183,-1.120227,-0.7921586,9.913013,17.73833,357.4214,
52.931,-0.003075541,-0.001325523,0.0009977784,-0.001926458,0.01883385,-0.009007753,0.1402652,-0.8347211,-1.073351,0.04062273,358.9769,357.0023,0.003914977,0.001634333,-0.001622153,-0.0006750553,-0.01862251,0.01134209,0.0002784301,-1.112234,-0.7839988,10.06324,339.1122,3.793996,-0.00462106,0.002851584,-0.002405764,0.04611269,0.02053761,0.04584412,0.1885127,-1.120164,-0.7921412,9.922221,17.71837,357.376,
68.192,-0.002567212,-0.001405144,0.0009910651,-0.003156718,0.01682794,-0.01016515,0.1402473,-0.83474,-1.073338,0.04815656,358.964,357.0097,0.003493207,0.00124297,-0.002456419,0.004230434,-0.01669126,0.01557872,0.0003316812,-1.112199,-0.7840683,10.03917,339.1247,3.77936,-0.0002268186,0.003499391,-0.0007741618,0.06823818,-0.01748753,0.06442153,0.1885533,-1.120134,-0.7921036,9.895135,17.70621,357.2732,
84.287,-0.001850786,-0.001692735,0.0007935131,-0.007608992,0.01515088,-0.01042796,0.1402565,-0.8347524,-1.073327,0.06313702,358.9557,357.0176,0.002069216,-0.0001068577,-0.001486033,-0.002051448,-0.009998727,0.002508051,0.0003625378,-1.112172,-0.7841241,10.03642,339.1328,3.777086,0.004975901,0.004124737,0.0003193399,0.0897388,-0.05064465,0.06473669,0.1886653,-1.120066,-0.7921346,9.862366,17.72239,357.1486,
98.743,-0.001112585,-0.001577676,0.0005558058,-0.01217277,0.01450357,-0.006410796,0.1402729,-0.8347532,-1.07332,0.08080164,358.9465,357.0142,0.0001112166,-0.003525658,-0.0001117416,-0.01877634,0.004536902,-0.03986149,0.000373777,-1.112163,-0.7841435,10.05842,339.1319,3.788826,0.009042315,0.002451344,0.00381039,0.07504307,-0.0741331,0.1158803,0.1888642,-1.119956,-0.792044,9.89072,17.751,356.9579,
113.391,-0.0007879199,-0.001663293,0.000462024,-0.009848536,0.009885545,0.001116416,0.1402709,-0.8347787,-1.073314,0.08294135,358.9469,357.0007,0.0001178678,-0.0009362584,-0.0006694623,0.01228415,0.003579483,0.001291358,0.0003763922,-1.112162,-0.784155,10.05616,339.1302,3.793386,0.01323671,0.004209432,0.004202569,0.1141476,-0.1085382,0.1135188,0.1891247,-1.119931,-0.7920812,9.833113,17.82452,356.7356,
128.425,6.72699E-05,-0.001592777,8.030177E-05,-0.01024389,0.007744311,0.004264183,0.140293,-0.8347994,-1.073322,0.09064756,358.9454,356.9919,-0.0001690539,-0.001923367,6.262481E-05,-0.002872912,-0.002013569,-0.003441327,0.0003713071,-1.112169,-0.7841519,10.06739,339.1319,3.796991,0.01533236,-0.001690836,0.006619542,0.03169996,-0.1064433,0.08693204,0.189193,-1.119983,-0.7920403,9.909272,17.8888,356.7402,
143.255,0.0006428106,-0.00158901,-4.199176E-05,-0.008764581,0.003261301,0.007474029,0.1403086,-0.8348272,-1.073288,0.09544958,358.9507,356.9809,-0.001137957,-0.001854858,0.0004703265,-0.0119514,0.001380624,0.0130465,0.0003617574,-1.112182,-0.7841481,10.06874,339.1297,3.786686,0.01154988,-0.004166704,0.007619615,-0.01499324,-0.05828779,0.01466904,0.1892254,-1.119961,-0.7918487,9.911493,17.90143,356.8084,
157.861,0.00137178,-0.001835917,-8.464363E-05,-0.007818832,0.001049333,0.005352147,0.1403338,-0.8348674,-1.073229,0.1015327,358.9538,356.9793,-0.002945561,-0.001759583,0.0002921876,-0.01803786,0.0159593,0.02202336,0.0003405008,-1.112191,-0.7841134,10.06705,339.1089,3.765836,0.006868598,-0.003244497,0.007394929,-0.0102217,-0.02261243,-0.02222927,0.1892824,-1.119955,-0.7917704,9.893724,17.91548,356.831,
172.414,0.001888571,-0.001948236,-0.0002157374,-0.01009901,-0.001880752,0.001972989,0.1403639,-0.8349037,-1.073197,0.1118988,358.9607,356.981,-0.003143452,-0.001998793,0.0001209447,-0.01181296,0.008562467,0.002045925,0.0003086608,-1.112193,-0.7840838,10.07309,339.0931,3.754313,0.005431593,-0.002747412,0.006189079,-0.01810793,-0.01600108,-0.03592692,0.1893316,-1.119953,-0.7917151,9.888001,17.9398,356.8589,
186.451,0.002205521,-0.001624058,-0.000134204,-0.008439188,-0.005296258,0.004140557,0.1404011,-0.8349201,-1.073196,0.1142105,358.9702,356.9741,-0.002758929,-0.002428619,-0.0003089482,-0.00372518,0.002996562,-0.02413278,0.0002698973,-1.112201,-0.7840695,10.08688,339.091,3.762913,0.00580407,-0.008662575,0.005168503,-0.06191998,-0.02110021,-0.05830038,0.1893952,-1.120202,-0.7916113,9.900119,17.9917,356.9396,
201.159,0.002520591,-0.001121458,-4.381279E-05,-0.001111982,-0.00607809,0.005599963,0.1404469,-0.834921,-1.073193,0.1049617,358.9754,356.9689,-0.002782776,-0.002396736,-0.0008039983,-0.006633341,0.007762879,-0.02726427,0.0002344213,-1.112209,-0.7840677,10.104,339.0924,3.777627,0.005212686,-0.001178276,0.003142579,-0.0460439,-0.01845433,-0.117151,0.1894185,-1.120028,-0.7916041,9.869797,18.04705,357.0713,
215.435,0.002830762,-0.001017239,0.0001357438,0.004397541,-0.004514306,0.005926543,0.1405168,-0.8348879,-1.073153,0.09382325,358.9768,356.9636,-0.002164376,-0.001063015,-0.0008366187,-0.002468513,0.0119057,-0.0145721,0.0002135634,-1.112206,-0.7840682,10.11522,339.0862,3.788598,0.01099769,-0.005442727,0.00340785,-0.1029635,-0.1041513,-0.0306001,0.1895075,-1.120078,-0.7914549,9.974634,18.2074,357.1236,
229.718,0.002764454,-0.001438682,-3.100489E-06,0.00551061,-0.004616776,0.004916735,0.140578,-0.8348692,-1.073122,0.08870216,358.9806,356.96,0.0001890255,0.0006552996,-0.0006422161,0.002686108,-0.001179927,0.01453304,0.0002142452,-1.112194,-0.7840784,10.11195,339.0825,3.788776,0.01026424,-0.00840375,0.001450005,-0.1089043,-0.09041954,-0.00495719,0.1895951,-1.120132,-0.7914534,10.05792,18.28622,357.1528,
