time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.529,-0.006977191,-0.001381813,-0.0006117721,0.03338389,0.02426267,-0.009370783,0.1149807,-0.8359095,-1.049361,352.8008,357.9759,358.1389,0.00410415,0.001260254,0.004197408,0.02346939,0.01449448,-0.007713277,0.01039165,-1.336121,-0.8188622,26.14881,322.4971,359.3326,0.09819452,-0.03695304,-0.00863672,-0.03429902,-0.4778114,-0.06035357,0.2160107,-1.331626,-0.7844945,23.93826,10.79982,357.5661,
13.081,-0.005563637,-0.001165989,-0.001151141,0.01831667,0.02971938,-0.005356304,0.1149175,-0.8359068,-1.049384,352.8016,357.9504,358.1368,0.00342008,-0.0001814645,0.001623285,0.02002944,0.008716271,-0.007862211,0.01043926,-1.336103,-0.8188397,26.1513,322.505,359.3542,0.06438266,-0.02851812,-0.003011007,-0.05658262,-0.2947401,0.1454569,0.2165236,-1.331613,-0.7844585,24.13027,10.62933,357.2838,
26.797,-0.003938511,-0.002052811,-0.001738272,-0.009051999,0.03012819,0.001025007,0.1148806,-0.8359355,-1.049414,352.8414,357.9323,358.1233,0.002981906,-0.001654062,-0.0004781515,0.005996084,-0.00270868,0.0007824138,0.01046867,-1.336114,-0.8188448,26.15043,322.5093,359.3605,0.03635726,-0.009465584,-0.002686292,0.06906019,-0.1981604,0.2534839,0.2168398,-1.331578,-0.7846676,24.08105,10.38233,356.8955,
40.681,-0.001877334,-0.003189689,-0.002746836,-0.03911493,0.01954095,0.006502236,0.1148829,-0.835991,-1.049467,352.8978,357.9381,358.108,0.002392947,-0.002260191,-0.002357639,-0.01573973,-0.02161931,0.02364225,0.01051734,-1.33616,-0.8188888,26.13622,322.5063,359.3416,0.01269889,0.008317683,-0.001799329,0.1613382,-0.0846286,0.2424619,0.2168343,-1.331319,-0.7846771,23.93673,10.14553,356.6524,
54.383,0.0002783536,-0.003071807,-0.004255866,-0.07259034,0.003896884,0.02169,0.1149207,-0.8360314,-1.049551,352.9835,357.9644,358.0691,0.001787601,-0.004036446,-0.003291516,-0.02179355,-0.01603361,0.005976536,0.01055142,-1.336213,-0.818956,26.12762,322.4978,359.3138,0.001211931,0.0246099,0.0002982899,0.2248739,-0.01343916,0.09523197,0.2167398,-1.330891,-0.7847565,23.69629,10.09869,356.6735,
68.544,0.002331234,-0.001575527,-0.004664392,-0.08924923,-0.01631642,0.03717669,0.1149828,-0.8360302,-1.04962,353.0594,358.009,358.0229,0.001266608,-0.001946496,-0.003579901,-0.006850071,-0.01105503,0.0149101,0.01057005,-1.336252,-0.8190191,26.12132,322.4932,359.3001,-0.0006344942,0.0517181,0.003484936,0.3299738,-0.007908847,-0.1894954,0.2165719,-1.330109,-0.7846233,23.15805,10.3167,356.9375,
82.287,0.004497957,0.001996375,-0.005271834,-0.09219161,-0.03516186,0.04468081,0.1150601,-0.8359366,-1.049683,353.1218,358.065,357.9846,-9.735225E-05,-0.002374261,-0.002822307,-0.00531383,0.01423632,-0.0329784,0.01056932,-1.336249,-0.8190773,26.1391,322.4921,359.302,-0.001504421,0.07443728,0.002929869,0.3906639,-0.05383009,-0.2817287,0.2163801,-1.328714,-0.7853972,22.69037,10.51846,357.0631,
96.029,0.005875717,0.008471825,-0.005217237,-0.08009705,-0.04790959,0.05526957,0.1151438,-0.8357093,-1.049736,353.1651,358.1264,357.9308,-0.002119784,-4.100567E-05,-0.002807347,0.007346897,0.02896659,-0.04735114,0.01052073,-1.336194,-0.8191279,26.15907,322.494,359.3223,-0.005100098,0.09284256,0.0003861663,0.3324734,-0.1554137,-0.213229,0.2160007,-1.327592,-0.7847264,22.45392,10.70407,356.988,
110.954,0.006640243,0.01782283,-0.00351448,-0.04328596,-0.05861462,0.05530462,0.115242,-0.8353145,-1.049754,353.1465,358.1899,357.8995,-0.004020804,0.001137322,-0.002219406,0.009928778,0.02448163,-0.05534625,0.01045282,-1.336106,-0.8191737,26.17999,322.5035,359.3442,-0.01625375,0.1034999,0.001271131,0.06490431,-0.2065919,-0.08800264,0.2153774,-1.325446,-0.7850659,22.6595,10.88352,356.921,
124.157,0.007904936,0.02812597,-0.001543402,0.01416456,-0.06112633,0.04622857,0.1153884,-0.8345933,-1.049707,353.0707,358.2389,357.8865,-0.007360909,0.005228707,-0.002961294,0.02421785,0.003331781,0.01592347,0.01035859,-1.336042,-0.8192302,26.16569,322.5095,359.3613,-0.02888637,0.1056383,-0.004180944,-0.259419,-0.2602138,-0.02385639,0.2143161,-1.323839,-0.7847004,23.16711,11.19071,356.9669,
