time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.384,-0.006281266,0.02174235,-0.0253989,0.2015421,-0.09493133,0.1369398,0.3400253,-0.3743099,-0.4065783,340.2849,345.4618,2.228975,-0.07080604,-0.02627986,-0.0106557,0.4914818,0.4527345,-0.02589813,0.2063724,-0.8789592,0.03145216,16.52073,308.6863,343.2456,-0.0831773,0.09548354,-0.0209481,0.4020403,0.5567765,-1.231497,0.4765627,-0.9077059,-0.02488893,11.46334,8.505423,0.7842869,
14.112,0.0007803729,0.02392126,-0.02643435,0.214997,-0.1086078,0.1732612,0.3402145,-0.3739827,-0.4069682,340.045,345.6249,2.192304,-0.03467743,-0.06896874,0.0003272938,0.2597827,0.3336693,-0.3601548,0.2065202,-0.8802103,0.03190185,17.23734,308.845,342.9783,-0.07575364,0.06076691,-0.01615992,0.1730363,0.467934,-1.094313,0.4757888,-0.9077468,-0.0251427,11.43901,8.570031,1.551659,
25.998,0.008579507,0.02474469,-0.02749347,0.2186459,-0.1209785,0.2049291,0.340511,-0.3737376,-0.4074469,339.8127,345.8139,2.134226,-0.002865233,-0.09226216,0.01134291,0.07215349,0.2046636,-0.5908958,0.2067479,-0.881121,0.03236368,17.93029,309.1139,342.6278,-0.07361262,0.02087173,-0.01153896,0.004585188,0.3906192,-0.6822135,0.4747005,-0.908033,-0.02541841,11.70232,8.409057,1.602288,
39.544,0.01607721,0.02428969,-0.02829504,0.2082915,-0.1300315,0.2371001,0.3409201,-0.3734808,-0.4079228,339.5983,346.0262,2.035421,0.01425045,-0.08760611,0.01562571,-0.05467487,0.1002339,-0.5892643,0.2069648,-0.8815469,0.03261115,18.2942,309.2938,342.3166,-0.1061362,0.00147018,-0.008440971,0.01801218,0.6184787,0.07017343,0.4734824,-0.9078048,-0.02570735,11.98838,7.152907,0.6422249,
53.622,0.02315828,0.02340686,-0.02825058,0.1934366,-0.142897,0.273325,0.3414006,-0.3731799,-0.4083207,339.377,346.2884,1.902602,0.01900123,-0.05740393,0.01329767,-0.1623982,0.01397078,-0.3769796,0.2072217,-0.8812936,0.03261064,18.17292,309.3015,342.0106,-0.1189514,0.02253523,-0.01403796,0.3086365,0.6692547,0.5893039,0.4731116,-0.9073024,-0.02606359,11.63298,5.988208,359.3636,
67.551,0.03016742,0.02280786,-0.02859357,0.1861769,-0.1477283,0.3140166,0.3419756,-0.3728816,-0.4087365,339.1305,346.5621,1.739941,0.01520053,-0.002222839,0.003914593,-0.2332413,-0.07927751,0.05083188,0.2073987,-0.8806008,0.03245115,17.41908,309.1353,341.8282,-0.111407,0.04074325,-0.01770976,0.4633559,0.6003273,0.7153732,0.4721555,-0.9069203,-0.02662595,11.18673,5.293364,358.5468,
81.402,0.03643768,0.02142958,-0.02917542,0.1660778,-0.1555921,0.3458864,0.3426254,-0.3726268,-0.409138,338.9336,346.8607,1.552052,0.01071228,0.03877084,-0.003411845,-0.1898238,-0.1134944,0.3299907,0.2079615,-0.8797546,0.03200349,16.71735,308.9914,341.8363,-0.1134119,0.04084216,-0.01733084,0.4162598,0.6288435,0.655916,0.4709874,-0.9065554,-0.02696924,10.99609,4.596829,358.1722,
95.462,0.04187248,0.01929211,-0.0296721,0.1346412,-0.1597306,0.36569,0.3432954,-0.3723539,-0.4095206,338.7647,347.1735,1.340461,0.01405136,0.07323099,-0.008120936,-0.1724572,-0.2013034,0.5718287,0.2086873,-0.8789341,0.0315266,15.83742,308.9446,341.874,-0.1173971,0.03596464,-0.01221716,0.2554254,0.6712452,0.5477173,0.4698284,-0.9061769,-0.0264225,11.07541,3.926777,358.0402,
109.662,0.04657388,0.01754863,-0.02996361,0.1106177,-0.164312,0.383216,0.3440798,-0.3720548,-0.4099302,338.5932,347.4879,1.126258,0.02332458,0.08866346,-0.00752484,-0.1857453,-0.2760709,0.6363508,0.2089327,-0.8783603,0.03197739,15.13431,309.0017,341.8285,-0.118102,0.03404509,-0.01044314,0.1982508,0.6528773,0.4571138,0.4687729,-0.9057282,-0.02745575,11.03593,3.368437,357.9007,
123.097,0.05049945,0.01667073,-0.03032928,0.1024872,-0.1696773,0.3953391,0.3448558,-0.3718416,-0.4103443,338.4018,347.8127,0.9185429,0.03747144,0.09272695,-0.003437618,-0.234083,-0.3619893,0.6440408,0.2104596,-0.8776832,0.03131453,14.4423,309.1566,341.6821,-0.1239232,0.01404901,-0.006692488,-0.01889091,0.7349037,0.3109734,0.4676369,-0.9070989,-0.02607611,11.37122,2.705236,358.057,
