time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.497,0.001896528,-0.002813904,0.002231763,-0.03317693,-0.008023692,0.004868536,0.3828072,-0.3711256,-0.4179859,339.9551,354.285,358.3981,0.003930325,-0.0003192858,-0.0003917841,0.003421276,-0.014752,0.01094701,0.3511571,-0.8595039,0.02794273,1.884423,358.5481,354.4112,-0.005766755,-0.03608428,0.002927021,-0.2077331,-0.08490758,-0.629656,0.5002065,-0.8893386,0.004286837,356.8774,12.80736,1.463316,
12.917,0.002448454,-0.003459465,0.003030037,-0.03948018,-0.005073369,0.003659672,0.3828523,-0.3711865,-0.4179249,339.9929,354.2889,358.3845,0.002002565,-0.0007517106,-0.0001924884,-0.0003368047,-0.009391549,-0.001504107,0.3511944,-0.8595091,0.02794305,1.883362,358.5582,354.4111,-0.005332859,-0.06351089,0.01529891,-0.3345809,0.03484116,-0.3012235,0.5006315,-0.8902891,0.004370224,357.4045,12.61354,1.452746,
26.166,0.002574058,-0.004081156,0.003942215,-0.04601449,-0.00677513,0.003531762,0.3828822,-0.3712434,-0.4178383,340.0367,354.3034,358.3791,-0.0007403363,-0.0005282398,7.317125E-05,0.003128654,0.0006964176,0.0005237441,0.3512091,-0.8595117,0.02794609,1.884522,358.5621,354.4113,0.003811436,-0.07146749,0.01836662,-0.2605751,0.07890832,0.02084479,0.5011662,-0.8910114,0.004776843,357.7124,12.51012,1.039689,
40.239,0.002907675,-0.004821458,0.004951498,-0.0502029,-0.005306276,0.002692406,0.3829218,-0.3713127,-0.4177347,340.0838,354.3122,358.3686,-0.003333133,-0.000557619,0.0001822815,0.001347376,0.0100381,-0.00347869,0.3511865,-0.8595088,0.02794801,1.883417,358.5553,354.412,0.01901854,-0.06382921,0.01784908,-0.1968207,-0.02222365,0.1705991,0.5014861,-0.8913252,0.004784551,357.9182,12.69767,0.7508664,
54.06,0.00299044,-0.005197192,0.00541195,-0.05785124,-0.004000229,0.002588272,0.3829617,-0.3713871,-0.4176443,340.1375,354.3227,358.3534,-0.004830089,-0.001502167,0.001079669,-0.01372867,0.009816235,-0.02159398,0.3511288,-0.8595064,0.02795186,1.889461,358.5468,354.4252,0.03495164,-0.03986142,0.01220897,-0.04965716,-0.1099077,0.278194,0.5022904,-0.8909184,0.004875664,357.9366,12.94158,0.3496848,
67.8,0.002901763,-0.005472972,0.005865533,-0.06326842,-0.001856087,0.002315282,0.3829998,-0.3714702,-0.4175516,340.1945,354.3306,358.34,-0.006058526,-0.001861614,0.001277404,-0.01871209,0.01570947,-0.02328623,0.3510667,-0.8595037,0.02795303,1.896255,358.537,354.4399,0.05331834,-0.01494242,0.006727604,0.1096843,-0.2187803,0.411,0.5030928,-0.8906486,0.005132634,357.8786,13.32607,359.7456,
81.87,0.002728184,-0.005505735,0.006285953,-0.06737496,0.003451282,0.001105449,0.3830352,-0.3715478,-0.417451,340.2502,354.3278,358.3257,-0.006551404,-0.001361019,0.0007040594,-0.009539421,0.01524592,-0.01968712,0.3509902,-0.8595012,0.02797645,1.899,358.5239,354.454,0.05976456,0.001058265,0.009480515,0.1266899,-0.2275053,0.5908158,0.5035456,-0.8903309,0.005062748,358.0958,13.58691,359.0286,
95.758,0.002378237,-0.005295279,0.006707698,-0.06448738,0.006103329,-0.001838953,0.3830661,-0.3716139,-0.4173409,340.2939,354.3246,358.3196,-0.006222844,-0.001326639,0.0007372838,-0.01404217,0.009835485,-0.02584792,0.3509139,-0.8595054,0.02795057,1.906759,358.515,354.4731,0.05510058,0.000234304,0.01872014,0.0389484,-0.1671284,0.7765871,0.5040903,-0.8900877,0.006343137,358.5809,13.67378,358.2727,
109.731,0.001882932,-0.004903257,0.007049714,-0.06310271,0.006270082,-0.003052494,0.3830863,-0.3716692,-0.4172285,340.3407,354.3242,358.3129,-0.006127938,-0.001545971,0.0001498926,-0.02166441,0.01888146,-0.01664878,0.3508437,-0.8595086,0.02797198,1.913023,358.5011,354.486,0.0443062,-0.008161142,0.02635615,-0.08092217,-0.1514296,0.8032413,0.5041233,-0.8902109,0.006111857,359.1027,13.79587,357.7652,
123.673,0.001823456,-0.004855682,0.007042453,-0.05967709,0.008410808,-0.008253817,0.3831116,-0.3717354,-0.4171296,340.3847,354.3128,358.3185,-0.005301052,9.029875E-05,-0.0009810203,0.0059306,0.01295123,-0.01441129,0.3507917,-0.859516,0.02793631,1.908476,358.4917,354.4966,0.03050568,-0.01903513,0.03380412,-0.2655234,-0.1695079,0.6505426,0.5040921,-0.8901606,0.007686276,359.6698,13.96036,357.7081,
