time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.499,0.01523828,0.02642,-0.05126622,0.1234155,-0.1134285,0.04910903,0.414435,-0.3787954,-0.1548945,2.964778,352.5148,357.3311,0.007944598,-0.006265299,0.002393106,-0.003722979,-0.006178104,0.04383796,0.2930709,-0.9110156,0.1295415,24.46419,339.6542,359.9536,0.3260204,-0.6822782,0.2096678,-3.952048,-1.231762,-4.203867,0.4591036,-0.898683,0.1303546,15.11253,1.356637,344.9385,
13.013,0.01318511,0.02677709,-0.05397164,0.1212006,-0.100515,0.03427073,0.414538,-0.3783936,-0.1556637,2.871651,352.5702,357.35,0.01100538,-0.007095156,0.0001634634,-0.01549931,-0.01706261,0.02162824,0.2932439,-0.9110482,0.1295124,24.46561,339.6479,359.9265,0.222093,-0.4433628,0.1202915,-1.769108,-0.8144736,-2.10961,0.4611525,-0.8980412,0.1291171,13.56275,0.1653938,343.6254,
26.563,0.01050667,0.02719332,-0.05574889,0.1321677,-0.0914035,0.0341274,0.4146086,-0.378023,-0.1565104,2.735771,352.6221,357.3453,0.01286061,-0.006208202,-0.001920733,-0.01009923,-0.02341514,0.0144209,0.2934359,-0.9110965,0.1294577,24.46169,339.6511,359.905,0.1271484,-0.1909556,0.03691716,-0.2324136,-0.5410194,0.07349037,0.4619103,-0.897919,0.1281516,11.5558,358.1511,340.3202,
40.227,0.007757399,0.02676665,-0.05836926,0.1410368,-0.08824799,0.03928512,0.4146963,-0.3776835,-0.1574056,2.604778,352.688,357.3296,0.01184107,-0.005805689,-0.003880461,-0.02326635,-0.0188217,0.01721688,0.2936219,-0.9111232,0.1293628,24.46123,339.6438,359.8741,0.06185748,-0.02355944,-0.01354462,0.2556978,-0.236726,0.09531834,0.4611282,-0.8956522,0.1274436,10.72486,357.5226,340.223,
54.268,0.005698875,0.02781055,-0.06088569,0.1572851,-0.1035359,0.051396,0.4148007,-0.3771976,-0.1582999,2.428169,352.7948,357.3066,0.009137546,-0.004197217,-0.005505199,-0.0258311,-0.009037937,0.03815562,0.2937808,-0.9111333,0.1292512,24.44743,339.6134,359.8304,0.03834815,0.09232822,-0.04326294,0.4439645,-0.2128116,-0.5217534,0.46091,-0.8908843,0.1258944,10.12583,357.947,341.6285,
68.189,0.005026991,0.03113194,-0.06214059,0.1987625,-0.1297769,0.05311371,0.4148996,-0.3766435,-0.1591552,2.184076,352.9296,357.3226,0.004711712,-0.003154367,-0.008220945,-0.0177437,0.01876262,0.03703239,0.2938903,-0.911166,0.1291603,24.42854,339.5685,359.8017,0.01982902,0.2274885,-0.08288088,0.8065099,-0.3551061,-0.1116919,0.4608945,-0.8856735,0.1232784,8.809884,357.8779,341.1879,
81.91,0.00533743,0.03514426,-0.06234428,0.2505001,-0.1459136,0.04539118,0.4149941,-0.37609,-0.160001,1.902798,353.0516,357.3705,0.001717403,-0.005776376,-0.00942481,-0.0131834,0.05429425,-0.0392557,0.293955,-0.9111534,0.1289252,24.46699,339.5517,359.8445,-0.02531877,0.3267503,-0.12047,1.112606,-0.2296363,1.069764,0.4605183,-0.8823315,0.1215769,7.357477,356.582,338.7083,
95.903,0.005855508,0.03762319,-0.06276444,0.2889099,-0.1491634,0.03378676,0.4150895,-0.3755802,-0.1609064,1.632791,353.1545,357.423,-0.001907976,-0.005679585,-0.01191117,0.02583983,0.08889444,-0.07125252,0.2938788,-0.9112288,0.1286987,24.51101,339.5504,359.9817,-0.08004034,0.3336994,-0.1359561,1.065412,0.2014571,1.62224,0.4594592,-0.8790115,0.1186491,6.689373,354.985,336.8653,
110.115,0.005913431,0.03862009,-0.06450378,0.2993062,-0.1311988,0.03040503,0.4151604,-0.3750654,-0.161884,1.395596,353.2063,357.45,-0.005618801,-0.01197163,-0.01312687,-0.008447618,0.1267172,-0.1487726,0.2935863,-0.9114425,0.1287179,24.70579,339.5684,0.2133457,-0.1316351,0.3175645,-0.1516331,1.151523,0.5788113,2.068832,0.4580422,-0.8766538,0.1175878,5.778637,353.0468,334.9612,
123.472,0.006889354,0.03727908,-0.06737113,0.300948,-0.0968108,0.01994791,0.4153609,-0.3746561,-0.1629187,1.168072,353.217,357.5188,-0.008442711,-0.01255163,-0.01631275,0.005922934,0.1386971,-0.1489837,0.2934583,-0.9115043,0.1282873,24.80693,339.5718,0.4003339,-0.1697124,0.2639756,-0.1428686,1.080186,0.8406093,2.193063,0.4557529,-0.8764515,0.1168036,5.09732,351.2859,333.3733,
