time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.438,0.004939755,-0.001134471,-0.001028833,0.02145012,-0.0242803,0.01560973,-0.1286507,-0.8219193,-1.119068,357.9536,4.050341,359.6626,0.008301617,-0.001571278,0.00163166,0.008806902,-0.01968899,-0.004977841,-0.2186477,-1.085831,-0.8627196,5.737149,19.70458,34.78816,0.05348477,0.02421337,-0.006868949,-0.009165058,-0.3632028,0.2956515,0.01158705,-1.08125,-0.8732474,356.8597,344.2876,328.7261,
13.084,0.004750381,-0.002434016,-0.000730264,0.01041685,-0.01643595,0.02087104,-0.1285864,-0.8219742,-1.119075,357.9564,4.055253,359.639,0.006620476,-0.001371745,0.001779264,-0.003386928,-0.006690174,-0.0008020027,-0.2185744,-1.085844,-0.862708,5.74016,19.70983,34.78992,0.05580146,0.03063287,-0.01025762,0.01159234,-0.3629019,0.355672,0.01204934,-1.0812,-0.8735065,356.5193,344.5066,328.5072,
26.379,0.004374357,-0.002973256,-0.0003144694,0.0015162,-0.007544279,0.02580993,-0.1285313,-0.8220234,-1.119074,357.965,4.0553,359.6167,0.006338892,-0.001613693,0.001304509,-0.001990243,-0.004403382,0.01669218,-0.2185043,-1.085855,-0.8627013,5.748086,19.70712,34.7846,0.05073914,0.02783797,-0.01143477,0.01200889,-0.3184203,0.329536,0.01237168,-1.081173,-0.8736534,356.2869,344.6687,328.345,
40.558,0.003848293,-0.002717581,0.0002714967,-0.002907937,-0.0006913064,0.03245369,-0.1284855,-0.8220702,-1.119053,357.9737,4.052712,359.5852,0.007153141,-0.0006440958,-0.000163073,0.01066447,0.001152664,0.02222089,-0.2184149,-1.085859,-0.862716,5.756408,19.70426,34.76483,0.03990563,0.02033619,-0.01053859,0.002981856,-0.2590578,0.2285351,0.01250627,-1.081101,-0.8737436,356.1854,344.7928,328.305,
54.318,0.003206651,-0.002434888,0.001026828,0.004270467,0.003882838,0.03776377,-0.12845,-0.8221121,-1.119021,357.9642,4.049295,359.548,0.009132266,-0.0006822001,-0.00116935,0.02021424,-0.02592979,0.02269786,-0.2182971,-1.08584,-0.8627238,5.764183,19.71853,34.73912,0.0270912,0.01336638,-0.009103626,-0.002718652,-0.1811609,0.1511049,0.01275326,-1.081053,-0.8740611,356.1577,344.8376,328.292,
68.312,0.002697539,-0.00205191,0.001615205,0.007004436,0.01262287,0.04125337,-0.1284196,-0.8221387,-1.118987,357.9629,4.03042,359.5116,0.006848727,0.002739189,-0.002959514,0.04146991,0.01580111,0.01208226,-0.2182143,-1.085809,-0.8627909,5.746737,19.72263,34.70958,0.01856328,0.00882794,-0.0056815,-0.01520058,-0.09802379,0.1295091,0.01275737,-1.080968,-0.8737958,356.174,344.8095,328.2501,
81.963,0.002365119,-0.002636046,0.0021928,0.009371351,0.02273251,0.03287188,-0.1283925,-0.8221831,-1.118948,357.9579,4.003876,359.4967,0.007247832,0.002363871,-0.00348175,0.03892802,-0.01939321,0.001649668,-0.2181305,-1.085772,-0.86281,5.735684,19.74606,34.69176,0.01719862,0.006123248,-0.0009864341,-0.04217378,-0.07978409,0.1183672,0.01301542,-1.080982,-0.8739964,356.1453,344.868,328.1714,
96.225,0.00213054,-0.003044715,0.002508276,0.002851963,0.02796921,0.01402441,-0.1283682,-0.8222324,-1.118909,357.9654,3.97712,359.5094,0.003660136,0.004582583,-0.003831438,0.04269255,0.02309166,-0.01476773,-0.2180982,-1.085726,-0.8629056,5.697209,19.75566,34.68088,0.01990983,0.002326624,0.004823775,-0.08892856,-0.08086114,0.101792,0.01313307,-1.080929,-0.8736877,356.1402,344.9782,328.0723,
110.279,0.001995785,-0.002949605,0.002747216,0.0006791044,0.03163556,0.004403913,-0.128357,-0.8222926,-1.118882,357.9648,3.94859,359.5076,0.001451477,0.002457357,-0.002974175,0.01469111,0.02011786,0.001916595,-0.218062,-1.085699,-0.8629257,5.683448,19.74986,34.6739,0.02165521,-0.001956618,0.009952713,-0.1282694,-0.07134806,0.07898503,0.01331578,-1.080948,-0.8734465,356.1752,345.0999,327.9765,
123.709,0.001581725,-0.001850724,0.002763239,0.007626264,0.02922721,0.01767163,-0.1283566,-0.8223203,-1.118857,357.9539,3.93381,359.4661,0.001877426,0.002934775,-0.0025422,0.04170273,0.02239768,0.01059348,-0.2180414,-1.085675,-0.8629945,5.656354,19.7411,34.64561,0.01924474,-0.01182082,0.01577863,-0.1856887,-0.003077556,0.05662077,0.01371372,-1.081279,-0.873552,356.3272,345.1908,327.8307,
138.041,0.0009415108,-0.0009034096,0.00272712,0.02413833,0.0251447,0.03954926,-0.1283598,-0.8223234,-1.118823,357.9225,3.921901,359.405,0.003393055,-0.0001706168,-0.001232973,0.03788427,-0.01116156,0.03628783,-0.2179969,-1.085672,-0.8630142,5.644312,19.7423,34.6027,0.0119348,-0.02938572,0.02310004,-0.2704878,0.1368421,0.02059701,0.01349194,-1.081742,-0.8723474,356.7219,345.1733,327.6204,
151.907,0.0005733959,-0.0003097072,0.002196839,0.02854952,0.02094501,0.04139833,-0.1283584,-0.8223187,-1.118799,357.9047,3.911713,359.3763,0.001688643,-7.255504E-05,-0.0009086516,0.03815985,0.02109921,0.03258588,-0.2179603,-1.085682,-0.8630292,5.630993,19.73226,34.56257,0.003975772,-0.04794965,0.03347565,-0.3725956,0.2582559,-0.07054538,0.01363821,-1.082216,-0.8720813,357.2691,345.1219,327.5064,
165.482,0.0004727939,-0.00023791,0.001633156,0.02643068,0.01829147,0.03319342,-0.1283538,-0.8223265,-1.1188,357.89,3.900043,359.3587,0.003396764,-0.002974634,0.0001911288,0.01973709,-0.03004972,0.01310199,-0.2179323,-1.085703,-0.8630241,5.639026,19.75047,34.54206,-0.002713249,-0.06057239,0.04044293,-0.4219867,0.3267083,-0.1472049,0.01342787,-1.082622,-0.8712829,357.8239,345.0693,327.4453,
179.436,0.0006346291,-0.0005671684,0.0008181057,0.02012328,0.01784554,0.02537519,-0.1283432,-0.8223615,-1.118851,357.8873,3.885527,359.3448,0.0008526191,-0.003352524,0.0006719779,0.005212924,-0.02097465,-0.004657129,-0.2179265,-1.085731,-0.8630219,5.643031,19.76842,34.53958,-0.01032971,-0.06696841,0.0441822,-0.4188366,0.3904551,-0.1811159,0.01336404,-1.083091,-0.8708419,358.3503,344.9433,327.3949,
193.439,0.001119762,-0.001043539,3.24756E-05,0.008936966,0.01609142,0.01282927,-0.1283201,-0.8224075,-1.118911,357.8897,3.875052,359.3486,-0.002310767,-0.004232762,0.001961337,-0.01446922,-0.01659656,-0.003924177,-0.2179564,-1.08577,-0.8630071,5.655578,19.78073,34.54914,-0.01895994,-0.07000911,0.04309433,-0.3838966,0.4393468,-0.2328469,0.01306572,-1.083395,-0.870047,358.8673,344.7649,327.4053,
207.135,0.001658973,-0.001484252,-0.000482975,0.002453126,0.01239418,0.004129076,-0.1282893,-0.8224387,-1.118929,357.8888,3.866593,359.347,-0.006316602,-0.003796012,0.00279591,-0.02450402,0.0131007,0.000824801,-0.2180261,-1.085811,-0.8629839,5.663419,19.76831,34.56173,-0.02756301,-0.05880375,0.03833652,-0.2620598,0.4611317,-0.1697294,0.01285188,-1.083759,-0.8698241,359.1818,344.4852,327.3769,
221.3,0.002003004,-0.001657546,-0.0007213413,-0.0009046001,0.00920778,0.003635456,-0.1282557,-0.8224657,-1.118942,357.8924,3.86241,359.3457,-0.007950949,-0.0048572,0.003480152,-0.04413421,0.009600854,0.0002909101,-0.2181244,-1.08586,-0.8629338,5.681165,19.74336,34.58222,-0.02660933,-0.05080969,0.03049034,-0.2051669,0.4221804,-0.08095832,0.01271625,-1.084169,-0.8693265,359.3902,344.2862,327.2513,
235.31,0.00233792,-0.001665389,-0.000835907,0.0006170196,0.007335053,0.007865801,-0.1282145,-0.8224949,-1.118963,357.8918,3.859377,359.3358,-0.007886271,-0.004505826,0.003488928,-0.04420831,0.004116097,-0.01221068,-0.2182205,-1.085903,-0.8628852,5.697696,19.72736,34.60962,-0.01899175,-0.04128246,0.02547391,-0.1794265,0.3255197,-0.07012119,0.01271133,-1.084294,-0.8691193,359.5792,344.2166,327.206,
249.078,0.002493787,-0.00147777,-0.0009657793,-0.0008418895,0.002487585,0.0147719,-0.1281714,-0.8225219,-1.118993,357.8972,3.863982,359.3178,-0.006275384,-0.003383753,0.002980385,-0.02391259,-0.002816746,-0.01835206,-0.2182898,-1.08593,-0.8628513,5.704278,19.72583,34.63218,-0.01036625,-0.03044979,0.01977462,-0.1434382,0.206296,-0.07462156,0.01266197,-1.084383,-0.8689391,359.6875,344.2307,327.2177,
262.779,0.002824907,-0.001311109,-0.001132256,-0.007816272,-0.001312626,0.0201238,-0.1281212,-0.8225458,-1.119023,357.9149,3.872773,359.2961,-0.005112197,-0.002902633,0.002850796,-0.01403305,-0.00448149,-0.01476455,-0.2183508,-1.085955,-0.86282,5.706684,19.72822,34.64878,-0.004698223,-0.02080853,0.01363169,-0.1056558,0.1220235,-0.07093912,0.01264341,-1.084384,-0.868888,359.6837,344.2683,327.2462,
276.963,0.003261346,-0.001808346,-0.001310597,-0.01872184,-0.005453497,0.01950517,-0.1280694,-0.8225781,-1.119044,357.9456,3.881608,359.2874,-0.004060735,-0.003080031,0.002564516,-0.0132842,-0.01389237,-0.01355231,-0.2184095,-1.085984,-0.8627859,5.712137,19.73374,34.6637,-0.00246056,-0.01255938,0.008063152,-0.07252449,0.08592407,-0.0310026,0.01262514,-1.084401,-0.8688348,359.6888,344.2645,327.2303,
290.987,0.003653407,-0.00280669,-0.001130193,-0.02802034,-0.009914618,0.01440956,-0.1280127,-0.8226325,-1.119058,357.9759,3.895314,359.2891,-0.003103138,-0.002712041,0.00195066,-0.00980406,-0.02154787,-0.02292722,-0.2184686,-1.08602,-0.8627518,5.717757,19.75001,34.68646,-0.002248668,-0.005446522,0.002705239,-0.03070115,0.06143558,-0.0005109375,0.0126253,-1.084403,-0.8688122,359.6981,344.2468,327.2159,
304.672,0.00419682,-0.003475789,-0.0009822079,-0.03607334,-0.01113433,0.0100564,-0.1279461,-0.8226949,-1.119081,358.0114,3.903209,359.2884,-0.00367044,-0.002327862,0.00154763,-0.009883283,-0.01369237,-0.02164217,-0.2185253,-1.086051,-0.862727,5.720124,19.76489,34.70864,-0.003806181,0.000326302,-0.002012732,0.02437477,0.04092107,0.01303532,0.0126165,-1.084385,-0.8688229,359.6978,344.216,327.2048,
318.747,0.004389959,-0.003317712,-0.0005366986,-0.0306052,-0.01431583,0.01172798,-0.1278837,-0.8227433,-1.119095,358.025,3.919827,359.2768,-0.00538824,-0.001507244,0.001761868,-0.008406607,0.01535009,0.001595452,-0.218584,-1.086073,-0.8627121,5.719801,19.75829,34.71456,-0.005821938,0.002481811,-0.004268075,0.05271394,0.02085564,-0.02047465,0.01255249,-1.084343,-0.8688712,359.6825,344.175,327.2326,
332.711,0.004381295,-0.002569758,-0.000121018,-0.01577182,-0.01618822,0.01972474,-0.1278236,-0.8227705,-1.119099,358.0225,3.934612,359.2493,-0.005697882,-0.001746874,0.001743813,-0.01371249,0.02625018,0.02262433,-0.218637,-1.086092,-0.8626997,5.722484,19.73411,34.7067,-0.00713935,0.003625899,-0.00479765,0.06515986,0.001792358,-0.06278826,0.01244966,-1.084277,-0.8689407,359.6694,344.1532,327.3097,
346.431,0.004426226,-0.001715036,9.154854E-05,-0.006527037,-0.01495201,0.02499618,-0.1277613,-0.8227814,-1.119093,358.0236,3.946488,359.2265,-0.001820597,-0.001666933,0.0006929057,-0.0001913366,0.005676841,0.01884587,-0.2186701,-1.0861,-0.8627017,5.726827,19.71525,34.6897,-0.009964276,0.00587204,-0.006265591,0.09363069,-0.006397109,-0.06236931,0.01229047,-1.084195,-0.8690459,359.6282,344.1223,327.4133,
360.569,0.004890387,-0.001210635,0.0001232097,-0.005990102,-0.009994589,0.01928867,-0.1276866,-0.8227904,-1.119091,358.0332,3.949685,359.2219,0.001229026,-0.0007118118,-0.0002846302,0.02140411,-0.005323207,0.009767957,-0.2186696,-1.086099,-0.8627149,5.725681,19.71904,34.67643,-0.01228064,0.007514331,-0.006942833,0.1078896,-0.01176937,-0.05530692,0.01211529,-1.084108,-0.8691409,359.5721,344.0832,327.5082,
