time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.496,-0.01664618,-0.02668711,0.07672499,-0.06150692,-0.02016527,-0.04720795,-0.1875131,-0.8416684,-1.07813,354.3198,1.482905,4.277155,-0.002031275,0.02030425,0.009433223,-0.2738541,0.2107054,0.2339917,-0.3988826,-0.9158534,-1.249032,334.6353,163.8375,245.4191,-0.006145244,0.02940464,-0.04218109,0.02016472,-0.4100739,-0.2612898,-0.0765544,-1.328709,-0.9000704,45.15468,294.0711,72.45772,
13.071,-0.01816579,-0.02616194,0.0769228,-0.05275629,-0.01932008,-0.06175184,-0.1877753,-0.8420362,-1.077068,354.3565,1.482665,4.342324,-0.001764492,0.01414645,0.006495423,-0.06765221,0.3412703,0.03669642,-0.3991574,-0.9152026,-1.247849,334.5582,163.848,245.8833,-0.006009264,0.02064929,-0.02334674,0.1279975,-0.3886449,-0.0675854,-0.07656951,-1.328519,-0.9001641,45.14339,294.1397,72.12439,
26.356,-0.01939577,-0.02598203,0.07702828,-0.05066828,-0.02124491,-0.06797912,-0.188072,-0.842396,-1.075991,354.3935,1.488369,4.402372,-0.002756601,0.008713218,0.003526879,0.07449108,0.362935,-0.05795956,-0.3996316,-0.9146121,-1.246616,334.518,163.9125,246.2788,-0.001237074,0.01254754,-0.01610661,0.193025,-0.3472643,-0.02080993,-0.07627173,-1.328335,-0.9002777,45.20742,294.1131,71.7843,
40.426,-0.02060163,-0.02560126,0.0767106,-0.04999761,-0.01941791,-0.07050853,-0.1884242,-0.8427624,-1.074953,354.4289,1.487289,4.460892,-0.003937712,0.008158518,0.002933915,0.08523759,0.3349693,-0.03123021,-0.4002436,-0.9143347,-1.245506,334.4149,163.9874,246.449,0.01625605,0.002491318,-0.02215762,0.3101703,-0.2483916,-0.1129355,-0.07594168,-1.328429,-0.9007602,45.53654,293.9948,71.46838,
54.481,-0.0221429,-0.02515592,0.07639312,-0.04799987,-0.0116845,-0.07197844,-0.1887952,-0.843136,-1.073921,354.4619,1.471439,4.521875,-0.004442026,0.01022689,0.00385878,0.02066428,0.2901344,0.04389839,-0.4008326,-0.9140097,-1.244306,334.254,164.0303,246.4629,0.02721559,-0.006987897,-0.03813826,0.299307,-0.1642224,-0.2878897,-0.07542074,-1.328128,-0.901123,45.90754,293.5546,71.09268,
68.044,-0.0231725,-0.02509632,0.07612167,-0.04823652,0.00111218,-0.07969992,-0.1891353,-0.8434972,-1.072878,354.4956,1.44032,4.594013,-0.001383239,0.01340585,0.006401511,-0.136552,0.2088432,0.1126273,-0.4012901,-0.9136271,-1.243131,334.0134,163.9723,246.4013,0.02942427,-0.009244607,-0.04365566,0.1246235,-0.06215705,-0.3125564,-0.0752742,-1.328697,-0.901554,46.0001,293.2285,71.02269,
82.082,-0.02395976,-0.02513267,0.0754957,-0.04824934,0.01347625,-0.08407425,-0.1894756,-0.8438498,-1.071839,354.5286,1.404111,4.663119,-0.005824612,0.01689966,0.007071732,-0.2194338,0.1045695,0.3026575,-0.4015618,-0.9131904,-1.242044,333.5787,164.0999,246.0192,0.02884537,-0.0106196,-0.04956727,-0.01311775,-0.005984038,-0.3384167,-0.07451473,-1.328156,-0.9022322,46.03697,292.8451,70.96423,
95.971,-0.02422046,-0.02536559,0.07485862,-0.04437337,0.01420269,-0.08973734,-0.1898025,-0.8442114,-1.070814,354.5544,1.380245,4.742757,-0.009925622,0.02335232,0.00952989,-0.3055876,0.10652,0.4658735,-0.4020282,-0.912697,-1.240903,333.0683,164.2727,245.5982,0.0259419,-0.005563913,-0.06021589,-0.06228131,-0.1046816,-0.3734966,-0.07447881,-1.328489,-0.9028619,46.03361,292.278,70.56812,
110.619,-0.02360117,-0.02532672,0.07399131,-0.04405349,-0.007813868,-0.1086392,-0.1901249,-0.8445638,-1.069823,354.5884,1.392013,4.85736,-0.01338319,0.02527351,0.009880582,-0.2749687,0.1557604,0.5143931,-0.4026129,-0.9119688,-1.23971,332.6082,164.5098,245.311,0.01398173,0.003553082,-0.07260181,-0.105748,-0.2971859,-0.345,-0.0741616,-1.328043,-0.9037145,45.86087,291.6308,69.89884,
123.803,-0.02244066,-0.02548235,0.07304688,-0.04057708,-0.04779229,-0.1451163,-0.1904258,-0.8449408,-1.068836,354.6136,1.440531,5.023067,-0.01268742,0.02446899,0.009886665,-0.1987848,0.2681546,0.4229545,-0.4032373,-0.9111298,-1.238407,332.2148,164.6474,245.342,0.0001468193,0.01137364,-0.07495231,-0.09390299,-0.50982,-0.2281254,-0.07421107,-1.328043,-0.9043152,45.56645,291.1186,69.08844,
137.669,-0.02168806,-0.025725,0.07206497,-0.03771454,-0.08412227,-0.1855125,-0.1907403,-0.8453057,-1.067848,354.6404,1.498652,5.220608,-0.01636534,0.02148287,0.007467416,-0.04841249,0.3307278,0.3878506,-0.4039702,-0.9103208,-1.237004,331.9241,164.9564,245.3755,-0.014056,0.006542089,-0.05270995,0.1134458,-0.7080407,0.1169332,-0.07425664,-1.328129,-0.9045541,45.27849,291.2894,68.33932,
151.726,-0.02237155,-0.02604248,0.07120242,-0.03536067,-0.1063603,-0.2326789,-0.1910891,-0.8456765,-1.066869,354.6579,1.551159,5.461843,-0.02220966,0.02119945,0.006075681,0.05384135,0.3636739,0.4453341,-0.4048094,-0.9096633,-1.235742,331.5767,165.4121,245.2926,-0.01082545,-0.007757683,-0.03571069,0.4946929,-0.762316,0.3214402,-0.07463518,-1.328621,-0.9052015,45.35717,291.7789,67.64038,
165.413,-0.02402867,-0.02609267,0.06985271,-0.03039084,-0.1150789,-0.2876817,-0.1914644,-0.8460559,-1.065944,354.67,1.5879,5.756033,-0.02831936,0.02376766,0.006437045,0.1044602,0.4069623,0.5486498,-0.4061657,-0.9089757,-1.234219,331.1212,165.9734,245.127,0.008417945,-0.02296478,-0.03745687,0.9203273,-0.7620596,0.1678225,-0.0742605,-1.328393,-0.9056486,45.96549,291.9009,66.58277,
179.491,-0.02594953,-0.02628516,0.06766701,-0.01953164,-0.1217388,-0.3442796,-0.1918783,-0.8464868,-1.065064,354.6591,1.630672,6.092849,-0.0340069,0.02667616,0.007357473,0.1283285,0.4292186,0.6651093,-0.4076473,-0.9081039,-1.232594,330.6074,166.621,244.8554,0.02248297,-0.0288222,-0.05865454,0.9883353,-0.6239703,-0.1488184,-0.07404072,-1.328355,-0.9065937,46.65801,291.5055,65.58134,
193.468,-0.02767265,-0.02646093,0.06512996,-0.01328327,-0.1408447,-0.3921351,-0.1923162,-0.8468824,-1.06422,354.657,1.69827,6.455684,-0.03722793,0.0322294,0.01070705,0.09736106,0.5058785,0.7633941,-0.4093173,-0.9070175,-1.230913,329.9288,167.2468,244.6252,0.02656743,-0.0233852,-0.08879284,0.7495877,-0.5069109,-0.4660769,-0.07393747,-1.328573,-0.9077829,47.11884,290.5548,64.59771,
207.22,-0.02905781,-0.02652767,0.06272545,0.00531158,-0.1692786,-0.4333929,-0.1927436,-0.8472452,-1.063387,354.6241,1.794594,6.85284,-0.03563398,0.03626055,0.01436689,0.01699643,0.5515391,0.7910618,-0.4112347,-0.9054725,-1.228812,329.2114,167.7403,244.438,0.02355231,-0.01567437,-0.1132441,0.4609815,-0.5122002,-0.6300675,-0.07337185,-1.32848,-0.9090059,47.25225,289.4571,63.55866,
