time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.544,-0.006259724,-0.0005086715,-0.01385043,0.019473,0.03251146,-0.02061322,-0.1398686,-0.8205109,-1.161249,357.9884,5.146177,357.8904,-0.002244581,-0.002638809,-0.001041928,0.03499854,-0.07488429,0.04600476,0.1016679,-1.138128,-1.188994,353.4795,108.2804,258.3285,0.0004229788,0.002433588,-0.01748734,-0.03546845,0.1017051,-0.3421141,-0.5255505,-0.9537329,-1.227675,7.910847,267.5067,37.61862,
13.231,-0.005217131,0.0007451411,-0.01431119,0.01982707,0.03309831,-0.01204186,-0.1399304,-0.8204839,-1.161457,357.9713,5.119224,357.8878,-0.002553145,-0.0001901382,-0.002184398,0.004331652,-0.04387439,0.07098234,0.1013325,-1.138351,-1.189528,353.4745,108.3298,258.2805,6.220816E-05,0.004096911,-0.01409039,-0.09166663,0.1773791,-0.1778134,-0.5251414,-0.9532244,-1.229714,7.850399,267.4495,37.80152,
26.477,-0.004413563,0.001152262,-0.01463017,0.02609303,0.02791366,-0.004146856,-0.1399812,-0.8204607,-1.161665,357.9474,5.104545,357.8791,-0.002558901,0.001240148,-0.002247994,-0.009387207,0.01454555,0.06931563,0.100964,-1.138289,-1.190154,353.4532,108.3794,258.273,-0.0005278715,0.006649665,-0.008303789,-0.1570517,0.2018663,-0.002689911,-0.5248674,-0.9526749,-1.231219,7.726419,267.4126,38.02593,
40.626,-0.00375525,0.001164795,-0.01513531,0.03558636,0.01586313,0.0003326256,-0.1400344,-0.820445,-1.161884,357.9076,5.104554,357.8699,-0.003375276,0.001830793,0.001517074,-0.03011889,0.05748088,0.02503973,0.1005773,-1.138052,-1.190704,353.4172,108.4049,258.3073,-0.0006279671,0.00717602,-0.006986946,-0.1760001,0.2286157,0.05658992,-0.5246933,-0.9520245,-1.23258,7.587242,267.3044,38.27935,
54.548,-0.002995357,0.0002365601,-0.01624238,0.04582668,0.006716708,0.001309866,-0.1400933,-0.8204681,-1.162126,357.8641,5.107574,357.8611,-0.00328032,0.001457686,0.003338413,-0.03413732,0.04670757,0.0006057695,0.1004452,-1.137698,-1.190996,353.3824,108.401,258.343,-0.000884175,0.008914527,-0.005848376,-0.2000684,0.1852646,0.04525313,-0.524508,-0.9513676,-1.233687,7.44406,267.24,38.39531,
68.211,-0.002324555,-0.0008306852,-0.0175526,0.04839772,-0.002487428,-0.005096385,-0.1401441,-0.820509,-1.16239,357.8233,5.11393,357.8664,-0.003931015,0.001156216,0.004789435,-0.03952394,0.02999831,-0.00623973,0.1004252,-1.137428,-1.191144,353.3492,108.3872,258.3644,-0.0007331654,0.00561394,-2.552554E-05,-0.1178249,0.05150269,0.05796505,-0.5244242,-0.9506815,-1.234352,7.444468,267.3032,38.372,
82.312,-0.001828206,-0.001650264,-0.01870045,0.05331181,-0.01073314,-0.0108459,-0.1401634,-0.8205455,-1.162667,357.7743,5.126236,357.8733,-0.005029842,-0.001294614,0.005308913,-0.01170923,-0.02649807,0.003417972,0.1004331,-1.137322,-1.191292,353.3386,108.386,258.3478,-0.0002047291,-0.001344459,0.008595957,0.03872129,-0.1301167,0.08919055,-0.5245864,-0.95051,-1.234083,7.477293,267.4597,38.34245,
96.254,-0.001669475,-0.001593727,-0.01954975,0.05933332,-0.0175117,-0.01035851,-0.1401845,-0.8205667,-1.162953,357.7216,5.144817,357.8694,-0.004506996,-0.002538857,0.002934003,0.01267698,-0.07089479,0.02956097,0.1004206,-1.137519,-1.191483,353.3526,108.4067,258.282,0.001171698,-0.0123707,0.01482771,0.2698696,-0.2776335,0.08309927,-0.5250278,-0.9513004,-1.232725,7.870681,267.916,38.089,
110.565,-0.001736926,-0.0009727636,-0.0201434,0.06235805,-0.02192748,-0.009508763,-0.1402457,-0.8205755,-1.163242,357.6662,5.164965,357.8664,-0.004194118,-0.004324589,0.003713937,0.02980538,-0.1190389,0.01430002,0.1003084,-1.138025,-1.191646,353.4021,108.4174,258.1673,0.003154935,-0.0242935,0.01356136,0.4922177,-0.2468274,0.05525105,-0.5256326,-0.953386,-1.231036,8.437229,268.0972,37.89827,
124.064,-0.002070914,-0.0002076215,-0.02073568,0.06393469,-0.02230478,-0.01298831,-0.1403236,-0.8205784,-1.163544,357.6156,5.177459,357.8752,-0.004524024,-0.00393461,-0.0005358268,0.04309727,-0.1300749,0.07793953,0.1002439,-1.138613,-1.191944,353.4456,108.4979,258.0335,0.005279423,-0.0346348,0.009182973,0.6582523,-0.07563023,0.08231303,-0.5259851,-0.9569228,-1.229763,9.140642,268.1521,37.91065,
