time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.536,-0.002357749,-0.003457473,-0.003037427,-0.02583431,0.01550267,0.01046857,-0.5013369,-0.746102,-1.186078,5.01159,358.61,359.4185,0.0002683502,-5.581536E-05,-0.0005692652,-0.001193029,-0.01156927,-0.001222264,-0.5657975,-1.355053,-1.032738,48.41355,14.08009,288.3942,0.004196839,0.01658327,0.02027994,0.1887625,-0.2825226,0.202063,-0.4480456,-1.293999,-1.018948,31.18886,341.8257,69.77329,
12.421,-0.00187327,-0.003456878,-0.002935056,-0.03449866,0.01322296,0.01163132,-0.5013574,-0.7461515,-1.186118,5.045902,358.6,359.4106,0.000296009,0.0001186203,-0.0003665549,0.003639286,-0.007852503,-0.004091057,-0.5657946,-1.355039,-1.032753,48.40937,14.07528,288.3851,0.009521897,0.01757248,0.03187156,0.2527191,-0.1390426,0.1928281,-0.448074,-1.293683,-1.018539,31.03147,342.0979,69.7928,
25.173,-0.001648867,-0.004154528,-0.002462299,-0.03101801,0.01096969,0.005980554,-0.5013417,-0.7462056,-1.18614,5.064083,358.5936,359.4146,-0.0001507798,-0.0006703964,-0.0008303085,0.004856987,-0.006125925,0.00817091,-0.5657889,-1.355037,-1.032765,48.40899,14.06721,288.3763,0.01444486,0.01749745,0.04069861,0.3025914,-0.01271657,0.1782596,-0.4479603,-1.293455,-1.018136,30.82903,342.4157,69.91299,
38.777,-0.001237632,-0.004491375,-0.002287473,-0.03068332,0.01089398,0.0005421464,-0.5013098,-0.7462544,-1.186165,5.08923,358.5859,359.4183,-7.987022E-05,-0.0006845308,-0.001243969,-0.008043304,-0.009707572,0.005490946,-0.5657835,-1.355042,-1.032782,48.41226,14.06056,288.363,0.02063254,0.01719012,0.03269742,0.2593215,-0.08433761,0.1978185,-0.44759,-1.293277,-1.018325,30.74642,342.551,69.74232,
53.01,-0.0009069964,-0.004896341,-0.002127187,-0.029387,0.008513107,-0.004194179,-0.5012931,-0.7463174,-1.18619,5.109848,358.5832,359.424,-0.0009769007,-0.002000503,-0.000358107,0.002545455,-0.02503065,0.01784148,-0.5657735,-1.355067,-1.032794,48.41607,14.04627,288.3359,0.01368608,-0.0009337366,0.002612178,0.04223486,-0.2355027,0.03615068,-0.4475769,-1.293507,-1.018512,31.05894,342.3165,69.4925,
67.01,-0.000628086,-0.00485929,-0.002041252,-0.03042473,0.005599677,-0.005924949,-0.5012988,-0.7463826,-1.186219,5.138433,358.5833,359.4291,0.0008593192,-0.001044179,-0.0006405214,-0.01907335,-0.007433508,-0.002297698,-0.5657592,-1.355121,-1.032792,48.41715,14.04424,288.3218,0.001674153,-0.01466925,-0.02078243,-0.1438836,-0.0845115,-0.1343689,-0.4475961,-1.293608,-1.018965,31.2483,342.0779,69.61656,
80.616,-0.000533267,-0.004502633,-0.001765667,-0.02965106,-0.0002484833,-0.003768157,-0.5013055,-0.7464395,-1.186238,5.161308,358.5884,359.4265,-7.044351E-05,-0.002929152,0.0004378807,0.0126055,-0.01581172,0.02144623,-0.565729,-1.355189,-1.032779,48.42284,14.02864,288.2997,-0.007956029,-0.0209264,-0.03139975,-0.2337967,0.08092254,-0.2199589,-0.4479503,-1.294213,-1.019264,31.37962,341.8197,69.9118,
94.866,-0.0003735246,-0.0041325,-0.001648899,-0.02522345,-0.001849722,-0.007055791,-0.50134,-0.7464997,-1.186247,5.176751,358.5927,359.4373,0.003029746,-0.000698095,-0.0007091105,-0.02367411,0.001027974,-0.008639911,-0.5656991,-1.355224,-1.032776,48.42305,14.03693,288.2966,-0.01290026,-0.02309584,-0.03314833,-0.2449367,0.1292148,-0.2313287,-0.4480436,-1.294407,-1.019566,31.45518,341.6424,70.10483,
109.101,-0.0002838032,-0.004064008,-0.001605522,-0.02071022,-0.002204386,-0.01118104,-0.5013744,-0.7465647,-1.186254,5.188384,358.5976,359.4523,0.001067218,-0.001997065,-0.0006940825,0.005336873,-0.006967103,0.01901069,-0.5656643,-1.355261,-1.03277,48.42952,14.03296,288.2865,-0.01503848,-0.02128698,-0.02766326,-0.1959178,0.1748981,-0.194255,-0.447937,-1.294243,-1.020086,31.43699,341.5835,70.31303,
122.607,-9.871353E-05,-0.004077684,-0.001657532,-0.01952286,-0.002872646,-0.01341596,-0.5013815,-0.746622,-1.186275,5.208416,358.6024,359.4628,0.002036707,-0.0006498245,-0.001767548,-0.02047604,0.005968093,-4.805392E-06,-0.5656458,-1.355278,-1.032774,48.43732,14.04457,288.2896,-0.01449053,-0.01740189,-0.01318289,-0.07820794,0.2915882,-0.1726938,-0.4482931,-1.294531,-1.019972,31.30515,341.7522,70.73129,
