time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.604,-0.1540563,0.02845057,0.02173971,-0.3207571,-0.1086568,0.5009151,-2.064796,0.87008,0.004076004,30.55186,161.7373,0.3198435,-0.3488376,0.2346738,-0.6656413,-0.3928728,-1.755077,0.7109098,-1.873504,0.5287679,-0.03138082,4.069985,142.4675,4.754553,-0.7209226,0.141755,-0.3177219,-1.127137,-1.510135,0.956073,-2.003641,0.5216547,-0.1936269,5.652222,150.8704,354.2322,
13.42,-0.1757747,0.02745666,3.214926E-05,-0.2976143,-0.2832273,0.5640866,-2.06781,0.8704513,0.003558636,30.5278,162.2882,0.04263056,-0.3703974,0.2348756,-0.6699427,-0.5353287,-1.676277,0.8205171,-1.878213,0.5313073,-0.03984987,3.449162,143.7111,4.000316,-0.7283022,0.1248432,-0.3425708,-1.197062,-1.656801,0.9227905,-2.01236,0.5230824,-0.198345,6.003031,152.2459,352.9603,
26.954,-0.2003179,0.02418545,-0.02300792,-0.2517135,-0.4949982,0.6260825,-2.071193,0.870748,0.002847195,30.46019,163.0877,359.875,-0.3906706,0.2327539,-0.6643148,-0.6509373,-1.571097,0.9485947,-1.883336,0.5336871,-0.04804021,2.776021,144.8282,3.079431,-0.7337139,0.1158874,-0.3568921,-1.086106,-1.713641,0.9188882,-2.02165,0.5245125,-0.2032222,6.206937,153.5807,351.9486,
40.944,-0.2250823,0.01842716,-0.04538325,-0.213284,-0.7035903,0.6800332,-2.074872,0.8708888,0.001905918,30.40372,164.0361,359.7545,-0.4129198,0.2336521,-0.6588433,-0.6781463,-1.537159,1.117804,-1.888607,0.5361431,-0.05672745,1.944522,145.9924,2.11846,-0.7432128,0.1106969,-0.3656771,-0.8797643,-1.743657,0.9990414,-2.030937,0.5257102,-0.208036,6.14487,154.9651,351.0453,
54.449,-0.2469313,0.009998847,-0.06526587,-0.2030023,-0.8747486,0.7326314,-2.078685,0.8708237,0.0007009506,30.39314,165.0616,359.5923,-0.4308676,0.2216997,-0.661019,-0.8345721,-1.490123,1.213308,-1.893635,0.5372046,-0.06574064,1.278855,147.1283,0.8573422,-0.7590438,0.1107771,-0.3748189,-0.664205,-1.848325,1.133948,-2.040327,0.5268841,-0.2131164,5.906729,156.5763,350.1259,
68.651,-0.2645546,-9.641796E-05,-0.08186906,-0.2211112,-1.001462,0.7798615,-2.08264,0.8705734,-0.0007178783,30.44033,166.1336,359.4214,-0.4456872,0.1907601,-0.6597705,-1.001878,-1.430129,1.204992,-1.900001,0.5393544,-0.07358687,0.937232,148.1419,359.4341,-0.7672914,0.1010347,-0.3842487,-0.5370517,-1.928275,1.231814,-2.049797,0.527694,-0.2181036,5.762545,158.2176,349.1176,
82.542,-0.2777755,-0.01138936,-0.09549531,-0.240453,-1.082325,0.8082581,-2.086701,0.8702063,-0.002249241,30.50855,167.1987,359.2622,-0.4590704,0.1688161,-0.650903,-0.9515952,-1.440804,1.184962,-1.905235,0.5409265,-0.08226533,0.5464854,149.2804,358.3192,-0.7652781,0.09035281,-0.3834635,-0.404171,-1.86065,1.257337,-2.058786,0.5283898,-0.2231303,5.588343,159.6178,348.2112,
96.098,-0.2861129,-0.02043698,-0.1063828,-0.2591796,-1.112136,0.7715254,-2.090826,0.8700069,-0.003792048,30.64234,168.2145,359.2131,-0.4613137,0.1554729,-0.6369322,-0.7404932,-1.39749,1.173164,-1.910947,0.5419713,-0.08954268,359.9597,150.3176,357.5327,-0.748034,0.07092897,-0.3780587,-0.2743219,-1.721417,1.120472,-2.0677,0.5284984,-0.2277963,5.52585,160.7806,347.5995,
110.571,-0.2888321,-0.02718988,-0.1168008,-0.2649254,-1.08437,0.7135346,-2.094882,0.869711,-0.005533695,30.75512,169.1274,359.1456,-0.4534287,0.1322715,-0.6239004,-0.5228662,-1.33691,0.9708075,-1.915803,0.5428255,-0.09821013,359.6679,151.2908,357.1161,-0.7249906,0.05127052,-0.3749445,-0.07549658,-1.65915,0.8120515,-2.075455,0.5288749,-0.2332741,5.582267,162.0329,347.5607,
124.103,-0.2865692,-0.03184688,-0.1284851,-0.2703331,-1.029928,0.6865101,-2.098745,0.8692853,-0.007553339,30.90346,169.9741,358.9978,-0.4462598,0.1052858,-0.6173652,-0.3066733,-1.344628,0.6456369,-1.921199,0.5434885,-0.105574,359.6571,152.3773,357.0979,-0.6979769,0.0423246,-0.3679896,0.2090647,-1.587818,0.5242782,-2.083583,0.5290158,-0.2371514,5.4066,163.2905,347.8805,
137.908,-0.281497,-0.0345,-0.1403756,-0.2911335,-0.9814157,0.7015905,-2.1025,0.868768,-0.009783268,31.07028,170.8114,358.768,-0.4447016,0.08771627,-0.6080855,-0.1627627,-1.343841,0.4689438,-1.926383,0.5441871,-0.1137892,359.5774,153.4618,357.0582,-0.6566452,0.03043348,-0.3567408,0.3466906,-1.401319,0.2337973,-2.090321,0.5289077,-0.2423654,5.318907,164.2108,348.3448,
152.153,-0.2756685,-0.03652642,-0.1521388,-0.30498,-0.9616976,0.7361773,-2.106183,0.8683381,-0.01200867,31.25191,171.6881,358.5508,-0.4445533,0.07216655,-0.6021503,-0.0850939,-1.29833,0.3669469,-1.932021,0.5446842,-0.1213422,359.4851,154.4429,356.9732,-0.6172218,0.01412515,-0.3476357,0.3409985,-1.243609,0.02787351,-2.097661,0.528724,-0.2467238,5.388613,164.9797,348.7345,
165.937,-0.2699755,-0.03492542,-0.1630564,-0.3340567,-0.955535,0.7422937,-2.109766,0.8681365,-0.01425886,31.5049,172.5456,358.3718,-0.4511347,0.0571654,-0.5975661,0.0005149804,-1.381096,0.2162033,-1.937332,0.5451584,-0.129094,359.4804,155.6498,357.0538,-0.5949259,-0.004294319,-0.3427966,0.1848239,-1.237554,0.02743249,-2.104735,0.528435,-0.2516354,5.65291,165.9245,348.7174,
179.729,-0.2627315,-0.03311433,-0.1727224,-0.3463524,-0.9358379,0.6941061,-2.113181,0.8677325,-0.01666522,31.75461,173.3551,358.3199,-0.4566123,0.03755799,-0.5907485,0.03827126,-1.4709,0.01864628,-1.942594,0.5451909,-0.1364165,359.6483,156.9476,357.2807,-0.5833021,-0.009835857,-0.3352723,0.05937485,-1.263452,0.1625051,-2.111657,0.5283216,-0.255825,5.872662,166.9445,348.4131,
193.857,-0.251484,-0.03667231,-0.1807929,-0.3205283,-0.8806223,0.6079133,-2.116322,0.8669833,-0.01928473,31.9518,174.0461,358.2982,-0.4605295,0.01661088,-0.5839337,-0.0205393,-1.53059,-0.1611335,-1.947932,0.5453696,-0.1439557,0.02770469,158.2372,357.4875,-0.5603374,-0.00247242,-0.3206125,0.008522049,-1.211138,0.2307777,-2.117797,0.5287595,-0.2597825,6.043196,167.8417,348.1758,
207.939,-0.2340127,-0.04568713,-0.1871336,-0.3062238,-0.780471,0.5357381,-2.119091,0.8660493,-0.02196884,32.17707,174.5907,358.1815,-0.4626611,0.006369802,-0.5731826,-0.06343896,-1.565327,-0.2379279,-1.953202,0.5456728,-0.1510738,0.3560051,159.5267,357.6489,-0.5267793,0.016083,-0.2943532,0.04187554,-1.031035,0.2525536,-2.12374,0.5294458,-0.2628537,6.039333,168.4597,348.0193,
221.785,-0.2141006,-0.0564745,-0.1911225,-0.3286277,-0.6835505,0.5504745,-2.121681,0.865221,-0.02433014,32.44299,175.0979,357.9029,-0.4609848,0.007031802,-0.5605763,-0.037295,-1.580067,-0.2975405,-1.958384,0.5461294,-0.1581626,0.5867361,160.7928,357.9294,-0.4931111,0.0386821,-0.2625048,0.1212563,-0.8289104,0.2355053,-2.129342,0.530367,-0.2658303,5.899961,168.9034,347.9675,
235.562,-0.1947197,-0.06574821,-0.1965503,-0.3702042,-0.6373051,0.6563791,-2.124133,0.8643829,-0.02680159,32.74664,175.6782,357.5093,-0.4551038,0.008381589,-0.5491992,-0.01488004,-1.559686,-0.3725167,-1.963392,0.5462985,-0.1649754,0.815657,161.9896,358.3175,-0.4681029,0.06220028,-0.2328938,0.2885695,-0.7426313,0.1839043,-2.134785,0.5313116,-0.2681914,5.556522,169.4792,348.0833,
249.733,-0.1796916,-0.07440825,-0.2054387,-0.3944078,-0.6483308,0.7533652,-2.126503,0.8632857,-0.02965713,33.06881,176.3214,357.1671,-0.4443651,0.003552864,-0.5383459,-0.06161681,-1.498698,-0.4322973,-1.968208,0.5465054,-0.1717358,1.161041,163.0742,358.6694,-0.4522768,0.07741812,-0.2095934,0.457711,-0.7764078,0.03561489,-2.140021,0.532295,-0.2706391,5.196554,170.2534,348.4839,
263.637,-0.1686057,-0.0843354,-0.2159683,-0.4096879,-0.6844956,0.762928,-2.128686,0.8618078,-0.03287363,33.42762,177.0069,356.972,-0.4281477,0.001444498,-0.5243615,-0.04303062,-1.399404,-0.4585289,-1.972856,0.5466089,-0.1782457,1.387586,164.0442,359.0535,-0.4486076,0.08239879,-0.1963016,0.5706922,-0.982058,-0.09498258,-2.145042,0.5331314,-0.2730332,4.90159,171.4432,348.9762,
277.507,-0.1586674,-0.09763126,-0.2236772,-0.4343328,-0.7029568,0.7074994,-2.13067,0.8600942,-0.03604555,33.85388,177.6568,356.8567,-0.4132358,-0.00250022,-0.5095403,-0.04360731,-1.306884,-0.418547,-1.977441,0.5465548,-0.1846318,1.557887,164.9542,359.3276,-0.4501891,0.07454799,-0.1902296,0.5405161,-1.253242,-0.1498927,-2.14985,0.5338425,-0.2753749,4.828202,172.9051,349.3464,
291.482,-0.1477498,-0.1120133,-0.2260194,-0.5009161,-0.6842672,0.6330438,-2.13246,0.8582947,-0.03900957,34.40166,178.2258,356.7675,-0.4020762,-0.008227386,-0.4903708,-0.06352945,-1.230493,-0.3084303,-1.982039,0.5464031,-0.1905856,1.671856,165.8205,359.4171,-0.4386508,0.06665924,-0.1816836,0.4326127,-1.369505,-0.1034653,-2.154134,0.5347033,-0.2773743,4.879628,174.2372,349.4916,
305.481,-0.135199,-0.1256612,-0.2241532,-0.589296,-0.6447633,0.570381,-2.134028,0.8563763,-0.04177856,35.01332,178.757,356.696,-0.3926807,-0.01350664,-0.468173,-0.07374103,-1.17846,-0.2083841,-1.986426,0.5462807,-0.1963134,1.755732,166.6825,359.4428,-0.4098164,0.06763664,-0.1634397,0.3930374,-1.269837,-0.05681276,-2.158002,0.5355842,-0.2788655,4.798253,175.2127,349.5834,
319.379,-0.1226063,-0.134327,-0.2198386,-0.7015047,-0.6023497,0.547848,-2.135483,0.8545885,-0.04450321,35.77036,179.2458,356.5734,-0.3788825,-0.01806932,-0.4425558,-0.06054765,-1.107233,-0.2026671,-1.990548,0.5461074,-0.201541,1.848798,167.4571,359.598,-0.3675838,0.06729237,-0.1385737,0.3573725,-0.9789106,-0.009749487,-2.161462,0.5362543,-0.2800243,4.633931,175.7015,349.6098,
333.119,-0.1111365,-0.137316,-0.2142896,-0.8282467,-0.5733106,0.5409165,-2.136784,0.8527349,-0.04733753,36.63581,179.7408,356.4834,-0.3631002,-0.02677643,-0.4158866,-0.07309318,-1.074117,-0.3637404,-1.994343,0.5457117,-0.2064277,2.11256,168.2416,0.08111656,-0.3260648,0.05269495,-0.1170157,0.174101,-0.6895257,0.131359,-2.164788,0.5367057,-0.2812639,4.729459,175.8641,349.3346,
347.347,-0.1008758,-0.136209,-0.2081385,-0.9495322,-0.5533909,0.5310013,-2.137989,0.850942,-0.05010581,37.57666,180.2269,356.4337,-0.3474231,-0.04592863,-0.3908861,-0.1671066,-1.079032,-0.6460237,-1.997819,0.5448984,-0.2111665,2.669734,169.086,0.8937059,-0.290826,0.02382117,-0.1067006,-0.1525805,-0.4972444,0.4104688,-2.167974,0.536795,-0.2827809,5.209397,175.9377,348.6071,
361.233,-0.09095831,-0.1333496,-0.2028396,-1.02276,-0.5422632,0.5206665,-2.139064,0.8491771,-0.05278492,38.47641,180.7283,356.4124,-0.3310564,-0.07693287,-0.3708793,-0.4051827,-1.079543,-0.986369,-2.001171,0.5441372,-0.2157281,3.703464,169.9132,1.905836,-0.2737735,-0.0326365,-0.1149644,-0.740898,-0.5706734,0.7133862,-2.171113,0.5358843,-0.2851846,6.504313,176.2276,347.5504,
375.011,-0.08333453,-0.1278218,-0.2009749,-1.03611,-0.5411254,0.5144668,-2.140098,0.8475802,-0.05551386,39.33101,181.2543,356.4355,-0.3073179,-0.1071988,-0.3512856,-0.5732512,-1.063624,-1.465238,-2.003827,0.5429467,-0.2203074,4.847949,170.758,3.480774,-0.2538803,-0.08549436,-0.1252207,-1.345092,-0.6738019,0.9312049,-2.173735,0.5355113,-0.2870165,8.406391,176.513,346.4122,
389.16,-0.07695934,-0.1211155,-0.2024719,-0.9929484,-0.5476754,0.5048398,-2.141047,0.8460389,-0.05840611,40.08551,181.8239,356.5061,-0.2815401,-0.139185,-0.3362579,-0.8177666,-1.057526,-2.0683,-2.005934,0.5417878,-0.2248794,6.38974,171.6841,5.675396,-0.2203975,-0.1447976,-0.1240703,-1.823702,-0.7769845,0.9490693,-2.174879,0.5338678,-0.2887908,10.58122,176.7958,345.5748,
403.189,-0.07173102,-0.114454,-0.2050954,-0.9189118,-0.5458304,0.4669434,-2.141944,0.8445693,-0.06131315,40.75545,182.3795,356.653,-0.2468875,-0.161544,-0.318135,-0.9830133,-0.8349127,-2.482903,-2.00818,0.5405439,-0.2288762,8.000563,172.1586,7.905469,-0.1843598,-0.1853017,-0.118341,-2.054602,-0.9203305,0.5009019,-2.176466,0.5328493,-0.2908688,12.75036,177.2758,345.8781,
417.078,-0.06659113,-0.1092548,-0.2063106,-0.8394876,-0.5307371,0.4164804,-2.142757,0.8431124,-0.06408072,41.3571,182.9117,356.8297,-0.230462,-0.1792129,-0.3003903,-1.116682,-0.875622,-2.827872,-2.010062,0.5391027,-0.2327361,9.583449,173.0626,10.44351,-0.1587445,-0.2354953,-0.1084712,-2.537229,-0.9093983,0.4390008,-2.178349,0.5314235,-0.2926509,15.5229,177.4112,345.7036,
431.012,-0.06020181,-0.1045559,-0.2042119,-0.7675768,-0.5037608,0.3713537,-2.143428,0.8418715,-0.06655335,41.92348,183.4104,357.0041,-0.2224478,-0.1905411,-0.2846378,-1.250773,-0.9120178,-2.941839,-2.011887,0.5374442,-0.236715,11.10898,174.0784,12.85923,-0.1281937,-0.2532107,-0.09656538,-2.808389,-0.5368588,0.726047,-2.180108,0.5298908,-0.2945023,18.01179,176.6331,344.4384,
445.08,-0.05297856,-0.09831209,-0.1997176,-0.7093503,-0.4615166,0.3278552,-2.144004,0.840732,-0.06892943,42.43334,183.8369,357.1679,-0.2101616,-0.2061779,-0.267669,-1.435075,-0.7790599,-2.780063,-2.013904,0.5358412,-0.2405222,12.75623,174.8412,14.7292,-0.09881946,-0.2394826,-0.08112306,-2.702352,-0.07298498,0.9800755,-2.182088,0.5284421,-0.2957335,19.692,175.3663,342.7107,
458.74,-0.0445112,-0.09158095,-0.1938731,-0.6513926,-0.4208996,0.3087242,-2.144435,0.8396255,-0.07139325,42.91032,184.2401,357.2815,-0.2005155,-0.2091926,-0.251561,-1.481678,-0.6405084,-2.555126,-2.015728,0.5345189,-0.24371,14.22653,175.4857,16.35019,-0.1017113,-0.1996825,-0.06151819,-2.15764,0.03588898,1.067714,-2.18398,0.5275347,-0.2962217,20.48807,174.8259,341.4563,
472.922,-0.03532792,-0.08536498,-0.1860896,-0.5946792,-0.3952236,0.3289293,-2.144719,0.83855,-0.07376337,43.35729,184.6633,357.3482,-0.193639,-0.2062123,-0.2308754,-1.430146,-0.6479715,-2.533772,-2.017201,0.5327358,-0.2465907,15.46936,176.3342,18.35338,-0.1174408,-0.1716943,-0.05040049,-1.671609,-0.1249281,0.9911042,-2.185642,0.5265119,-0.2968852,21.20086,174.9129,340.7818,
486.809,-0.0256852,-0.07913844,-0.1754066,-0.5454562,-0.3810562,0.3621399,-2.144892,0.8376342,-0.07578278,43.78456,185.0959,357.4057,-0.1887105,-0.2079918,-0.2096078,-1.434712,-0.7306802,-2.616693,-2.018504,0.5306609,-0.2493678,16.6857,177.4252,20.67754,-0.1295066,-0.1628822,-0.04197665,-1.438661,-0.3467371,0.8245081,-2.187225,0.5253168,-0.2976018,22.17234,175.2302,340.4615,
500.84,-0.0173522,-0.0727792,-0.1641503,-0.5002751,-0.367256,0.373288,-2.144932,0.8367876,-0.07739878,44.11772,185.5256,357.4668,-0.1839259,-0.2175137,-0.1897319,-1.524928,-0.7636842,-2.670223,-2.019755,0.5284211,-0.2520884,18.00056,178.5964,23.05932,-0.1371064,-0.1554555,-0.03307659,-1.188237,-0.6699526,0.5143622,-2.188124,0.5243855,-0.2981117,23.08986,176.0819,340.8653,
514.626,-0.007986393,-0.06651519,-0.1530318,-0.4815683,-0.3548246,0.3986951,-2.144922,0.8362081,-0.07898927,44.58965,185.908,357.5026,-0.17795,-0.2281813,-0.1748564,-1.63579,-0.7038549,-2.604828,-2.021016,0.5261599,-0.2547156,19.40033,179.6857,25.22981,-0.1263438,-0.1463563,-0.02537596,-0.9973283,-0.8472296,0.1515391,-2.188526,0.5234407,-0.2983972,23.87384,176.9323,341.6554,
528.796,0.001465991,-0.06121336,-0.1427723,-0.4537834,-0.3357997,0.4190302,-2.144683,0.8354626,-0.08077526,44.97889,186.2898,357.5079,-0.1675942,-0.2335802,-0.1595474,-1.688074,-0.5796307,-2.316921,-2.022202,0.5241713,-0.2569348,20.73791,180.6107,26.85913,-0.08604121,-0.1365765,-0.01552408,-0.9413773,-0.7108857,-0.2568418,-2.188398,0.5226361,-0.2985103,24.59334,177.1646,342.5571,
