time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.474,0.003436138,-0.002812364,-0.04923451,-0.3466057,0.2157998,-0.03572378,-0.4898742,-0.715726,-1.293653,357.3643,7.636668,356.1521,0.05331393,0.009767625,-0.01848886,0.1341715,-0.7128079,0.9188083,-0.5804048,-1.260804,-1.002396,24.12304,7.235576,350.8883,-0.007354956,0.005727007,-0.02638752,0.5281931,0.3440894,-1.120779,-0.4147779,-1.188295,-1.008474,15.78781,350.3029,351.7481,
13.484,0.008676133,0.002043181,-0.04054265,-0.3264326,0.2070898,-0.04254834,-0.4896828,-0.7155794,-1.294066,357.5896,7.48982,356.2455,0.05317522,0.05934611,-0.01062955,0.3205614,-0.702886,1.143916,-0.579093,-1.259223,-1.002611,23.9495,6.610425,349.433,-0.03295141,0.03635866,-0.03261273,0.7513961,0.4959435,-1.142957,-0.4156711,-1.187655,-1.009123,15.38661,350.3271,353.0519,
26.623,0.01369446,0.007948133,-0.0315748,-0.2822969,0.1982878,-0.05558458,-0.4894027,-0.7153603,-1.294347,357.7523,7.341866,356.3427,0.05996754,0.1151375,-0.004786824,0.5142208,-0.7651104,1.378976,-0.5774304,-1.25682,-1.002842,23.63568,5.865473,347.7075,-0.05232149,0.06163666,-0.04176484,0.9727355,0.6035396,-1.152825,-0.4166165,-1.187025,-1.010049,14.80586,350.3059,354.4078,
40.607,0.01842139,0.01334201,-0.02112242,-0.218883,0.1848421,-0.06406961,-0.4890627,-0.7151263,-1.29443,357.854,7.211323,356.4197,0.07971945,0.1787637,-0.002757942,0.7186351,-0.9639013,1.601202,-0.5751607,-1.253672,-1.003019,23.10384,5.163038,345.669,-0.06945153,0.07930418,-0.05108527,1.155829,0.723289,-1.208071,-0.4178642,-1.186123,-1.010967,14.14897,350.234,355.9119,
54.633,0.02281015,0.01587292,-0.01072746,-0.1657661,0.1723369,-0.06538346,-0.4886588,-0.7149235,-1.294368,357.9319,7.086405,356.4854,0.1166211,0.2501529,-0.009972231,0.9942079,-1.364752,1.776214,-0.5724784,-1.249737,-1.004216,22.16078,4.693822,343.2901,-0.08609124,0.09695359,-0.06177042,1.280821,0.8019927,-1.131647,-0.4189822,-1.184964,-1.01247,13.39239,350.0434,357.2661,
68.247,0.02745593,0.01520286,0.0001808731,-0.1308469,0.1599976,-0.06425494,-0.4881948,-0.7147606,-1.294192,358.0101,6.969972,356.5514,0.1687061,0.3114913,-0.0249873,1.203093,-1.938078,1.981958,-0.5690089,-1.245994,-1.004858,20.93365,4.560846,340.4939,-0.09844898,0.1069109,-0.07318356,1.232817,0.8428621,-0.8198376,-0.4201014,-1.184157,-1.013277,12.687,349.6098,358.0902,
82.412,0.03141308,0.0123268,0.009871794,-0.1069245,0.1467884,-0.06261662,-0.487686,-0.7146646,-1.293884,358.0696,6.866272,356.6111,0.2269519,0.3541774,-0.05050018,1.263687,-2.643105,2.317675,-0.5652873,-1.241453,-1.007034,19.59234,4.769709,337.0947,-0.09587514,0.1119967,-0.08427534,1.143204,0.803068,-0.5379512,-0.420515,-1.182985,-1.015137,12.01613,349.1683,358.6468,
96.239,0.03603113,0.008263652,0.02017217,-0.09582069,0.1350564,-0.06020183,-0.4871024,-0.7146363,-1.293427,358.1326,6.771352,356.6679,0.274137,0.3771833,-0.07975197,1.264775,-3.214565,2.623578,-0.5613528,-1.237898,-1.008288,18.10911,5.20072,333.4316,-0.06942038,0.1221541,-0.08829629,1.128977,0.5682524,-0.3519993,-0.4209962,-1.181909,-1.016031,11.23285,349.0651,359.1004,
110.318,0.04104908,0.003882966,0.03157551,-0.09785852,0.1188946,-0.05017686,-0.48639,-0.7146317,-1.292839,358.2172,6.69196,356.7148,0.2988883,0.3672522,-0.1035206,1.142314,-3.434099,2.792367,-0.557753,-1.234267,-1.01083,16.76378,5.698481,329.9393,-0.04415955,0.1224386,-0.08753054,1.021817,0.364962,-0.1827123,-0.4211989,-1.180988,-1.017281,10.57008,349.0486,359.3433,
123.802,0.04593941,-6.067281E-05,0.04311914,-0.1008256,0.1038654,-0.04007844,-0.4856228,-0.714687,-1.292068,358.299,6.625598,356.7537,0.3046065,0.3322064,-0.1209854,0.9860724,-3.399394,2.831802,-0.5542318,-1.231967,-1.012277,15.57631,6.192761,326.7185,-0.02568472,0.111634,-0.08713303,0.7779547,0.277196,0.0266022,-0.4209223,-1.179462,-1.019236,10.1809,348.8822,359.2717,
137.859,0.05053347,-0.004357005,0.05557631,-0.1004767,0.08847481,-0.02967986,-0.4848367,-0.7148348,-1.291092,358.3733,6.571982,356.7844,0.2954287,0.2858187,-0.1285386,0.7835869,-3.134631,2.768118,-0.550951,-1.229831,-1.013985,14.70762,6.589105,323.8673,-0.01365111,0.1060453,-0.09375525,0.6634594,0.2936382,0.2449577,-0.4205633,-1.179208,-1.020251,9.662558,348.5074,359.0496,
151.696,0.05482446,-0.009643776,0.0687528,-0.1016252,0.07446767,-0.01685171,-0.484017,-0.7150668,-1.289909,358.4553,6.529661,356.8021,0.266858,0.228846,-0.1259793,0.6639996,-2.646693,2.351543,-0.5483812,-1.228179,-1.015826,13.95608,6.886092,321.9076,0.00148505,0.09603554,-0.09455507,0.5980065,0.2935178,0.3609594,-0.4200457,-1.178609,-1.021687,9.145471,348.1856,358.8597,
165.175,0.05887142,-0.01570759,0.08260839,-0.1121972,0.06388506,-0.0141823,-0.4831403,-0.7153875,-1.288527,358.5541,6.489765,356.8374,0.2276885,0.1698856,-0.1137111,0.5387235,-1.961796,1.788496,-0.5462091,-1.227381,-1.017319,13.48181,6.976974,320.7752,0.01866033,0.08212353,-0.09578329,0.6402574,0.337468,0.3785543,-0.4192628,-1.178394,-1.022898,8.516811,347.827,358.825,
179.204,0.06276213,-0.02157432,0.0964378,-0.1345752,0.0614158,-0.02020166,-0.4822048,-0.7157989,-1.286954,358.6815,6.444718,356.893,0.1929934,0.09884827,-0.1021689,0.3223014,-1.294437,1.238825,-0.544161,-1.227587,-1.018471,13.3931,7.034997,320.275,0.03497491,0.06251659,-0.09216851,0.7411062,0.3851295,0.2860727,-0.4180914,-1.178615,-1.0244,7.84079,347.4989,359.0431,
193.346,0.06621066,-0.02711628,0.1100164,-0.1810731,0.06468886,-0.0245475,-0.4812318,-0.716271,-1.285189,358.8728,6.394842,356.9594,0.1720296,0.02043062,-0.09708174,0.02986802,-0.7996171,0.9269537,-0.5421093,-1.228445,-1.019733,13.686,7.157696,319.9146,0.05248355,0.02842944,-0.0833406,0.7970785,0.4171386,0.1468165,-0.4168989,-1.179683,-1.025106,7.227002,347.2074,359.4138,
207.129,0.06950972,-0.03223013,0.1238098,-0.244667,0.07141468,-0.03414001,-0.4802085,-0.7167792,-1.283228,359.1228,6.340328,357.0547,0.1654963,-0.04467075,-0.09847141,-0.2064696,-0.5921307,0.7637494,-0.5399952,-1.229796,-1.021023,14.00919,7.462955,319.5093,0.07382198,-0.0227422,-0.06968782,0.767251,0.407447,-0.03501338,-0.4152238,-1.181553,-1.025978,6.796561,346.9995,359.9003,
221.124,0.07323506,-0.03563409,0.1379176,-0.3184508,0.0901133,-0.0571563,-0.479128,-0.7172944,-1.281083,359.4316,6.259451,357.1993,0.1672989,-0.1017666,-0.1020799,-0.4726491,-0.487517,0.6088913,-0.5381181,-1.23173,-1.022411,14.44124,8.012541,319.2643,0.1004702,-0.0895887,-0.05324432,0.6814145,0.3319987,-0.2744676,-0.4134199,-1.1844,-1.026338,6.586689,346.9659,0.541712,
235.543,0.07699051,-0.03851348,0.1528563,-0.3834525,0.1151516,-0.08863679,-0.4779497,-0.717899,-1.278708,359.7688,6.152235,357.3759,0.1654901,-0.1576176,-0.1056258,-0.7458144,-0.3274745,0.4649126,-0.5364667,-1.234311,-1.023575,15.10192,8.652143,319.2539,0.1238628,-0.1605831,-0.0339869,0.5961605,0.2698267,-0.5364494,-0.411404,-1.187984,-1.026541,6.544865,347.0167,1.360486,
249.251,0.08031453,-0.04254299,0.1679048,-0.4457548,0.1459907,-0.1041132,-0.4767185,-0.7186046,-1.276133,0.1626689,6.026074,357.5477,0.1609035,-0.2106422,-0.1066518,-0.9959897,-0.1607822,0.3662227,-0.5349583,-1.237333,-1.024654,15.95404,9.350598,319.4016,0.1443549,-0.2345254,-0.01362299,0.5212292,0.2207614,-0.8252515,-0.4092435,-1.192581,-1.026373,6.64914,347.1461,2.385269,
263.368,0.08336172,-0.04864657,0.1825549,-0.5172625,0.1755703,-0.09919968,-0.4754237,-0.7194438,-1.27337,0.6294466,5.873578,357.7194,0.1533723,-0.2565639,-0.1054443,-1.191095,-0.01708883,0.2649525,-0.5336117,-1.240816,-1.025621,16.87612,10.10573,319.7176,0.1620083,-0.3134429,0.00818892,0.3754697,0.1731392,-1.146022,-0.4069703,-1.197909,-1.025834,7.050633,347.3681,3.593268,
276.935,0.08639551,-0.05705976,0.1981498,-0.5961388,0.2095058,-0.08265119,-0.4741915,-0.720381,-1.270375,1.161335,5.705566,357.8817,0.1394955,-0.2955536,-0.09912504,-1.300385,0.1491213,0.157065,-0.5325891,-1.244724,-1.026356,17.82778,10.80942,320.2205,0.1821086,-0.3888561,0.03250425,0.2027081,0.08483372,-1.418396,-0.404386,-1.204038,-1.024886,7.66728,347.7334,4.871262,
290.817,0.08881994,-0.06579348,0.2132267,-0.6666674,0.2400077,-0.06565562,-0.4729222,-0.7214237,-1.267178,1.7444,5.510425,358.0356,0.1191645,-0.3334719,-0.08672683,-1.341685,0.3328688,0.08607082,-0.5318433,-1.24924,-1.026803,18.81545,11.39994,320.8321,0.208216,-0.4602035,0.05899362,0.00822347,-0.05878326,-1.700667,-0.4016161,-1.210854,-1.023558,8.531081,348.3264,6.270632,
304.593,0.09052618,-0.07390866,0.2291667,-0.7238936,0.2683615,-0.0336627,-0.4716631,-0.7226111,-1.263734,2.36148,5.299004,358.1517,0.09619617,-0.3728089,-0.07038599,-1.324708,0.4613783,0.1129827,-0.5313233,-1.254287,-1.027008,19.82903,11.87138,321.3627,0.2357651,-0.5243057,0.08766955,-0.1904745,-0.2518933,-2.04021,-0.3988679,-1.218102,-1.021758,9.664536,349.2248,7.884991,
319.072,0.09158906,-0.08349191,0.2455634,-0.7639019,0.292712,0.01270987,-0.4704105,-0.723996,-1.260084,3.01591,5.070395,358.2212,0.0739918,-0.4064929,-0.05285602,-1.231694,0.4561844,0.2294195,-0.5309009,-1.259622,-1.027018,20.76238,12.23865,321.6169,0.2613903,-0.5759227,0.1167335,-0.323473,-0.4460852,-2.561507,-0.3962821,-1.225668,-1.019596,11.03136,350.5215,10.04677,
333.033,0.092329,-0.09655803,0.2614078,-0.8057359,0.3141532,0.06483082,-0.4691423,-0.7256449,-1.256219,3.710972,4.824435,358.2621,0.05569168,-0.4307005,-0.03516166,-1.130783,0.377162,0.3120329,-0.5307325,-1.265181,-1.026852,21.57618,12.61124,321.75,0.2828168,-0.6092864,0.1426378,-0.3710632,-0.6103786,-3.27534,-0.3940498,-1.233037,-1.017133,12.53641,352.3034,12.98791,
