time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.486,0.001300038,0.00242109,-0.00660804,0.02032101,0.006383457,0.01106606,0.3874704,-0.425059,-0.2325838,353.8732,357.1375,359.7794,-0.0009910832,-0.001361375,0.001334595,-0.01003166,0.007968095,-0.004618381,0.3702924,-0.9221765,0.07211089,20.06295,14.24113,1.944302,-0.01142904,-0.001519768,-0.003199946,-0.06385856,0.1009971,0.06664295,0.4738278,-0.9117664,0.05582717,17.0801,343.9558,345.4698,
12.761,0.0009342381,0.002398027,-0.006631279,0.02559677,-0.002122016,0.01239387,0.3874745,-0.425027,-0.2326754,353.8454,357.158,359.7741,-0.001635897,-0.0002555542,0.001570013,-0.001291447,0.009268218,-0.01066117,0.3702765,-0.9222055,0.07212973,20.06222,14.2406,1.953499,-0.01656294,0.0001182652,-0.005079617,-0.06729295,0.1240216,0.1062211,0.4736327,-0.9117796,0.05580798,17.12446,343.7516,345.3455,
26.389,0.00114835,0.002419887,-0.007158319,0.02521782,-7.958094E-05,0.006443189,0.3875013,-0.4249883,-0.2327843,353.8297,357.1476,359.7824,-0.002107903,-0.0002245937,0.001479435,-0.005812405,0.00954954,-0.01328847,0.3702512,-0.9222296,0.07214928,20.05935,14.23991,1.965239,-0.01555968,0.004437652,-0.005543018,-0.0004408837,0.09719583,0.03542953,0.4735252,-0.9116656,0.05571844,17.10528,343.7509,345.4098,
40.283,0.001224892,0.002362461,-0.007434292,0.02692404,-0.0001094017,0.001174634,0.3875475,-0.424926,-0.2328729,353.806,357.1462,359.7891,-0.002341958,-0.0009779553,0.001924371,-0.01794307,0.01170067,-0.01140694,0.3702206,-0.9222589,0.07217636,20.06194,14.23947,1.981102,-0.01504124,0.008253279,-0.004939513,0.06962883,0.0832774,-0.03184755,0.4732631,-0.9115177,0.05569119,17.06905,343.7329,345.538,
53.929,0.001209868,0.002873281,-0.007813485,0.0221742,0.001038105,-0.004037204,0.3875953,-0.4248399,-0.2329664,353.7985,357.1397,359.8001,-0.002615184,-0.001564734,0.002064288,-0.02493778,0.01498014,-0.009492927,0.3701918,-0.9222883,0.07220537,20.06775,14.23885,1.997193,-0.01387189,0.01189051,-0.005458519,0.1284664,0.05387568,-0.04346002,0.4731601,-0.9113131,0.05533876,16.96151,343.7367,345.6857,
68.002,0.00118494,0.003104368,-0.00802273,0.02194046,0.002516724,-0.002187755,0.3876171,-0.4247842,-0.2330766,353.7799,357.1383,359.7959,-0.003235301,0.0001293558,0.001505967,0.00497623,0.02226748,-0.01796478,0.3701626,-0.9223287,0.07224121,20.06553,14.23539,2.016204,-0.0123589,0.01177201,-0.005538434,0.1295882,0.04349257,-0.03246145,0.4728733,-0.9113306,0.0556019,16.89404,343.7264,345.7598,
81.929,0.0009371329,0.003265189,-0.008338505,0.02034139,0.00129063,0.002265762,0.3876228,-0.4247354,-0.2331983,353.7642,357.1406,359.7878,-0.002621279,-0.002940806,0.00212457,-0.04447749,0.01825779,-0.01044288,0.3701364,-0.9223753,0.0723118,20.08738,14.23521,2.047713,-0.008815238,0.01121289,-0.0050765,0.1212411,0.01731136,-0.007406999,0.4730124,-0.9111878,0.05518521,16.82187,343.7276,345.7824,
95.631,0.0009830256,0.002783083,-0.008701039,0.01860336,0.0006054093,-0.001091474,0.387642,-0.4247051,-0.2333252,353.7513,357.1429,359.7961,-0.002740386,-0.001086666,0.00160522,-0.01004492,0.02096364,-0.01334765,0.3701066,-0.9224057,0.072315,20.08189,14.22901,2.059858,-0.005054225,0.006743573,-0.004478924,0.06575956,0.01359029,0.02060986,0.4728861,-0.9112346,0.05535697,16.81711,343.708,345.7576,
110.557,0.001237864,0.002593287,-0.0090822,0.01651066,0.002974243,-0.01063625,0.3876908,-0.4246607,-0.2334512,353.7436,357.1335,359.817,-0.002311862,-0.000483072,0.0006974705,0.005478591,0.01538348,-0.01104863,0.3700862,-0.9224599,0.07235438,20.08392,14.22626,2.073662,-6.172922E-06,0.003048211,-0.001980945,0.0162558,-0.002846854,0.0351369,0.4729194,-0.9111902,0.05525285,16.80322,343.6998,345.7383,
123.654,0.001349165,0.003132491,-0.009214727,0.01923619,0.007031714,-0.00678047,0.3877361,-0.4245917,-0.2335722,353.7213,357.1198,359.8145,-0.0005852315,-0.003435942,0.001159804,-0.03984824,0.000248045,0.0001269657,0.3700619,-0.9225142,0.0723829,20.10155,14.22893,2.088648,0.004970586,-0.0002480304,0.000142335,-0.01979492,-0.03459824,0.07242744,0.4729898,-0.9112296,0.05528152,16.77248,343.6827,345.6503,
137.276,0.001101519,0.003942959,-0.008926968,0.02583008,0.005330513,0.0009822327,0.3877481,-0.4245159,-0.2336877,353.6877,357.1227,359.8029,-0.0005857146,0.0001703294,5.602876E-05,0.01773494,0.004256031,-0.010748,0.3700487,-0.9225718,0.07239339,20.09111,14.22949,2.091312,0.009549655,-0.004021746,0.004019501,-0.0440638,-0.03983792,0.01408254,0.4731191,-0.9112285,0.05527124,16.79676,343.7097,345.6231,
