time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.533,-0.002618243,0.02976112,-0.005057613,0.2573107,0.01169152,-0.002533053,0.3863593,-0.4111938,-0.3077551,342.2104,353.0711,0.7369569,0.005490148,-0.01018401,0.007542446,-0.03132014,-0.00669245,0.0187625,0.3661164,-0.9333476,0.07808128,22.38978,2.712825,350.3846,-0.0009825238,-0.01105492,0.003339722,-0.1161648,-0.005822754,0.03246687,0.4792961,-0.933859,0.06617214,28.42287,352.2424,353.2964,
12.927,-0.002321549,0.0344831,-0.006488827,0.303673,0.0146558,-0.004065635,0.3863373,-0.4106335,-0.3078412,341.9105,353.022,0.8145915,0.005377498,-0.01006036,0.008039641,-0.03160346,0.0005083278,0.01377937,0.3661926,-0.9334254,0.07818373,22.41316,2.709185,350.378,-0.004115498,-0.01663571,0.006010114,-0.1041042,0.0391477,0.008812987,0.4792322,-0.9340907,0.06636067,28.51892,352.2025,353.305,
26.586,-0.002034592,0.0381538,-0.007504974,0.3417332,0.02422201,-0.0007147933,0.3863024,-0.4100525,-0.307946,341.5992,352.9646,0.8722478,0.004920186,-0.01013368,0.008034711,-0.03284447,0.01201677,0.004194513,0.3662623,-0.9335286,0.07829353,22.43963,2.706082,350.3831,-0.005184611,-0.01561055,0.006712114,-0.06958701,0.02527079,0.02760187,0.4792278,-0.9341802,0.06648254,28.54404,352.1655,353.278,
40.464,-0.00154256,0.04064663,-0.008465325,0.3676114,0.03636612,0.006506588,0.3862972,-0.4094559,-0.3080787,341.2813,352.903,0.9185357,0.004733666,-0.01029268,0.007412936,-0.03456055,0.01574771,-0.006704836,0.3663327,-0.9336414,0.07842037,22.47126,2.708399,350.3994,-0.007953405,-0.0116536,0.008457536,-0.05440041,-0.002072052,0.07709517,0.4791445,-0.9343067,0.06667396,28.55794,352.0905,353.176,
54.106,-0.0005508394,0.04153147,-0.009092103,0.390252,0.04823741,0.008928406,0.3863307,-0.4089074,-0.3082106,340.946,352.8221,0.9830517,0.004807753,-0.0104413,0.006688503,-0.03899855,0.01389271,-0.004570767,0.3664095,-0.9337314,0.0784823,22.51512,2.709848,350.4119,-0.01172354,-0.004709069,0.008609813,-0.02779456,-0.0378499,0.1420447,0.4790482,-0.9343028,0.06676033,28.52832,351.9545,352.9666,
68.225,0.0001342883,0.04236042,-0.009888018,0.3988522,0.05452536,0.01655687,0.3863448,-0.4082963,-0.308368,340.6219,352.7595,1.020717,0.004828293,-0.009354291,0.005507036,-0.02477052,0.009360119,-0.002912955,0.3664879,-0.9338317,0.07860865,22.53741,2.710365,350.4192,-0.01361343,-0.0008617485,0.008150576,-0.04408869,-0.03837082,0.1575264,0.4788747,-0.9343504,0.06709538,28.54097,351.8279,352.7896,
82.056,0.0009378605,0.04242265,-0.01023801,0.4081173,0.06404139,0.02465144,0.3863513,-0.4077096,-0.3085169,340.2897,352.6912,1.057251,0.004999413,-0.0110762,0.005246826,-0.06110924,0.01615125,-0.0007922485,0.3665656,-0.9339321,0.0786806,22.59633,2.712664,350.4321,-0.01074879,0.003644045,0.006766256,-0.02447586,-0.08287575,0.1799753,0.4790096,-0.934154,0.06685288,28.48845,351.7255,352.559,
95.709,0.001330279,0.04188276,-0.0101471,0.4139462,0.06998358,0.03446994,0.3863394,-0.4071704,-0.3086337,339.9486,352.6289,1.084805,0.005328762,-0.006430323,0.003793374,-0.004731078,-0.007395159,-0.002214944,0.3665991,-0.9339626,0.07869485,22.58489,2.717862,350.4285,-0.006943841,-0.0186001,0.006114912,-0.1770067,0.02602493,-0.0484155,0.478603,-0.9345437,0.06781237,28.84285,351.8425,352.74,
110.046,0.001812581,0.04044084,-0.009827766,0.4078228,0.06998909,0.03680201,0.3863791,-0.406679,-0.3087527,339.6402,352.5733,1.12134,0.005726047,-0.006984374,0.003917721,-0.02723007,-0.001331205,-0.006630665,0.3666825,-0.9340448,0.07879344,22.61017,2.725818,350.4369,-0.001194629,-0.002953208,0.007754395,-0.02710376,-0.001500835,-0.085503,0.4787753,-0.9342616,0.06711456,28.71705,351.9186,352.8134,
123.796,0.002749125,0.03759154,-0.009708732,0.3899375,0.07133584,0.03278004,0.3864506,-0.4062656,-0.3088955,339.3648,352.5047,1.15577,0.006362014,-0.007284087,0.004147114,-0.04345348,0.0002837245,-0.01062994,0.3667499,-0.9340897,0.07878207,22.63667,2.739064,350.4478,-0.002023458,0.01162124,0.003097447,0.09180413,-0.09012631,0.1135501,0.4787151,-0.9342974,0.06728918,28.51246,351.8455,352.6142,
137.538,0.002966,0.03421495,-0.009264709,0.3599693,0.0698904,0.0340195,0.3864422,-0.4058557,-0.3089835,339.1302,352.4651,1.16456,0.006529249,-0.004009134,0.003251874,0.006012524,-0.01589704,-0.01556685,0.3668126,-0.9341433,0.07883527,22.62975,2.752364,350.4525,-0.007889041,0.01302467,0.0008935702,0.08082025,-0.07419526,0.2088419,0.4786078,-0.9343945,0.06749028,28.347,351.6074,352.3046,
151.088,0.003328737,0.03032515,-0.008667167,0.3251705,0.07724961,0.03347372,0.3865008,-0.4055552,-0.3090411,338.918,352.3897,1.172481,0.006036519,-0.00684339,0.003975363,-0.03054025,-0.0042614,-0.01168891,0.3668941,-0.9342062,0.07888953,22.65602,2.768483,350.4652,-0.009227759,0.004614428,3.320677E-05,0.001688439,-0.03449614,0.1547609,0.4787325,-0.9341447,0.06707075,28.43178,351.5836,352.2976,
165.385,0.002863412,0.02616978,-0.007898963,0.2746481,0.07994823,0.0401864,0.3864957,-0.4053019,-0.3090948,338.7711,352.3528,1.141253,0.004454329,-0.00758341,0.003856483,-0.03080261,0.000735468,0.00506093,0.3669474,-0.9342586,0.07891327,22.67005,2.767711,350.4615,-0.00767361,-0.005533483,-0.0001434307,-0.08737959,-0.004856328,0.08401016,0.4786253,-0.9342646,0.0672432,28.5405,351.558,352.2678,
179.203,0.002727021,0.02113818,-0.00674689,0.2201014,0.08031406,0.041748,0.3865346,-0.4051487,-0.3091488,338.666,352.3151,1.114817,0.00238368,-0.007092476,0.003657097,-0.01279915,0.0069031,0.01315264,0.3669857,-0.9343257,0.07893783,22.6784,2.756833,350.4536,-0.005717289,-0.009440578,0.0006210248,-0.1169752,-0.008893707,0.07755461,0.4786721,-0.9343011,0.06718074,28.6441,351.4859,352.1556,
192.835,0.0025037,0.01571769,-0.005318877,0.1592336,0.07267759,0.03652717,0.3865689,-0.4048969,-0.3092239,338.6229,352.288,1.091376,0.0007486769,-0.007909027,0.003294156,-0.03100451,0.01732857,0.01503719,0.3670149,-0.9344345,0.07901211,22.7087,2.740124,350.4481,-0.002254877,-0.00904965,0.001334428,-0.1022936,-0.02719453,0.0707786,0.478661,-0.9344274,0.06729402,28.69329,351.4542,352.07,
206.915,0.00274769,0.01022337,-0.003581335,0.1001622,0.06844749,0.02722649,0.3866109,-0.4048695,-0.3092263,338.6183,352.2543,1.064527,-0.001272918,-0.006011874,0.002326004,-0.02614795,0.03516412,0.004320387,0.367011,-0.9345033,0.07904574,22.73697,2.718534,350.4593,0.000734546,-0.006588624,0.002644005,-0.04862288,-0.02169197,0.03413133,0.4786884,-0.9344682,0.06728768,28.69462,351.4562,352.0605,
220.856,0.002481576,0.005300297,-0.001499031,0.04538559,0.06075443,0.02411755,0.386635,-0.4048933,-0.3091908,338.646,352.2455,1.02231,-0.001131786,-0.003217046,0.00183156,-0.01571627,0.02815623,-0.01055336,0.3669958,-0.9345019,0.07905966,22.7497,2.713168,350.4758,0.002331187,-0.00783,0.00348845,-0.03556469,0.0008755155,-0.003880033,0.4787208,-0.9345335,0.06734037,28.71646,351.4596,352.0666,
234.532,0.001990729,0.0006873373,0.0004967907,-0.01150402,0.04983853,0.02182182,0.3866474,-0.404983,-0.309133,338.7278,352.249,0.9725375,-0.001254858,0.0008221848,0.0008303588,0.005974204,0.02397725,-0.01907853,0.3669706,-0.9344679,0.07905997,22.75121,2.707144,350.4997,0.005059221,-0.01252708,0.004039472,-0.05390662,0.01640086,-0.05388762,0.4788001,-0.9347173,0.0674417,28.79072,351.5011,352.118,
248.735,0.001999533,-0.004467528,0.002758019,-0.06166466,0.04131337,0.01815704,0.3866727,-0.4051677,-0.3090416,338.837,352.2552,0.9241564,-0.0008070121,0.002296188,9.772243E-05,0.006729299,0.01279031,-0.02104867,0.3669375,-0.9344203,0.07904057,22.74467,2.708896,350.5224,0.008126832,-0.0165102,0.003970444,-0.07539401,0.01144149,-0.09108343,0.478891,-0.9349644,0.06757067,28.90271,351.5933,352.2047,
262.823,0.001551208,-0.009532174,0.004767452,-0.1157306,0.02325535,0.01604765,0.3866822,-0.4054206,-0.3089285,338.9998,352.2932,0.872515,-0.0007292788,0.00281044,-0.0005803513,0.009886559,0.006471041,-0.01584481,0.3668962,-0.9343569,0.07899821,22.73594,2.711137,350.5387,0.009979205,-0.01589097,0.003985127,-0.07385016,0.0003300286,-0.101242,0.4789887,-0.9350566,0.06761385,28.98147,351.6786,352.2704,
