time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.504,0.003497363,-0.02928799,0.03864231,-0.2022901,0.01519016,-0.02459295,0.373904,-0.408994,-0.2666592,342.6747,348.3906,1.044845,-0.00246505,-0.001313701,0.0007617201,0.003651111,0.02673796,0.0004747325,0.3670686,-0.9292239,0.07848826,23.26422,7.163352,356.3397,0.001909625,-0.005083525,0.0007107806,0.009736308,0.0146029,-0.130861,0.4770647,-0.9300078,0.06508658,25.6963,349.7313,350.2367,
12.833,0.003681504,-0.02968783,0.0375351,-0.2148857,0.009028655,-0.01752001,0.3739388,-0.4094248,-0.2661616,342.8524,348.4251,0.9704225,0.001018721,-0.0002859826,-0.001539965,0.01975621,-0.004488939,0.01249956,0.3670858,-0.9292021,0.07847956,23.25186,7.150411,356.3303,-0.001383814,-0.009481282,-0.0008579232,0.01070627,0.06421293,-0.1500434,0.4769247,-0.930131,0.06510737,25.75508,349.8282,350.4631,
26,0.004139458,-0.02996288,0.03617103,-0.2270258,0.002274587,-0.0170498,0.373998,-0.4098519,-0.2656662,343.0444,348.4568,0.903766,0.00473449,0.0002717455,-0.003770684,0.03700123,-0.03739286,0.0223566,0.3671608,-0.9291984,0.07840629,23.22293,7.150949,356.2876,-0.005098966,-0.01145467,-0.002657547,0.007397799,0.06959923,-0.1115864,0.4768546,-0.930228,0.06505045,25.7802,349.8314,350.5366,
40.008,0.004327264,-0.03009394,0.0346025,-0.2326845,-0.00628723,-0.01779296,0.3740628,-0.4102775,-0.2652203,343.227,348.4909,0.8516126,0.008007104,-0.0003112606,-0.005415624,0.04092276,-0.06236708,0.0334959,0.3673064,-0.9292108,0.07833761,23.18944,7.163319,356.216,-0.006755398,-0.01267148,-0.003995929,-0.004829018,0.0634153,-0.08853525,0.4767087,-0.9303315,0.06508434,25.80665,349.8446,350.5973,
53.836,0.004671669,-0.02970981,0.03283159,-0.2307998,-0.01312414,-0.02604271,0.3741335,-0.4106586,-0.2648106,343.4056,348.5159,0.8213938,0.01034421,-0.0002413506,-0.006748594,0.05224944,-0.08275611,0.04909443,0.367451,-0.9291999,0.07809591,23.14431,7.175565,356.1099,-0.008192522,-0.01103323,-0.003564083,-0.005651344,0.06213943,-0.07294431,0.4766153,-0.9303663,0.06504992,25.82417,349.8503,350.6484,
67.569,0.004029718,-0.02797022,0.03148737,-0.2233446,-0.02074509,-0.02243341,0.374166,-0.4109618,-0.2644109,343.561,348.5589,0.7708305,0.01088968,0.001711076,-0.008081804,0.09092952,-0.09111561,0.05511906,0.367664,-0.9293071,0.07810436,23.06025,7.180276,355.9839,-0.007439454,-0.003161437,-0.002802422,0.05577788,0.03564141,-0.05759923,0.4765626,-0.9303353,0.06494351,25.77092,349.8737,350.7078,
81.593,0.0037285,-0.02548555,0.03011534,-0.2036509,-0.02098786,-0.02232369,0.3741922,-0.4112311,-0.263986,343.6873,348.5835,0.7397539,0.01087692,0.00212109,-0.007997802,0.09084304,-0.09120338,0.05511157,0.3677982,-0.9293288,0.07808891,23.02142,7.185484,355.8996,-0.006584018,0.001802141,-0.001081214,0.05680632,0.03435226,-0.04775882,0.4764454,-0.9303269,0.06503701,25.74281,349.8892,350.7639,
95.505,0.003424768,-0.02309575,0.02876334,-0.1836018,-0.02216321,-0.02560939,0.3742161,-0.4114814,-0.2635874,343.8094,348.607,0.7244223,0.01073746,-0.0006843746,-0.006521455,0.03131944,-0.07930689,0.04617087,0.3678492,-0.9292299,0.07801534,23.04972,7.200953,355.8756,-0.004156582,0.00999467,-6.709946E-05,0.09282846,-0.007356662,-0.0007474608,0.4764475,-0.930078,0.06489135,25.65253,349.896,350.7762,
109.392,0.002729942,-0.02082225,0.02736028,-0.1721515,-0.02598168,-0.02710644,0.3742263,-0.4117151,-0.2632403,343.9348,348.6363,0.7067286,0.009549326,0.002616089,-0.006039012,0.07043772,-0.07152444,0.02713988,0.3679055,-0.9291485,0.0777906,22.97815,7.215233,355.8197,-0.002529917,0.01343949,0.001787729,0.07599691,-0.02755813,0.03526027,0.4763499,-0.9299586,0.06508474,25.58072,349.8855,350.7464,
123.19,0.002176628,-0.01916828,0.02597423,-0.1572755,-0.02944485,-0.03137537,0.3742448,-0.4119535,-0.2629122,344.0447,348.6619,0.7027786,0.008488465,0.001265535,-0.004514986,0.04330174,-0.05790728,0.01499128,0.3680175,-0.9291814,0.0779736,22.97539,7.231071,355.8042,0.0004666132,0.01345894,0.002775962,0.06362233,-0.04752457,0.03633238,0.4764442,-0.9296993,0.06488773,25.51567,349.8951,350.716,
137.084,0.001439969,-0.0179045,0.0246938,-0.1451626,-0.03526915,-0.03403931,0.3742442,-0.4121963,-0.2625848,344.1497,348.691,0.7032524,0.006844653,-0.001222216,-0.002221525,0.006383182,-0.04440734,0.01652964,0.3680398,-0.9291347,0.07786334,22.97642,7.241554,355.7857,0.003653167,0.003889864,0.002523631,-0.05001924,-0.05564248,0.06136821,0.4764091,-0.9296181,0.06513757,25.57552,349.8793,350.6486,
150.751,0.001314898,-0.01713551,0.02326291,-0.136761,-0.03371765,-0.0379299,0.3742492,-0.4124387,-0.2622708,344.2581,348.7064,0.7037353,0.003857955,0.0006281909,-0.001140346,0.04547993,-0.03061976,0.01906629,0.3680864,-0.9291325,0.0778534,22.94175,7.24011,355.7523,0.006624603,0.008399276,0.006495947,0.02440247,-0.08965767,0.04329513,0.47653,-0.9295355,0.06513083,25.51466,349.907,350.5891,
164.738,0.001028812,-0.01651167,0.02160307,-0.1326915,-0.03528958,-0.04179631,0.3742262,-0.4126669,-0.2619905,344.3686,348.7307,0.7082112,0.001576367,-0.002002202,0.0007152661,0.008723768,-0.0140921,0.02038738,0.3680996,-0.9291229,0.07787722,22.9461,7.236185,355.7372,0.01054609,0.003625512,0.006640093,0.0214586,-0.06705676,-0.03874977,0.4765971,-0.9294781,0.0652037,25.50513,349.9876,350.6381,
